"Ticker","Date","Open","High","Low","Close"
"ADI","9-19-16",62.42,63.05,62.21,62.46
"ADI","9-20-16",62.69,62.91,62.25,62.34
"ADI","9-21-16",62.6,63.4,62.515,63.3
"ADI","9-22-16",63.89,64.02,63.37,63.68
"ADI","9-23-16",63.7,63.82,63.23,63.23
"ADI","9-26-16",62.79,62.975,62.22,62.28
"ADI","9-27-16",62.28,63.93,61.81,63.81
"ADI","9-28-16",64.02,64.13,63.27,63.93
"ADI","9-29-16",63.99,64.27,62.93,63.74
"ADI","9-30-16",64.14,64.975,63.41,64.45
"ADI","10-3-16",64.29,64.74,64.06,64.25
"ADI","10-4-16",64.21,64.93,63.98,64.24
"ADI","10-5-16",64.48,65.18,63.8,64.68
"ADI","10-6-16",64.6,64.83,64.04,64.74
"ADI","10-7-16",64.62,64.62,63.74,64.42
"ADI","10-10-16",64.78,64.88,63.34,63.35
"ADI","10-11-16",63.31,63.65,61.64,62.1
"ADI","10-12-16",62.15,62.16,60.7,61.19
"ADI","10-13-16",60.8,60.855,59.54,60.71
"ADI","10-14-16",61.11,62.71,60.97,62.06
"ADI","10-17-16",61.65,62.29,61.33,61.7
"ADI","10-18-16",62.33,62.84,62.02,62.14
"ADI","10-19-16",61.84,62.07,61.27,61.91
"ADI","10-20-16",62.28,63.68,61.67,63.47
"ADI","10-21-16",63.13,63.33,62.22,62.91
"ADI","10-24-16",63.53,64.05,63.44,64.02
"ADI","10-25-16",64.02,64.26,63.74,64.06
"ADI","10-26-16",63.57,63.75,63.1,63.44
"ADI","10-27-16",63.87,64.16,63.06,63.27
"ADI","10-28-16",63.45,64.29,63.35,63.53
"ADI","10-31-16",64.04,64.44,63.74,64.1
"ADI","11-1-16",64.4,64.4,62.84,63.6
"ADI","11-2-16",63.79,64.18,63.4,63.66
"ADI","11-3-16",63.75,64.03,63.34,63.85
"ADI","11-4-16",62.89,64.02,62.89,63.43
"ADI","11-7-16",64.53,64.55,63.96,64.36
"ADI","11-8-16",64.08,65.4,63.71,64.85
"ADI","11-9-16",63.08,65.29,62.5,64.97
"ADI","11-10-16",65.21,65.97,63.45,64.25
"ADI","11-11-16",64.29,65.44,64.105,65.32
"ADI","11-14-16",65.42,66.825,65.33,66.46
"ADI","11-15-16",66.73,68.49,66.47,68.21
"ADI","11-16-16",68.14,68.5,67.68,67.88
"ADI","11-17-16",67.89,68.32,67.38,68.21
"ADI","11-18-16",67.92,68.58,67.62,68.47
"ADI","11-21-16",68.75,69.91,68.71,69.82
"ADI","11-22-16",73.05,74.87,72.52,72.89
"ADI","11-23-16",73.67,74.11,72.61,73.59
"ADI","11-25-16",73.45,74.32,72.911,74.2
"ADI","11-28-16",74.01,74.46,73.53,74.16
"ADI","11-29-16",74.17,74.86,73.454,74.53
"ADI","11-30-16",74.36,74.75,73.62,74.24
"ADI","12-1-16",73.56,74.18,68.665,69.01
"ADI","12-2-16",68.66,70.26,68.415,70.11
"ADI","12-5-16",70.84,71.23,70.15,70.6
"ADI","12-6-16",71.02,71.5,70.26,71
"ADI","12-7-16",70.98,72.96,70.52,72.94
"ADI","12-8-16",72.99,74.25,72.75,73.88
"ADI","12-9-16",74.54,74.82,72.49,73.14
"ADI","12-12-16",72.85,73.257,72.2,72.9
"ADI","12-13-16",73.11,73.73,72.79,73.1
"ADI","12-14-16",73.23,73.43,72.29,72.54
"ADI","12-15-16",72.81,73.94,72.54,73.61
"ADI","12-16-16",73.77,74,71.97,72.09
"ADI","12-19-16",72.41,73,72.15,72.81
"ADI","12-20-16",72.92,73.59,72.81,73.4
"ADI","12-21-16",73.69,74.29,73.27,73.6
"ADI","12-22-16",73.89,73.95,73.01,73.45
"ADI","12-23-16",73.37,73.87,73.34,73.84
"ADI","12-27-16",73.81,74.62,73.81,74.31
"ADI","12-28-16",74.54,74.6,73.53,73.56
"ADI","12-29-16",73.38,73.88,73.23,73.58
"ADI","12-30-16",73.8,74.02,72.393,72.62
"ADI","1-3-17",72.6,74.1292,72.09,72.505
"ADI","1-4-17",72.77,73.0261,72.25,72.36
"ADI","1-5-17",72.41,72.61,71.28,71.32
"ADI","1-6-17",71.58,71.95,71.0005,71.6
"ADI","1-9-17",71.64,72.5101,71.52,71.94
"ADI","1-10-17",71.87,72.51,71.85,72.35
"ADI","1-11-17",72.27,72.66,72.07,72.62
"ADI","1-12-17",72.42,72.42,71,72.22
"ADI","1-13-17",72.36,72.8837,72.115,72.67
"ADI","1-17-17",72.23,73.41,71.85,72.28
"ADI","1-18-17",72.64,73.63,72.22,73.01
"ADI","1-19-17",72.88,73.39,72.29,72.44
"ADI","1-20-17",72.09,73.65,72.09,72.88
"ADI","1-23-17",72.74,73.24,72.41,72.78
"ADI","1-24-17",73.01,73.68,72.5587,73.51
"ADI","1-25-17",74.685,75.59,74.51,74.54
"ADI","1-26-17",74.37,74.54,73.77,74.2
"ADI","1-27-17",74.55,76.94,74.25,76.93
"ADI","1-30-17",76.76,76.76,75.23,76.28
"ADI","1-31-17",76.14,76.19,74.595,74.94
"ADI","2-1-17",75.76,76.73,75.42,76.17
"ADI","2-2-17",75.66,76.03,75.14,75.23
"ADI","2-3-17",75.52,75.73,75.26,75.52
"ADI","2-6-17",75.65,75.65,74.94,75.53
"ADI","2-7-17",75.69,76.58,75.39,76.31
"ADI","2-8-17",77,77.75,76.78,77.48
"ADI","2-9-17",77.77,77.77,76.48,76.51
"ADI","2-10-17",76.78,76.78,75.54,76.53
"ADI","2-13-17",77.01,78.03,76.81,77.92
"ADI","2-14-17",77.84,77.97,77.07,77.84
"ADI","2-15-17",80.8,81.63,77.96,81.6
"ADI","2-16-17",81,82.57,80.75,81.97
"ADI","2-17-17",81.8,82.5,81.48,82.48
"ADI","2-21-17",82.5,82.87,81.99,82.82
"ADI","2-22-17",82.31,82.39,81.52,82.06
"ADI","2-23-17",82.15,82.16,81.03,81.61
"ADI","2-24-17",80.97,81.7,80.823,81.68
"ADI","2-27-17",81.65,82.43,81.24,82.28
"ADI","2-28-17",82.18,82.24,81.58,81.93
"ADI","3-1-17",82.45,83.79,82.15,83.76
"ADI","3-2-17",83.39,84.08,83.04,83.65
"ADI","3-3-17",83.62,83.65,83.04,83.18
"ADI","3-6-17",83,84.24,82.35,83.85
"ADI","3-7-17",83.7,84.167,83.21,83.41
"ADI","3-8-17",83.77,83.85,83.18,83.48
"ADI","3-9-17",83.38,83.66,82.8,83.17
"ADI","3-10-17",83.87,83.87,82.03,82.2
"ADI","3-13-17",82.15,82.99,82.0501,82.76
"ADI","3-14-17",82.52,83.73,82.4,83.68
"ADI","3-15-17",83.45,83.67,82.555,83.51
"ADI","3-16-17",83.29,83.5,82.41,82.72
"ADI","3-17-17",83.31,83.335,82.73,83.26
"ADI","3-20-17",83.26,83.7,82.88,82.9
"ADI","3-21-17",83.25,83.46,81.69,81.8
"ADI","3-22-17",81.84,82.26,81.65,82.12
"ADI","3-23-17",82.24,82.33,81.31,81.54
"ADI","3-24-17",81.86,82.9471,81.4,81.64
"ADI","3-27-17",81,81.54,80.39,81.4
"ADI","3-28-17",81.31,82.51,81.07,82.2
"ADI","3-29-17",81.89,82.22,81.47,81.91
"ADI","3-30-17",81.87,82.61,81.63,82.2
"ADI","3-31-17",82.05,82.48,81.77,81.95
"ADI","4-3-17",82.02,82.27,80.86,81.24
"ADI","4-4-17",80.81,81.39,80.5,81.24
"ADI","4-5-17",81.59,81.65,80,80.04
"ADI","4-6-17",80.11,80.66,79.59,80.32
"ADI","4-7-17",80.3,80.59,79.65,80.01
"ADI","4-10-17",80,80.12,79.19,79.33
"ADI","4-11-17",78.94,78.95,76.94,78.08
"ADI","4-12-17",78.27,78.45,76.63,76.87
"ADI","4-13-17",76.87,77.85,76.47,76.51
"ADI","4-17-17",76.78,77.2,76.15,76.39
"ADI","4-18-17",75.83,77.53,75.82,77.41
"ADI","4-19-17",77.69,78.2,76.93,76.99
"ADI","4-20-17",77.52,78.89,77.2,78.66
"ADI","4-21-17",77.2,78.18,76.41,77.63
"ADI","4-24-17",79.47,80.07,78.99,79.22
"ADI","4-25-17",79.4,79.73,78.95,79.35
"ADI","4-26-17",79.41,79.46,77.58,77.98
"ADI","4-27-17",78.65,78.88,77.56,77.85
"ADI","4-28-17",77.86,77.98,75.96,76.2
"ADI","5-1-17",75.05,76.415,74.65,76.22
"ADI","5-2-17",76.48,76.49,75.3,75.51
"ADI","5-3-17",75.31,75.86,75.16,75.6
"ADI","5-4-17",75.74,76.17,75.21,75.66
"ADI","5-5-17",75.78,75.87,75.27,75.79
"ADI","5-8-17",75.66,76.59,75.36,76.38
"ADI","5-9-17",76.83,79.19,76.77,78.5
"ADI","5-10-17",79.51,80.01,78.62,79.03
"ADI","5-11-17",78.73,79.25,77.81,78.44
"ADI","5-12-17",78.62,79.04,78.455,78.63
"ADI","5-15-17",79.17,80.37,78.81,80.21
"ADI","5-16-17",80.45,81.31,80.08,81.05
"ADI","5-17-17",80.02,80.27,78.37,78.42
"ADI","5-18-17",79.52,81.32,79.03,80.48
"ADI","5-19-17",80.65,82.27,80.65,81.24
"ADI","5-22-17",81.57,82.36,81.425,82.09
"ADI","5-23-17",82.09,82.32,80.9,81.96
"ADI","5-24-17",82.46,82.58,81.67,82.12
"ADI","5-25-17",82.32,82.95,81.74,82.34
"ADI","5-26-17",82.5,82.89,81.94,82.81
"ADI","5-30-17",83,85.17,83,84.8
"ADI","5-31-17",88.99,90.49,85.76,85.76
"ADI","6-1-17",86.28,86.32,81.9,82.21
"ADI","6-2-17",81.61,82.14,79.92,80.91
"ADI","6-5-17",81.01,81.3,78.26,78.75
"ADI","6-6-17",78.61,80.445,78.61,80.1
"ADI","6-7-17",80.15,81.1,80.13,80.83
"ADI","6-8-17",81.3,82.51,80.34,82.44
"ADI","6-9-17",82.93,82.98,77.575,78.6
"ADI","6-12-17",78.01,80.47,77.93,79.74
"ADI","6-13-17",80.15,81.73,80.15,81.23
"ADI","6-14-17",81.69,81.86,79.98,80.94
"ADI","6-15-17",79.78,80.75,79.54,79.75
"ADI","6-16-17",80.18,80.23,78.97,80.04
"ADI","6-19-17",81,81.25,79.84,80.37
"ADI","6-20-17",80.28,81.65,79.18,79.2
"ADI","6-21-17",79.5,80.205,79,79.98
"ADI","6-22-17",80.8,81.67,80,81.32
"ADI","6-23-17",81.16,82.139,80.9,81.55
"ADI","6-26-17",81.95,82.1,79.91,80.57
"ADI","6-27-17",80.14,80.55,77.82,78.14
"ADI","6-28-17",78.55,79.39,77.86,79.2
"ADI","6-29-17",78.94,79.12,76.18,77.74
"ADI","6-30-17",78.3,78.33,77.22,77.8
"ADI","7-3-17",78.27,78.55,76.07,76.11
"ADI","7-5-17",76.49,78.11,76.38,77.74
"ADI","7-6-17",76.91,77.73,76.51,77.33
"ADI","7-7-17",77.64,78.85,77.5,78.47
"ADI","7-10-17",78.51,78.86,77.76,78.73
"ADI","7-11-17",78.95,80.36,78.27,79.86
"ADI","7-12-17",80.4,81.17,80.03,80.37
"ADI","7-13-17",80.32,80.75,79.8643,80.27
"ADI","7-14-17",80.72,81.69,80.5101,81.55
"ADI","7-17-17",81.61,81.85,80.94,81.09
