"Ticker","Date","Open","High","Low","Close"
"ADP","9-19-16",87.09,87.4,86.45,86.56
"ADP","9-20-16",87.12,88.09,86.93,87.79
"ADP","9-21-16",87.82,88.97,87.7092,88.88
"ADP","9-22-16",89.53,89.81,89.17,89.46
"ADP","9-23-16",88.65,89.24,88.4472,88.47
"ADP","9-26-16",87.91,88.45,87.86,88.19
"ADP","9-27-16",88.28,89.07,88.1,88.95
"ADP","9-28-16",89.09,89.09,87.11,87.45
"ADP","9-29-16",87.41,88.17,87.1972,87.21
"ADP","9-30-16",87.39,88.49,87.17,88.2
"ADP","10-3-16",88.16,88.16,87.55,87.63
"ADP","10-4-16",87.82,87.99,86.9499,87.17
"ADP","10-5-16",87.64,87.78,87.08,87.58
"ADP","10-6-16",87.25,87.7,86.78,87.56
"ADP","10-7-16",87.79,87.79,86.86,87.37
"ADP","10-10-16",87.74,88.23,87.63,87.77
"ADP","10-11-16",87.67,87.67,85.72,86.09
"ADP","10-12-16",86.28,87.1332,86.07,86.87
"ADP","10-13-16",86.43,87.19,85.95,86.89
"ADP","10-14-16",87.32,88.05,86.91,87.56
"ADP","10-17-16",87.58,87.7,86.98,87.24
"ADP","10-18-16",88.12,88.37,87.32,87.38
"ADP","10-19-16",87.58,87.73,87.34,87.43
"ADP","10-20-16",87.2,87.555,86.49,86.84
"ADP","10-21-16",86.49,86.82,85.48,86.72
"ADP","10-24-16",87.34,87.81,87.19,87.67
"ADP","10-25-16",87.55,87.75,87.2,87.5
"ADP","10-26-16",87.26,87.74,87.02,87.19
"ADP","10-27-16",87.36,87.43,86.6265,86.66
"ADP","10-28-16",86.74,87.65,86.6,87.16
"ADP","10-31-16",87.57,87.71,86.98,87.06
"ADP","11-1-16",87.3,87.5,86.53,86.92
"ADP","11-2-16",88.1,90.89,88.1,89.98
"ADP","11-3-16",89.97,90,88.91,89.33
"ADP","11-4-16",88.03,89.75,88.03,89.08
"ADP","11-7-16",90.35,90.8648,89.94,90.6
"ADP","11-8-16",90.75,91.6,90.5501,91.15
"ADP","11-9-16",87.89,91.2,87.58,90.9
"ADP","11-10-16",91.44,91.89,90.13,91.39
"ADP","11-11-16",90.94,91.945,90.45,91.08
"ADP","11-14-16",91.4,92.36,90.9,91.89
"ADP","11-15-16",92.13,92.62,91.88,92.34
"ADP","11-16-16",92.34,93.35,91.6025,93.27
"ADP","11-17-16",93.15,94.43,93.09,94.38
"ADP","11-18-16",94.31,94.6,93.95,94.39
"ADP","11-21-16",94.47,95.62,94.38,95.59
"ADP","11-22-16",95.65,96.59,95.34,96.39
"ADP","11-23-16",96.59,97.43,96.47,96.65
"ADP","11-25-16",96.68,97.15,96.5,96.92
"ADP","11-28-16",96.63,96.94,96,96.57
"ADP","11-29-16",96.71,97.37,96.43,97.04
"ADP","11-30-16",97.14,97.54,96.01,96.02
"ADP","12-1-16",95.99,96.195,95.2,95.77
"ADP","12-2-16",95.46,96.1,94.99,95.24
"ADP","12-5-16",95.86,96.2224,95.45,96.05
"ADP","12-6-16",96.15,96.45,95.15,96
"ADP","12-7-16",95.33,97.72,95.33,97.57
"ADP","12-8-16",97.53,98.359,97.36,98.19
"ADP","12-9-16",98.07,98.3047,97.57,98.22
"ADP","12-12-16",98.13,98.55,97.842,98.06
"ADP","12-13-16",98.64,99.25,98.04,98.4
"ADP","12-14-16",98.4,98.85,97.52,97.69
"ADP","12-15-16",97.82,99.13,97.51,98.76
"ADP","12-16-16",100.32,101.58,99.34,100.85
"ADP","12-19-16",100.72,101.6,100.58,101.09
"ADP","12-20-16",101.74,102.66,101.4,102.33
"ADP","12-21-16",102.26,102.82,101.69,102.47
"ADP","12-22-16",102.64,102.808,101.89,102.6
"ADP","12-23-16",102.52,102.96,102.51,102.93
"ADP","12-27-16",102.86,103.78,102.78,103.31
"ADP","12-28-16",103.53,103.88,103.02,103.05
"ADP","12-29-16",103.27,103.85,103,103.45
"ADP","12-30-16",103.38,103.44,102,102.78
"ADP","1-3-17",102.38,103.58,102.31,103.5
"ADP","1-4-17",103.41,103.98,103.25,103.66
"ADP","1-5-17",103.46,103.89,102.4,103.04
"ADP","1-6-17",103.23,103.27,102.27,103.11
"ADP","1-9-17",102.95,103.24,102.47,102.47
"ADP","1-10-17",102.25,103.04,102.04,102.2
"ADP","1-11-17",102.27,103.58,102.27,103.2
"ADP","1-12-17",102.98,103.92,102.24,103.8
"ADP","1-13-17",103.77,104.09,103.17,103.77
"ADP","1-17-17",103.32,103.536,102.89,103.07
"ADP","1-18-17",103.49,103.49,102.73,102.91
"ADP","1-19-17",102.79,103.265,102.7,102.97
"ADP","1-20-17",103,103.74,102.8,103.24
