"Ticker","Date","Open","High","Low","Close"
"ADSK","9-19-16",67.95,69.2,67.65,68.13
"ADSK","9-20-16",68.67,69.57,68.32,68.79
"ADSK","9-21-16",68.91,71.78,68.91,71.69
"ADSK","9-22-16",72.26,72.62,71.76,72.35
"ADSK","9-23-16",72.19,72.42,71.53,71.67
"ADSK","9-26-16",71.27,71.64,70.58,71.08
"ADSK","9-27-16",70.97,71.93,70.83,71.9
"ADSK","9-28-16",72.2,72.69,71.55,72.65
"ADSK","9-29-16",72.59,72.8,71.41,71.59
"ADSK","9-30-16",72.03,72.59,71.41,72.33
"ADSK","10-3-16",71.15,72.26,70.85,71.18
"ADSK","10-4-16",71.32,72.53,71,71.42
"ADSK","10-5-16",71.57,73.24,71.57,73.21
"ADSK","10-6-16",73.18,73.4,71.76,72.83
"ADSK","10-7-16",72.8,72.8,71.472,72.01
"ADSK","10-10-16",72,73.07,72,72.21
"ADSK","10-11-16",72.31,72.77,69.86,70.17
"ADSK","10-12-16",70.43,70.6,69.76,70.33
"ADSK","10-13-16",69.66,69.704,68.4,69.29
"ADSK","10-14-16",71.23,71.23,69.29,69.46
"ADSK","10-17-16",69.33,69.859,68.77,68.85
"ADSK","10-18-16",69.92,70.32,69.551,70.13
"ADSK","10-19-16",70.13,70.94,69.86,70.78
"ADSK","10-20-16",70.75,71.4,70.07,71.13
"ADSK","10-21-16",70.85,71.3425,70,71.18
"ADSK","10-24-16",71.73,72.75,71.2,72.22
"ADSK","10-25-16",72.07,72.41,70.92,71.36
"ADSK","10-26-16",71.23,72,70.6,70.66
"ADSK","10-27-16",71.22,72.12,70.46,70.58
"ADSK","10-28-16",70.71,72.44,70.59,71.86
"ADSK","10-31-16",72.29,72.66,71.48,72.28
"ADSK","11-1-16",72.4,72.4,69.38,70.1
"ADSK","11-2-16",70.18,70.4,67.87,68.68
"ADSK","11-3-16",68.91,69.21,67.52,67.61
"ADSK","11-4-16",67.15,70.236,67.15,69.44
"ADSK","11-7-16",70.81,72.12,70.32,72
"ADSK","11-8-16",71.77,72.99,71.36,72.69
"ADSK","11-9-16",69.54,73.93,69.51,72.63
"ADSK","11-10-16",73.5,75.18,71.68,73.49
"ADSK","11-11-16",73.2,74.04,72.88,73.81
"ADSK","11-14-16",74.37,75.18,73.44,73.55
"ADSK","11-15-16",73.86,75.75,73.7501,75.15
"ADSK","11-16-16",74.92,78.42,74.7899,77.57
"ADSK","11-17-16",77.54,78.58,77.08,78.46
"ADSK","11-18-16",78.21,78.4,76.48,76.9
"ADSK","11-21-16",77.4,77.65,75.435,75.52
"ADSK","11-22-16",75.49,75.78,74.68,75.21
"ADSK","11-23-16",75.04,75.45,74.005,75.15
"ADSK","11-25-16",75.51,76.18,75.05,75.83
"ADSK","11-28-16",75.52,76.31,74.93,75.18
"ADSK","11-29-16",75.31,75.98,75.03,75.26
"ADSK","11-30-16",72.71,74.72,70.55,72.61
"ADSK","12-1-16",72.77,73.24,69,69.22
"ADSK","12-2-16",69.02,70.87,68.06,70.57
"ADSK","12-5-16",70.44,72.41,70.15,71.18
"ADSK","12-6-16",71.27,77.87,70.73,76.32
"ADSK","12-7-16",76.26,80.915,75.42,80.34
"ADSK","12-8-16",80.58,82.77,80,81.74
"ADSK","12-9-16",82.29,83.08,80.66,81.11
"ADSK","12-12-16",81.07,81.76,77.58,78.37
"ADSK","12-13-16",78.99,80.34,78.8,79.67
"ADSK","12-14-16",79.69,79.92,76.15,76.83
"ADSK","12-15-16",76.86,79.43,75.97,78.92
"ADSK","12-16-16",79.03,79.23,76.34,76.48
"ADSK","12-19-16",76.76,77.08,75.42,75.7
"ADSK","12-20-16",76.16,76.535,74.88,76.01
"ADSK","12-21-16",76.05,76.28,75.27,75.63
"ADSK","12-22-16",75.33,75.63,74.34,74.58
"ADSK","12-23-16",74.6,76.05,74.45,76
"ADSK","12-27-16",76.06,76.5,75.4,75.98
"ADSK","12-28-16",75.93,76.02,74.51,75.02
"ADSK","12-29-16",74.87,75.44,74.5,74.98
"ADSK","12-30-16",75.4,75.42,73.6,74.01
"ADSK","1-3-17",74.61,77.1,74.5,76.18
"ADSK","1-4-17",76.19,77.96,76.09,77.52
"ADSK","1-5-17",77.08,77.63,76.33,76.93
"ADSK","1-6-17",77.28,79.81,76.89,79.3
"ADSK","1-9-17",78.95,79.74,78.26,79.59
"ADSK","1-10-17",79.29,80.37,78.56,79.98
"ADSK","1-11-17",79.97,81.03,79.17,80.87
"ADSK","1-12-17",80.72,80.8559,79.24,80.65
"ADSK","1-13-17",80.72,81.41,80.44,81.32
"ADSK","1-17-17",80.97,81.23,78.29,78.62
"ADSK","1-18-17",79.1,80.06,78.69,79.71
"ADSK","1-19-17",80.26,80.78,79.65,79.98
"ADSK","1-20-17",80.7,81.89,80.24,81.67
"ADSK","1-23-17",81.39,81.91,80.91,81.54
"ADSK","1-24-17",81.6,82.63,81.53,82
"ADSK","1-25-17",82.87,83.96,82.43,82.65
