"Ticker","Date","Open","High","Low","Close"
"AEP","9-19-16",65,65.49,64.81,65.42
"AEP","9-20-16",65.23,65.6899,65.01,65.01
"AEP","9-21-16",64.95,66.27,64.91,66.19
"AEP","9-22-16",66.51,66.79,66.2,66.6
"AEP","9-23-16",66.48,66.87,66.09,66.66
"AEP","9-26-16",66.66,66.74,66.15,66.36
"AEP","9-27-16",66.66,66.96,65.37,65.5
"AEP","9-28-16",65.65,65.775,64.78,65.36
"AEP","9-29-16",65.42,65.42,64.1,64.5
"AEP","9-30-16",64.8,65.07,63.75,64.21
"AEP","10-3-16",64.04,64.06,63.05,63.51
"AEP","10-4-16",63.47,63.47,61.8201,62.18
"AEP","10-5-16",62.19,63.03,61.98,62.18
"AEP","10-6-16",62.07,62.51,61.72,62.25
"AEP","10-7-16",62.7,63.15,61.75,61.79
"AEP","10-10-16",61.97,62.31,61.725,62.21
"AEP","10-11-16",61.98,62.28,61.28,61.34
"AEP","10-12-16",61.43,62.19,61.43,62
"AEP","10-13-16",61.86,63.0135,61.8,62.53
"AEP","10-14-16",62.25,62.835,61.97,62.3
"AEP","10-17-16",62.5,63.14,62.43,62.97
"AEP","10-18-16",63.27,63.48,62.455,63.37
"AEP","10-19-16",63.38,63.44,62.86,63.19
"AEP","10-20-16",63.22,63.4101,62.77,62.91
"AEP","10-21-16",62.59,62.8,62.2,62.48
"AEP","10-24-16",62.76,63.13,62.48,63.03
"AEP","10-25-16",62.82,63.71,62.77,63.46
"AEP","10-26-16",63.35,63.87,62.94,63.53
"AEP","10-27-16",63.31,63.47,62.76,63.19
"AEP","10-28-16",63.23,63.85,63.16,63.41
"AEP","10-31-16",63.59,65.25,63.57,64.84
"AEP","11-1-16",64.55,64.9,63.11,63.38
"AEP","11-2-16",62.74,62.89,61.92,62.61
"AEP","11-3-16",62.47,63.37,62.18,62.92
"AEP","11-4-16",63.25,63.74,62.36,62.4
"AEP","11-7-16",62.63,63.275,61.62,63.24
"AEP","11-8-16",62.89,63.68,62.865,63.23
"AEP","11-9-16",62.01,62.01,61.02,61.25
"AEP","11-10-16",61,61,58.57,59.74
"AEP","11-11-16",59.76,60.875,59.551,59.99
"AEP","11-14-16",59.59,59.68,58.16,58.72
"AEP","11-15-16",58.97,59.74,58.95,59.46
"AEP","11-16-16",59.46,59.68,58.53,58.99
"AEP","11-17-16",58.8,59.32,58.8,58.86
"AEP","11-18-16",58.84,59.23,58.31,58.44
"AEP","11-21-16",58.62,59.3784,58.61,59.32
"AEP","11-22-16",59.32,59.39,58.88,59.17
"AEP","11-23-16",58.64,59.25,58.6,58.82
"AEP","11-25-16",59.07,59.95,59.05,59.72
"AEP","11-28-16",60,61.14,59.95,60.9
"AEP","11-29-16",60.63,61.4532,60.59,61.27
"AEP","11-30-16",60.5,60.5,59.05,59.05
"AEP","12-1-16",58.82,58.8899,57.89,58.16
"AEP","12-2-16",58.63,59.17,58.33,58.7
"AEP","12-5-16",58.43,59.22,57.897,59.2
"AEP","12-6-16",59.39,59.64,59.01,59.47
"AEP","12-7-16",59.73,60.34,59.46,60.25
"AEP","12-8-16",59.81,60.36,59.35,60.18
"AEP","12-9-16",60.3,60.99,60.25,60.99
"AEP","12-12-16",60.98,62.09,60.8775,61.95
"AEP","12-13-16",62.01,62.78,61.95,62.71
"AEP","12-14-16",63.02,63.41,61.57,61.7
"AEP","12-15-16",61.32,62.14,61.03,62.11
"AEP","12-16-16",62.26,62.84,62,62.81
"AEP","12-19-16",63.11,63.2,62.475,62.94
"AEP","12-20-16",62.96,63.355,62.73,63.21
"AEP","12-21-16",63.1,63.4,62.79,62.8
"AEP","12-22-16",62.8,63.38,62.7,63.24
"AEP","12-23-16",63.53,63.53,62.851,63.17
"AEP","12-27-16",62.97,63.27,62.795,63.13
"AEP","12-28-16",63.09,63.12,62.3,62.39
"AEP","12-29-16",62.66,63.38,62.5,63.28
"AEP","12-30-16",63.32,63.42,62.715,62.96
"AEP","1-3-17",63.01,63.03,62.3471,62.76
"AEP","1-4-17",62.91,63.41,62.67,62.85
"AEP","1-5-17",63.03,63.43,62.39,63.19
"AEP","1-6-17",62.9,63.31,62.72,63.14
"AEP","1-9-17",62.96,63.33,62.2,62.31
"AEP","1-10-17",62.58,62.7,61.82,62.12
"AEP","1-11-17",62.21,63.19,62.12,63.18
"AEP","1-12-17",62.96,63.4,62.8,63.29
"AEP","1-13-17",63.09,63.3,62.75,63.23
"AEP","1-17-17",63.45,64.03,63.3,63.81
"AEP","1-18-17",63.53,63.9183,63.39,63.46
"AEP","1-19-17",63.19,63.41,62.54,62.7
"AEP","1-20-17",62.9,63.15,62.49,62.91
"AEP","1-23-17",62.91,63.14,62.64,62.71
"AEP","1-24-17",62.64,62.9,62.51,62.78
"AEP","1-25-17",62.68,62.83,62.41,62.53
"AEP","1-26-17",62.5,62.82,62.14,62.64
"AEP","1-27-17",62.78,63.04,62.48,62.97
"AEP","1-30-17",63.11,63.4,62.775,63.21
"AEP","1-31-17",63.15,64.105,62.95,64.06
"AEP","2-1-17",63.58,63.81,63.02,63.09
"AEP","2-2-17",63.11,63.81,62.97,63.78
"AEP","2-3-17",63.78,64.34,63.64,64.03
"AEP","2-6-17",64.25,64.41,63.72,63.82
"AEP","2-7-17",63.82,64.01,63.56,63.93
"AEP","2-8-17",63.32,64.02,63.32,63.8
"AEP","2-9-17",63.68,64.02,63.36,63.42
"AEP","2-10-17",63.35,64.075,63.31,63.95
"AEP","2-13-17",63.97,64.1,63.455,63.79
"AEP","2-14-17",63.64,63.74,62.96,63.27
"AEP","2-15-17",62.93,63.33,62.69,63.29
"AEP","2-16-17",63.39,63.721,63.3057,63.7
"AEP","2-17-17",63.8,64.13,63.5312,64.11
"AEP","2-21-17",63.98,64.87,63.75,64.76
"AEP","2-22-17",64.67,65.405,64.52,65.31
"AEP","2-23-17",65.55,66.09,65.31,66.01
"AEP","2-24-17",66.19,67.22,66.15,67.15
"AEP","2-27-17",67.06,67.12,66.51,66.7
"AEP","2-28-17",66.7,67.15,66.48,66.97
"AEP","3-1-17",66.2,66.74,65.89,66.12
"AEP","3-2-17",65.9,66.96,65.86,66.5
"AEP","3-3-17",66.57,66.62,65.957,66.52
"AEP","3-6-17",66.37,66.5973,66.06,66.35
"AEP","3-7-17",66.25,66.52,66.13,66.24
"AEP","3-8-17",65.77,65.9,65.02,65.15
"AEP","3-9-17",65.21,65.65,64.81,64.84
"AEP","3-10-17",65.3,65.59,64.945,65.4
"AEP","3-13-17",65.41,65.8499,65.33,65.81
"AEP","3-14-17",65.77,65.93,65.52,65.79
"AEP","3-15-17",65.86,67,65.82,66.68
"AEP","3-16-17",66.47,66.5,65.86,66.01
"AEP","3-17-17",66.16,66.86,66.08,66.47
"AEP","3-20-17",66.62,66.86,65.99,66.13
"AEP","3-21-17",66.1,67.22,66.09,66.98
"AEP","3-22-17",67.34,67.8,67.1208,67.44
"AEP","3-23-17",67.35,68.03,67.23,67.45
"AEP","3-24-17",67.39,68.02,67.27,67.79
"AEP","3-27-17",67.94,68.25,67.34,67.69
"AEP","3-28-17",67.48,67.9,67.42,67.84
"AEP","3-29-17",67.59,67.72,67.28,67.39
"AEP","3-30-17",67.16,67.39,66.85,67.16
"AEP","3-31-17",67.08,67.51,67.07,67.13
"AEP","4-3-17",67.02,67.18,66.5,67.15
"AEP","4-4-17",67.16,67.52,66.96,67.29
"AEP","4-5-17",67.28,67.9,67.1,67.83
"AEP","4-6-17",67.62,67.77,67.36,67.62
"AEP","4-7-17",67.8,67.99,67.295,67.32
"AEP","4-10-17",67.47,67.63,67.03,67.5
"AEP","4-11-17",67.39,67.54,66.9937,67.39
"AEP","4-12-17",67.15,67.85,67.02,67.79
"AEP","4-13-17",67.8,67.9,67.29,67.54
"AEP","4-17-17",67.67,67.875,67.56,67.74
"AEP","4-18-17",67.77,68.12,67.65,67.98
"AEP","4-19-17",67.99,68.13,67.51,67.74
"AEP","4-20-17",67.54,67.65,66.965,67.44
"AEP","4-21-17",67.28,68.03,67.28,67.86
"AEP","4-24-17",67.82,68.09,67.3601,67.97
"AEP","4-25-17",67.74,68.03,67.545,67.86
"AEP","4-26-17",67.79,68.12,67.62,67.69
"AEP","4-27-17",67.44,68.46,67.21,68.1
"AEP","4-28-17",68.1,68.24,67.74,67.83
"AEP","5-1-17",68.03,68.03,67.34,67.47
"AEP","5-2-17",67.67,68.16,67.55,68.01
"AEP","5-3-17",68,68.25,67.77,67.9
"AEP","5-4-17",67.71,68.12,67.67,68.02
"AEP","5-5-17",68.22,68.66,67.89,68.41
"AEP","5-8-17",67.99,68.18,67.52,67.73
"AEP","5-9-17",67.63,67.77,67.2371,67.31
"AEP","5-10-17",67.35,67.62,67.125,67.41
"AEP","5-11-17",67.23,67.56,66.93,67.55
"AEP","5-12-17",67.59,68.3,67.55,68.06
"AEP","5-15-17",68.08,68.72,67.87,68.56
"AEP","5-16-17",68.43,68.6325,67.85,67.86
"AEP","5-17-17",68.01,68.5,67.92,68.15
"AEP","5-18-17",68.35,68.89,67.81,68.31
"AEP","5-19-17",68.3,68.74,67.88,68.72
"AEP","5-22-17",68.68,69.58,68.5984,69.42
"AEP","5-23-17",69.43,70.07,69.37,69.59
"AEP","5-24-17",69.74,70.235,69.66,70.2
"AEP","5-25-17",70.17,70.93,70.08,70.8
"AEP","5-26-17",70.8,71.01,70.71,70.87
"AEP","5-30-17",70.77,71.26,70.7,71.21
