"Ticker","Date","Open","High","Low","Close"
"ALGN","9-19-16",93.89,95.44,93.5,94.13
"ALGN","9-20-16",94.79,94.98,93.67,93.7
"ALGN","9-21-16",93.76,95.7,93.47,95.34
"ALGN","9-22-16",95.98,96.23,95.46,95.67
"ALGN","9-23-16",95.3,95.55,93.7266,94.13
"ALGN","9-26-16",94.07,94.13,92.86,93.09
"ALGN","9-27-16",93.49,94.6499,93.07,94.44
"ALGN","9-28-16",94.54,94.7,93.59,94.6
"ALGN","9-29-16",94.51,94.51,91.64,92.41
"ALGN","9-30-16",92.5,94.52,92.33,93.75
"ALGN","10-3-16",92.04,92.3015,88.2,90.21
"ALGN","10-4-16",90.58,91.68,88.75,89.46
"ALGN","10-5-16",89.51,90.34,89.18,89.48
"ALGN","10-6-16",89.09,90.145,88.92,89.44
"ALGN","10-7-16",89.77,90,88.5,89.68
"ALGN","10-10-16",89.71,92.18,89.71,91.08
"ALGN","10-11-16",91.32,92.04,88.8,89.61
"ALGN","10-12-16",90.02,90.5629,89.11,90.26
"ALGN","10-13-16",89.96,91.44,89.47,90.95
"ALGN","10-14-16",91.05,91.82,90.57,90.88
"ALGN","10-17-16",90.72,91.2699,89.35,89.79
"ALGN","10-18-16",90.9,91.18,90.29,90.41
"ALGN","10-19-16",91.11,91.52,90.245,91.01
"ALGN","10-20-16",91,91.61,90.67,91.53
"ALGN","10-21-16",90.5,90.62,88.86,89.5
"ALGN","10-24-16",90,91.05,89.04,89.26
"ALGN","10-25-16",89.99,89.99,87.12,87.5
"ALGN","10-26-16",87,87,84.18,84.52
"ALGN","10-27-16",84.9,84.9,83.2701,84.14
"ALGN","10-28-16",83.8,86.63,83.3,85.17
"ALGN","10-31-16",85.31,86.345,83.63,85.92
"ALGN","11-1-16",85.86,86.73,83.77,84.56
"ALGN","11-2-16",84.48,86.725,84.21,85.21
"ALGN","11-3-16",85.71,87.01,85.42,86.08
"ALGN","11-4-16",86.09,86.535,85.56,85.73
"ALGN","11-7-16",87.14,88.69,86.38,87.86
"ALGN","11-8-16",89.89,91.96,86.72,88.79
"ALGN","11-9-16",87.77,91.38,87.19,90.88
"ALGN","11-10-16",91.77,92.62,88.74,90.6
"ALGN","11-11-16",90.51,92.15,89.82,91.54
"ALGN","11-14-16",92.06,92.87,89.99,90.22
"ALGN","11-15-16",90.52,94.56,90.52,93.95
"ALGN","11-16-16",93.42,95.34,93.21,94.04
"ALGN","11-17-16",93.75,97.28,93.72,97.24
"ALGN","11-18-16",97.73,98.62,94.8,94.84
"ALGN","11-21-16",94.75,97.102,94.25,96.18
"ALGN","11-22-16",95,95.11,93.19,94.46
"ALGN","11-23-16",94.05,96.08,94.05,95.55
"ALGN","11-25-16",96.44,96.88,95.73,96.19
"ALGN","11-28-16",96.33,98.11,95.01,95.34
"ALGN","11-29-16",95.95,96.225,94.94,95.51
"ALGN","11-30-16",95,95.45,92.31,93.05
"ALGN","12-1-16",93.12,93.68,91.46,92.54
"ALGN","12-2-16",92.3,94.16,92.25,92.46
"ALGN","12-5-16",93.26,94.71,93.2101,94.01
"ALGN","12-6-16",94.65,96.37,92.74,96.24
"ALGN","12-7-16",98.17,98.22,95.25,98.14
"ALGN","12-8-16",97.89,99.58,97.47,99.3
"ALGN","12-9-16",99.84,100.67,98.4298,98.62
"ALGN","12-12-16",97.99,99.48,97.62,98.53
"ALGN","12-13-16",99.69,100.495,97.94,99.15
"ALGN","12-14-16",99.05,99.93,98.0501,98.6
"ALGN","12-15-16",98.93,100.5899,98.25,100.27
"ALGN","12-16-16",100.18,101.79,100.02,101.14
"ALGN","12-19-16",101.56,102.1,100.09,100.25
"ALGN","12-20-16",100.13,100.895,99.05,99.39
"ALGN","12-21-16",99.76,99.76,98.351,98.71
"ALGN","12-22-16",98.93,99.16,97.99,98.21
"ALGN","12-23-16",98.39,98.69,97.91,98.5
"ALGN","12-27-16",98.71,99.45,98.59,98.66
"ALGN","12-28-16",98.6,99.24,96.5,96.8
"ALGN","12-29-16",97.09,97.59,96.55,96.96
"ALGN","12-30-16",97.12,97.35,95.84,96.13
"ALGN","1-3-17",96.49,98.33,95.801,96.96
"ALGN","1-4-17",96.85,98.82,96.8,97.77
"ALGN","1-5-17",97.52,97.77,94.41,94.82
"ALGN","1-6-17",94.82,95.74,93.6,94.08
"ALGN","1-9-17",94.13,95.87,93.51,94.79
"ALGN","1-10-17",94.61,96.79,94.15,96.13
"ALGN","1-11-17",96.07,96.76,95.06,96
"ALGN","1-12-17",95.57,95.85,94.4,95.55
"ALGN","1-13-17",95.65,96.64,95.2791,96.01
"ALGN","1-17-17",95.47,96.17,94.63,95.34
"ALGN","1-18-17",95.79,96.11,93.83,94.42
"ALGN","1-19-17",91.51,91.85,90.21,90.55
"ALGN","1-20-17",90.89,92.025,90.86,91.7
"ALGN","1-23-17",91.58,92.47,91.44,92.04
"ALGN","1-24-17",92.53,92.67,90.78,91.65
"ALGN","1-25-17",91.88,93.6,91.76,93.41
"ALGN","1-26-17",93.46,93.56,91.84,92.23
"ALGN","1-27-17",91.67,92.47,89.9601,90.93
"ALGN","1-30-17",89.64,90.09,88.56,89.98
"ALGN","1-31-17",89.72,91.75,89.32,91.69
"ALGN","2-1-17",97,102,95.43,97.25
"ALGN","2-2-17",97.38,98.54,94.72,95.13
"ALGN","2-3-17",95.43,96.52,94.14,95.82
"ALGN","2-6-17",96,96.24,93.3,93.85
"ALGN","2-7-17",94.31,94.5,93.09,93.65
"ALGN","2-8-17",93.25,94.19,92.61,94.17
"ALGN","2-9-17",94.2,96.49,94.2,95.98
"ALGN","2-10-17",95.96,97.22,95.17,96.97
"ALGN","2-13-17",96.92,98.02,96.4001,97.61
"ALGN","2-14-17",97.67,99.28,97.31,98.39
"ALGN","2-15-17",98.27,100.12,98.1684,99.96
"ALGN","2-16-17",100,100.76,99.62,100.42
"ALGN","2-17-17",100.35,101.83,99.6,101.765
"ALGN","2-21-17",102.28,102.9,101.06,101.86
"ALGN","2-22-17",100.61,101.195,100.025,101.09
"ALGN","2-23-17",101.21,101.65,100.27,101.16
"ALGN","2-24-17",100.57,103.04,100.57,102.89
"ALGN","2-27-17",102.57,103.24,102.11,102.26
"ALGN","2-28-17",102.27,103.83,102.27,102.76
"ALGN","3-1-17",103.77,104.42,102.67,103.83
"ALGN","3-2-17",104.09,104.53,103.16,104.12
"ALGN","3-3-17",104.2,104.25,103.12,104.04
"ALGN","3-6-17",104.1,104.7,102.18,102.74
"ALGN","3-7-17",102.47,103.82,102.02,103.15
"ALGN","3-8-17",103.65,104.59,103.39,103.72
"ALGN","3-9-17",104.09,105.5899,103.2204,105.36
"ALGN","3-10-17",105.84,105.92,104.395,105.32
"ALGN","3-13-17",105.47,108.27,105.47,107.99
"ALGN","3-14-17",107.84,107.84,106.62,107.48
"ALGN","3-15-17",107.59,110.87,107.12,110.31
"ALGN","3-16-17",110.65,111.3955,109.76,110.47
"ALGN","3-17-17",110.89,113,110.56,111.85
"ALGN","3-20-17",112.25,113.31,111.65,113.23
"ALGN","3-21-17",113.77,114.29,110.58,111.06
