"Ticker","Date","Open","High","Low","Close"
"AMAT","9-19-16",30.44,30.78,30.27,30.3
"AMAT","9-20-16",30.6,30.709,30.19,30.39
"AMAT","9-21-16",30.43,30.67,30,30.57
"AMAT","9-22-16",30.76,31.07,30.17,30.29
"AMAT","9-23-16",30.33,30.42,29.61,29.66
"AMAT","9-26-16",29.49,29.62,29.2236,29.35
"AMAT","9-27-16",29.35,29.759,29.26,29.64
"AMAT","9-28-16",29.73,29.98,29.47,29.74
"AMAT","9-29-16",29.66,29.82,29.3,29.58
"AMAT","9-30-16",29.68,30.21,29.66,30.15
"AMAT","10-3-16",30.18,30.4,29.8,29.92
"AMAT","10-4-16",29.9,30.13,29.52,29.61
"AMAT","10-5-16",29.74,30.175,29.59,29.94
"AMAT","10-6-16",30.05,30.0698,29.44,29.89
"AMAT","10-7-16",29.83,29.91,29.475,29.75
"AMAT","10-10-16",29.97,30,29.35,29.38
"AMAT","10-11-16",29.37,29.39,28.305,28.64
"AMAT","10-12-16",28.66,28.8,28.26,28.64
"AMAT","10-13-16",28.25,28.26,27.56,27.86
"AMAT","10-14-16",27.95,28.405,27.82,28.07
"AMAT","10-17-16",28.65,28.65,27.74,27.8
"AMAT","10-18-16",28.24,28.34,27.955,28.02
"AMAT","10-19-16",27.98,28.43,27.95,28.32
"AMAT","10-20-16",28.22,28.45,28.02,28.38
"AMAT","10-21-16",28.26,28.56,28.05,28.43
"AMAT","10-24-16",28.71,29.16,28.65,29.15
"AMAT","10-25-16",29.08,29.3,28.75,28.86
"AMAT","10-26-16",28.71,29.02,28.6181,28.85
"AMAT","10-27-16",29.07,29.3,28.67,28.86
"AMAT","10-28-16",28.96,29.175,28.57,28.66
"AMAT","10-31-16",28.73,29.165,28.71,29.08
"AMAT","11-1-16",29.11,29.23,28.51,28.9
"AMAT","11-2-16",28.74,29.0875,28.47,28.59
"AMAT","11-3-16",28.52,28.59,28.12,28.27
"AMAT","11-4-16",28.05,28.64,28.02,28.22
"AMAT","11-7-16",28.67,29.35,28.63,29.33
"AMAT","11-8-16",29.34,29.67,29.11,29.51
"AMAT","11-9-16",29.33,29.33,28.36,29.13
"AMAT","11-10-16",29.21,29.9,28.1,28.18
"AMAT","11-11-16",28.5,28.84,28.24,28.82
"AMAT","11-14-16",29.4,29.5,28.93,28.99
"AMAT","11-15-16",29.31,29.64,29.1,29.61
"AMAT","11-16-16",30,30.3,29.54,30.02
"AMAT","11-17-16",30.39,30.8463,30,30.73
"AMAT","11-18-16",30.47,31.25,30.3511,30.74
"AMAT","11-21-16",30.88,31.45,30.84,31.35
"AMAT","11-22-16",31.53,31.8,31.35,31.67
"AMAT","11-23-16",31.64,31.95,31.505,31.88
"AMAT","11-25-16",31.71,31.97,31.44,31.88
"AMAT","11-28-16",31.84,32.16,31.62,31.84
"AMAT","11-29-16",31.67,32.35,31.57,32.16
"AMAT","11-30-16",32.16,32.54,32.05,32.2
"AMAT","12-1-16",32.14,32.18,29.85,30.1
"AMAT","12-2-16",30.2,31.45,30.06,31.44
"AMAT","12-5-16",31.7,31.835,31.34,31.53
"AMAT","12-6-16",31.71,31.83,31.21,31.61
"AMAT","12-7-16",31.8,32.65,31.29,32.51
"AMAT","12-8-16",32.78,32.925,32.4501,32.71
"AMAT","12-9-16",32.78,32.828,31.91,32.35
"AMAT","12-12-16",32.18,32.3175,31.6734,32
"AMAT","12-13-16",32.04,32.37,31.95,32.03
"AMAT","12-14-16",31.93,32.36,31.87,32.14
"AMAT","12-15-16",32.34,33.1,31.96,33.06
"AMAT","12-16-16",33.4,33.4,32.42,32.51
"AMAT","12-19-16",32.25,32.76,32.25,32.44
"AMAT","12-20-16",32.75,32.91,32.35,32.61
"AMAT","12-21-16",32.5,32.99,32.5,32.58
"AMAT","12-22-16",32.95,33.62,32.86,33.01
"AMAT","12-23-16",32.92,33,32.66,32.9
"AMAT","12-27-16",33.15,33.46,33.1,33.33
"AMAT","12-28-16",33.55,33.68,32.88,32.9
"AMAT","12-29-16",32.8,32.99,32.48,32.66
"AMAT","12-30-16",32.86,32.91,32.18,32.27
"AMAT","1-3-17",32.36,32.71,31.66,31.94
"AMAT","1-4-17",32.09,32.51,32.06,32.24
"AMAT","1-5-17",32.3,32.4,31.91,32.1
"AMAT","1-6-17",32.04,32.23,31.86,32.04
"AMAT","1-9-17",32.27,33.07,32.21,32.78
"AMAT","1-10-17",32.87,33.2,32.74,33.13
"AMAT","1-11-17",33.21,33.48,32.8,33.47
"AMAT","1-12-17",33.25,33.3399,32.6,33.31
"AMAT","1-13-17",33.32,33.895,33.3,33.79
"AMAT","1-17-17",33.79,33.83,33.09,33.3
"AMAT","1-18-17",33.68,34,33.53,33.69
"AMAT","1-19-17",33.7,34.13,33.67,33.75
"AMAT","1-20-17",33.92,34.18,33.765,33.84
"AMAT","1-23-17",33.76,34.1999,33.56,33.75
"AMAT","1-24-17",33.89,34.21,33.88,34.03
"AMAT","1-25-17",34.3,34.83,34.22,34.42
"AMAT","1-26-17",34.42,34.47,33.85,33.98
"AMAT","1-27-17",34.26,35.15,34.22,35.04
"AMAT","1-30-17",34.79,34.83,33.77,34.34
"AMAT","1-31-17",34.14,34.315,33.93,34.25
"AMAT","2-1-17",34.59,35.05,34.5,35.03
"AMAT","2-2-17",34.97,35.03,34.64,34.94
"AMAT","2-3-17",34.98,35.39,34.98,35.31
"AMAT","2-6-17",35.32,35.39,35.01,35.18
"AMAT","2-7-17",35.38,35.64,35.07,35.54
"AMAT","2-8-17",35.8,35.8,35.1799,35.6
"AMAT","2-9-17",35.75,35.85,35.38,35.41
"AMAT","2-10-17",35.64,35.64,35.09,35.32
"AMAT","2-13-17",35.72,35.8295,35.37,35.46
"AMAT","2-14-17",35.5,35.55,35.12,35.23
"AMAT","2-15-17",35.46,35.735,35.261,35.49
"AMAT","2-16-17",35.62,35.65,34.58,35.18
"AMAT","2-17-17",34.97,35.8,34.72,35.67
"AMAT","2-21-17",35.515,36.82,35.515,36.58
"AMAT","2-22-17",36.45,36.67,36.21,36.51
"AMAT","2-23-17",36.56,36.66,35.9,36.16
"AMAT","2-24-17",35.81,36.32,35.55,36.3
"AMAT","2-27-17",36.47,36.5,36.1,36.43
"AMAT","2-28-17",36.33,36.44,36.1029,36.22
"AMAT","3-1-17",36.52,36.93,36.5,36.85
"AMAT","3-2-17",36.71,36.95,36.33,36.49
"AMAT","3-3-17",36.44,36.88,36.42,36.87
"AMAT","3-6-17",36.68,36.955,36.51,36.86
"AMAT","3-7-17",36.81,37.26,36.75,36.97
"AMAT","3-8-17",37.01,37.23,36.96,37.19
"AMAT","3-9-17",37.03,37.48,37.02,37.38
"AMAT","3-10-17",37.66,38.19,37.65,38.12
"AMAT","3-13-17",38.2,38.59,38.17,38.44
"AMAT","3-14-17",38.35,38.44,37.78,38.27
"AMAT","3-15-17",38.41,38.95,38.3,38.92
"AMAT","3-16-17",39,39.28,38.85,39.05
"AMAT","3-17-17",39.34,39.38,39.085,39.28
"AMAT","3-20-17",39.33,39.765,39.2101,39.57
"AMAT","3-21-17",39.7,39.81,38.3,38.58
"AMAT","3-22-17",38.48,38.83,38.34,38.82
"AMAT","3-23-17",38.84,39.1092,38.61,38.85
"AMAT","3-24-17",39.38,39.68,38.74,38.97
"AMAT","3-27-17",38.45,39,38.295,38.86
"AMAT","3-28-17",38.74,39.195,38.7099,38.82
"AMAT","3-29-17",38.82,38.9469,38.66,38.87
"AMAT","3-30-17",38.91,39.13,38.8,38.89
"AMAT","3-31-17",38.8,39.04,38.53,38.9
"AMAT","4-3-17",38.99,39.06,38.52,38.89
"AMAT","4-4-17",38.71,39.02,38.655,39
"AMAT","4-5-17",39.16,39.35,38.38,38.38
"AMAT","4-6-17",38.35,38.65,37.85,38.58
"AMAT","4-7-17",38.45,39.03,38.45,38.93
"AMAT","4-10-17",38.82,39.2,38.745,38.86
"AMAT","4-11-17",38.69,38.69,37.6,38.2
"AMAT","4-12-17",38.35,38.37,37.63,37.77
"AMAT","4-13-17",37.67,38.25,37.4101,37.52
"AMAT","4-17-17",37.64,38.03,37.57,38.02
"AMAT","4-18-17",37.79,38.11,37.6,38.05
"AMAT","4-19-17",39.2,39.655,39.15,39.25
"AMAT","4-20-17",39.54,39.97,39.15,39.89
"AMAT","4-21-17",39.9,40.085,39.47,39.79
"AMAT","4-24-17",40.37,40.61,40.09,40.44
"AMAT","4-25-17",40.62,40.87,40.28,40.79
"AMAT","4-26-17",40.78,40.92,40.425,40.71
"AMAT","4-27-17",40.96,41.82,40.94,41.33
"AMAT","4-28-17",41.1,41.33,40.58,40.61
