"Ticker","Date","Open","High","Low","Close"
"AMD","9-19-16",6.12,6.275,6.08,6.16
"AMD","9-20-16",6.23,6.28,6.12,6.17
"AMD","9-21-16",6.2,6.32,6.14,6.29
"AMD","9-22-16",6.35,6.44,6.33,6.37
"AMD","9-23-16",6.31,6.65,6.31,6.55
"AMD","9-26-16",6.54,6.54,6.31,6.32
"AMD","9-27-16",6.45,6.58,6.29,6.54
"AMD","9-28-16",6.57,6.65,6.48,6.59
"AMD","9-29-16",6.57,6.73,6.54,6.67
"AMD","9-30-16",6.7,7.04,6.7,6.91
"AMD","10-3-16",6.95,7.15,6.87,6.95
"AMD","10-4-16",7,7.09,6.89,6.97
"AMD","10-5-16",6.97,7.01,6.7,6.78
"AMD","10-6-16",6.72,6.98,6.63,6.96
"AMD","10-7-16",6.92,6.96,6.62,6.75
"AMD","10-10-16",6.82,6.94,6.8,6.84
"AMD","10-11-16",6.8,6.84,6.38,6.5
"AMD","10-12-16",6.64,6.77,6.42,6.62
"AMD","10-13-16",6.5,6.54,6.24,6.49
"AMD","10-14-16",6.92,7.12,6.74,6.75
"AMD","10-17-16",6.92,6.97,6.64,6.67
"AMD","10-18-16",6.76,6.89,6.69,6.73
"AMD","10-19-16",6.7,6.8,6.57,6.77
"AMD","10-20-16",6.81,6.98,6.77,6.96
"AMD","10-21-16",6.5,6.65,6.37,6.52
"AMD","10-24-16",6.57,7.01,6.54,7.005
"AMD","10-25-16",6.9,7.5,6.87,7.5
"AMD","10-26-16",7.4,7.48,7.26,7.29
"AMD","10-27-16",7.44,7.46,7.1,7.11
"AMD","10-28-16",7.1,7.53,7.02,7.2
"AMD","10-31-16",7.24,7.46,7.2,7.23
"AMD","11-1-16",7.32,7.425,6.92,7.09
"AMD","11-2-16",7.03,7.055,6.67,6.76
"AMD","11-3-16",6.78,6.79,6.56,6.7
"AMD","11-4-16",6.69,6.72,6.46,6.56
"AMD","11-7-16",6.79,6.99,6.76,6.96
