"Ticker","Date","Open","High","Low","Close"
"ANSS","9-19-16",92.49,92.9,91.76,92.12
"ANSS","9-20-16",92.7,92.845,92.06,92.06
"ANSS","9-21-16",92.07,93.385,92.07,93.22
"ANSS","9-22-16",93.97,93.98,92.5,93.21
"ANSS","9-23-16",93,93.23,92.28,92.3
"ANSS","9-26-16",92.02,92.415,91.34,91.42
"ANSS","9-27-16",91.29,91.85,90.88,91.84
"ANSS","9-28-16",91.97,92.09,91.38,91.94
"ANSS","9-29-16",91.73,92.02,90.67,91
"ANSS","9-30-16",91.61,92.86,91.29,92.61
"ANSS","10-3-16",92.62,92.62,91.765,91.87
"ANSS","10-4-16",91.9,92.61,91.07,91.74
"ANSS","10-5-16",92.22,93.13,91.65,92.38
"ANSS","10-6-16",92.3,92.3,91.56,92.11
"ANSS","10-7-16",92.09,92.32,91.32,91.4
"ANSS","10-10-16",91.7,92.42,91.49,91.57
"ANSS","10-11-16",91.35,91.86,90.34,91.15
"ANSS","10-12-16",91.59,92.1,90.8,91.86
"ANSS","10-13-16",91.42,92.12,90.75,91.75
"ANSS","10-14-16",92,92.41,90.955,91.15
"ANSS","10-17-16",91.18,91.59,90.49,90.97
"ANSS","10-18-16",92,92.14,91.37,91.39
"ANSS","10-19-16",91.33,92.005,91.1,91.5
"ANSS","10-20-16",91.18,91.81,90.9,91.19
"ANSS","10-21-16",90.93,91.22,90.56,91.11
"ANSS","10-24-16",91.36,92.77,91.36,92.38
"ANSS","10-25-16",92.37,92.37,90.86,91.12
"ANSS","10-26-16",90.74,91.86,90.74,91.1
"ANSS","10-27-16",91.67,91.67,90.47,90.79
"ANSS","10-28-16",90.74,91.84,90.26,91.4
"ANSS","10-31-16",91.73,92.19,91.21,91.35
"ANSS","11-1-16",91.42,91.43,89.19,89.96
"ANSS","11-2-16",89.75,89.85,88.46,89.52
"ANSS","11-3-16",86.11,88,83.14,83.49
"ANSS","11-4-16",83.2,84.3275,82.28,83.62
"ANSS","11-7-16",85.36,85.8,84.06,85.77
"ANSS","11-8-16",85.26,87.24,85.26,86.94
"ANSS","11-9-16",85.89,88.7,85.4,88.33
"ANSS","11-10-16",89.25,89.56,86.94,87.54
"ANSS","11-11-16",87.47,89.57,86.09,88.9
"ANSS","11-14-16",89.23,90.95,89.08,90.61
