"Ticker","Date","Open","High","Low","Close"
"ASML","9-19-16",103.22,104.18,103.2,103.34
"ASML","9-20-16",104.7,105.28,104.32,104.88
"ASML","9-21-16",105.69,106.87,105.41,106.71
"ASML","9-22-16",109.04,109.56,108.69,108.79
"ASML","9-23-16",108.76,109.26,108.42,108.57
"ASML","9-26-16",108.49,109.16,108.28,108.77
"ASML","9-27-16",107.96,109.8026,107.84,109.62
"ASML","9-28-16",109.28,110.04,108.87,109.86
"ASML","9-29-16",109.27,109.74,107.55,108.73
"ASML","9-30-16",109.19,110.14,109.02,109.58
"ASML","10-3-16",109.36,109.61,108.54,108.93
"ASML","10-4-16",109.39,109.85,108.61,108.96
"ASML","10-5-16",109.1,109.3,108.71,108.81
"ASML","10-6-16",108.27,108.99,107.81,108.74
"ASML","10-7-16",107.04,107.17,105.36,106.38
"ASML","10-10-16",107.63,107.74,106.99,106.99
"ASML","10-11-16",105.61,105.64,102.414,102.71
"ASML","10-12-16",102.31,102.67,101.42,102.58
"ASML","10-13-16",100.59,100.65,100.04,100.39
"ASML","10-14-16",101.58,102.11,100.95,101.12
"ASML","10-17-16",100.62,101.34,100.51,101.16
"ASML","10-18-16",102.51,102.577,101.83,102.33
"ASML","10-19-16",104.75,104.75,103.2,104.09
"ASML","10-20-16",102.52,103.62,102.47,103.58
"ASML","10-21-16",103.47,105.32,103.4,105.26
"ASML","10-24-16",104.92,105.42,104.77,105.28
"ASML","10-25-16",104.68,105.14,104.13,104.54
"ASML","10-26-16",104.47,104.73,103.73,103.85
"ASML","10-27-16",105.18,105.27,103.86,104.05
"ASML","10-28-16",104.86,105.95,104.69,105.46
"ASML","10-31-16",105.51,106.36,104.94,105.62
"ASML","11-1-16",105.65,105.68,103.29,103.89
"ASML","11-2-16",104.01,104.73,103.67,104.025
"ASML","11-3-16",103.35,103.6,101.78,101.78
"ASML","11-4-16",102.22,103.01,101.48,102.49
"ASML","11-7-16",103.8,104.76,103.6,104.75
"ASML","11-8-16",103.59,105.22,103.53,104.81
"ASML","11-9-16",102.33,103.815,102.33,103.67
"ASML","11-10-16",102.78,103.41,100.71,101.4
"ASML","11-11-16",99.7,100.51,98.72,100.25
"ASML","11-14-16",98.94,99.77,98.71,99.2
"ASML","11-15-16",99.12,100.28,98.75,100.02
"ASML","11-16-16",99.2,100.77,99.15,100.7
"ASML","11-17-16",101.24,102.85,101.19,102.56
"ASML","11-18-16",103.58,104.75,103.38,104.59
"ASML","11-21-16",104.09,105.11,104.02,105.09
"ASML","11-22-16",105.45,105.61,104.795,105.32
"ASML","11-23-16",104.48,105.35,104.25,105.1
"ASML","11-25-16",103.99,104.46,103.765,104.14
"ASML","11-28-16",103.3,103.91,103.22,103.63
"ASML","11-29-16",102.88,104.01,102.71,103.79
"ASML","11-30-16",103.77,103.82,102.93,103.13
"ASML","12-1-16",102.67,102.74,99.68,99.99
"ASML","12-2-16",99.01,100.3,98.84,99.78
"ASML","12-5-16",102.29,103.02,101.685,102.92
"ASML","12-6-16",101.89,102.9,101.79,102.71
"ASML","12-7-16",101.98,103.92,101.83,103.55
"ASML","12-8-16",103.19,103.73,102.65,103.11
"ASML","12-9-16",102.92,103.11,102.09,102.66
"ASML","12-12-16",103.17,103.34,102.41,102.9
"ASML","12-13-16",104.11,104.86,104,104.64
"ASML","12-14-16",104.58,104.94,103.53,103.63
"ASML","12-15-16",104.47,105.39,104.32,105.03
"ASML","12-16-16",106.26,106.72,105.96,106.24
"ASML","12-19-16",108.36,110.48,108.36,110.22
