"Ticker","Date","Open","High","Low","Close"
"ATVI","9-19-16",44.58,44.84,44,44.12
"ATVI","9-20-16",44.26,44.78,44.1,44.13
"ATVI","9-21-16",44.89,44.89,43.85,44.67
"ATVI","9-22-16",44.86,45.12,44.41,44.51
"ATVI","9-23-16",44.98,45.1192,44.1,44.36
"ATVI","9-26-16",44.22,44.34,43.93,43.98
"ATVI","9-27-16",43.91,44.27,43.665,44.21
"ATVI","9-28-16",44.2,44.42,43.76,44.16
"ATVI","9-29-16",44.15,44.425,43.83,44.21
"ATVI","9-30-16",44.37,44.455,43.985,44.3
"ATVI","10-3-16",44.3,44.55,43.96,44.1
"ATVI","10-4-16",44.2,44.35,43.78,44.13
"ATVI","10-5-16",44.1,44.61,43.99,44.53
"ATVI","10-6-16",44.55,44.6,43.76,43.99
"ATVI","10-7-16",44.09,44.47,43.72,43.92
"ATVI","10-10-16",43.96,44.24,43.7,43.79
"ATVI","10-11-16",43.56,43.64,42.51,42.9
"ATVI","10-12-16",42.79,43.405,42.7,43.33
"ATVI","10-13-16",42.98,43.43,42.63,43.16
"ATVI","10-14-16",43.57,44.33,43.41,43.69
"ATVI","10-17-16",43.63,43.7,43.33,43.53
"ATVI","10-18-16",44.01,44.75,43.96,44.18
"ATVI","10-19-16",44.23,44.29,43.72,43.79
"ATVI","10-20-16",43.92,44.39,43.52,44.32
"ATVI","10-21-16",44.32,44.65,43.91,44.54
"ATVI","10-24-16",44.9,45.49,44.65,45.47
"ATVI","10-25-16",45.53,45.55,44.96,45.06
"ATVI","10-26-16",44.95,45.01,44.4,44.44
"ATVI","10-27-16",44.65,44.82,43.7,43.72
"ATVI","10-28-16",43.64,43.86,42.96,43.32
"ATVI","10-31-16",43.42,43.63,43,43.17
"ATVI","11-1-16",43.27,43.37,42.425,42.6
"ATVI","11-2-16",42.63,43.0899,42.26,42.6
"ATVI","11-3-16",42.96,43.67,42.6325,43.37
"ATVI","11-4-16",41.04,43.245,40.86,41.7
"ATVI","11-7-16",42.52,42.56,40.86,41.09
"ATVI","11-8-16",41.01,41.49,40.82,41.01
"ATVI","11-9-16",40.19,40.7,39.35,40.15
"ATVI","11-10-16",40.35,40.4,38.47,38.7
"ATVI","11-11-16",38.43,39.45,38.23,39.41
"ATVI","11-14-16",39.21,39.53,37.7402,37.77
"ATVI","11-15-16",38,39.14,37.94,38.53
"ATVI","11-16-16",38.51,39.045,38.1401,38.97
"ATVI","11-17-16",39.07,40.19,38.95,39.94
"ATVI","11-18-16",39.92,40.2,38.13,38.39
"ATVI","11-21-16",38.58,38.64,37.755,38.43
"ATVI","11-22-16",38.43,38.49,36.89,37.17
"ATVI","11-23-16",36.55,37.545,36.32,37.26
"ATVI","11-25-16",37.45,37.58,37.2,37.22
"ATVI","11-28-16",37.37,37.73,37.28,37.37
