"Ticker","Date","Open","High","Low","Close"
"AXP","9-19-16",63.96,64.58,63.67,64.06
"AXP","9-20-16",64.52,64.64,63.7,63.72
"AXP","9-21-16",63.99,64.495,63.72,64.28
"AXP","9-22-16",64.35,65.075,64.33,64.63
"AXP","9-23-16",64.51,64.83,63.785,63.85
"AXP","9-26-16",63.44,64.13,62.85,63.42
"AXP","9-27-16",63.93,64.42,63.58,64.28
"AXP","9-28-16",64.27,64.5,63.73,64.22
"AXP","9-29-16",64.21,64.81,62.96,63.37
"AXP","9-30-16",63.78,64.37,63.63,64.04
"AXP","10-3-16",63.83,64.05,63.54,63.81
"AXP","10-4-16",63.84,64.38,63.71,63.91
"AXP","10-5-16",63.77,64.53,63.69,64.36
"AXP","10-6-16",63.56,63.68,61.76,61.94
"AXP","10-7-16",62.11,62.27,61.48,61.76
"AXP","10-10-16",62.15,62.49,61.8675,61.9
"AXP","10-11-16",61.53,61.7,60.55,60.86
"AXP","10-12-16",60.82,61.0499,60.58,60.69
"AXP","10-13-16",60.23,60.56,59.5,60.41
"AXP","10-14-16",61.01,61.2,60.1,60.15
"AXP","10-17-16",60.27,60.42,59.78,59.9
"AXP","10-18-16",60.52,60.57,59.88,60.08
"AXP","10-19-16",60.42,61.68,60.27,61.25
"AXP","10-20-16",65.34,67.78,64.75,66.78
"AXP","10-21-16",66.45,67.59,66.4,67.36
"AXP","10-24-16",67.69,67.93,67.07,67.09
"AXP","10-25-16",66.93,67.38,66.61,66.74
"AXP","10-26-16",66.5,67.07,66.14,66.8
"AXP","10-27-16",67,67.22,66.43,66.93
"AXP","10-28-16",67.15,67.215,66.3,66.45
"AXP","10-31-16",66.81,66.83,66.31,66.42
"AXP","11-1-16",66.77,66.81,65.73,66.25
"AXP","11-2-16",65.76,66.03,65.14,65.45
"AXP","11-3-16",65.53,65.76,65.04,65.33
"AXP","11-4-16",65.5,66.08,65.03,65.51
"AXP","11-7-16",66.85,67.33,66.65,67
"AXP","11-8-16",66.79,67.26,66.31,67.07
"AXP","11-9-16",67.16,69,67.06,68.74
"AXP","11-10-16",69.24,70.4,69.05,70.11
"AXP","11-11-16",69.97,70.59,69.65,70.5
"AXP","11-14-16",70.8,72.675,70.625,72.42
"AXP","11-15-16",72.13,72.48,71.24,72.47
"AXP","11-16-16",71.95,72.4,71.28,71.68
"AXP","11-17-16",71.36,72,71.3201,71.78
"AXP","11-18-16",71.53,71.5957,70.77,71
"AXP","11-21-16",71.31,71.67,70.96,71.54
"AXP","11-22-16",71.82,71.88,70.87,71.72
"AXP","11-23-16",71.94,72.92,71.51,72.88
"AXP","11-25-16",72.97,73.18,72.46,72.86
"AXP","11-28-16",72.53,72.77,71.97,72.13
"AXP","11-29-16",72.2,72.26,71.385,71.49
"AXP","11-30-16",72,72.33,71.78,72.04
"AXP","12-1-16",72.45,72.77,71.78,72.53
"AXP","12-2-16",72.52,72.66,71.43,71.86
"AXP","12-5-16",72.33,72.64,71.99,72.03
"AXP","12-6-16",72.47,72.74,72.08,72.31
"AXP","12-7-16",72.47,74.72,72.23,74.29
"AXP","12-8-16",74.8,75.2,73.99,74.91
"AXP","12-9-16",74.84,74.91,74.29,74.77
"AXP","12-12-16",74.7,74.7,73.15,73.58
"AXP","12-13-16",73.67,74.23,73.11,73.84
"AXP","12-14-16",73.53,75.73,73.24,74.07
"AXP","12-15-16",74.54,75.74,74.34,74.94
"AXP","12-16-16",75.29,75.38,74.58,75
"AXP","12-19-16",74.68,75.13,74.14,74.55
"AXP","12-20-16",75,75.5,74.53,75.06
"AXP","12-21-16",75.11,75.57,74.69,75.32
"AXP","12-22-16",75,75.37,74.5,74.58
"AXP","12-23-16",74.74,75.24,74.74,74.97
"AXP","12-27-16",75.1,75.11,74.79,74.98
"AXP","12-28-16",75.03,75.38,74.15,74.37
"AXP","12-29-16",74.27,74.68,73.5,73.92
"AXP","12-30-16",73.96,74.34,73.84,74.08
"AXP","1-3-17",74.89,75.75,74.74,75.35
"AXP","1-4-17",75.26,76.55,75.055,76.26
"AXP","1-5-17",76,76.18,74.82,75.32
"AXP","1-6-17",75.4,75.915,75.06,75.47
"AXP","1-9-17",76.14,76.5,75.53,75.86
"AXP","1-10-17",76.52,78,76.12,76.65
"AXP","1-11-17",76.67,77.44,76.1,76.91
"AXP","1-12-17",76.83,76.95,75.84,76.88
"AXP","1-13-17",76.93,77.63,76.41,76.62
"AXP","1-17-17",77.4,77.7,76.47,76.6
"AXP","1-18-17",77.11,77.605,76.51,77.49
"AXP","1-19-17",77.61,77.7797,76.61,76.69
"AXP","1-20-17",75.99,76.91,75.39,76.2
"AXP","1-23-17",75.92,76.48,75.73,75.97
"AXP","1-24-17",76.33,77.66,76.09,77.43
"AXP","1-25-17",78,78.02,76.4,76.89
"AXP","1-26-17",76.95,77.46,76.63,76.93
"AXP","1-27-17",77,77.3,76.54,76.85
"AXP","1-30-17",76.83,77.32,76.54,77.28
"AXP","1-31-17",76.86,77.25,75.97,76.38
"AXP","2-1-17",76.85,77.44,76.58,76.76
"AXP","2-2-17",76.23,76.89,76.06,76.51
"AXP","2-3-17",77.14,78.42,76.91,78.04
"AXP","2-6-17",77.72,78.41,77.48,77.82
"AXP","2-7-17",78.06,78.38,77.52,77.72
"AXP","2-8-17",77.54,77.935,77.0801,77.8
"AXP","2-9-17",77.9,78.37,77.67,78.18
"AXP","2-10-17",78.5,78.69,78.23,78.48
"AXP","2-13-17",78.82,79.18,78.48,78.91
"AXP","2-14-17",79,79.45,78.67,79.41
"AXP","2-15-17",79.79,80.1,78.67,79.6
"AXP","2-16-17",79.46,79.6,78.92,79.51
"AXP","2-17-17",79.22,79.78,78.9,79.71
"AXP","2-21-17",79.92,80.45,79.64,79.97
