"Ticker","Date","Open","High","Low","Close"
"BA","9-19-16",127.5,128.3,127.27,127.48
"BA","9-20-16",127.95,128.5,127.57,127.79
"BA","9-21-16",128.18,130.63,128.18,130.56
"BA","9-22-16",131.45,132.48,131.17,131.87
"BA","9-23-16",131.25,132.2871,131.01,131.78
"BA","9-26-16",131.07,131.58,130.43,130.57
"BA","9-27-16",130.29,131.74,129.86,131.32
"BA","9-28-16",131.59,132.36,130.59,132.23
"BA","9-29-16",131.8,132.78,130.68,131.03
"BA","9-30-16",132.09,132.63,131.2701,131.74
"BA","10-3-16",131.28,132.72,130.74,132.38
"BA","10-4-16",132.77,133.2313,131.69,132.25
"BA","10-5-16",132.93,134.9,132.55,134.66
"BA","10-6-16",134.83,135,133.68,134.42
"BA","10-7-16",133.93,134.66,132.54,133.85
"BA","10-10-16",134.589,136.87,134.589,135.84
"BA","10-11-16",134.94,135.69,133.27,133.74
"BA","10-12-16",133.76,134.28,133,133.16
"BA","10-13-16",132.42,133.93,131.39,133.38
"BA","10-14-16",134.56,135.25,133.48,133.5
"BA","10-17-16",133.5,135.38,133.33,134
"BA","10-18-16",135.03,135.74,134.915,135.1
"BA","10-19-16",135.42,136.95,135.33,136.18
"BA","10-20-16",135.92,136.75,135.37,135.84
"BA","10-21-16",134.72,136.19,134.25,135.63
"BA","10-24-16",136.41,138.88,136.41,137.45
"BA","10-25-16",137.53,139.42,137.35,139.02
"BA","10-26-16",138.43,146.19,136.72,145.54
"BA","10-27-16",145.83,146.23,141.78,143.31
"BA","10-28-16",143.72,144,142.1745,143.01
"BA","10-31-16",143.05,143.35,142.15,142.43
"BA","11-1-16",142.95,143.9,141.81,142.41
"BA","11-2-16",142,142.87,140.59,140.75
"BA","11-3-16",140.76,140.895,139.35,140.02
"BA","11-4-16",139.11,140.85,138.8038,139.54
"BA","11-7-16",141.5,143.1,141.49,143.03
"BA","11-8-16",141.92,143.31,141.2924,142.2
"BA","11-9-16",141.6,145.85,141.54,145.09
"BA","11-10-16",146.51,149.34,146.39,147.69
"BA","11-11-16",147.12,148.6,146.56,148.52
"BA","11-14-16",148.21,150.09,148.21,149.99
"BA","11-15-16",148.44,149.45,147.19,148.11
"BA","11-16-16",147.3,148.41,146.14,146.44
"BA","11-17-16",146.83,147.12,145,145.33
"BA","11-18-16",145.18,146.6,144.46,146.35
"BA","11-21-16",147.21,148.49,146.52,147.02
"BA","11-22-16",147.9,149.76,147.88,149.52
"BA","11-23-16",149.61,150.81,149.03,149.74
"BA","11-25-16",150,150.15,149.03,150.04
"BA","11-28-16",149,150.09,148.315,149.77
"BA","11-29-16",149.83,152.11,149.11,151.64
"BA","11-30-16",151.59,153.08,150.56,150.56
"BA","12-1-16",150.74,152.69,150.39,152.39
"BA","12-2-16",152.45,152.49,151.12,152.25
"BA","12-5-16",153.24,153.75,151.85,152.16
"BA","12-6-16",150.84,152.64,150.02,152.24
"BA","12-7-16",151.67,154.31,151.0701,154.14
"BA","12-8-16",154.6,155.97,154.14,155.39
"BA","12-9-16",155.65,156.875,155.42,156.49
"BA","12-12-16",156,158,154.3,157.16
"BA","12-13-16",159.1,160.07,154.88,156.66
"BA","12-14-16",156.23,156.37,154.18,154.47
"BA","12-15-16",153.93,155.24,153.06,153.77
"BA","12-16-16",153.88,156,153.14,154.5
"BA","12-19-16",155.16,157.1,155.07,156.18
"BA","12-20-16",156.96,157.89,155.95,156.39
"BA","12-21-16",156.6883,158.5,156.65,157.48
"BA","12-22-16",158.5,158.99,156.25,157.46
"BA","12-23-16",158.27,158.27,156.51,157.81
"BA","12-27-16",158.41,158.48,156.91,157.48
"BA","12-28-16",157.12,157.35,156.01,156.1
"BA","12-29-16",156,156.75,155.16,155.69
"BA","12-30-16",156.49,156.79,154.96,155.68
"BA","1-3-17",156.3,157.14,155.21,156.97
"BA","1-4-17",157.81,159.2299,157.81,158.62
