"Ticker","Date","Open","High","Low","Close"
"BIDU","9-19-16",186,187,184.03,184.74
"BIDU","9-20-16",186.63,189,185.88,186.37
"BIDU","9-21-16",187.85,196.313,187.3,196.03
"BIDU","9-22-16",197,197.8,193.68,195.45
"BIDU","9-23-16",193.24,197,190.3,191.72
"BIDU","9-26-16",189.53,189.66,187.14,188.86
"BIDU","9-27-16",189,192.42,188.85,190.83
"BIDU","9-28-16",186.71,188.31,185.211,187.74
"BIDU","9-29-16",186.6,186.96,181.5,182.23
"BIDU","9-30-16",183.95,184.63,180.63,182.07
"BIDU","10-3-16",182.84,184.5,181.62,183.54
"BIDU","10-4-16",184,187.24,183.52,184.08
"BIDU","10-5-16",185.89,185.89,183.28,184.11
"BIDU","10-6-16",183.75,184.13,181.09,181.52
"BIDU","10-7-16",182.23,182.73,178.87,179.8
"BIDU","10-10-16",181.17,182.32,180.88,181.49
"BIDU","10-11-16",181.2,182.75,175.55,177.04
"BIDU","10-12-16",177,178.01,174.71,175.41
"BIDU","10-13-16",173.3,175.19,171.89,174.61
"BIDU","10-14-16",176.48,178.1799,174.61,175.51
"BIDU","10-17-16",175.18,177.03,173.8,175.15
"BIDU","10-18-16",177.92,178.76,175.64,175.65
"BIDU","10-19-16",177.5,177.5,174.7,176.2
"BIDU","10-20-16",175.75,176.25,174.01,175.17
"BIDU","10-21-16",174.8,177.5,173.845,176.76
"BIDU","10-24-16",178.77,181.2,177.78,180.86
"BIDU","10-25-16",181.99,181.99,176.07,176.68
"BIDU","10-26-16",175,175.2,172.33,172.82
"BIDU","10-27-16",173.47,176.54,172.61,175.1
"BIDU","10-28-16",180.74,185.2,179.27,179.59
"BIDU","10-31-16",178.17,182.64,176.077,176.86
"BIDU","11-1-16",176.75,177.35,172.29,173.49
"BIDU","11-2-16",173.55,173.55,167.51,168.78
"BIDU","11-3-16",168,172,168,168.57
"BIDU","11-4-16",166.44,169.42,166,167.7
"BIDU","11-7-16",171.4,172.78,170.18,171.56
"BIDU","11-8-16",171.6,172,169.42,170.92
"BIDU","11-9-16",166.5,168.84,165.4,168.66
"BIDU","11-10-16",168.91,169.12,162,163.47
"BIDU","11-11-16",162.39,164.43,159.54,162.95
"BIDU","11-14-16",160.61,164.73,160.61,161.73
"BIDU","11-15-16",163.99,167.98,163.8,164.44
"BIDU","11-16-16",164.21,168.4087,163.14,166.74
"BIDU","11-17-16",167.51,168.35,165.52,166.21
"BIDU","11-18-16",165.93,167,163.925,164.38
"BIDU","11-21-16",165,167.25,164.5,165.69
"BIDU","11-22-16",167.5,167.5,163.56,164.47
"BIDU","11-23-16",163.36,164.64,161.69,163.63
"BIDU","11-25-16",165,165.6,163.62,164.44
"BIDU","11-28-16",165.13,168,164.06,167
"BIDU","11-29-16",166.01,171.24,166,169.18
"BIDU","11-30-16",169.99,171.545,166.491,166.95
"BIDU","12-1-16",167.52,167.82,161.8,163.08
"BIDU","12-2-16",162.95,163.88,160.79,161.67
"BIDU","12-5-16",161.72,165.39,161.5592,164.32
"BIDU","12-6-16",165.01,165.74,163.55,165.17
"BIDU","12-7-16",165.54,169.56,164.37,169.33
"BIDU","12-8-16",168.92,169.74,166.3323,167.75
"BIDU","12-9-16",168.49,171.1,168.34,170.82
"BIDU","12-12-16",168.63,169.28,167.01,168.48
"BIDU","12-13-16",169.33,173,169,171.46
"BIDU","12-14-16",170.9,172.54,169.63,169.83
"BIDU","12-15-16",169.21,169.625,165.62,165.78
"BIDU","12-16-16",166.42,167.92,164.65,164.93
"BIDU","12-19-16",164.44,164.93,162.34,163.69
"BIDU","12-20-16",164.26,167.01,164.0001,165.28
"BIDU","12-21-16",165,165.99,163.8,163.92
"BIDU","12-22-16",163.29,165.265,162.0201,162.89
"BIDU","12-23-16",163.28,164.62,162.53,163.62
"BIDU","12-27-16",163.63,166.47,163.07,164.77
"BIDU","12-28-16",165.12,167.01,164.76,165.54
"BIDU","12-29-16",165.61,167.59,165.46,166.5
"BIDU","12-30-16",166.76,167.234,163.56,164.41
"BIDU","1-3-17",166.3,169.66,165.82,168.3
"BIDU","1-4-17",169.74,173.26,168.3,171.96
"BIDU","1-5-17",172.65,177.84,172.5,177.47
"BIDU","1-6-17",176.28,177.28,173.25,176.38
"BIDU","1-9-17",178,179.72,176.82,177.16
"BIDU","1-10-17",179.83,183,178.3,180.31
"BIDU","1-11-17",179.57,180.18,176.8,179.32
"BIDU","1-12-17",178.8,179.47,175.66,177.57
"BIDU","1-13-17",178,178.71,176.36,176.48
"BIDU","1-17-17",175.58,178.28,174.49,176.96
"BIDU","1-18-17",178.59,180.78,174.73,176.54
"BIDU","1-19-17",176.84,176.84,174.43,176.09
"BIDU","1-20-17",175.3,176.455,173.13,173.44
"BIDU","1-23-17",173.94,176.18,173.28,175.97
"BIDU","1-24-17",177.7,179,175.5,176.05
"BIDU","1-25-17",177.4,179,176.25,176.61
"BIDU","1-26-17",177.65,177.67,174.65,174.95
"BIDU","1-27-17",175,175,173.22,174.1
"BIDU","1-30-17",173.16,174.97,171.72,174.72
"BIDU","1-31-17",173.68,176.18,173.01,175.07
"BIDU","2-1-17",176.73,176.73,172.55,173.82
"BIDU","2-2-17",173.51,175.18,172.46,173.4
"BIDU","2-3-17",174.96,176.59,173.56,175.17
"BIDU","2-6-17",175.79,179.0795,175.15,177.81
"BIDU","2-7-17",179.58,179.6,176.75,178.17
"BIDU","2-8-17",179.16,182.41,177.53,181.5
"BIDU","2-9-17",181.23,183.46,181.06,181.5
"BIDU","2-10-17",182.58,184.16,181.21,183.99
"BIDU","2-13-17",184.5,185.44,183.33,184.31
"BIDU","2-14-17",184.01,185.66,182.28,182.77
"BIDU","2-15-17",183.65,185.14,182.81,183.58
"BIDU","2-16-17",183.62,186.75,182.77,184.94
"BIDU","2-17-17",183.92,185.21,183.33,185.17
"BIDU","2-21-17",185.23,185.93,183.3122,185.62
"BIDU","2-22-17",185,187.98,184.97,186.01
"BIDU","2-23-17",187.89,188.54,183.9101,184.64
"BIDU","2-24-17",181,181.75,173.91,175.17
"BIDU","2-27-17",175.17,176.28,171.73,172.97
"BIDU","2-28-17",172.8,175.9199,172.8,174.13
"BIDU","3-1-17",176.44,176.79,175.13,175.33
"BIDU","3-2-17",175.33,176.49,172.97,174.48
"BIDU","3-3-17",174.53,175.705,173.28,173.79
"BIDU","3-6-17",174.15,174.15,172.38,173.3
"BIDU","3-7-17",172.77,174,171.24,173.74
"BIDU","3-8-17",173.81,175.3,173.3,173.87
"BIDU","3-9-17",174.03,175.2,172.94,173.32
"BIDU","3-10-17",173.55,173.91,171.93,172.74
"BIDU","3-13-17",172.89,174.11,172.5,173.25
"BIDU","3-14-17",173,173.4999,172.01,172.84
"BIDU","3-15-17",173.01,173.31,170.42,172.04
"BIDU","3-16-17",173.54,177.55,173.4,176.57
"BIDU","3-17-17",176.89,178.86,176.18,176.62
"BIDU","3-20-17",177.1,177.86,174.59,176.13
"BIDU","3-21-17",177.5,177.7,170.27,171.4
"BIDU","3-22-17",169.82,169.82,167.75,169.56
"BIDU","3-23-17",168.75,170.02,167.25,169.61
"BIDU","3-24-17",170.39,170.47,167.85,168.26
"BIDU","3-27-17",166.23,170.67,166,168.93
"BIDU","3-28-17",168.93,170.67,168.58,169.79
"BIDU","3-29-17",170,172.1,169.34,170.66
"BIDU","3-30-17",171.71,172.62,171.17,172.36
"BIDU","3-31-17",171.46,173.95,171.46,172.52
"BIDU","4-3-17",173,175.9,173,175
"BIDU","4-4-17",174.76,176.662,174.13,175.2
"BIDU","4-5-17",175.35,176.31,172.46,172.92
"BIDU","4-6-17",173.8,174.73,173.04,173.38
"BIDU","4-7-17",173.68,173.94,171.17,172.44
"BIDU","4-10-17",172.3,174.675,172.17,174.22
"BIDU","4-11-17",173.97,175.24,172.58,173.01
"BIDU","4-12-17",172.47,174.87,172.33,173.61
"BIDU","4-13-17",173.55,174.76,172.46,172.61
"BIDU","4-17-17",172.61,173.8,172.61,173.31
"BIDU","4-18-17",173.31,174.56,172.07,174.47
"BIDU","4-19-17",175.62,181.18,175.34,177.81
"BIDU","4-20-17",178.99,180.38,178.41,178.64
"BIDU","4-21-17",180.4,180.4,177.8601,178.08
"BIDU","4-24-17",180,180.65,179.54,180.03
"BIDU","4-25-17",182.86,187.5,182.33,186.99
"BIDU","4-26-17",187.9,188,184.9,186.67
"BIDU","4-27-17",187.81,188.599,186.1,187.86
"BIDU","4-28-17",181.08,182.96,176.07,180.23
"BIDU","5-1-17",180.45,181.17,177.19,180.06
"BIDU","5-2-17",180.1,180.4,178,178.64
"BIDU","5-3-17",179.01,179.01,176.9,177.4
"BIDU","5-4-17",177.89,178,176.28,176.71
"BIDU","5-5-17",176.3,178.3,174.77,178.03
"BIDU","5-8-17",178.5,178.54,176.68,177.47
"BIDU","5-9-17",178.9,183.59,178.36,182.98
"BIDU","5-10-17",182.37,184.93,181.62,183.57
"BIDU","5-11-17",183.54,187.33,182.96,186.6
"BIDU","5-12-17",186.25,187.98,185.67,186.83
"BIDU","5-15-17",187.08,187.46,185.24,186.14
"BIDU","5-16-17",186.83,192.37,186.387,190.64
"BIDU","5-17-17",187.97,190.71,185.68,186.05
"BIDU","5-18-17",182.68,183.62,181.29,182.43
"BIDU","5-19-17",183.17,189.42,182.89,188.76
"BIDU","5-22-17",190,193.5599,188.08,191.69
"BIDU","5-23-17",192.7,193.56,190.37,191.8
"BIDU","5-24-17",191.03,191.99,189.97,190.63
"BIDU","5-25-17",191.23,193,189.83,191.95
"BIDU","5-26-17",192.78,193.74,190.09,190.39
"BIDU","5-30-17",190.94,192.289,189.36,189.88
"BIDU","5-31-17",189.95,190.49,184.32,186.1
"BIDU","6-1-17",186.15,188.1,185.59,187.26
"BIDU","6-2-17",188.6,189.25,187,187.6
"BIDU","6-5-17",188.71,188.71,185.21,187.31
"BIDU","6-6-17",186.73,187.2,184.51,185.75
"BIDU","6-7-17",186.24,188.585,184.75,187.53
"BIDU","6-8-17",191.6,192.38,183.68,185.75
"BIDU","6-9-17",186.03,186.1,178.21,181.07
"BIDU","6-12-17",180,182.15,177.31,180.06
"BIDU","6-13-17",181.52,181.52,177.24,179.19
"BIDU","6-14-17",180.6,180.82,176.2,178.2
"BIDU","6-15-17",176.19,176.99,173.52,176.33
"BIDU","6-16-17",176.41,176.41,173.66,173.88
"BIDU","6-19-17",176.38,179.23,175.8001,176.93
"BIDU","6-20-17",177.69,178.42,176.93,177.85
"BIDU","6-21-17",179.14,181,177.93,180.17
"BIDU","6-22-17",179.25,180.714,177.99,179.33
"BIDU","6-23-17",180.32,180.55,177.61,178.14
"BIDU","6-26-17",180.59,181.74,178.35,178.46
"BIDU","6-27-17",178.52,178.65,175.1,175.6
"BIDU","6-28-17",177,178.72,175.83,178
"BIDU","6-29-17",177.54,180.455,177.22,179.63
"BIDU","6-30-17",180.44,180.88,178.3101,178.86
"BIDU","7-3-17",179.9,183.5,179.63,179.97
"BIDU","7-5-17",186.37,187.25,182.17,183.83
"BIDU","7-6-17",183.88,183.89,180.678,181.79
"BIDU","7-7-17",181.79,182.78,179.92,181.4
"BIDU","7-10-17",182.31,183.94,181.59,182.93
"BIDU","7-11-17",183.2,184.56,181.83,184.41
"BIDU","7-12-17",185.81,187.56,185.26,186.76
"BIDU","7-13-17",187.47,188.98,186.15,186.92
"BIDU","7-14-17",187.99,189,187.525,188.55
"BIDU","7-17-17",189.12,191.779,186.89,188.23
"BIDU","7-18-17",187.23,190.1,186.69,189.51
"BIDU","7-19-17",190.8,192.35,189.56,190.91
"BIDU","7-20-17",192.26,192.86,190.79,191.32
"BIDU","7-21-17",190.96,193.2,190.56,193.18
"BIDU","7-24-17",193.975,199.25,193.02,198.65
"BIDU","7-25-17",198.5,198.65,195.97,197.05
"BIDU","7-26-17",196.85,201.23,196.75,201.17
"BIDU","7-27-17",204.01,205.6,197.11,201
"BIDU","7-28-17",211.01,225.6,208.8,220
"BIDU","7-31-17",223.59,230,223.05,226.35
"BIDU","8-1-17",227.14,227.98,222.17,225.6
"BIDU","8-2-17",224.12,224.64,218.58,221.96
"BIDU","8-3-17",221,227.9699,220.551,227.39
"BIDU","8-4-17",227.28,230.34,225.7,226.05
"BIDU","8-7-17",225.6,228.99,224.77,227.16
"BIDU","8-8-17",226.6,233.37,226.54,229.45
"BIDU","8-9-17",227.19,230.49,225.36,230.3
"BIDU","8-10-17",227.5,228.99,220.47,222.57
"BIDU","8-11-17",218.6,224.66,216.2,223.49
"BIDU","8-14-17",223.51,224.77,221,223.69
"BIDU","8-15-17",226.1,227.66,223.57,225.33
"BIDU","8-16-17",228,228.98,225.71,226.14
"BIDU","8-17-17",226.42,227.0193,220.36,221.05
"BIDU","8-18-17",220.77,221.19,218.5,220.69
"BIDU","8-21-17",223.5,227.9492,221.88,222.48
"BIDU","8-22-17",224.49,226.49,222.775,226.11
"BIDU","8-23-17",224.85,225.71,223.63,224.99
"BIDU","8-24-17",226.12,226.7499,224.11,224.86
"BIDU","8-25-17",224.96,229.43,224.44,225.55
"BIDU","8-28-17",225.92,226.79,219.36,219.99
"BIDU","8-29-17",216,221.7,213.528,220.69
"BIDU","8-30-17",221.8,224.71,220.36,223.88
"BIDU","8-31-17",224,228.68,222.61,228.05
"BIDU","9-1-17",228.26,233.79,226.61,232.64
"BIDU","9-5-17",231.29,232.47,224.58,225.3
"BIDU","9-6-17",226,228.96,223.54,226.97
"BIDU","9-7-17",226,233.54,225.71,233.18
"BIDU","9-8-17",232.78,235,228.73,229.23
"BIDU","9-11-17",232.39,234.62,232.21,233.5
"BIDU","9-12-17",234.95,237.93,233.84,237.6
"BIDU","9-13-17",237.57,239,235.45,236.41
"BIDU","9-14-17",235,238.46,234.8,237.33
"BIDU","9-15-17",237.87,239.16,235.21,235.21
"BIDU","9-18-17",236.79,240.43,235.58,239.07
"BIDU","9-19-17",239.03,240.125,235.7,237.85
"BIDU","9-20-17",238.5,240.4,235.51,237.96
"BIDU","9-21-17",239.21,239.69,235.35,238.92
"BIDU","9-22-17",237.82,242.7,237.19,240.57
"BIDU","9-25-17",239.87,239.9,230.58,234.49
"BIDU","9-26-17",236.29,240,234.99,236.19
"BIDU","9-27-17",240.02,240.75,237.361,239.82
"BIDU","9-28-17",238.47,242.37,237.2,241.28
"BIDU","9-29-17",242.03,248,242.03,247.69
"BIDU","10-2-17",248.62,250.57,246.5,248.67
"BIDU","10-3-17",250,250.49,246.51,247
"BIDU","10-4-17",246.26,247,243.67,243.97
"BIDU","10-5-17",246.49,247.5,242.22,245.27
"BIDU","10-6-17",244.83,247.86,244.163,247.69
"BIDU","10-9-17",248.16,254.28,247.4345,252.22
"BIDU","10-10-17",254.36,262.69,253.52,262.41
"BIDU","10-11-17",261.06,263.44,258.51,260.32
"BIDU","10-12-17",259.53,261.36,258.06,259.33
"BIDU","10-13-17",260.11,264.66,259.61,262.68
"BIDU","10-16-17",264.98,273.07,264,272.82
"BIDU","10-17-17",273.7,274.97,269.44,270.32
"BIDU","10-18-17",271.1,271.49,266.97,268.97
"BIDU","10-19-17",262.26,265.53,259.15,264.52
"BIDU","10-20-17",268.4,269.8,264.35,264.9
"BIDU","10-23-17",266.1,267.87,261.511,266.13
"BIDU","10-24-17",266.2,266.8,263.115,264
"BIDU","10-25-17",264.68,268.51,257.69,263.04
"BIDU","10-26-17",262.06,265.51,259.47,260.62
"BIDU","10-27-17",241.82,247.39,235.73,239.37
"BIDU","10-30-17",240.96,244.55,232.44,236.42
"BIDU","10-31-17",238,244.409,235.03,243.94
"BIDU","11-1-17",247.71,251.18,245.26,245.43
"BIDU","11-2-17",246.37,247.225,239.5,242.09
"BIDU","11-3-17",242.65,244.39,240.32,241.54
"BIDU","11-6-17",242.71,246.7,240.8,244.53
"BIDU","11-7-17",246.62,247.92,242.41,243.47
"BIDU","11-8-17",243.63,244.525,238.8,241.18
"BIDU","11-9-17",237.99,240.55,236.29,240.06
"BIDU","11-10-17",239.58,239.58,236.5,237.4
"BIDU","11-13-17",234.69,238.46,232.02,237.37
"BIDU","11-14-17",236.6,237,232.92,234.92
"BIDU","11-15-17",232.01,234.84,226.01,234.21
"BIDU","11-16-17",236.71,240.71,234.2608,239.32
"BIDU","11-17-17",241.8,243.04,239.01,239.27
"BIDU","11-20-17",241,242.63,237.66,238.54
"BIDU","11-21-17",242,246.9,240.198,244.3
"BIDU","11-22-17",246.75,252.9,246.3908,249.65
"BIDU","11-24-17",249.5,250.3724,245.73,249.42
"BIDU","11-27-17",246,248.97,245.62,247.02
"BIDU","11-28-17",249,249,241.91,244.03
"BIDU","11-29-17",242.32,243.88,229.01,235.49
"BIDU","11-30-17",237.38,239.19,235.19,238.58
"BIDU","12-1-17",233.65,238.64,232.51,235.07
"BIDU","12-4-17",237.71,237.9115,226.35,229.66
"BIDU","12-5-17",226,234.1,225.5,231.75
"BIDU","12-6-17",228.35,231.89,227.22,231.15
"BIDU","12-7-17",231.16,235.659,231.0057,233.01
"BIDU","12-8-17",236.91,237.74,234.43,234.59
"BIDU","12-11-17",235.5,236.63,233.165,233.54
"BIDU","12-12-17",231.51,232.9499,229.92,232.73
"BIDU","12-13-17",234.88,237.17,231.85,233.24
"BIDU","12-14-17",233.06,233.15,227.81,231.82
"BIDU","12-15-17",233,233.48,229.31,233.48
"BIDU","12-18-17",235.82,241.49,234.9,240.93
"BIDU","12-19-17",241.59,242,235.13,235.62
"BIDU","12-20-17",236.04,236.95,231.29,233.37
"BIDU","12-21-17",234.48,240.83,234.01,239.49
"BIDU","12-22-17",237.76,241.79,237.45,239.05
"BIDU","12-26-17",237.21,238.77,235.377,237.83
"BIDU","12-27-17",237.5,239.14,235.61,237.71
"BIDU","12-28-17",238.57,239,234.4,234.74
"BIDU","12-29-17",234.83,236.13,232.5,234.21
"BIDU","1-2-18",236.49,242.82,235.26,242.4
"BIDU","1-3-18",244.86,246.2641,240.0901,245.55
"BIDU","1-4-18",249,249.2,244.28,245.73
"BIDU","1-5-18",246.84,248,242.6,245.14
"BIDU","1-8-18",247.14,253.86,246.75,250.82
"BIDU","1-9-18",253.54,254.99,248.05,254.73
"BIDU","1-10-18",251.49,253.74,247.9,248.95
"BIDU","1-11-18",250.4,251.49,246.89,250.22
"BIDU","1-12-18",252.49,256.98,250.87,253.04
"BIDU","1-16-18",259.69,265.77,256.78,257.78
"BIDU","1-17-18",260.75,260.89,253.08,255.49
"BIDU","1-18-18",255.49,256.15,252.553,254.96
"BIDU","1-19-18",255.87,258.33,254.36,255.98
"BIDU","1-22-18",255.99,256.42,249.5,254.34
"BIDU","1-23-18",252.89,257.54,251.26,257.35
"BIDU","1-24-18",258.58,263.41,252.1,257.96
"BIDU","1-25-18",259.83,260,253.03,254.14
"BIDU","1-26-18",255.76,260.4266,253.8,260.25
"BIDU","1-29-18",256.66,256.98,252.8,253.73
"BIDU","1-30-18",247.87,249.35,241.2,244.07
"BIDU","1-31-18",247.48,248.18,242.4,246.92
"BIDU","2-1-18",243.33,248.23,239.37,240.53
"BIDU","2-2-18",237.49,238.4999,232.43,233.17
"BIDU","2-5-18",229.42,235.69,224.58,225.32
"BIDU","2-6-18",218,230,216,228.77
"BIDU","2-7-18",228.26,229.6599,222.5,222.5
"BIDU","2-8-18",223.01,225.71,211.7,212.07
"BIDU","2-9-18",213.46,218.41,207.74,215.67
"BIDU","2-12-18",219.99,223.24,218.5402,221.64
"BIDU","2-13-18",223.41,227.7,221.8,225.6
"BIDU","2-14-18",236.04,239.88,232.688,235.89
"BIDU","2-15-18",240.99,248.29,237.13,248.2
"BIDU","2-16-18",248,248.74,242.9,244.72
"BIDU","2-20-18",243.07,248.01,242.14,245.43
"BIDU","2-21-18",247.72,252.95,246.75,246.92
"BIDU","2-22-18",248.09,249.43,244.355,249.35
"BIDU","2-23-18",250,252,246.89,250.74
"BIDU","2-26-18",251.34,256.29,250.86,256.25
"BIDU","2-27-18",253.5,257.5605,250.21,250.46
"BIDU","2-28-18",254,255,250.5728,252.34
"BIDU","3-1-18",251.63,256.2,245.68,249.75
"BIDU","3-2-18",242.32,251.58,240.66,250.6
"BIDU","3-5-18",248.09,256.33,246.21,254.89
"BIDU","3-6-18",257.99,260,255.73,258.73
"BIDU","3-7-18",255.93,258.32,254.16,257.26
"BIDU","3-8-18",257.54,258.55,254.86,257.14
"BIDU","3-9-18",259.25,267.6,257.86,263.56
"BIDU","3-12-18",264.92,270.58,263.24,265.67
"BIDU","3-13-18",268,268,257.34,258.35
"BIDU","3-14-18",259.73,262.75,256.725,259.35
"BIDU","3-15-18",263.01,264.75,260.49,262.71
"BIDU","3-16-18",259.61,263.7,257.21,262.39
"BIDU","3-19-18",261.47,261.76,250.35,252.83
"BIDU","3-20-18",253.75,256.74,252.11,254.46
"BIDU","3-21-18",254.26,254.26,249.03,250.05
"BIDU","3-22-18",245,245.17,233.72,236.11
"BIDU","3-23-18",236.52,238.82,229.34,230.08
"BIDU","3-26-18",236.61,237.77,229.38,235.94
"BIDU","3-27-18",239.38,241.209,228.7,230.96
"BIDU","3-28-18",228.8,229.9,220.2,223.1
"BIDU","3-29-18",225,226.4797,220.16,223.19
"BIDU","4-2-18",220.84,223.87,216.11,220.06
"BIDU","4-3-18",223.53,224.77,216.69,220.02
"BIDU","4-4-18",213.8,225.95,213.556,224.3
"BIDU","4-5-18",226.01,228.4999,224.37,225.57
"BIDU","4-6-18",221.3,225.29,218.13,219.82
"BIDU","4-9-18",224.7,227.7476,221.92,224.33
"BIDU","4-10-18",231.32,233.55,228.42,231.5
"BIDU","4-11-18",230,233.5,228.88,229.65
"BIDU","4-12-18",230.75,232.2365,229.03,231.34
"BIDU","4-13-18",231.88,233,225.77,228.17
"BIDU","4-16-18",228.45,231.065,226.53,229.9
"BIDU","4-17-18",230.27,237,228.63,235.67
"BIDU","4-18-18",237.38,239.91,236.5,237.75
"BIDU","4-19-18",238.43,240.4,235.2624,237.11
"BIDU","4-20-18",234.92,235.69,230.21,232.5
"BIDU","4-23-18",232.52,235.05,230.14,231.42
"BIDU","4-24-18",233.82,238.36,228.5,231.41
"BIDU","4-25-18",229.2,231.46,222.5,231.41
"BIDU","4-26-18",232.83,239.4,232.6,238.69
"BIDU","4-27-18",253.95,257.3,245.63,251.93
"BIDU","4-30-18",253.69,255,244.4,250.9
"BIDU","5-1-18",247.24,254.08,246.01,252.13
"BIDU","5-2-18",250.92,252.74,246.8,249.8
"BIDU","5-3-18",249,254.54,245.74,252.46
"BIDU","5-4-18",250.85,254.74,249.2933,251.73
"BIDU","5-7-18",251.53,257,250.25,253.9
"BIDU","5-8-18",255,263.99,253.4,263.09
"BIDU","5-9-18",263.1,264.43,259.71,261.29
"BIDU","5-10-18",262.18,269.4,260.7,268.68
"BIDU","5-11-18",270.92,271.49,266.37,269.91
"BIDU","5-14-18",271.5,278.76,271,272.26
"BIDU","5-15-18",266.41,271.98,265.61,271.92
"BIDU","5-16-18",272.74,284.22,271.2264,284.07
"BIDU","5-17-18",280.26,283.95,278.6,279.68
"BIDU","5-18-18",262.38,264.665,251.58,253.01
"BIDU","5-21-18",256,256.3627,237.83,240.51
"BIDU","5-22-18",243.99,247.05,239.6,239.97
"BIDU","5-23-18",238.77,243.33,236.61,240.39
"BIDU","5-24-18",243.49,243.9527,240.05,240.28
"BIDU","5-25-18",240.4784,245.799,240.08,243.8
"BIDU","5-29-18",242.55,245.04,240.6,242.05
"BIDU","5-30-18",243.69,243.75,240.47,241.63
"BIDU","5-31-18",242.0397,245.52,241.96,242.56
"BIDU","6-1-18",245.39,251,244.85,248.46
"BIDU","6-4-18",251,261,251,260.9
"BIDU","6-5-18",262.245,265.41,255.2,259.98
"BIDU","6-6-18",260.18,263.99,257.08,263.94
"BIDU","6-7-18",264.69,268,263.03,264.89
"BIDU","6-8-18",262.17,263.89,259.51,263.59
"BIDU","6-11-18",264,269.83,262.52,269.78
"BIDU","6-12-18",270.54,272.88,265.6649,267.42
"BIDU","6-13-18",268.86,272.19,267.92,270
"BIDU","6-14-18",270.41,273.31,269.75,270.64
"BIDU","6-15-18",268,273.61,266.35,272.97
"BIDU","6-18-18",267.3,269.82,264.11,268.89
"BIDU","6-19-18",260.23,262.17,256.44,262.11
"BIDU","6-20-18",263.34,264.79,259.42,264.06
"BIDU","6-21-18",263.22,265.6,260.3,260.5
"BIDU","6-22-18",261,261.74,258.01,259
"BIDU","6-25-18",254.28,254.3,245.5,250.41
"BIDU","6-26-18",252.46,253.1135,248.21,250.77
"BIDU","6-27-18",255,255.5,241.8638,243
"BIDU","6-28-18",241.84,242.72,237.8,242.21
