"Ticker","Date","Open","High","Low","Close"
"BIIB","9-19-16",304.83,308,303.17,303.5
"BIIB","9-20-16",306.06,308.86,304,307.05
"BIIB","9-21-16",309,312.39,304.11,312
"BIIB","9-22-16",313.07,315.98,311.37,314.81
"BIIB","9-23-16",312.58,317.32,312.11,312.58
"BIIB","9-26-16",311.7,312.02,308.68,309.82
"BIIB","9-27-16",309.78,315,307.5,314.53
"BIIB","9-28-16",315.99,315.99,308.74,310.55
"BIIB","9-29-16",310.17,312.47,304.04,305.78
"BIIB","9-30-16",306.59,314.38,306.04,313.03
"BIIB","10-3-16",313,313,308.85,311.59
"BIIB","10-4-16",311.94,313.9999,309.885,311.48
"BIIB","10-5-16",313.27,313.32,308.6,309.7
"BIIB","10-6-16",308.3,309.89,303.92,305.99
"BIIB","10-7-16",307.31,308,302.215,305.59
"BIIB","10-10-16",308,308.7,304.27,304.59
"BIIB","10-11-16",304.13,304.52,296.32,298.3
"BIIB","10-12-16",298.29,299.12,291.49,291.88
"BIIB","10-13-16",289.19,296.62,288.911,294.41
"BIIB","10-14-16",295.63,297.34,290.13,290.5
"BIIB","10-17-16",289.89,293.42,288.25,291.67
"BIIB","10-18-16",292.87,298.57,292.63,295.05
"BIIB","10-19-16",296.26,296.5365,292.49,295.14
"BIIB","10-20-16",293.85,300.3195,293.77,299.66
"BIIB","10-21-16",299.07,299.07,289.78,290.65
"BIIB","10-24-16",292.3,293.4047,290,290.78
"BIIB","10-25-16",290.84,291.08,285.2749,286
"BIIB","10-26-16",294.98,301.34,291.3,296.46
"BIIB","10-27-16",298,300.78,290.51,290.89
"BIIB","10-28-16",290.29,290.47,280.34,283.64
"BIIB","10-31-16",284.91,285,279.23,280.18
"BIIB","11-1-16",280.03,285.18,279.53,282.56
"BIIB","11-2-16",282.31,282.31,277.09,277.26
"BIIB","11-3-16",277.65,278.5664,272.98,273.49
"BIIB","11-4-16",269.39,279.93,268,277
"BIIB","11-7-16",290.64,297.27,289.23,295.62
"BIIB","11-8-16",295.2,299.07,292.55,295.6
"BIIB","11-9-16",312,328.98,309.68,319.86
"BIIB","11-10-16",321.95,329.83,319.49,324.4
"BIIB","11-11-16",320.29,322.6436,314.4729,319.18
"BIIB","11-14-16",319.73,324.83,317.535,321.49
"BIIB","11-15-16",321.55,323.15,314.61,322.58
"BIIB","11-16-16",323.15,325.3,317.39,317.65
"BIIB","11-17-16",318.23,320.235,315.35,319.3
"BIIB","11-18-16",318.86,321,313.31,317
"BIIB","11-21-16",318.36,320.308,316.515,318.32
"BIIB","11-22-16",320.79,321,314.02,318.11
"BIIB","11-23-16",293.82,308.88,293.8,305.93
"BIIB","11-25-16",306.46,307.15,302.39,305.2
"BIIB","11-28-16",304.36,305.84,301.3,303.78
"BIIB","11-29-16",304.73,307.42,302.53,302.77
"BIIB","11-30-16",303.34,304.3,293.95,294.07
"BIIB","12-1-16",296.32,296.65,293.11,295.78
"BIIB","12-2-16",296.53,299.95,293.04,297.19
"BIIB","12-5-16",298.94,299.888,289.48,290.22
"BIIB","12-6-16",291.75,294.45,290,291.16
"BIIB","12-7-16",285.5,288.97,280.5,285.3
"BIIB","12-8-16",285.8,292.97,278.58,289.54
"BIIB","12-9-16",305.24,306.98,281.79,287.77
"BIIB","12-12-16",289.2,290.95,284.07,286.49
"BIIB","12-13-16",286.75,289.5,284.81,287.38
"BIIB","12-14-16",288.21,289.96,285.24,286.25
"BIIB","12-15-16",287.16,288.53,285.02,286.97
"BIIB","12-16-16",287.62,289.0899,286,286.4
"BIIB","12-19-16",286.59,290.51,272.96,278.77
"BIIB","12-20-16",280.98,286.67,279.13,285.59
"BIIB","12-21-16",285.06,285.65,281,283.11
"BIIB","12-22-16",281.83,283.17,280.02,283.07
"BIIB","12-23-16",283.05,288.38,281.81,287.53
"BIIB","12-27-16",295.17,296.38,290.75,291.12
"BIIB","12-28-16",291.99,292.11,288.5,289.25
"BIIB","12-29-16",288.96,290.41,285.23,287.03
"BIIB","12-30-16",287.79,288.56,282.64,283.58
"BIIB","1-3-17",285.82,293.2,284.86,291.71
"BIIB","1-4-17",291.59,296.83,290.04,294.05
"BIIB","1-5-17",294.81,296.32,292.2184,293.57
"BIIB","1-6-17",294.59,296.41,292.39,295
"BIIB","1-9-17",295.39,300,294.41,299.02
"BIIB","1-10-17",300.42,301.42,296.43,297.79
"BIIB","1-11-17",296.95,297.905,285.001,287.11
"BIIB","1-12-17",286.61,288.99,285.04,287.77
"BIIB","1-13-17",288.07,289.86,284.25,284.75
"BIIB","1-17-17",284.28,286.35,281.08,283.01
"BIIB","1-18-17",284.79,286.16,282.87,283.61
"BIIB","1-19-17",282.74,284.84,279.23,280.35
"BIIB","1-20-17",282.07,282.56,279.41,280.66
"BIIB","1-23-17",280.35,282.72,275.49,276.02
"BIIB","1-24-17",275.74,278.4,271.47,273.82
"BIIB","1-25-17",274.54,277.78,271.43,273.24
"BIIB","1-26-17",278,285.78,277,278.89
"BIIB","1-27-17",280.46,281.98,277.29,278.21
"BIIB","1-30-17",278.27,278.9005,274.22,276.06
"BIIB","1-31-17",275.01,278,271.9,277.24
"BIIB","2-1-17",278.98,282.07,277.5101,281.69
"BIIB","2-2-17",263.76,264.52,260.5,264.23
"BIIB","2-3-17",264.98,266,261.76,264.67
"BIIB","2-6-17",264.46,265.73,263.1843,264.91
"BIIB","2-7-17",269.47,269.67,264.561,266.11
"BIIB","2-8-17",265.43,269.01,265.43,268.74
