"Ticker","Date","Open","High","Low","Close"
"CDNS","9-19-16",24.35,24.54,24.26,24.4
"CDNS","9-20-16",24.54,24.745,24.49,24.5
"CDNS","9-21-16",24.64,24.735,24.35,24.66
"CDNS","9-22-16",25.28,25.28,24.76,25.08
"CDNS","9-23-16",24.97,25.12,24.81,24.81
"CDNS","9-26-16",24.72,24.87,24.61,24.78
"CDNS","9-27-16",24.78,25.18,24.61,25.15
"CDNS","9-28-16",25.16,25.335,25.02,25.32
"CDNS","9-29-16",25.29,25.39,25.175,25.22
"CDNS","9-30-16",25.37,25.655,25.2215,25.53
"CDNS","10-3-16",25.5,25.59,25.345,25.41
"CDNS","10-4-16",25.51,25.55,25.23,25.35
"CDNS","10-5-16",25.42,25.63,25.39,25.47
"CDNS","10-6-16",25.49,25.57,25.28,25.49
"CDNS","10-7-16",25.5,25.6,25.33,25.53
"CDNS","10-10-16",25.94,26.45,25.81,26.25
"CDNS","10-11-16",26.15,26.15,25.54,25.66
"CDNS","10-12-16",25.6,25.87,25.6,25.75
"CDNS","10-13-16",25.67,25.97,25.17,25.92
"CDNS","10-14-16",26.09,26.28,25.9644,25.99
"CDNS","10-17-16",26,26.2,25.89,25.95
"CDNS","10-18-16",26.26,26.38,26.1,26.24
"CDNS","10-19-16",28,28,26.105,26.14
"CDNS","10-20-16",26.02,26.09,25.73,25.82
"CDNS","10-21-16",25.82,25.93,25.645,25.71
"CDNS","10-24-16",25.92,26.035,25.64,25.74
"CDNS","10-25-16",26.23,26.24,24.99,25.5
"CDNS","10-26-16",25.41,25.72,25.29,25.52
"CDNS","10-27-16",25.69,25.98,25.29,25.36
"CDNS","10-28-16",25.44,25.69,25.32,25.38
"CDNS","10-31-16",25.38,25.66,25.38,25.58
"CDNS","11-1-16",25.55,25.65,24.99,25.16
"CDNS","11-2-16",25.06,25.4,24.71,24.76
"CDNS","11-3-16",24.8,25.07,24.72,24.79
"CDNS","11-4-16",24.78,25.205,24.63,24.93
"CDNS","11-7-16",25.3,25.5,25.21,25.44
"CDNS","11-8-16",25.33,25.73,25.32,25.46
"CDNS","11-9-16",25.07,25.32,24.59,25.06
"CDNS","11-10-16",25.16,25.39,24.4708,24.84
"CDNS","11-11-16",24.84,25.56,24.74,25.33
"CDNS","11-14-16",26.95,26.95,25.29,25.51
"CDNS","11-15-16",25.51,25.68,25.3,25.44
"CDNS","11-16-16",25.92,25.92,25.18,25.85
"CDNS","11-17-16",25.81,26.53,25.81,26.48
"CDNS","11-18-16",26.97,26.97,26.38,26.4
"CDNS","11-21-16",26.45,26.87,26.45,26.86
"CDNS","11-22-16",26.9,27.035,26.68,26.77
"CDNS","11-23-16",26.65,26.77,26.4,26.49
"CDNS","11-25-16",26.5,26.93,26.5,26.76
"CDNS","11-28-16",26.63,26.7366,26.47,26.52
"CDNS","11-29-16",26.45,26.73,26.35,26.59
"CDNS","11-30-16",26.45,26.74,26.22,26.28
"CDNS","12-1-16",26.18,26.19,25.14,25.18
"CDNS","12-2-16",25.14,25.5,24.95,25.32
"CDNS","12-5-16",25.42,25.72,25.34,25.53
"CDNS","12-6-16",25.53,25.78,25.49,25.59
"CDNS","12-7-16",25.53,26.03,25.5,25.96
"CDNS","12-8-16",25.95,26.305,25.93,26.18
"CDNS","12-9-16",26.28,26.35,25.94,25.95
"CDNS","12-12-16",25.66,25.87,25.4,25.85
"CDNS","12-13-16",25.88,26.11,25.79,25.83
"CDNS","12-14-16",24.15,25.96,24.15,25.66
"CDNS","12-15-16",25.63,25.9,25.5,25.53
"CDNS","12-16-16",25.49,25.82,25.48,25.54
"CDNS","12-19-16",25.51,25.88,25.49,25.69
"CDNS","12-20-16",25.72,25.93,25.68,25.92
"CDNS","12-21-16",25.86,25.97,25.755,25.78
"CDNS","12-22-16",25.76,25.83,25.375,25.52
"CDNS","12-23-16",25.53,25.78,25.53,25.76
"CDNS","12-27-16",25.82,26.08,25.76,25.88
"CDNS","12-28-16",25.88,25.92,25.35,25.39
"CDNS","12-29-16",25.36,25.52,25.24,25.52
"CDNS","12-30-16",25.53,25.64,25.18,25.22
"CDNS","1-3-17",25.43,25.68,25.24,25.34
"CDNS","1-4-17",25.34,25.74,25.33,25.57
"CDNS","1-5-17",25.61,25.91,25.57,25.66
"CDNS","1-6-17",25.63,25.84,25.54,25.65
"CDNS","1-9-17",25.57,25.86,25.55,25.72
"CDNS","1-10-17",25.75,26.02,25.71,25.77
"CDNS","1-11-17",25.81,26.16,25.8,26.11
"CDNS","1-12-17",26,26,25.55,25.94
"CDNS","1-13-17",25.7,26.2,25.42,26.07
"CDNS","1-17-17",25.96,26.04,25.75,25.8
"CDNS","1-18-17",25.85,26.06,25.69,25.91
"CDNS","1-19-17",26,26.22,25.88,25.97
"CDNS","1-20-17",25.99,26.25,25.9,25.94
"CDNS","1-23-17",25.83,26.065,25.62,25.67
"CDNS","1-24-17",25.74,26.27,25.67,26.23
"CDNS","1-25-17",26.45,26.47,26.14,26.26
"CDNS","1-26-17",26.31,26.37,25.94,25.96
"CDNS","1-27-17",26.01,26.24,25.97,26.22
"CDNS","1-30-17",26.18,26.24,25.76,26.12
"CDNS","1-31-17",25.98,26.11,25.71,26.03
"CDNS","2-1-17",26.03,26.14,25.77,25.82
"CDNS","2-2-17",26.49,29.31,26.14,28.93
"CDNS","2-3-17",29.05,29.58,28.87,29.13
"CDNS","2-6-17",28.99,29.59,28.92,29.38
"CDNS","2-7-17",29.35,29.69,29.32,29.38
"CDNS","2-8-17",29.29,29.43,29.01,29.24
"CDNS","2-9-17",29.31,29.63,29.29,29.55
"CDNS","2-10-17",29.7,29.75,29.44,29.53
"CDNS","2-13-17",29.6,29.88,29.5,29.82
"CDNS","2-14-17",29.64,29.94,29.64,29.92
"CDNS","2-15-17",29.56,30.18,29.56,30.1
"CDNS","2-16-17",30.12,30.4125,30,30.24
"CDNS","2-17-17",29.91,30.2,29.69,30.2
"CDNS","2-21-17",30.03,30.82,29.99,30.79
"CDNS","2-22-17",30.85,30.94,30.78,30.86
"CDNS","2-23-17",30.94,30.9899,30.4,30.78
"CDNS","2-24-17",30.6,31.29,30.58,31.29
"CDNS","2-27-17",31.28,31.54,31.18,31.54
"CDNS","2-28-17",31.54,31.54,30.89,30.9
"CDNS","3-1-17",31.22,31.35,30.61,31.31
"CDNS","3-2-17",31.19,31.36,31,31.09
"CDNS","3-3-17",31.03,31.16,30.905,31.1
"CDNS","3-6-17",30.96,31.1,30.84,31.01
"CDNS","3-7-17",31.1,31.29,31,31.24
"CDNS","3-8-17",31.22,31.35,31.22,31.33
"CDNS","3-9-17",31.26,31.3,31.01,31.23
"CDNS","3-10-17",31.37,31.44,31.26,31.4
"CDNS","3-13-17",31.36,31.7,31.27,31.67
"CDNS","3-14-17",31.55,31.64,31.435,31.6
"CDNS","3-15-17",31.73,31.73,31.265,31.58
"CDNS","3-16-17",31.59,31.91,31.425,31.63
"CDNS","3-17-17",31.73,31.995,31.65,31.86
"CDNS","3-20-17",31.93,32.06,31.7,31.93
"CDNS","3-21-17",32.09,32.19,31.44,31.51
"CDNS","3-22-17",30.35,31.88,30.35,31.78
"CDNS","3-23-17",31.8,31.96,31.63,31.73
"CDNS","3-24-17",31.78,32.02,31.53,31.61
"CDNS","3-27-17",31.36,31.765,31.06,31.68
"CDNS","3-28-17",31.71,31.8,31.37,31.38
"CDNS","3-29-17",31.37,31.545,31.28,31.52
"CDNS","3-30-17",31.54,31.64,31.32,31.35
"CDNS","3-31-17",31.39,31.48,31.27,31.4
"CDNS","4-3-17",31.4,31.46,31.015,31.15
"CDNS","4-4-17",31.14,31.36,31.02,31.1
"CDNS","4-5-17",31.14,31.39,30.81,30.85
"CDNS","4-6-17",30.98,31.245,30.86,31.17
"CDNS","4-7-17",31.07,31.22,30.92,31.18
"CDNS","4-10-17",31.21,31.435,31,31.35
"CDNS","4-11-17",31.33,31.48,31.15,31.48
"CDNS","4-12-17",31.43,31.56,30.92,31.27
"CDNS","4-13-17",31.22,31.4,31.04,31.11
"CDNS","4-17-17",31.12,31.38,31.12,31.38
"CDNS","4-18-17",31.31,32.16,31.2,32.16
"CDNS","4-19-17",32.2,32.55,32.15,32.45
"CDNS","4-20-17",32.59,32.845,32.31,32.77
"CDNS","4-21-17",32.65,32.94,32.54,32.88
"CDNS","4-24-17",33.07,33.61,32.98,33.48
"CDNS","4-25-17",31.8,32.277,31.22,31.93
"CDNS","4-26-17",31.99,32,31.6,31.75
"CDNS","4-27-17",31.83,32.195,31.83,32.04
"CDNS","4-28-17",32.05,32.6,31.9301,32.57
"CDNS","5-1-17",32.73,32.94,32.575,32.71
"CDNS","5-2-17",32.72,32.86,32.593,32.79
"CDNS","5-3-17",32.71,32.77,32.525,32.76
"CDNS","5-4-17",32.74,32.92,32.63,32.76
"CDNS","5-5-17",32.86,33.06,32.78,33.04
"CDNS","5-8-17",33,33.02,32.775,32.83
"CDNS","5-9-17",32.93,33.14,32.87,33
"CDNS","5-10-17",33.03,33.0858,32.86,32.93
"CDNS","5-11-17",32.86,32.99,32.68,32.99
"CDNS","5-12-17",33.02,33.1,32.74,32.89
"CDNS","5-15-17",33.06,33.19,32.93,33.15
"CDNS","5-16-17",33.25,33.31,33.03,33.24
"CDNS","5-17-17",32.92,33.05,32.39,32.39
"CDNS","5-18-17",32.28,32.7,32.07,32.32
"CDNS","5-19-17",32.61,32.875,32.38,32.78
"CDNS","5-22-17",32.89,33.56,32.765,33.53
"CDNS","5-23-17",33.57,34.115,33.31,34.02
"CDNS","5-24-17",34.06,34.31,33.8,34.27
"CDNS","5-25-17",34.32,34.87,34.3,34.76
"CDNS","5-26-17",34.7,35.29,34.57,34.93
"CDNS","5-30-17",34.87,35.115,34.71,34.93
"CDNS","5-31-17",34.99,35.4,34.83,35.14
"CDNS","6-1-17",35.15,35.43,34.705,34.98
"CDNS","6-2-17",35.03,35.43,35.03,35.27
"CDNS","6-5-17",35.31,35.65,35.31,35.52
"CDNS","6-6-17",35.4,35.6,35.28,35.41
"CDNS","6-7-17",35.48,35.61,35.2,35.35
"CDNS","6-8-17",35.41,35.54,35.2,35.44
"CDNS","6-9-17",35.53,35.69,34.19,34.72
"CDNS","6-12-17",34.47,34.52,33.56,34.23
"CDNS","6-13-17",34.46,34.745,34.35,34.4
"CDNS","6-14-17",34.55,34.69,33.96,34.34
"CDNS","6-15-17",33.97,34.49,33.65,34.15
"CDNS","6-16-17",34.08,34.37,33.9,34.18
"CDNS","6-19-17",34.31,34.49,34.04,34.26
"CDNS","6-20-17",34.25,34.655,34.005,34.09
"CDNS","6-21-17",34.22,34.44,33.96,34.27
"CDNS","6-22-17",34.36,34.41,34.02,34.28
"CDNS","6-23-17",34.28,34.465,34.21,34.26
"CDNS","6-26-17",34.36,34.52,34.17,34.3
"CDNS","6-27-17",34.21,34.225,33.635,33.69
"CDNS","6-28-17",33.92,34.22,33.58,34.09
"CDNS","6-29-17",33.95,34.08,33.03,33.44
"CDNS","6-30-17",33.55,33.765,33.35,33.49
"CDNS","7-3-17",33.58,33.61,32.96,33.07
"CDNS","7-5-17",33.12,33.35,32.97,33.27
"CDNS","7-6-17",33.13,33.39,32.85,33.28
