"Ticker","Date","Open","High","Low","Close"
"CDW","9-19-16",45,45.725,44.58,45.64
"CDW","9-20-16",45.54,46.2,45.345,45.9
"CDW","9-21-16",46.22,46.58,45.81,46.55
"CDW","9-22-16",46.88,47.5,46.37,47.34
"CDW","9-23-16",47.32,47.32,46.1,46.28
"CDW","9-26-16",46,46.08,45.36,45.61
"CDW","9-27-16",45.78,46.18,45.39,45.67
"CDW","9-28-16",45.52,45.85,45.15,45.67
"CDW","9-29-16",45.54,45.74,45.04,45.29
"CDW","9-30-16",45.57,45.915,45.21,45.73
"CDW","10-3-16",45.68,46.04,45.48,45.62
"CDW","10-4-16",45.59,46.18,45.5201,45.92
"CDW","10-5-16",46.02,46.17,45.665,45.72
"CDW","10-6-16",45.58,45.77,45.22,45.51
"CDW","10-7-16",45.7,45.7,44.805,45.11
"CDW","10-10-16",45.46,45.63,44.94,44.99
"CDW","10-11-16",45.1,45.1,44.124,44.27
"CDW","10-12-16",44.25,44.88,43.98,44.65
"CDW","10-13-16",44.37,44.7,43.78,44.67
"CDW","10-14-16",44.84,44.96,44.29,44.32
"CDW","10-17-16",44.47,44.7,44.17,44.19
"CDW","10-18-16",44.61,44.65,44.28,44.28
"CDW","10-19-16",44.17,44.34,43.95,44.16
"CDW","10-20-16",44.2,44.25,43.85,44.1
"CDW","10-21-16",44.13,44.32,43.94,44.3
"CDW","10-24-16",44.89,45.48,44.6,44.93
"CDW","10-25-16",44.75,44.8678,44.3549,44.77
"CDW","10-26-16",44.68,45.18,44.33,44.98
"CDW","10-27-16",45,45.0986,44.62,44.78
"CDW","10-28-16",44.81,45.06,44.5,44.83
"CDW","10-31-16",44.88,45.05,44.55,44.91
"CDW","11-1-16",45.01,45.29,44.71,45.15
"CDW","11-2-16",45.61,45.68,43.64,43.86
"CDW","11-3-16",44.1,44.41,43.96,44.01
"CDW","11-4-16",43.91,44.29,43.71,43.73
"CDW","11-7-16",44.14,45.29,43.87,45.28
"CDW","11-8-16",44.83,45.04,44.23,44.57
"CDW","11-9-16",43.84,44.76,43.84,44.48
"CDW","11-10-16",44.69,45.015,44.19,44.49
"CDW","11-11-16",44.75,46.56,44.54,46.49
"CDW","11-14-16",47.15,48.83,46.722,48.78
"CDW","11-15-16",48.9,49.47,48.75,49.2
"CDW","11-16-16",49.41,50.68,49.32,50.65
"CDW","11-17-16",50.66,51.96,50.59,51.96
"CDW","11-18-16",52.05,52.3,51.1,51.43
"CDW","11-21-16",51.32,51.93,51.32,51.77
"CDW","11-22-16",51.45,51.67,51.06,51.22
"CDW","11-23-16",51.25,51.39,51,51.36
"CDW","11-25-16",51.34,51.91,51.08,51.84
"CDW","11-28-16",51.22,52.03,51.22,51.7
"CDW","11-29-16",51.95,52.48,51.77,51.78
"CDW","11-30-16",52.17,52.25,51.14,51.24
"CDW","12-1-16",51.12,52.93,51.12,52.84
"CDW","12-2-16",52.84,53.29,52.765,52.84
"CDW","12-5-16",53.03,53.24,52.57,52.75
"CDW","12-6-16",52.68,53.45,52.3,53.39
"CDW","12-7-16",53.51,54.58,53.47,54.36
"CDW","12-8-16",54.42,55.47,54.12,55.4
"CDW","12-9-16",54.56,54.97,53.21,53.43
"CDW","12-12-16",52.98,53.37,52.511,53.05
"CDW","12-13-16",52.93,53.58,52.64,53.42
"CDW","12-14-16",53.44,53.71,52.89,53.09
"CDW","12-15-16",53.18,53.57,52.77,53.36
"CDW","12-16-16",53.5,53.61,52.48,52.85
"CDW","12-19-16",53.1,53.505,52.75,52.88
"CDW","12-20-16",52.85,53.48,52.555,53.43
"CDW","12-21-16",53.49,53.64,52.77,52.96
"CDW","12-22-16",52.96,53.15,51.78,52.01
"CDW","12-23-16",52.06,53.165,51.84,53.03
"CDW","12-27-16",53.18,53.43,53.04,53.31
"CDW","12-28-16",53.24,53.37,52.68,52.76
"CDW","12-29-16",52.79,52.99,52.22,52.69
"CDW","12-30-16",52.65,52.87,51.915,52.09
"CDW","1-3-17",52.31,52.31,51.3397,51.54
"CDW","1-4-17",51.79,52.6,51.79,52.38
"CDW","1-5-17",52.1,52.655,51.84,51.87
"CDW","1-6-17",51.89,51.95,51.46,51.69
"CDW","1-9-17",51.84,52,51.04,51.17
"CDW","1-10-17",51.4,52.68,51.12,52.24
"CDW","1-11-17",52.57,53.29,51.51,52.96
"CDW","1-12-17",53,53.1647,52.05,52.74
"CDW","1-13-17",53.04,53.25,52.82,53.22
"CDW","1-17-17",53.34,53.51,52.34,52.69
"CDW","1-18-17",53.06,53.49,52.2,52.42
"CDW","1-19-17",52.5,52.705,51.9,52.01
"CDW","1-20-17",52.19,52.84,51.59,52.02
"CDW","1-23-17",52,52.13,50.82,51.45
"CDW","1-24-17",51.8,52,51.36,51.7
"CDW","1-25-17",52.08,52.19,51.5,51.75
"CDW","1-26-17",51.89,52.47,51.665,51.72
"CDW","1-27-17",51.72,51.74,51.25,51.48
"CDW","1-30-17",51.07,51.5,50.49,51.04
"CDW","1-31-17",51.05,51.575,50.81,51.51
"CDW","2-1-17",52.74,53.09,52.44,52.88
"CDW","2-2-17",52.71,53.12,52.33,52.81
"CDW","2-3-17",52.97,53.48,52.86,53.35
"CDW","2-6-17",53.47,53.54,53.105,53.4
"CDW","2-7-17",54.43,57.22,53.78,56.93
"CDW","2-8-17",57.25,58.12,56.95,57.16
"CDW","2-9-17",57.17,58.57,57.16,58.3
"CDW","2-10-17",58.46,59.49,58.37,58.71
"CDW","2-13-17",59,59.54,58.72,59.26
"CDW","2-14-17",59.02,59.62,58.91,59.38
"CDW","2-15-17",59.55,59.59,59.11,59.25
"CDW","2-16-17",59.45,59.55,58.48,58.83
"CDW","2-17-17",58.74,60,58.65,59.99
"CDW","2-21-17",59.99,60.5,59.49,59.64
"CDW","2-22-17",59.51,60.01,59.42,59.91
"CDW","2-23-17",59.9,60.18,59.11,59.32
"CDW","2-24-17",59.21,59.67,58.881,59.38
"CDW","2-27-17",59.09,59.5,58.875,59.41
"CDW","2-28-17",59.49,59.76,58.67,58.9
"CDW","3-1-17",59.47,60.12,58.92,59.78
"CDW","3-2-17",59.53,60.06,59.28,59.67
"CDW","3-3-17",59.55,59.87,59.17,59.34
"CDW","3-6-17",59.37,59.82,58.93,59.48
"CDW","3-7-17",59.31,60.1,59.19,59.48
"CDW","3-8-17",59.51,59.85,59.11,59.16
"CDW","3-9-17",59.36,59.84,58.99,59.54
"CDW","3-10-17",59.82,60.2212,59.18,59.2
"CDW","3-13-17",59.14,59.4,58.7,59.27
"CDW","3-14-17",59.13,59.5,58.67,59.42
"CDW","3-15-17",59.49,60.15,59.49,60.05
"CDW","3-16-17",59.92,61,59.92,60.6
"CDW","3-17-17",60.6,60.925,60.03,60.36
"CDW","3-20-17",60.2,60.3,59.6,59.73
"CDW","3-21-17",60.1,60.28,57.88,57.95
"CDW","3-22-17",58,58.55,57.67,58.06
"CDW","3-23-17",57.91,58.99,57.82,58.09
"CDW","3-24-17",58.16,58.37,57.39,57.63
"CDW","3-27-17",57.27,57.96,56.1,56.94
"CDW","3-28-17",56.99,57.27,56.48,56.86
"CDW","3-29-17",57.07,57.32,56.33,56.98
"CDW","3-30-17",57.11,57.48,57.08,57.38
"CDW","3-31-17",57.22,58.07,57.13,57.71
"CDW","4-3-17",58,58.01,57.384,57.65
"CDW","4-4-17",57.59,58.09,57.43,57.9
"CDW","4-5-17",58.13,58.22,57.21,57.28
"CDW","4-6-17",57.48,58.04,57.15,57.97
"CDW","4-7-17",57.89,58.3095,57.71,57.94
"CDW","4-10-17",58.09,58.5223,57.58,57.64
"CDW","4-11-17",57.47,57.64,56.87,57.52
"CDW","4-12-17",57.69,57.77,56.58,56.71
"CDW","4-13-17",56.75,57.27,56.57,56.78
"CDW","4-17-17",56.89,57.17,56.74,57.14
"CDW","4-18-17",57.17,57.56,56.9701,57.4
"CDW","4-19-17",57.76,57.97,57.59,57.65
"CDW","4-20-17",57.87,58.23,57.51,58.18
"CDW","4-21-17",58.18,58.31,57.74,57.76
"CDW","4-24-17",58.62,58.989,58.44,58.79
"CDW","4-25-17",59,59.64,58.6401,59.33
"CDW","4-26-17",59.44,60.13,58.951,59.73
"CDW","4-27-17",59.99,60.27,59.72,59.81
"CDW","4-28-17",59.77,60.1275,59,59.09
"CDW","5-1-17",59.36,59.43,58.89,59.26
"CDW","5-2-17",59.29,59.61,58.84,59.04
"CDW","5-3-17",59.3,60.33,58.35,58.8
"CDW","5-4-17",58.87,59.2699,58.54,59.16
"CDW","5-5-17",59.2,59.35,58.59,58.76
"CDW","5-8-17",58.63,59.16,57.74,59.03
"CDW","5-9-17",60,60,59.23,59.48
"CDW","5-10-17",59.01,60,59.01,59.76
"CDW","5-11-17",59.76,59.96,59.305,59.91
"CDW","5-12-17",59.62,59.81,58.67,58.73
"CDW","5-15-17",58.6,59.13,58.51,59.01
"CDW","5-16-17",59.24,59.83,58.86,59.57
"CDW","5-17-17",59.26,59.68,58.73,58.84
"CDW","5-18-17",58.55,58.65,55.8,56.5
"CDW","5-19-17",56.4,57.6,56.4,57.09
"CDW","5-22-17",57.42,57.86,57.1575,57.45
"CDW","5-23-17",57.64,57.84,56.96,57.67
"CDW","5-24-17",57.92,58.54,57.66,58.48
"CDW","5-25-17",58.99,59.548,58.6,59.39
"CDW","5-26-17",59.16,59.42,58.53,59.33
"CDW","5-30-17",59.26,59.59,58.84,59.37
"CDW","5-31-17",59.59,60.25,59.37,60.18
"CDW","6-1-17",60.27,61.44,60.22,61.12
"CDW","6-2-17",60.93,61.59,60.83,61.24
"CDW","6-5-17",61.22,61.54,60.161,61.24
"CDW","6-6-17",61.02,61.58,60.96,61.39
"CDW","6-7-17",61.67,62.38,61.535,62.02
"CDW","6-8-17",62.18,62.91,61.495,62.64
"CDW","6-9-17",62.87,63.2,60.6,60.79
"CDW","6-12-17",60.21,61.215,59.55,60.98
"CDW","6-13-17",61.07,61.77,60.98,61.56
"CDW","6-14-17",61.33,61.92,61.03,61.66
"CDW","6-15-17",61.22,62.08,60.85,62.06
"CDW","6-16-17",62.05,62.14,61.67,61.94
"CDW","6-19-17",62.34,62.61,61.68,62.53
"CDW","6-20-17",62.35,63.17,62.18,62.89
"CDW","6-21-17",63.04,63.14,62.61,62.77
"CDW","6-22-17",62.84,63.215,62.3801,63.17
"CDW","6-23-17",63.2,65.47,63,65.22
"CDW","6-26-17",65.91,66.3298,64.4,64.65
"CDW","6-27-17",63.96,64.71,62.88,62.9
"CDW","6-28-17",63.14,63.68,62.69,63.41
"CDW","6-29-17",63.38,63.38,62.26,62.87
"CDW","6-30-17",63.13,63.39,62.5,62.53
"CDW","7-3-17",62.55,63.6,62.55,62.76
"CDW","7-5-17",62.83,63.42,62.6575,62.99
"CDW","7-6-17",62.42,62.6,61.135,61.23
"CDW","7-7-17",61.38,62.4999,61.28,62.36
"CDW","7-10-17",62.3,62.85,62.285,62.63
"CDW","7-11-17",62.4,63.43,62.4,63.23
"CDW","7-12-17",63.2,64,63.2,63.45
"CDW","7-13-17",63.54,63.99,63.19,63.35
"CDW","7-14-17",63.34,63.77,62.75,63.56
"CDW","7-17-17",63.5,63.85,63.18,63.72
"CDW","7-18-17",63.54,63.84,63.1201,63.59
"CDW","7-19-17",63.56,64.52,63.56,64.06
"CDW","7-20-17",63.88,64.2999,63.41,63.67
"CDW","7-21-17",63.62,63.66,62.945,63.52
"CDW","7-24-17",63,63.87,62.96,63.51
"CDW","7-25-17",63.5,64.04,63.03,63.8
"CDW","7-26-17",63.99,63.99,63.45,63.93
"CDW","7-27-17",64.09,64.23,62.89,63.36
"CDW","7-28-17",63.23,63.46,62.86,63.37
"CDW","7-31-17",63.49,63.85,63.4,63.43
"CDW","8-1-17",63.81,63.99,63.37,63.97
"CDW","8-2-17",64.19,64.27,63.41,63.82
"CDW","8-3-17",64.52,65.39,63.937,64.35
