"Ticker","Date","Open","High","Low","Close"
"CERN","9-19-16",62.29,62.515,61.43,61.48
"CERN","9-20-16",61.69,62.38,61.55,62.11
"CERN","9-21-16",62.1,62.48,61.7,62.37
"CERN","9-22-16",62.81,63.08,62.575,62.98
"CERN","9-23-16",62.65,63.18,62.58,62.75
"CERN","9-26-16",62.39,62.5,61.74,61.94
"CERN","9-27-16",61.93,62.41,61.835,62.15
"CERN","9-28-16",62.31,62.5279,61.86,62.45
"CERN","9-29-16",62.43,62.43,61.43,61.53
"CERN","9-30-16",61.87,62.06,61.19,61.75
"CERN","10-3-16",61.62,61.72,60.78,61.42
"CERN","10-4-16",61.42,61.759,60.77,60.92
"CERN","10-5-16",61.01,61.555,61.01,61.25
"CERN","10-6-16",60.89,61.42,60.67,60.86
"CERN","10-7-16",61.17,61.23,60.57,61.13
"CERN","10-10-16",61.48,61.91,61.42,61.79
"CERN","10-11-16",62.53,62.53,60.26,60.73
"CERN","10-12-16",60.87,61.46,60.75,61.02
"CERN","10-13-16",60.6,61.39,60.2201,61.26
"CERN","10-14-16",61.5,61.82,60.76,60.95
"CERN","10-17-16",60.93,61.04,60.57,60.83
"CERN","10-18-16",61.41,61.7499,61.14,61.15
"CERN","10-19-16",60.17,61.15,60.16,60.67
"CERN","10-20-16",60.73,61.21,60.49,61
"CERN","10-21-16",60.68,60.87,58.405,58.46
"CERN","10-24-16",58.74,59.74,58.5001,59.33
"CERN","10-25-16",59.33,59.63,58.77,58.9
"CERN","10-26-16",58.77,58.77,57.935,58.24
"CERN","10-27-16",58.38,58.5,57.57,57.76
"CERN","10-28-16",57.68,58.59,57.3115,58.4
"CERN","10-31-16",58.51,58.8,58.12,58.58
"CERN","11-1-16",58.52,58.6304,56.91,57.34
"CERN","11-2-16",53.49,54.49,52.78,53.15
"CERN","11-3-16",54.26,54.26,52.79,52.81
"CERN","11-4-16",52.42,53.12,52,52.32
"CERN","11-7-16",52.2,52.78,50.72,52.65
"CERN","11-8-16",52.81,52.86,52.18,52.65
"CERN","11-9-16",50.22,51.1308,49.56,50.8
"CERN","11-10-16",51.28,51.53,49.29,49.46
"CERN","11-11-16",49.46,49.7,48.08,48.47
"CERN","11-14-16",48.77,49.82,48.52,48.68
"CERN","11-15-16",48.04,49.33,48.04,49.2
"CERN","11-16-16",49.13,49.31,48.88,48.93
"CERN","11-17-16",49.01,50.005,48.66,49.59
"CERN","11-18-16",49.55,49.9,49.43,49.53
"CERN","11-21-16",49.58,50.635,49.5,50.51
"CERN","11-22-16",50.52,50.63,49.75,50.06
"CERN","11-23-16",50.02,50.62,50,50.51
"CERN","11-25-16",50.65,50.91,50.44,50.49
"CERN","11-28-16",50.39,51.06,50.35,50.87
"CERN","11-29-16",50.74,51.11,49.53,49.77
"CERN","11-30-16",50.41,50.41,49.17,49.78
"CERN","12-1-16",49.3,49.87,47.55,47.98
"CERN","12-2-16",47.95,48.62,47.47,47.85
"CERN","12-5-16",48.23,48.69,48.08,48.35
"CERN","12-6-16",48.63,48.64,47.46,47.55
"CERN","12-7-16",47.6,48.28,47.4,48
"CERN","12-8-16",47.99,48.24,47.7715,48.08
"CERN","12-9-16",48.1,48.53,48.02,48.4
"CERN","12-12-16",48.27,48.92,48.11,48.89
"CERN","12-13-16",47.46,48.63,47.01,48.21
"CERN","12-14-16",48.2,49.3,47.95,48.01
"CERN","12-15-16",49.9,50.29,48.8,49.15
"CERN","12-16-16",49.19,49.19,48.46,48.92
"CERN","12-19-16",48.8,49.225,48.58,48.69
"CERN","12-20-16",48.51,48.96,48.17,48.5
"CERN","12-21-16",48.56,48.69,48.02,48.54
"CERN","12-22-16",48.4,48.51,47.59,47.81
"CERN","12-23-16",47.99,48.77,47.87,48.04
"CERN","12-27-16",48.06,48.8,48.05,48.28
"CERN","12-28-16",48.29,48.4,47.37,47.47
"CERN","12-29-16",47.47,48.13,47.47,47.92
"CERN","12-30-16",48,48.25,47.21,47.37
"CERN","1-3-17",47.7,49.46,47.58,49.4
"CERN","1-4-17",49.08,49.22,47.8,47.93
"CERN","1-5-17",47.98,48.28,47.58,47.65
"CERN","1-6-17",47.87,47.9,47.09,47.55
"CERN","1-9-17",47.54,48.148,47.16,47.99
"CERN","1-10-17",48.52,49.76,48.3,49.27
"CERN","1-11-17",49.27,50.58,49.27,50.51
"CERN","1-12-17",50.31,51.355,50.13,51.31
"CERN","1-13-17",51.28,51.55,51.02,51.35
"CERN","1-17-17",51.33,52.6,51.0801,52.54
"CERN","1-18-17",52.81,52.88,51.94,52.29
"CERN","1-19-17",52.03,52.03,51.32,51.64
"CERN","1-20-17",51.77,51.96,50.83,51.87
"CERN","1-23-17",51.86,51.86,50.51,50.79
"CERN","1-24-17",50.92,51.34,50.33,51.22
"CERN","1-25-17",51.34,52.3,51.34,52.27
"CERN","1-26-17",52.27,52.48,51.93,52.43
"CERN","1-27-17",52.58,53.07,52.32,53.02
"CERN","1-30-17",52.93,53,52.58,52.94
"CERN","1-31-17",52.77,53.75,52.77,53.71
"CERN","2-1-17",53.61,53.92,53.33,53.86
"CERN","2-2-17",53.81,54.105,53.32,53.62
"CERN","2-3-17",53.43,53.73,52.165,53.66
"CERN","2-6-17",53.49,54.09,53.245,54.05
"CERN","2-7-17",54.07,54.07,53.3,53.6
"CERN","2-8-17",53.49,53.66,52.71,52.93
"CERN","2-9-17",53.16,54.11,53.004,53.88
"CERN","2-10-17",51.5,52.715,51.29,51.5
"CERN","2-13-17",51.53,52.55,51.2617,52.52
"CERN","2-14-17",52.63,54.58,52.62,54.55
"CERN","2-15-17",54.42,55.275,54.3528,55.07
"CERN","2-16-17",55.24,55.64,54.78,55.61
"CERN","2-17-17",55.5,56.24,55.19,56.15
"CERN","2-21-17",56.07,56.59,54.99,55.27
"CERN","2-22-17",55.45,55.95,55.2,55.37
"CERN","2-23-17",55.37,55.57,55.09,55.39
"CERN","2-24-17",54.55,55.63,54.44,55.61
"CERN","2-27-17",55.56,55.7,54.6918,55.35
"CERN","2-28-17",55.35,55.53,54.9,55.04
"CERN","3-1-17",55.48,55.59,54.8,55.45
"CERN","3-2-17",55.33,55.6,55,55.57
"CERN","3-3-17",55.55,55.78,55.23,55.74
"CERN","3-6-17",55.6,55.67,55.07,55.08
"CERN","3-7-17",54.97,55.19,54.56,54.97
"CERN","3-8-17",54.98,55.08,54.01,54.37
"CERN","3-9-17",54.59,54.83,54.08,54.77
"CERN","3-10-17",55.1,55.48,54.67,55.24
"CERN","3-13-17",55.29,55.53,54.88,55.48
"CERN","3-14-17",55.29,55.39,54.49,55.09
"CERN","3-15-17",55.23,55.84,55.14,55.71
"CERN","3-16-17",55.75,56.4,55.5011,56.35
"CERN","3-17-17",56.56,57.03,56.13,56.61
"CERN","3-20-17",56.68,56.78,56.32,56.57
"CERN","3-21-17",56.77,57.05,56.25,56.81
"CERN","3-22-17",56.91,57,56.195,56.4
"CERN","3-23-17",56.44,56.83,56.17,56.53
"CERN","3-24-17",56.79,58.13,56.51,57.77
"CERN","3-27-17",57.61,59.49,57.48,59.29
"CERN","3-28-17",59.12,59.42,58.97,59.26
"CERN","3-29-17",59.02,59.83,58.91,59.14
"CERN","3-30-17",58.92,59.22,58.53,59.17
"CERN","3-31-17",59.13,59.25,58.73,58.85
"CERN","4-3-17",58.72,59.14,58.41,59
"CERN","4-4-17",58.82,59.18,58.57,59.15
"CERN","4-5-17",59.15,59.98,58.92,59.06
"CERN","4-6-17",59.08,59.51,58.86,59.49
"CERN","4-7-17",59.53,59.79,58.97,59.6
"CERN","4-10-17",59.57,59.61,59.04,59.24
"CERN","4-11-17",59.18,59.69,59.02,59.64
"CERN","4-12-17",59.12,59.78,58.52,58.77
"CERN","4-13-17",58.7,58.99,58.48,58.61
"CERN","4-17-17",58.53,59,58.39,58.78
"CERN","4-18-17",58.76,58.77,58.085,58.31
"CERN","4-19-17",58.61,59.04,58.51,58.67
"CERN","4-20-17",58.75,59.48,58.371,59.35
"CERN","4-21-17",59.38,59.48,58.675,58.97
"CERN","4-24-17",59.5,59.5,58.64,59.29
"CERN","4-25-17",59.35,60.245,59.13,59.45
"CERN","4-26-17",59.64,59.96,59.45,59.53
"CERN","4-27-17",59.52,60.46,59.37,60.06
"CERN","4-28-17",62.59,66.2734,62.16,64.75
"CERN","5-1-17",64.63,65.81,64.43,65.27
"CERN","5-2-17",64.84,65.775,64.49,65.28
"CERN","5-3-17",65.33,65.34,64.225,64.28
"CERN","5-4-17",64.32,64.615,63.41,64.12
"CERN","5-5-17",64.39,65.07,64.1,64.89
"CERN","5-8-17",64.9,65.02,64.5,64.61
"CERN","5-9-17",64.5,65.31,64.29,64.85
"CERN","5-10-17",64.75,65.24,64.2,64.73
"CERN","5-11-17",64.74,64.94,64.12,64.75
"CERN","5-12-17",64.8,64.89,63.92,64.36
"CERN","5-15-17",64.75,64.91,64.2,64.29
"CERN","5-16-17",64.4,65.06,64.36,64.83
"CERN","5-17-17",64.19,64.34,63.62,63.66
