"Ticker","Date","Open","High","Low","Close"
"CHKP","9-19-16",75.58,75.58,74.81,75.03
"CHKP","9-20-16",75.06,75.37,74.54,74.81
"CHKP","9-21-16",75.05,76,74.9313,75.89
"CHKP","9-22-16",76,76.57,75.88,76.05
"CHKP","9-23-16",76.24,76.67,75.41,75.7
"CHKP","9-26-16",75.09,75.56,74.88,74.96
"CHKP","9-27-16",74.86,76.32,74.835,76.3
"CHKP","9-28-16",76.62,77.25,76.54,77.06
"CHKP","9-29-16",77.03,77.16,76.6,76.73
"CHKP","9-30-16",76.99,77.685,76.5,77.61
"CHKP","10-3-16",77.26,77.94,77.26,77.57
"CHKP","10-4-16",77.54,78.62,77.54,78.18
"CHKP","10-5-16",78.2,79.34,78.01,78.69
"CHKP","10-6-16",78.38,78.69,77.19,77.76
"CHKP","10-7-16",78.13,79.06,77.8,78.07
"CHKP","10-10-16",78.5,78.51,77.5,77.59
"CHKP","10-11-16",77.59,77.64,76.56,76.63
"CHKP","10-12-16",75.03,77.1,74.34,76.77
"CHKP","10-13-16",76.5,76.56,75.42,76.35
"CHKP","10-14-16",76.53,77.49,76,76.17
"CHKP","10-17-16",75.84,76.48,75.65,76.2
"CHKP","10-18-16",76.75,77.51,76.57,77.23
"CHKP","10-19-16",77.34,77.54,76.98,77.18
"CHKP","10-20-16",77.36,77.42,76.68,77.1
"CHKP","10-21-16",77.36,77.88,76.87,77.67
"CHKP","10-24-16",77.83,78.49,77.77,78.38
"CHKP","10-25-16",78.45,78.73,78.146,78.52
"CHKP","10-26-16",78.42,78.97,78.31,78.85
"CHKP","10-27-16",79,79.38,78.86,79.05
"CHKP","10-28-16",78.98,81.08,78.78,80.98
"CHKP","10-31-16",83.74,84.98,82.79,84.56
"CHKP","11-1-16",84.28,84.85,81.79,83.1
"CHKP","11-2-16",83,84.14,82.71,83.33
"CHKP","11-3-16",83.42,83.96,82.74,82.83
"CHKP","11-4-16",82.03,83.31,81.98,82.65
"CHKP","11-7-16",83.74,84.33,83,84.12
"CHKP","11-8-16",83.84,83.96,82.8,83.4
"CHKP","11-9-16",82.4,85.47,81.45,84.78
"CHKP","11-10-16",84.82,85.85,83.95,85.15
"CHKP","11-11-16",84.99,85.25,83.77,84.44
"CHKP","11-14-16",84.07,84.95,83.19,84.07
"CHKP","11-15-16",84.28,84.75,82.66,82.7
"CHKP","11-16-16",82.08,83.16,82.08,83.15
"CHKP","11-17-16",83.06,83.9,82.375,83.8
"CHKP","11-18-16",83.84,84.21,83.36,83.41
"CHKP","11-21-16",83.84,84.35,83.59,83.96
"CHKP","11-22-16",83,84.49,82.22,83.74
"CHKP","11-23-16",83.69,84,82.88,83.03
"CHKP","11-25-16",83.38,83.59,83.08,83.23
"CHKP","11-28-16",82.94,83.3482,82.44,82.53
"CHKP","11-29-16",82.36,82.915,81.39,81.59
"CHKP","11-30-16",81.85,82.5875,81.61,82.33
"CHKP","12-1-16",82.28,82.51,81.21,81.31
"CHKP","12-2-16",81.2,83,80.78,81.89
"CHKP","12-5-16",81.99,83.91,81.89,83.36
"CHKP","12-6-16",83.69,83.87,82,83.85
"CHKP","12-7-16",83.89,84.67,83.1,84.59
"CHKP","12-8-16",84.72,85.41,84.55,84.59
"CHKP","12-9-16",84.29,85.39,84,85.22
"CHKP","12-12-16",85.18,85.18,84.24,84.64
"CHKP","12-13-16",84.78,85.31,84.05,84.58
"CHKP","12-14-16",84.39,85.27,84.33,84.92
"CHKP","12-15-16",84.81,85.83,84.6,85.05
"CHKP","12-16-16",85.46,86.17,84.64,84.99
"CHKP","12-19-16",85.22,85.62,85,85.38
"CHKP","12-20-16",85.7,86.5333,85.4996,85.9
"CHKP","12-21-16",85.69,86,85.24,85.66
"CHKP","12-22-16",85.93,85.97,84.5,84.95
"CHKP","12-23-16",84.77,85.96,84.64,84.89
"CHKP","12-27-16",85.16,86.7,85.01,86.33
"CHKP","12-28-16",86.25,86.47,85.02,85.18
"CHKP","12-29-16",84.89,86.13,84.59,85.05
"CHKP","12-30-16",85.25,85.63,84.29,84.46
"CHKP","1-3-17",84.73,85.24,84.014,84.57
"CHKP","1-4-17",84.52,85.2701,84,84.92
"CHKP","1-5-17",84.68,86.73,84.6,86.66
"CHKP","1-6-17",86.66,87.75,85.61,87.24
"CHKP","1-9-17",87.33,87.64,86.895,87.2
"CHKP","1-10-17",87.19,88.9284,87.05,88.21
"CHKP","1-11-17",88.48,89.27,88.28,88.49
"CHKP","1-12-17",88.35,89.25,87.7,89.19
"CHKP","1-13-17",89.46,92.23,89.43,90.71
"CHKP","1-17-17",90.57,90.89,89.82,90.39
"CHKP","1-18-17",90.9,90.9,88.91,89.61
"CHKP","1-19-17",95,97.92,94.5,96.34
"CHKP","1-20-17",96.99,97.89,96.3,97.79
"CHKP","1-23-17",97.27,98.25,96.64,97.79
"CHKP","1-24-17",98.07,99.36,97.36,98.89
"CHKP","1-25-17",99.74,99.74,96.25,96.63
"CHKP","1-26-17",96.6,98.49,96.6,98.15
"CHKP","1-27-17",98,99.69,97.5,99.46
"CHKP","1-30-17",99.21,99.21,97.74,98.45
"CHKP","1-31-17",98.54,99.38,98.24,98.77
"CHKP","2-1-17",98.56,98.86,97.31,97.91
"CHKP","2-2-17",97.33,98.71,97.26,98.43
"CHKP","2-3-17",98.69,99.57,98.202,99.4
"CHKP","2-6-17",98.82,99.27,98.3,98.96
"CHKP","2-7-17",100.52,100.87,99.13,100.27
"CHKP","2-8-17",100.45,100.63,98.98,99.56
"CHKP","2-9-17",99.68,100.525,99.58,100.45
"CHKP","2-10-17",100.25,101.63,100.15,101.19
"CHKP","2-13-17",101.77,101.77,100.272,100.94
"CHKP","2-14-17",100.38,101.47,100.3,100.97
"CHKP","2-15-17",101,101.31,100.3,100.85
"CHKP","2-16-17",100.7,101.35,100.6,101
"CHKP","2-17-17",100.57,101.73,100.17,101.21
"CHKP","2-21-17",101.31,101.36,100.43,101.11
"CHKP","2-22-17",101.12,101.32,100.53,100.56
"CHKP","2-23-17",100.94,101.06,99.7,99.81
"CHKP","2-24-17",99.2,99.76,98.51,99.45
"CHKP","2-27-17",99.53,99.95,98.25,99.22
"CHKP","2-28-17",99.2,99.43,98.59,98.91
"CHKP","3-1-17",98.98,99.915,98.25,99.34
"CHKP","3-2-17",99.56,99.57,98.76,99.17
"CHKP","3-3-17",99.2,99.76,98.8,99.36
"CHKP","3-6-17",98.84,99.555,98.6,98.96
"CHKP","3-7-17",98.63,99.49,98.54,98.68
"CHKP","3-8-17",98.59,100.08,98.5,99.8
"CHKP","3-9-17",99.65,99.78,98.52,98.8
"CHKP","3-10-17",99.41,100.0393,98.86,99.92
"CHKP","3-13-17",99.97,100.46,99.64,100.4
"CHKP","3-14-17",99.9,100.395,99.47,99.54
"CHKP","3-15-17",99.47,100.85,99.33,100.73
"CHKP","3-16-17",100.9,102.13,100.51,101.92
"CHKP","3-17-17",102.09,102.24,101.27,101.42
"CHKP","3-20-17",101.61,102.05,101.3,101.69
"CHKP","3-21-17",101.8,102.05,101.06,101.11
"CHKP","3-22-17",100.95,103.25,100.6776,102.84
"CHKP","3-23-17",102.8,103.93,102.43,103.4
"CHKP","3-24-17",103.87,104.35,103.15,103.38
"CHKP","3-27-17",102.56,103.99,102.15,103.71
"CHKP","3-28-17",103.89,104.2,103.36,103.79
"CHKP","3-29-17",103.66,104.2,103,103.42
"CHKP","3-30-17",103.4,103.99,102.92,103.12
"CHKP","3-31-17",102.98,103.08,102.45,102.66
"CHKP","4-3-17",102.74,103.305,102.17,103.21
"CHKP","4-4-17",103.01,103.5,102.71,102.8
"CHKP","4-5-17",103.14,103.755,102.6034,102.87
"CHKP","4-6-17",102.93,103.16,102.28,102.6
"CHKP","4-7-17",102.85,103.35,102.55,103.16
"CHKP","4-10-17",103.23,103.62,102.88,103.3
"CHKP","4-11-17",103.35,103.63,102.1801,103.36
"CHKP","4-12-17",103.94,104.41,103.54,104
"CHKP","4-13-17",103.85,104.64,103.2605,103.53
"CHKP","4-17-17",103.35,104.06,102.87,103.1
"CHKP","4-18-17",104.45,104.45,102.27,102.47
"CHKP","4-19-17",102.91,103.01,102.5,102.82
"CHKP","4-20-17",102.87,102.925,102.06,102.64
"CHKP","4-21-17",103.1,103.54,102.72,103.41
"CHKP","4-24-17",104.87,105.725,103.45,104.38
"CHKP","4-25-17",104.7,105.71,104.56,105.36
"CHKP","4-26-17",105.01,105.35,103.78,104.22
"CHKP","4-27-17",103,105.2,102,104.39
"CHKP","4-28-17",105.19,105.48,103.11,104.01
"CHKP","5-1-17",104.04,104.39,103.4,103.81
"CHKP","5-2-17",104.11,105.04,103.7,104.44
"CHKP","5-3-17",104.7,104.82,104.05,104.38
"CHKP","5-4-17",104.87,106.28,104.6,106.25
"CHKP","5-5-17",106.1,106.37,105.29,106
"CHKP","5-8-17",105.67,106.375,105.5,106.32
"CHKP","5-9-17",106.18,106.33,106,106.04
"CHKP","5-10-17",106.04,106.21,105.62,106.05
"CHKP","5-11-17",105.57,106.32,105.2,105.72
"CHKP","5-12-17",106.01,107.61,105.76,107.6
"CHKP","5-15-17",110.5,110.86,108.26,110.36
"CHKP","5-16-17",110.84,111.24,109.625,110.47
"CHKP","5-17-17",109.86,110.3,108.3,108.38
"CHKP","5-18-17",108.37,109.16,107.39,108.69
"CHKP","5-19-17",108.65,109.16,108.24,108.43
"CHKP","5-22-17",108.59,109.85,108.59,109.57
"CHKP","5-23-17",109.88,110.29,109.01,109.62
"CHKP","5-24-17",109.85,110.02,109.38,109.95
"CHKP","5-25-17",110.21,112.04,110.21,111.4
"CHKP","5-26-17",111.16,111.87,110.78,111.21
"CHKP","5-30-17",111.3,112.17,110.8,111.42
