"Ticker","Date","Open","High","Low","Close"
"CHTR","9-19-16",266.38,268.09,262.7,262.93
"CHTR","9-20-16",264.21,266,261.68,264.56
"CHTR","9-21-16",266,274.78,266,274.27
"CHTR","9-22-16",276,277.62,273.51,276.73
"CHTR","9-23-16",275.65,276.95,274.89,276.08
"CHTR","9-26-16",275.02,275.63,272.49,273.82
"CHTR","9-27-16",273.33,277.77,271.31,275.4
"CHTR","9-28-16",275.4,276.61,273.66,276.57
"CHTR","9-29-16",275.26,276.11,269.14,271.83
"CHTR","9-30-16",268.9,272.41,268.9,269.97
"CHTR","10-3-16",269.68,270.99,266.05,268.16
"CHTR","10-4-16",267.38,269.56,265.93,267.41
"CHTR","10-5-16",268.73,269.3,266.19,267.08
"CHTR","10-6-16",267,269.46,266.36,268.17
"CHTR","10-7-16",269.04,269.04,266.92,266.97
"CHTR","10-10-16",268.3,268.85,266.24,267.85
"CHTR","10-11-16",262.32,263.82,257.51,257.86
"CHTR","10-12-16",257.91,259.33,256.82,256.89
"CHTR","10-13-16",255.72,257.27,253.38,256.4
"CHTR","10-14-16",257.92,261.325,255.8062,257.59
"CHTR","10-17-16",257.82,260.2,256.98,257.52
"CHTR","10-18-16",259.62,261.51,259.51,259.95
"CHTR","10-19-16",260.81,262.92,259.42,260.2
"CHTR","10-20-16",260.5,260.54,257.56,258.12
"CHTR","10-21-16",256.2,257.37,254.08,255.06
"CHTR","10-24-16",257.26,259.78,254.72,259.6
"CHTR","10-25-16",259.99,261.01,256.02,257.06
"CHTR","10-26-16",256.6,257.15,247,248.64
"CHTR","10-27-16",249.04,249.88,242.47,244.1
"CHTR","10-28-16",245.02,252.255,245.02,249.25
"CHTR","10-31-16",250.62,251.25,247.386,249.89
"CHTR","11-1-16",250,251.27,245.43,249.57
"CHTR","11-2-16",249.36,254.55,248.29,252.91
"CHTR","11-3-16",267.57,269.19,242.64,247.42
"CHTR","11-4-16",241.5,254.43,241.5,250.23
"CHTR","11-7-16",254.73,257.495,252.9,257.16
"CHTR","11-8-16",257.58,263.32,255.37,262.26
"CHTR","11-9-16",259.13,277.98,259,269.83
"CHTR","11-10-16",271.2,281.3554,266.58,270.87
"CHTR","11-11-16",269.07,273.79,265.32,272.44
"CHTR","11-14-16",272.29,273.99,263.06,263.14
"CHTR","11-15-16",263.21,267.86,259.95,260.2
"CHTR","11-16-16",260,262.64,258.63,261.99
"CHTR","11-17-16",262.2,266.57,261.205,265.48
"CHTR","11-18-16",264.19,266,260,262.7
"CHTR","11-21-16",263.82,265.71,260.17,264.1
"CHTR","11-22-16",264.94,273.26,264.26,273.02
"CHTR","11-23-16",272.34,273.95,270.65,272.31
"CHTR","11-25-16",273,275.929,272.06,275.5
"CHTR","11-28-16",275.71,275.82,270.28,270.82
"CHTR","11-29-16",272.14,281.43,271.14,280.49
"CHTR","11-30-16",280.49,281.08,272.02,275.31
"CHTR","12-1-16",273.55,276,269.95,272.55
"CHTR","12-2-16",273.04,274.11,265.78,266.67
"CHTR","12-5-16",268.36,273.96,267.01,270.93
"CHTR","12-6-16",272.17,277.09,271.32,276.32
"CHTR","12-7-16",276.44,287.27,275.11,284.25
"CHTR","12-8-16",285.4,285.4,278.61,279
"CHTR","12-9-16",279.74,280.49,276.51,278.81
"CHTR","12-12-16",281.04,281.9492,275.98,277.92
"CHTR","12-13-16",279.59,285.1,275.34,283.86
"CHTR","12-14-16",283.9,293.42,281.99,288.26
"CHTR","12-15-16",288.16,293.74,287.99,291.16
"CHTR","12-16-16",292.62,294.66,287.65,288.44
"CHTR","12-19-16",288.96,291.995,287.09,288.91
"CHTR","12-20-16",288.46,291.61,288.09,290.38
"CHTR","12-21-16",290.63,292.845,288.01,291.24
"CHTR","12-22-16",291.03,291.79,287.47,291.02
"CHTR","12-23-16",290.73,292.97,288.94,290.43
"CHTR","12-27-16",291.55,293.29,290,291.8
"CHTR","12-28-16",293.01,293.73,290.43,291.12
"CHTR","12-29-16",291.02,294.87,290.11,292.19
"CHTR","12-30-16",292.16,292.9899,285.05,287.92
"CHTR","1-3-17",290.24,291.44,282.54,285.77
"CHTR","1-4-17",286.98,292.08,284.23,291.55
"CHTR","1-5-17",289.75,297.13,289.73,296.17
"CHTR","1-6-17",296.12,298.79,294.46,298.16
"CHTR","1-9-17",297.2,297.94,294.71,296.26
"CHTR","1-10-17",296.66,300.15,293.46,298.2
"CHTR","1-11-17",297.45,300.04,296.1,299.54
"CHTR","1-12-17",298.05,298.235,294.56,297.19
"CHTR","1-13-17",297.31,300.07,296.89,298.43
"CHTR","1-17-17",294.02,306.37,292.84,306.14
"CHTR","1-18-17",306.15,307.32,302.09,303.69
"CHTR","1-19-17",302.93,307.76,301.28,306.13
"CHTR","1-20-17",307.64,309.18,306.16,308.44
"CHTR","1-23-17",307.2,309.85,306.17,308.7
"CHTR","1-24-17",309.74,310.21,307.0101,308.35
"CHTR","1-25-17",309.15,311.2,307.16,310.31
"CHTR","1-26-17",333.37,341.5,324.81,333.15
"CHTR","1-27-17",332.92,334.1219,316.96,323.55
"CHTR","1-30-17",323.48,325.26,316.99,324.8
"CHTR","1-31-17",322.65,325.27,321.03,323.95
"CHTR","2-1-17",323.85,327.0099,321.94,326.85
"CHTR","2-2-17",325.64,326.84,324.19,324.41
"CHTR","2-3-17",325.43,329.1,324.12,328.71
"CHTR","2-6-17",327.83,328.28,319.18,322.6
"CHTR","2-7-17",322.98,325.39,321.33,323.37
"CHTR","2-8-17",323.55,327.5,323.2,325.73
"CHTR","2-9-17",325.84,326.46,321.24,325.07
"CHTR","2-10-17",325.07,325.98,321.61,324.56
"CHTR","2-13-17",325,325.12,319.4,323.02
"CHTR","2-14-17",321.91,323.78,320.26,322
"CHTR","2-15-17",321.85,326.18,320.02,325.18
"CHTR","2-16-17",320,327.33,317.02,324.46
"CHTR","2-17-17",323.87,327.1,319.72,326.55
"CHTR","2-21-17",324.3,326.97,321.51,325.15
