"Ticker","Date","Open","High","Low","Close"
"COST","9-19-16",135.13,136.03,134.6,134.79
"COST","9-20-16",135.43,135.71,134.67,135.17
"COST","9-21-16",135.59,135.9,134.25,135.7
"COST","9-22-16",136.03,137.28,135.68,136.15
"COST","9-23-16",136.15,136.77,135.17,135.53
"COST","9-26-16",135.08,135.28,134.01,134.19
"COST","9-27-16",134.42,134.77,133,133.45
"COST","9-28-16",133.6,133.67,131.94,132.41
"COST","9-29-16",132.19,132.69,130.2,130.49
"COST","9-30-16",134.79,137.85,134.6,135.51
"COST","10-3-16",135.22,135.2504,133.32,134.01
"COST","10-4-16",134.47,134.62,132.49,133.48
"COST","10-5-16",133.63,133.92,132.83,132.98
"COST","10-6-16",133.23,133.64,132,132.47
"COST","10-7-16",132.77,133.19,131.79,132.99
"COST","10-10-16",133.35,133.85,132.75,133.28
"COST","10-11-16",132.67,134.14,132.515,134.01
"COST","10-12-16",133.97,134.49,133.39,133.46
"COST","10-13-16",132.93,134.34,132.72,133.22
"COST","10-14-16",133.18,134,132.28,133.15
"COST","10-17-16",133.08,133.2,131.63,131.7
"COST","10-18-16",132.51,132.62,131.41,132.11
"COST","10-19-16",133.7,134.32,132.31,132.45
"COST","10-20-16",132.85,133.78,132.6,133.04
"COST","10-21-16",132.51,133.29,131.5,131.97
"COST","10-24-16",132.35,135.317,132.29,135.12
"COST","10-25-16",132.9,134.97,132.9,133.99
"COST","10-26-16",133.35,134.41,133.28,133.98
"COST","10-27-16",133.83,134.46,132.82,133.86
"COST","10-28-16",133.44,133.86,132.38,132.76
"COST","10-31-16",131.89,132.35,130.1,130.87
"COST","11-1-16",131.48,131.63,129.3805,129.66
"COST","11-2-16",129.43,130.34,129.12,129.27
"COST","11-3-16",129.7,129.7,127.14,127.45
"COST","11-4-16",126,128,125.11,125.24
"COST","11-7-16",126.38,126.655,125.75,126.54
"COST","11-8-16",126.89,129.63,126.8,129.09
"COST","11-9-16",126.54,130.39,126.54,129.79
"COST","11-10-16",130.06,133,129.61,129.7
"COST","11-11-16",129.61,132.62,128.38,132.36
"COST","11-14-16",133.92,135.1385,132.5,135
"COST","11-15-16",134.98,135,133.29,134.15
"COST","11-16-16",135.19,135.55,134.7975,135.14
"COST","11-17-16",134.23,134.4,132.55,134.2
"COST","11-18-16",133.84,134.2,132.52,133.36
"COST","11-21-16",133.55,134.29,133.1228,134.17
"COST","11-22-16",134.93,136.0499,134.21,135.67
"COST","11-23-16",135.75,136.34,134.18,134.6
"COST","11-25-16",134.89,136.42,134.71,134.88
"COST","11-28-16",134.05,135.43,134.01,134.25
"COST","11-29-16",134.62,135.2219,134.33,134.48
"COST","11-30-16",134.13,134.535,133.07,133.11
"COST","12-1-16",133.11,135.88,133.11,134.74
"COST","12-2-16",134.99,135.87,134.43,135.09
"COST","12-5-16",135.09,135.225,133.78,134.77
"COST","12-6-16",134.85,135.08,133.42,134.01
"COST","12-7-16",133.6,136.91,133.48,136.85
"COST","12-8-16",139.64,143.9,139.6,140.59
"COST","12-9-16",140.28,142.83,140.26,142.7
"COST","12-12-16",141.6,144.28,141.56,143.33
"COST","12-13-16",143.85,145.035,142.14,142.77
"COST","12-14-16",143.05,143.45,141.25,141.99
"COST","12-15-16",142.35,144.5,142.07,143.11
"COST","12-16-16",143.49,144.25,142.85,143.41
"COST","12-19-16",145.01,147.53,144.65,146.46
"COST","12-20-16",147.32,147.95,146.5,146.86
"COST","12-21-16",146.6,147.03,146.02,146.04
"COST","12-22-16",146.66,146.67,144.92,145.07
"COST","12-23-16",145.17,145.67,144.53,145.08
"COST","12-27-16",145.06,145.76,144.8,145.05
"COST","12-28-16",145.02,145.85,143.55,144.01
"COST","12-29-16",143.65,144.44,143.648,144.13
"COST","12-30-16",143.89,143.99,142.67,143.11
"COST","1-3-17",143.65,143.99,141.51,142.73
"COST","1-4-17",142.8,143.49,141.94,142.76
"COST","1-5-17",143.95,146.35,143.63,145.91
"COST","1-6-17",145.67,145.95,144.13,145.83
"COST","1-9-17",145.33,145.48,143.72,143.97
"COST","1-10-17",143.58,145.41,143.51,144.66
"COST","1-11-17",144.47,145.38,143.35,144.54
"COST","1-12-17",144.35,144.96,143.67,144.87
"COST","1-13-17",144.99,145.13,144.35,144.86
"COST","1-17-17",144.85,147.25,144.67,146.81
"COST","1-18-17",146.65,147.38,145.59,147.27
"COST","1-19-17",147.18,147.8,146.56,146.7
"COST","1-20-17",147.39,147.77,146.23,147.24
"COST","1-23-17",147.05,147.35,145.17,146.01
"COST","1-24-17",146.23,146.82,145.9598,146.67
"COST","1-25-17",147.2,147.75,146.9,147.14
"COST","1-26-17",147.34,147.44,146.4,147.07
"COST","1-27-17",147.56,147.58,143.71,145.06
"COST","1-30-17",145.03,146.29,143.6,146.25
"COST","1-31-17",145.49,147,145.35,146.95
"COST","2-1-17",146.84,146.95,144.81,144.86
"COST","2-2-17",149.84,151.88,149.155,151.15
"COST","2-3-17",150.72,151.84,150.151,151.32
"COST","2-6-17",151.18,151.18,149.71,150.03
"COST","2-7-17",150.53,151.08,149.53,150.52
"COST","2-8-17",150.5,151.57,150.5,151.42
"COST","2-9-17",151.45,154.415,151.17,153.96
"COST","2-10-17",154.65,155.27,153.27,155
"COST","2-13-17",155.49,155.49,153.78,154.96
"COST","2-14-17",154.66,156.64,154.55,156.63
"COST","2-15-17",156.18,158,156.0601,158
"COST","2-16-17",158.1,158.83,157.505,158.75
"COST","2-17-17",158.47,159.5,157.48,158.86
"COST","2-21-17",159.55,160,159,159.94
"COST","2-22-17",160.07,160.09,158.07,159.51
"COST","2-23-17",159.52,160.04,158.21,158.85
"COST","2-24-17",158.22,160.71,158.12,160.56
"COST","2-27-17",160.33,160.85,159.55,160.62
"COST","2-28-17",159.95,160.87,158.48,160.18
"COST","3-1-17",160.37,161.71,160.22,160.86
"COST","3-2-17",160.5,161.25,159.51,160.98
"COST","3-3-17",153.7,154.89,152.9,153.26
"COST","3-6-17",152.41,153.33,149.11,149.73
"COST","3-7-17",149.54,151.62,149.54,150
"COST","3-8-17",150,150.41,149.16,149.24
"COST","3-9-17",149.4,149.79,148.12,148.77
"COST","3-10-17",149.49,149.5,147.98,148.37
"COST","3-13-17",147.85,148.1053,147.3,147.55
"COST","3-14-17",147.21,148.32,147.1,148.24
"COST","3-15-17",148.57,149.54,147.83,149.54
"COST","3-16-17",149.78,150.67,149.26,150.06
"COST","3-17-17",151.06,151.35,150.07,150.81
"COST","3-20-17",150.76,151.29,149.8,150.44
