"Ticker","Date","Open","High","Low","Close"
"CRM","9-19-16",73.72,73.78,72.595,73
"CRM","9-20-16",73.54,73.79,72.66,72.91
"CRM","9-21-16",73.22,74.26,72.11,74.18
"CRM","9-22-16",75,75.22,74.31,74.59
"CRM","9-23-16",73.09,73.2,70.095,70.39
"CRM","9-26-16",70.5,71.2097,69.88,70.19
"CRM","9-27-16",69.97,70.65,69.81,70.05
"CRM","9-28-16",70.39,71.73,70.15,71.62
"CRM","9-29-16",71.6,72.1161,71.145,71.2
"CRM","9-30-16",71.3,71.79,71.25,71.33
"CRM","10-3-16",71.15,71.5,70.03,70.52
"CRM","10-4-16",70.59,72.95,70.22,72.63
"CRM","10-5-16",68.21,69.6,66.77,68.42
"CRM","10-6-16",71.05,72,70.51,71.26
"CRM","10-7-16",71.25,71.43,70.21,70.91
"CRM","10-10-16",73.58,75.73,73.58,75.1
"CRM","10-11-16",73.9,73.92,71.55,72.42
"CRM","10-12-16",72.26,72.665,71.84,72.23
"CRM","10-13-16",71.38,71.38,70.5,70.63
"CRM","10-14-16",70.98,76.16,69.62,74.27
"CRM","10-17-16",74.1,74.74,72.74,72.83
"CRM","10-18-16",74,74.17,72.6,72.77
"CRM","10-19-16",72.61,75.5,72.44,72.82
"CRM","10-20-16",72.97,72.97,72.25,72.59
"CRM","10-21-16",72.34,74.265,72.23,74
"CRM","10-24-16",74.43,75.34,74.28,75.06
"CRM","10-25-16",75.15,75.26,74.57,75.06
"CRM","10-26-16",74.65,76.16,74.33,74.95
"CRM","10-27-16",75.49,76.16,74.62,74.74
"CRM","10-28-16",74.99,75.5,74.82,75.13
"CRM","10-31-16",75.32,76,74.87,75.16
"CRM","11-1-16",75.99,77.09,75.24,75.45
"CRM","11-2-16",75.15,75.65,74.915,75
"CRM","11-3-16",75.04,75.4,73.73,74.14
"CRM","11-4-16",74.14,75.18,73.86,74.37
"CRM","11-7-16",75.64,77,75.41,76.3
"CRM","11-8-16",76.36,77.04,76.001,76.55
"CRM","11-9-16",75.23,76.55,74.91,75.9
