"Ticker","Date","Open","High","Low","Close"
"CSCO","9-19-16",30.85,31.25,30.82,31.02
"CSCO","9-20-16",31.08,31.22,31.04,31.1
"CSCO","9-21-16",31.11,31.38,30.97,31.36
"CSCO","9-22-16",31.5,31.8,31.49,31.66
"CSCO","9-23-16",31.71,31.8,31.31,31.34
"CSCO","9-26-16",31.1,31.16,30.79,31.07
"CSCO","9-27-16",31.09,31.61,30.96,31.48
"CSCO","9-28-16",31.44,31.59,31.3624,31.5
"CSCO","9-29-16",31.51,31.57,31.25,31.39
"CSCO","9-30-16",31.61,31.8,31.56,31.72
"CSCO","10-3-16",31.31,31.58,31.2,31.5
"CSCO","10-4-16",31.46,31.63,31.15,31.35
"CSCO","10-5-16",31.41,31.68,31.41,31.59
"CSCO","10-6-16",31.57,31.63,31.21,31.48
"CSCO","10-7-16",31.48,31.6,31.23,31.47
"CSCO","10-10-16",31.54,31.68,31.44,31.47
"CSCO","10-11-16",31.52,31.53,30.85,31.04
"CSCO","10-12-16",30.53,30.63,29.94,30.34
"CSCO","10-13-16",30.09,30.25,29.86,30.17
"CSCO","10-14-16",30.35,30.55,30.16,30.18
"CSCO","10-17-16",30.13,30.42,30.1,30.22
"CSCO","10-18-16",30.69,30.69,30.43,30.44
"CSCO","10-19-16",30.44,30.45,30.19,30.35
"CSCO","10-20-16",30.28,30.3736,30.04,30.16
"CSCO","10-21-16",30.01,30.2,29.92,30.15
"CSCO","10-24-16",30.3405,30.5,30.3,30.46
"CSCO","10-25-16",30.5,30.51,30.23,30.34
"CSCO","10-26-16",30.59,30.86,30.32,30.55
"CSCO","10-27-16",30.595,30.67,30.355,30.38
"CSCO","10-28-16",30.36,30.8,30.35,30.59
"CSCO","10-31-16",30.34,30.77,30.32,30.68
"CSCO","11-1-16",30.85,30.86,30.23,30.48
"CSCO","11-2-16",30.43,30.68,30.23,30.39
"CSCO","11-3-16",30.5,30.56,30.24,30.32
"CSCO","11-4-16",29.98,30.495,29.63,30.19
"CSCO","11-7-16",30.71,31.06,30.61,30.94
"CSCO","11-8-16",30.94,31.195,30.725,31
"CSCO","11-9-16",31.04,31.49,30.7,31.36
"CSCO","11-10-16",31.41,31.76,30.81,31
"CSCO","11-11-16",30.93,31.47,30.92,31.36
"CSCO","11-14-16",31.43,31.67,31.35,31.37
"CSCO","11-15-16",31.27,31.85,31.27,31.7
"CSCO","11-16-16",31.62,31.89,31.51,31.57
"CSCO","11-17-16",29.91,30.05,29.61,30.05
"CSCO","11-18-16",30.11,30.36,30.005,30.18
"CSCO","11-21-16",30.3,30.33,30.01,30.05
"CSCO","11-22-16",30.08,30.19,29.85,29.89
"CSCO","11-23-16",29.83,29.95,29.56,29.71
"CSCO","11-25-16",29.6,30.145,29.55,30.09
"CSCO","11-28-16",30.08,30.09,29.82,29.92
"CSCO","11-29-16",29.94,30.1,29.79,29.83
"CSCO","11-30-16",29.76,29.95,29.68,29.82
"CSCO","12-1-16",29.84,29.85,29.4,29.45
"CSCO","12-2-16",29.31,29.56,29.12,29.25
"CSCO","12-5-16",29.33,29.6,29.29,29.53
"CSCO","12-6-16",29.42,29.59,29.24,29.33
"CSCO","12-7-16",29.48,30.04,29.32,29.95
"CSCO","12-8-16",30.11,30.33,29.92,29.95
"CSCO","12-9-16",29.98,30.07,29.73,30.06
"CSCO","12-12-16",30.08,30.2,30.025,30.17
"CSCO","12-13-16",30.3,30.64,30.2,30.59
"CSCO","12-14-16",30.6,31.065,30.41,30.46
"CSCO","12-15-16",30.59,30.8,30.505,30.63
"CSCO","12-16-16",30.7,30.72,30.2705,30.59
"CSCO","12-19-16",30.65,30.87,30.535,30.75
"CSCO","12-20-16",30.83,30.87,30.455,30.56
"CSCO","12-21-16",30.69,30.69,30.41,30.42
"CSCO","12-22-16",30.4,30.48,30.25,30.46
"CSCO","12-23-16",30.54,30.6,30.4,30.53
"CSCO","12-27-16",30.64,30.82,30.6,30.68
"CSCO","12-28-16",30.7,30.77,30.35,30.42
"CSCO","12-29-16",30.37,30.55,30.33,30.46
"CSCO","12-30-16",30.56,30.6,30.13,30.22
"CSCO","1-3-17",30.37,30.56,30.21,30.54
"CSCO","1-4-17",30.235,30.42,30.02,30.1
"CSCO","1-5-17",30.1,30.355,30.07,30.17
"CSCO","1-6-17",30.17,30.35,30.03,30.23
"CSCO","1-9-17",30.22,30.33,30.08,30.18
"CSCO","1-10-17",30.19,30.55,30.1,30.38
"CSCO","1-11-17",30.33,30.41,30.03,30.15
"CSCO","1-12-17",30.15,30.155,29.8,30.04
"CSCO","1-13-17",30.1,30.22,30.01,30.07
"CSCO","1-17-17",30,30.25,29.84,29.99
"CSCO","1-18-17",30.12,30.18,29.95,30.03
"CSCO","1-19-17",30.01,30.19,29.915,29.98
"CSCO","1-20-17",30.12,30.25,30,30.1
"CSCO","1-23-17",30.14,30.3,30.085,30.27
"CSCO","1-24-17",30.34,30.75,30.29,30.6
"CSCO","1-25-17",31.04,31.05,30.65,30.7
"CSCO","1-26-17",30.76,30.84,30.56,30.74
"CSCO","1-27-17",30.76,30.98,30.63,30.98
"CSCO","1-30-17",30.94,30.995,30.63,30.83
"CSCO","1-31-17",30.68,30.89,30.58,30.72
"CSCO","2-1-17",30.847,30.847,30.42,30.5
"CSCO","2-2-17",30.69,31.26,30.525,31.18
"CSCO","2-3-17",31.27,31.35,31.12,31.32
"CSCO","2-6-17",31.29,31.305,31.12,31.3
"CSCO","2-7-17",31.38,31.6399,31.33,31.45
"CSCO","2-8-17",31.46,31.55,31.25,31.27
"CSCO","2-9-17",31.35,31.69,31.3,31.5
"CSCO","2-10-17",31.48,31.63,31.24,31.51
"CSCO","2-13-17",31.67,31.995,31.55,31.97
"CSCO","2-14-17",31.9,32.31,31.77,32.31
"CSCO","2-15-17",32.35,32.84,32.29,32.82
"CSCO","2-16-17",33.26,33.97,33.25,33.6
"CSCO","2-17-17",33.52,33.77,33.43,33.74
"CSCO","2-21-17",33.69,34.21,33.66,34.13
"CSCO","2-22-17",34.04,34.1485,33.66,34.09
"CSCO","2-23-17",34.28,34.28,33.95,34.04
"CSCO","2-24-17",33.98,34.32,33.8,34.32
"CSCO","2-27-17",34.21,34.32,34.12,34.26
"CSCO","2-28-17",34.16,34.2869,34.04,34.18
"CSCO","3-1-17",34.28,34.51,34.18,34.44
"CSCO","3-2-17",34.41,34.53,34.21,34.39
"CSCO","3-3-17",34.42,34.44,34.23,34.29
"CSCO","3-6-17",34.04,34.28,33.96,34.19
"CSCO","3-7-17",34,34.25,33.99,34.2
"CSCO","3-8-17",34.18,34.23,33.93,34.02
"CSCO","3-9-17",34.04,34.11,33.87,34.07
"CSCO","3-10-17",34.24,34.295,34.08,34.26
"CSCO","3-13-17",34.22,34.33,34,34.1
"CSCO","3-14-17",33.94,34.14,33.84,34.12
"CSCO","3-15-17",34.07,34.35,34.05,34.24
"CSCO","3-16-17",34.25,34.48,34.1,34.23
"CSCO","3-17-17",34.35,34.38,34.19,34.23
