"Ticker","Date","Open","High","Low","Close"
"CVX","9-19-16",98.33,98.85,97.99,98.04
"CVX","9-20-16",98.17,98.48,97.68,97.7
"CVX","9-21-16",98.35,99.69,98.25,99.63
"CVX","9-22-16",100.52,100.75,99.84,99.98
"CVX","9-23-16",99.34,100.55,98.87,99.22
"CVX","9-26-16",99.49,100.28,98.66,98.78
"CVX","9-27-16",98.24,99.658,97.79,98.98
"CVX","9-28-16",99.52,102.28,98.75,102.15
"CVX","9-29-16",102,102.27,100.48,101.27
"CVX","9-30-16",101.83,103.6,101.23,102.92
"CVX","10-3-16",102.55,102.83,101.91,102.45
"CVX","10-4-16",102.71,102.92,100.76,101.27
"CVX","10-5-16",101.99,102.865,101.75,102.23
"CVX","10-6-16",102.32,102.7,101.34,102.18
"CVX","10-7-16",102.5,103.47,102.19,102.27
"CVX","10-10-16",103.21,104.42,103.21,103.98
"CVX","10-11-16",103.78,104.1,102.68,103.04
"CVX","10-12-16",102.74,102.83,101.6,102.15
"CVX","10-13-16",101.49,101.72,99.61,100.79
"CVX","10-14-16",101.48,101.96,100.61,101.08
"CVX","10-17-16",100.94,101.485,100.62,101.36
"CVX","10-18-16",101.99,102.25,101.12,101.79
"CVX","10-19-16",102.47,103.695,102.24,102.27
"CVX","10-20-16",101.64,102.22,100.69,101.87
"CVX","10-21-16",101.06,101.56,100.63,101.3
"CVX","10-24-16",101.56,101.5779,100.06,100.66
"CVX","10-25-16",100.75,101.67,100.522,100.77
"CVX","10-26-16",100.32,101.53,99.87,101.19
"CVX","10-27-16",101.51,101.98,99.92,99.92
"CVX","10-28-16",101.12,105.03,100.95,103.82
"CVX","10-31-16",103.82,105.46,103.78,104.75
"CVX","11-1-16",105.51,106.74,105.45,106.48
"CVX","11-2-16",105.65,106.05,104.25,105.39
"CVX","11-3-16",105.53,106.19,104.95,105.39
"CVX","11-4-16",105.25,105.49,104.38,104.78
"CVX","11-7-16",106,106.98,105.7803,106.85
"CVX","11-8-16",106.57,108.19,106.42,107.29
"CVX","11-9-16",106.04,108.26,105.69,107.64
"CVX","11-10-16",107.54,108.5,107.24,107.79
"CVX","11-11-16",107.48,107.65,105.94,106.64
"CVX","11-14-16",106.15,106.73,105.59,106.59
"CVX","11-15-16",107.49,109.06,107.4,108.96
"CVX","11-16-16",108.2,109,107.74,108.35
"CVX","11-17-16",109,110.1,107.5884,108.12
"CVX","11-18-16",108.57,109.67,108.15,109.2
"CVX","11-21-16",110.36,111,110.07,110.18
"CVX","11-22-16",110.79,111,109.31,110.62
"CVX","11-23-16",110.4,111.47,110.04,111
"CVX","11-25-16",110.54,111.22,110.12,111
"CVX","11-28-16",110.95,111.57,110.38,110.5
"CVX","11-29-16",109.1,109.72,108.4,109.34
"CVX","11-30-16",112.05,112.98,111.3,111.56
"CVX","12-1-16",112.79,114.91,112.53,113.29
"CVX","12-2-16",113.2,113.81,112.28,113
"CVX","12-5-16",113.39,114.48,113.03,113.25
"CVX","12-6-16",112.39,113.485,112.21,112.76
"CVX","12-7-16",113.04,114.48,112.82,114.44
"CVX","12-8-16",114.73,115.4,114.2,115.17
"CVX","12-9-16",114.99,115.99,114.97,115.81
"CVX","12-12-16",117.77,118.99,116.57,117.15
"CVX","12-13-16",117.9,118.31,116.03,117.42
"CVX","12-14-16",116.71,117.88,115.76,115.96
"CVX","12-15-16",115.63,117.39,115.36,117.05
"CVX","12-16-16",117.84,118.58,117.42,118.08
"CVX","12-19-16",118.37,118.45,117.42,117.65
"CVX","12-20-16",117.85,118.63,117.67,117.95
"CVX","12-21-16",118.34,119,117.861,117.91
"CVX","12-22-16",117.94,118.99,117.77,118.77
"CVX","12-23-16",118.41,118.695,118.05,118.42
"CVX","12-27-16",118.5,118.9,118.11,118.22
"CVX","12-28-16",118.31,118.86,117.75,117.91
"CVX","12-29-16",118.01,118.42,117.48,117.82
"CVX","12-30-16",117.44,118.2419,117.31,117.7
"CVX","1-3-17",118.38,119,116.59,117.85
"CVX","1-4-17",118.41,118.65,117.6,117.82
"CVX","1-5-17",118,118.48,116.72,117.31
"CVX","1-6-17",117.45,117.58,116.38,116.84
"CVX","1-9-17",116.29,116.36,115.11,115.84
"CVX","1-10-17",115.56,116.39,114.89,114.96
"CVX","1-11-17",115.15,116.45,114.86,115.93
"CVX","1-12-17",116.5,116.99,115.41,116.16
"CVX","1-13-17",115.86,116.88,115.61,116.38
"CVX","1-17-17",116.4,116.77,116.11,116.28
"CVX","1-18-17",115.68,116.04,115.3986,115.94
"CVX","1-19-17",115.89,115.96,115.29,115.58
"CVX","1-20-17",116.32,116.75,115.34,115.6
"CVX","1-23-17",115.12,115.96,114.99,115.39
"CVX","1-24-17",115.85,117.108,115.61,116.37
"CVX","1-25-17",116.9,117.43,116.34,117.24
"CVX","1-26-17",117.5,117.82,116.5,116.55
"CVX","1-27-17",113.53,114.7,112.85,113.79
"CVX","1-30-17",113.15,113.8,110.72,111.82
"CVX","1-31-17",111.89,112.2,110.76,111.35
"CVX","2-1-17",111.2,111.78,110.8428,111
"CVX","2-2-17",111.17,112.24,110.71,112.21
"CVX","2-3-17",112.41,114.28,112.14,113.57
"CVX","2-6-17",113.28,113.5,112.45,112.98
"CVX","2-7-17",112.98,113.1,111.11,111.39
"CVX","2-8-17",111.13,111.79,110.32,111.58
"CVX","2-9-17",111.91,112.63,111.69,112.26
"CVX","2-10-17",112.75,113.45,112.37,113.05
"CVX","2-13-17",113.36,113.99,113.05,113.91
"CVX","2-14-17",112.68,113.07,111.78,112.52
"CVX","2-15-17",112.21,113.24,112.21,112.57
"CVX","2-16-17",112.99,112.99,110.43,110.68
"CVX","2-17-17",110.42,110.57,109.27,110.33
"CVX","2-21-17",110.73,112.31,110.6,111.72
"CVX","2-22-17",111.19,111.78,110.31,110.38
"CVX","2-23-17",111.34,111.83,110.75,111.02
"CVX","2-24-17",110.9,111.02,109.47,110.12
"CVX","2-27-17",110.65,112.2697,110.37,111.75
"CVX","2-28-17",111.66,112.76,111.49,112.5
"CVX","3-1-17",112.92,114.3932,112.88,113.88
"CVX","3-2-17",113.67,114.27,113.31,113.36
"CVX","3-3-17",113.76,113.89,113.21,113.55
"CVX","3-6-17",113.25,113.5,112.67,113.17
"CVX","3-7-17",113.54,113.88,111.69,111.81
"CVX","3-8-17",111.68,111.92,109.4,109.61
"CVX","3-9-17",109.31,110.17,108.51,110.04
"CVX","3-10-17",111.4,111.4099,109.44,110.61
"CVX","3-13-17",110.51,110.81,109.31,109.35
"CVX","3-14-17",108.47,108.5737,107.12,107.36
"CVX","3-15-17",108.08,108.98,107.54,108.88
"CVX","3-16-17",108.81,108.88,107.44,107.86
"CVX","3-17-17",108,108.42,107.68,107.68
"CVX","3-20-17",107.27,107.85,107.02,107.66
"CVX","3-21-17",108.06,108.23,107.4,108.04
"CVX","3-22-17",107.65,108.85,107.52,108.39
"CVX","3-23-17",108.29,108.86,107.75,107.87
"CVX","3-24-17",107.93,108.42,107.7,107.99
"CVX","3-27-17",107,107.35,105.82,106.28
"CVX","3-28-17",106.28,107.74,106.12,107.17
"CVX","3-29-17",106.95,108.0799,106.88,108.07
"CVX","3-30-17",108.15,108.68,107.2,107.78
"CVX","3-31-17",107.7,108.14,107.05,107.37
"CVX","4-3-17",107.22,107.97,106.38,107.8
"CVX","4-4-17",107.88,108.72,107.01,108.66
"CVX","4-5-17",109.65,110.67,108.56,108.64
"CVX","4-6-17",109.12,109.65,108.75,109.29
"CVX","4-7-17",109.38,109.58,108.665,108.86
"CVX","4-10-17",109.12,110.2,108.97,109.43
"CVX","4-11-17",109.53,109.54,108.06,108.97
"CVX","4-12-17",109.36,109.36,108.45,108.97
"CVX","4-13-17",108.64,108.735,105.93,106.1
"CVX","4-17-17",106.17,106.4837,105.65,106.17
"CVX","4-18-17",105.81,106.68,105.321,105.68
"CVX","4-19-17",105.89,106.14,103.83,104.23
"CVX","4-20-17",104.4,105.69,104.36,104.88
"CVX","4-21-17",104.8,105.43,104.29,104.89
"CVX","4-24-17",105.79,106.41,105.37,105.93
"CVX","4-25-17",106.3,106.97,106.18,106.73
"CVX","4-26-17",106.4,107.48,105.97,106.08
"CVX","4-27-17",105.96,105.98,104.67,105.47
"CVX","4-28-17",107.05,107.6,105.99,106.7
"CVX","5-1-17",106.26,106.73,105.76,105.92
"CVX","5-2-17",106.11,106.53,105.09,105.36
"CVX","5-3-17",105.36,107.26,105.13,106.72
"CVX","5-4-17",106.24,106.33,104.14,104.81
"CVX","5-5-17",104.92,105.885,104.7,105.79
"CVX","5-8-17",105.93,106.72,105.82,106.68
"CVX","5-9-17",106.51,106.75,104.815,105.08
"CVX","5-10-17",105.819,106.83,105.54,106.5
"CVX","5-11-17",107.08,107.08,105.63,106.21
"CVX","5-12-17",106.06,106.2887,105.48,105.96
"CVX","5-15-17",107.15,107.71,106.675,106.85
"CVX","5-16-17",107.57,107.66,106.94,107.25
"CVX","5-17-17",105.53,106.27,104.62,104.7
"CVX","5-18-17",104.55,105.68,103.84,105.17
"CVX","5-19-17",105.52,106.52,105.17,106.52
"CVX","5-22-17",107.09,107.09,105.75,106.12
"CVX","5-23-17",106.07,106.56,105.98,106.27
"CVX","5-24-17",106.1,106.36,105.725,106.22
"CVX","5-25-17",106.1,106.71,104.72,105.11
"CVX","5-26-17",105.05,105.285,104.6,104.72
"CVX","5-30-17",104.35,104.7105,103.7505,104.06
"CVX","5-31-17",103.55,103.89,103.07,103.48
"CVX","6-1-17",103.69,104.28,103.43,104.27
"CVX","6-2-17",103.82,103.94,102.77,103.11
"CVX","6-5-17",102.8,103.58,102.6301,103.19
"CVX","6-6-17",103.11,104.45,102.76,104.17
"CVX","6-7-17",103.97,104.43,102.55,103.77
"CVX","6-8-17",103.44,104.74,103.44,104
"CVX","6-9-17",104.01,106.49,104.01,106.4
"CVX","6-12-17",107.42,108.43,107.2846,108.04
"CVX","6-13-17",108.34,108.49,107.16,108.13
"CVX","6-14-17",107.91,107.99,105.74,106.6
"CVX","6-15-17",106.5,106.8,105.87,106.33
"CVX","6-16-17",106.94,108.36,106.21,108.35
"CVX","6-19-17",108.31,108.38,107.14,107.46
"CVX","6-20-17",106.25,106.6,105.38,106.48
"CVX","6-21-17",105.89,106.9,103.92,104.49
"CVX","6-22-17",104.48,105.14,104.04,104.45
"CVX","6-23-17",104.25,105.42,104.24,105
"CVX","6-26-17",105.03,105.19,104.03,104.14
"CVX","6-27-17",104.73,104.89,104.03,104.07
"CVX","6-28-17",104.43,104.9,104.04,104.28
"CVX","6-29-17",104.38,105.15,104.05,104.12
"CVX","6-30-17",104.53,104.72,103.89,104.33
"CVX","7-3-17",104.24,106.96,104.24,106.3
"CVX","7-5-17",105.99,106.3,104.27,104.62
"CVX","7-6-17",104.67,105.13,103.71,103.82
"CVX","7-7-17",103.59,103.76,102.81,103.49
"CVX","7-10-17",103.44,103.581,102.6,103.04
"CVX","7-11-17",103.15,103.5,102.55,103.12
"CVX","7-12-17",104,104.75,103.47,103.89
"CVX","7-13-17",103.8,104.21,103.46,104.13
"CVX","7-14-17",104.38,104.64,103.73,104.44
"CVX","7-17-17",104.32,104.97,104.08,104.21
"CVX","7-18-17",104.6,104.6,103.51,103.72
"CVX","7-19-17",103.56,104.48,103.51,104.46
"CVX","7-20-17",105,105.37,103.815,104.63
"CVX","7-21-17",104.18,104.38,103.15,103.25
"CVX","7-24-17",103.18,103.57,102.92,103.2
"CVX","7-25-17",104.45,105.15,104.32,104.39
"CVX","7-26-17",104.63,106.08,104.2,105.12
"CVX","7-27-17",104.88,106.3166,104.61,106.11
"CVX","7-28-17",106.71,109.13,106.36,108.12
"CVX","7-31-17",108.39,110,108.15,109.19
"CVX","8-1-17",109.54,110.97,109.42,110.78
"CVX","8-2-17",110.39,111.195,109.85,110.46
"CVX","8-3-17",110.23,110.45,109.05,109.43
"CVX","8-4-17",109.43,110.2,109.43,110.11
"CVX","8-7-17",109.81,110.29,109.5801,109.78
"CVX","8-8-17",110,110.71,109.77,110.35
"CVX","8-9-17",110.74,111.4109,110.26,110.89
"CVX","8-10-17",111.23,111.44,110.03,110.11
"CVX","8-11-17",110.2,110.49,109.13,109.23
"CVX","8-14-17",109.26,109.82,108.32,108.71
"CVX","8-15-17",108.75,108.9,107.525,108.57
"CVX","8-16-17",107.63,107.92,106.69,106.84
"CVX","8-17-17",106.61,106.87,105.91,105.92
"CVX","8-18-17",105.84,107.34,105.5,106.48
"CVX","8-21-17",106.48,106.48,105.3,105.78
"CVX","8-22-17",105.99,106.92,105.81,106.36
"CVX","8-23-17",106.21,107.06,106.11,106.61
"CVX","8-24-17",106.5,107.67,106.33,107.44
"CVX","8-25-17",107.82,108.71,107.52,108.23
"CVX","8-28-17",108.54,108.59,107.27,107.76
"CVX","8-29-17",107.43,108.05,107.04,107.86
"CVX","8-30-17",107.58,107.8422,107.1,107.73
"CVX","8-31-17",108,108.23,107.5,107.62
"CVX","9-1-17",107.68,109.16,107.51,108.76
"CVX","9-5-17",109.36,110.26,108.7,109.44
"CVX","9-6-17",110,112.23,109.8,111.79
"CVX","9-7-17",112.18,112.87,111.36,111.8
"CVX","9-8-17",111.59,111.75,110.53,110.78
"CVX","9-11-17",111.83,112.57,111.52,112.52
"CVX","9-12-17",112.82,112.9467,111.855,112.49
"CVX","9-13-17",112.49,114.32,112.28,114.18
"CVX","9-14-17",114.26,115.3379,114.18,114.45
"CVX","9-15-17",114.83,114.91,113.63,114.63
"CVX","9-18-17",114.42,115.22,114.32,115.19
"CVX","9-19-17",115.25,116.4209,115.19,116.34
"CVX","9-20-17",116.5,117.15,116.195,116.37
"CVX","9-21-17",116.22,116.515,115.83,116.47
"CVX","9-22-17",116.41,117.83,116.27,117.29
"CVX","9-25-17",117.23,118.33,117.02,117.99
