"Ticker","Date","Open","High","Low","Close"
"DIS","9-19-16",92.8,93.3165,92.34,92.63
"DIS","9-20-16",92.7,93.3,92.68,92.95
"DIS","9-21-16",93,93.08,91.7,92.39
"DIS","9-22-16",92.73,93.71,92.64,93.41
"DIS","9-23-16",93.07,93.52,93,93.27
"DIS","9-26-16",92.47,92.68,91.4,91.96
"DIS","9-27-16",91.93,92.18,91.5,91.72
"DIS","9-28-16",91.75,92.3,91.48,92.2
"DIS","9-29-16",92.14,93.1,91.53,91.8
"DIS","9-30-16",92.28,93.4932,92.21,92.86
"DIS","10-3-16",92.47,92.72,92.05,92.49
"DIS","10-4-16",92.45,92.99,92.11,92.59
"DIS","10-5-16",92.94,93.28,92.38,92.45
"DIS","10-6-16",92.75,93.58,92.39,92.83
"DIS","10-7-16",93.06,93.29,92.02,92.49
"DIS","10-10-16",92.7,93.21,92.4,92.49
"DIS","10-11-16",92.33,92.38,91.57,91.86
"DIS","10-12-16",91.88,92.08,91.39,91.41
"DIS","10-13-16",90.95,91.36,90.315,91.12
"DIS","10-14-16",91.77,91.77,91.29,91.3
"DIS","10-17-16",91.35,91.47,90.56,90.83
"DIS","10-18-16",91.4,91.74,90.98,91.17
"DIS","10-19-16",91.27,92.14,91,91.93
"DIS","10-20-16",91.66,92.32,91.44,92.03
"DIS","10-21-16",91.33,94.19,90.599,93.03
"DIS","10-24-16",93.49,94.15,92.8,93.37
"DIS","10-25-16",93.14,93.36,92.64,92.75
"DIS","10-26-16",92.39,93.72,91.9,93.49
"DIS","10-27-16",93.8,94.3425,93.31,94.02
"DIS","10-28-16",93.89,94.4,93.53,93.85
"DIS","10-31-16",93.72,93.82,92.31,92.69
"DIS","11-1-16",92.78,92.99,91.66,92.39
"DIS","11-2-16",91.91,92.56,91.69,91.91
"DIS","11-3-16",92.26,94.13,92.24,93.37
"DIS","11-4-16",93.5,93.79,92.36,92.45
"DIS","11-7-16",93.77,94.48,92.9475,94.43
"DIS","11-8-16",94.53,94.85,93.9,94.38
"DIS","11-9-16",92.29,94.915,92.11,94.64
"DIS","11-10-16",94.89,96.06,94.23,94.96
"DIS","11-11-16",97.18,98.32,95.78,97.68
"DIS","11-14-16",97.56,98.31,97.45,97.92
"DIS","11-15-16",97.9,98.14,97.42,97.7
"DIS","11-16-16",98.33,99.17,98.1,99.12
"DIS","11-17-16",99.05,99.5,98.265,99.37
"DIS","11-18-16",99.05,99.37,98.14,98.24
"DIS","11-21-16",98.11,98.27,97,97.63
"DIS","11-22-16",97.5,97.93,97.2671,97.71
"DIS","11-23-16",97.67,98.28,97.59,98.26
"DIS","11-25-16",98.71,99.07,98.5,98.82
"DIS","11-28-16",98.52,99.2,98.32,98.97
"DIS","11-29-16",99.23,99.68,98.97,99.67
"DIS","11-30-16",99.4,100.2895,99,99.12
"DIS","12-1-16",99.13,99.75,98.62,98.94
"DIS","12-2-16",98.79,99.08,98.25,98.5
"DIS","12-5-16",98.98,100.27,98.68,99.96
"DIS","12-6-16",99.95,100.72,99.82,100.66
"DIS","12-7-16",100.51,102.07,100.44,101.99
"DIS","12-8-16",101.47,103.96,101.47,103.38
"DIS","12-9-16",103.49,105.5237,103.18,104.86
"DIS","12-12-16",104.61,104.7,103.73,104.06
"DIS","12-13-16",104.2,104.31,103.71,103.85
"DIS","12-14-16",103.62,104.4097,103.5,104.05
"DIS","12-15-16",103.85,105.64,103.82,104.39
"DIS","12-16-16",104.71,104.725,103.75,103.91
"DIS","12-19-16",105.7,106.26,105.065,105.3
"DIS","12-20-16",105.64,106.2,105.06,105.46
"DIS","12-21-16",104.61,105.91,104.51,105.56
"DIS","12-22-16",104.96,105.49,104.7,105.42
"DIS","12-23-16",105.24,105.34,104.75,105.15
"DIS","12-27-16",104.85,105.556,104.78,105.17
"DIS","12-28-16",104.99,105.32,104.06,104.3
"DIS","12-29-16",104.23,104.77,103.87,104.56
"DIS","12-30-16",104.57,105,103.96,104.22
"DIS","1-3-17",105.3,106.9,105.205,106.08
"DIS","1-4-17",106.64,107.5,106.25,107.44
"DIS","1-5-17",107.17,107.6171,106.79,107.38
"DIS","1-6-17",108.015,109.35,107.75,108.98
"DIS","1-9-17",108.58,108.83,108.11,108.36
"DIS","1-10-17",107.9,108.82,107.35,108.38
"DIS","1-11-17",108.54,109.4901,108.38,109.44
"DIS","1-12-17",108.12,109,107.43,107.53
"DIS","1-13-17",107.16,108.35,106.9,108.06
"DIS","1-17-17",107.91,108.93,107.65,107.97
"DIS","1-18-17",106.93,108.4,106.81,108.16
"DIS","1-19-17",107.92,108.01,107.08,107.28
"DIS","1-20-17",107.35,107.82,107.18,107.66
"DIS","1-23-17",107.34,107.68,106.57,107.12
"DIS","1-24-17",107.2,108.06,107.08,107.9
"DIS","1-25-17",108.23,108.42,108,108.04
"DIS","1-26-17",108.21,108.62,107.98,108.06
"DIS","1-27-17",108.49,109.4,108.15,109.3
"DIS","1-30-17",109.86,111.05,108.96,110.94
"DIS","1-31-17",110.59,110.8,109.98,110.65
"DIS","2-1-17",110.71,111.99,110.675,111.3
"DIS","2-2-17",111.21,111.54,110.55,110.61
"DIS","2-3-17",110.9,111.15,110.21,110.3
