"Ticker","Date","Open","High","Low","Close"
"DLTR","9-19-16",81.27,81.55,80.15,80.22
"DLTR","9-20-16",80.33,80.57,79.295,79.7
"DLTR","9-21-16",79.98,80.3599,79.03,79.89
"DLTR","9-22-16",80.43,80.81,78.65,80.07
"DLTR","9-23-16",79.53,80.76,79.06,80.09
"DLTR","9-26-16",79.61,80.28,79.255,80
"DLTR","9-27-16",79.27,80.59,78.27,80.46
"DLTR","9-28-16",80.65,80.65,79.095,79.4
"DLTR","9-29-16",79.26,79.2978,77.34,77.36
"DLTR","9-30-16",77.47,79.32,77.28,78.93
"DLTR","10-3-16",78.46,79.89,78.331,79.53
"DLTR","10-4-16",77.84,78,76.05,76.43
"DLTR","10-5-16",76.5,76.63,74.52,75.12
"DLTR","10-6-16",75.45,78.3072,75.13,78.09
"DLTR","10-7-16",78.55,78.83,77.575,77.97
"DLTR","10-10-16",78.09,78.56,77.77,77.92
"DLTR","10-11-16",77.56,77.91,77,77.24
"DLTR","10-12-16",77.38,78.06,77.01,77.47
"DLTR","10-13-16",77.15,78.8,76.99,78.23
"DLTR","10-14-16",78.26,78.26,77.09,77.09
"DLTR","10-17-16",77,77.365,76.38,76.44
"DLTR","10-18-16",76.84,77.53,76.25,76.25
"DLTR","10-19-16",76.61,77.03,75.94,76.76
"DLTR","10-20-16",77.03,77.04,75.83,75.87
"DLTR","10-21-16",75.33,76.34,75.33,75.71
"DLTR","10-24-16",75.74,76.31,75.72,75.97
"DLTR","10-25-16",75.6,76.13,75.36,75.82
"DLTR","10-26-16",75.75,77.33,75.6,76.8
"DLTR","10-27-16",76.71,76.8079,74.44,74.45
"DLTR","10-28-16",74.37,75.81,74.36,75.21
"DLTR","10-31-16",75.52,75.95,75.28,75.55
"DLTR","11-1-16",75.76,75.97,74.58,74.88
"DLTR","11-2-16",75.06,75.72,74.86,75.36
"DLTR","11-3-16",75.29,75.72,73.84,74.07
"DLTR","11-4-16",73.64,74.91,73.57,73.62
"DLTR","11-7-16",74.76,75.89,74.14,75.54
"DLTR","11-8-16",75.67,76.05,75,75.81
"DLTR","11-9-16",72.68,76.19,72.55,76.04
"DLTR","11-10-16",76.47,78,76.16,77.2
"DLTR","11-11-16",77.05,78.73,76.93,77.81
"DLTR","11-14-16",78.02,79.51,77.615,78.34
"DLTR","11-15-16",78.69,79.25,77.97,79.17
"DLTR","11-16-16",79.87,81.34,79.65,80.54
"DLTR","11-17-16",79.82,81.925,79.73,81.65
"DLTR","11-18-16",81.53,82.14,80.68,81.91
"DLTR","11-21-16",81.97,83.13,80.88,81.99
"DLTR","11-22-16",88.33,91.41,87.6,88.68
"DLTR","11-23-16",88.66,89.89,87.51,88.86
"DLTR","11-25-16",88.51,89.54,88.4,89.18
"DLTR","11-28-16",88.7,90.17,88.25,89.58
"DLTR","11-29-16",89.98,90.61,89.29,89.67
"DLTR","11-30-16",89.29,89.96,88.04,88.16
"DLTR","12-1-16",86.79,88.07,86.09,86.57
"DLTR","12-2-16",86.82,88.509,86.05,87.76
"DLTR","12-5-16",88.42,88.76,87.04,88.2
"DLTR","12-6-16",88.96,88.975,87.535,87.93
"DLTR","12-7-16",87.4,88.22,87.03,87.84
"DLTR","12-8-16",87.84,87.875,86.72,87.12
"DLTR","12-9-16",87.02,88.13,86.55,87.76
"DLTR","12-12-16",87.56,87.94,86.06,86.09
"DLTR","12-13-16",86.17,86.81,85.41,86.16
"DLTR","12-14-16",86.4,86.62,84.62,84.72
"DLTR","12-15-16",84.83,86.11,84.32,85.7
"DLTR","12-16-16",85.61,85.85,84.035,84.2
"DLTR","12-19-16",84.2,85.33,83.805,84.27
"DLTR","12-20-16",84.42,85.83,84.35,85.09
"DLTR","12-21-16",84.68,85.05,83.28,84.06
"DLTR","12-22-16",84.02,84.02,78.94,79.31
"DLTR","12-23-16",79.46,80.21,78.38,78.7
"DLTR","12-27-16",78.97,79.7395,74.92,78.12
"DLTR","12-28-16",78.54,79.17,77.4,77.67
"DLTR","12-29-16",77.65,78.0798,76.81,77.34
"DLTR","12-30-16",77.57,77.722,76.42,77.18
"DLTR","1-3-17",77.57,78.14,76.415,77.45
"DLTR","1-4-17",77.52,80.23,77.52,79.45
"DLTR","1-5-17",78.42,79.5847,77.59,78.06
"DLTR","1-6-17",78.17,78.44,76.94,77.09
"DLTR","1-9-17",76.74,77.36,76.66,77.14
"DLTR","1-10-17",77.05,78.4,76.75,77.96
"DLTR","1-11-17",77.7,78.4,77.4358,77.81
"DLTR","1-12-17",77.81,77.81,76.92,77.53
"DLTR","1-13-17",77.49,77.71,76.88,77.13
"DLTR","1-17-17",77.77,81.92,77.24,79.51
"DLTR","1-18-17",78.51,79.12,76.4,77.31
"DLTR","1-19-17",77.23,77.49,76.05,76.26
"DLTR","1-20-17",76.69,77.04,75.6007,76.56
"DLTR","1-23-17",76.58,76.72,75.29,75.55
"DLTR","1-24-17",75.54,76.95,75.54,76.88
"DLTR","1-25-17",77.41,77.82,76.62,76.89
"DLTR","1-26-17",76.66,77.23,76,76.17
"DLTR","1-27-17",76.34,76.485,73.92,74.05
"DLTR","1-30-17",73.49,75.46,72.89,75.25
"DLTR","1-31-17",74.8,77.22,74.37,77.19
"DLTR","2-1-17",77.01,77.4,76.04,76.39
"DLTR","2-2-17",76.76,78.62,76.44,77.2
"DLTR","2-3-17",77.08,78.15,76.56,76.69
"DLTR","2-6-17",76.71,76.85,74.96,75.12
"DLTR","2-7-17",74.5,75.405,74.47,75.21
"DLTR","2-8-17",75.35,76.88,75.22,76.66
"DLTR","2-9-17",76.58,79.85,76.57,79.39
"DLTR","2-10-17",79.73,79.9,77.93,78.02
"DLTR","2-13-17",78.43,78.54,77.13,77.7
"DLTR","2-14-17",77.5,79.9,77.5,79.8
"DLTR","2-15-17",79.4,79.99,78.35,78.74
"DLTR","2-16-17",78.7,79.55,77.51,78
"DLTR","2-17-17",77.93,80.2,77.67,80
"DLTR","2-21-17",80.5,82.25,79.22,79.76
"DLTR","2-22-17",80.17,80.2,78.3,78.54
"DLTR","2-23-17",78.74,78.92,76.93,77.57
"DLTR","2-24-17",77.67,81.24,77.025,79.41
"DLTR","2-27-17",79.7,79.98,78.405,79.56
"DLTR","2-28-17",78.54,78.54,76.14,76.68
"DLTR","3-1-17",78.97,82.1,74.74,76.84
"DLTR","3-2-17",76.91,79.67,76.6601,77.74
"DLTR","3-3-17",77.47,78,76.53,77.13
"DLTR","3-6-17",77,77.15,75.64,75.93
"DLTR","3-7-17",75.73,76.43,75.04,75.22
"DLTR","3-8-17",75.34,76,75.01,75.6
"DLTR","3-9-17",75.61,75.94,75.1,75.53
"DLTR","3-10-17",75.83,76.1876,75,75.06
"DLTR","3-13-17",75.1,75.12,73.81,74.58
"DLTR","3-14-17",74.68,75.14,73.82,74.19
"DLTR","3-15-17",74.11,74.72,73.45,74.56
"DLTR","3-16-17",74,76.13,73.68,75.53
"DLTR","3-17-17",76.48,76.48,74.91,75.7
"DLTR","3-20-17",75.79,75.84,74.01,74.3
"DLTR","3-21-17",74.72,74.9,72.91,73.44
"DLTR","3-22-17",73.58,74.17,73,73.98
"DLTR","3-23-17",74.64,75.2,74.06,74.38
"DLTR","3-24-17",74.51,75.45,73.95,74.92
"DLTR","3-27-17",74.89,76.57,74.56,76.13
"DLTR","3-28-17",75.83,76.78,75.81,76.55
"DLTR","3-29-17",76.32,78.87,76.22,78.51
"DLTR","3-30-17",78.21,79.51,78.03,79.44
"DLTR","3-31-17",79.28,79.88,78.44,78.46
"DLTR","4-3-17",78.46,78.885,77.22,77.72
"DLTR","4-4-17",77.76,77.96,76.9,77.67
"DLTR","4-5-17",77.68,78.63,76.98,77.05
"DLTR","4-6-17",77.06,79.07,77.02,78.05
"DLTR","4-7-17",78.05,78.21,77.4301,77.61
"DLTR","4-10-17",77.67,78.65,77.42,77.74
"DLTR","4-11-17",77.68,77.7502,76.41,77.08
"DLTR","4-12-17",76.8,77.52,76.54,77.14
"DLTR","4-13-17",77.19,77.6,76.45,76.46
"DLTR","4-17-17",76.67,76.945,76.17,76.83
"DLTR","4-18-17",76.73,77.81,76.53,77.43
"DLTR","4-19-17",77.81,78.9,77.49,78.02
"DLTR","4-20-17",78.45,80.505,78.45,79.57
