"Ticker","Date","Open","High","Low","Close"
"DOCU","4-30-18",39.9047,40.19,37.53,38.63
"DOCU","5-1-18",38.7,39.89,37.85,39.45
"DOCU","5-2-18",39.85,40.5,38.75,39.32
"DOCU","5-3-18",39.69,42.56,38.81,41.96
"DOCU","5-4-18",42.4,42.66,41.01,41.09
"DOCU","5-7-18",41.65,41.912,41.04,41.31
"DOCU","5-8-18",41.5,43.6799,40.5,43.22
"DOCU","5-9-18",44.44,44.87,43.245,44.1
"DOCU","5-10-18",44.88,46.699,43.66,44.01
"DOCU","5-11-18",44.56,45.8895,44.01,44.37
"DOCU","5-14-18",44.99,45.7265,43.37,44.19
"DOCU","5-15-18",44.39,45.73,43.495,45.46
"DOCU","5-16-18",45.34,45.65,44.56,45.23
"DOCU","5-17-18",45.2,46.4,44.55,44.9
"DOCU","5-18-18",44.75,45,44.36,44.78
"DOCU","5-21-18",45.5,45.5,41.72,42.98
"DOCU","5-22-18",43.24,44.72,42.851,43.05
"DOCU","5-23-18",43.64,45.62,43.1,45.42
"DOCU","5-24-18",45.94,47.7,45.2962,46.8
"DOCU","5-25-18",47.23,48.9,46.1071,46.37
"DOCU","5-29-18",46.67,49.33,45.855,48.43
"DOCU","5-30-18",48.9,51,48.56,49.99
"DOCU","5-31-18",50.13,51.2009,49.53,49.81
"DOCU","6-1-18",50.28,50.74,49.76,50.12
"DOCU","6-4-18",51,54.15,50.54,53.65
"DOCU","6-5-18",54.29,58.28,52,54.59
"DOCU","6-6-18",55.63,57.38,54.36,57.36
"DOCU","6-7-18",58.95,59.86,53.5,55.99
"DOCU","6-8-18",58.25,60.45,55.31,57.92
"DOCU","6-11-18",58.3,60,58.2,59.54
"DOCU","6-12-18",60.49,63.35,60,61.82
"DOCU","6-13-18",63.28,64.97,62,63.77
"DOCU","6-14-18",64.99,65.8159,63.1,63.53
"DOCU","6-15-18",63.09,64.58,62.3,63.95
"DOCU","6-18-18",63.51,66.191,61.6452,63.9
"DOCU","6-19-18",62.14,64.7,57.6,63.87
"DOCU","6-20-18",64.67,66.8,62.03,62.46
"DOCU","6-21-18",63.06,63.19,57.47,57.59
"DOCU","6-22-18",58.9,58.99,55,57.55
"DOCU","6-25-18",55.58,55.6552,52.05,55
"DOCU","6-26-18",55.49,56.9689,54.9,56.47
"DOCU","6-27-18",56.95,57.2,51.74,51.77
"DOCU","6-28-18",51.62,54,50.3435,53.04
"DOCU","6-29-18",53.67,54,51.8305,52.95
"DOCU","7-2-18",52.46,53.16,50.5,52.34
"DOCU","7-3-18",52.46,53.5,51.85,51.97
"DOCU","7-5-18",52.49,55.39,51.5934,54.62
"DOCU","7-6-18",54.75,55.96,54.07,54.95
"DOCU","7-9-18",55.28,56.49,54.8711,55.35
"DOCU","7-10-18",55.77,55.77,52.19,52.37
"DOCU","7-11-18",52,53.76,51.61,51.98
"DOCU","7-12-18",52.24,56.44,51.5,55.37
"DOCU","7-13-18",55.38,56,54.68,55.33
"DOCU","7-16-18",55.25,57.2787,54.9,55.05
"DOCU","7-17-18",54.5,55.4,52.94,54.09
"DOCU","7-18-18",53.93,54.6,52.91,53.05
"DOCU","7-19-18",52.93,53.81,51.93,52.36
"DOCU","7-20-18",52.25,52.7652,51.71,52.21
"DOCU","7-23-18",51.97,55.85,51.75,55.53
"DOCU","7-24-18",56.12,57.5,52.9,53.79
"DOCU","7-25-18",53.76,55.6617,53.76,54.69
"DOCU","7-26-18",54.01,55.88,53.77,55.51
"DOCU","7-27-18",56.73,57,53.5,54.82
"DOCU","7-30-18",54.92,55.24,50.06,51.71
"DOCU","7-31-18",51.89,54.96,51.51,53.9
"DOCU","8-1-18",54.3,56.15,54.1947,55.75
"DOCU","8-2-18",55.39,59.18,55,58.91
"DOCU","8-3-18",59.15,59.5999,56.25,57.01
"DOCU","8-6-18",57.16,60.39,57.16,60
"DOCU","8-7-18",60.75,60.95,59.4564,59.89
"DOCU","8-8-18",59.45,61.81,59.2,61.35
"DOCU","8-9-18",61.67,62.15,60.175,60.45
"DOCU","8-10-18",60.3,60.45,57.12,58.2
"DOCU","8-13-18",58.1,58.38,55.57,56.14
"DOCU","8-14-18",56.56,58.225,55.73,57.85
"DOCU","8-15-18",57.25,57.8,55.3,56.15
"DOCU","8-16-18",56.96,57.91,56.06,57.69
"DOCU","8-17-18",57.47,59.4,56.355,58.68
"DOCU","8-20-18",58.91,62,57.9,61.22
"DOCU","8-21-18",61.69,63.8,61.56,62.5
"DOCU","8-22-18",62.3,63.3666,60.34,61.84
"DOCU","8-23-18",61.86,64.939,61.86,63.9
"DOCU","8-24-18",64.25,67.21,64,65.54
"DOCU","8-27-18",66.99,67.71,64.63,65.53
"DOCU","8-28-18",66,68.35,65.72,66.3
"DOCU","8-29-18",66.5,68.02,65.75,67.87
"DOCU","8-30-18",67.3,67.4,64.55,65
"DOCU","8-31-18",64.47,65.3599,62.19,62.44
"DOCU","9-4-18",62.8,65.7,60.83,64.85
"DOCU","9-5-18",64.69,65.87,62.55,63.1
"DOCU","9-6-18",59.08,59.9,56.79,57.85
"DOCU","9-7-18",56.8,59.67,56.26,56.94
"DOCU","9-10-18",58,58.24,53.64,53.93
"DOCU","9-11-18",53.75,54.8,52.8301,53.96
"DOCU","9-12-18",53.02,57.56,53.02,57.18
"DOCU","9-13-18",57.25,57.49,55.06,55.37
"DOCU","9-14-18",55.3,55.3,53.43,53.79
"DOCU","9-17-18",53.85,54.89,51.6,52.18
"DOCU","9-18-18",52.23,53.4,51.65,53.03
"DOCU","9-19-18",52.77,53.1,51.5,51.73
"DOCU","9-20-18",52.32,52.69,51.12,52.23
"DOCU","9-21-18",52.93,53.32,51.7824,52.54
"DOCU","9-24-18",52.1,52.33,51.4,51.83
"DOCU","9-25-18",52.16,53.71,51.62,53.4
"DOCU","9-26-18",53.51,54.02,52.44,52.54
"DOCU","9-27-18",52.64,53.75,52.25,52.82
"DOCU","9-28-18",52.77,53.03,52.1,52.57
"DOCU","10-1-18",52.98,53,48.56,48.85
"DOCU","10-2-18",49.19,49.2429,45.04,46.4
"DOCU","10-3-18",46.4,47.735,45.3,47.11
"DOCU","10-4-18",46.9,47.5499,44.9,45.8
"DOCU","10-5-18",45.65,46.03,43.52,45.27
