"Ticker","Date","Open","High","Low","Close"
"DOW","4-3-19",57.08,57.2,55.51,56.88
"DOW","4-4-19",57.2,60.52,57.1,59.71
"DOW","4-5-19",58.39,58.98,56.27,57.24
"DOW","4-8-19",56.5,58.39,56.27,57.15
"DOW","4-9-19",56.8,57.2,56.08,56.27
"DOW","4-10-19",55.99,56.41,55.1,55.71
"DOW","4-11-19",55.7,56.21,54.83,54.89
"DOW","4-12-19",55.93,58.33,55.93,58.3
"DOW","4-15-19",58.57,58.85,57.29,57.78
"DOW","4-16-19",58.71,58.99,57.84,58.5
"DOW","4-17-19",58.95,59.05,58.2,58.32
"DOW","4-18-19",58.36,58.61,57.55,57.77
"DOW","4-22-19",57.48,58.41,57.26,57.89
"DOW","4-23-19",57.29,57.84,57,57.64
"DOW","4-24-19",57.49,57.89,55.865,55.98
"DOW","4-25-19",55.76,55.98,54.82,55.33
"DOW","4-26-19",55.3,55.6,54.95,55.25
"DOW","4-29-19",55.05,55.685,54.8,55.5
"DOW","4-30-19",55.76,57.205,55.6,56.73
"DOW","5-1-19",56.82,57.48,55.88,56.13
"DOW","5-2-19",55.54,56.49,52.03,52.7
"DOW","5-3-19",53.2,53.35,51.72,53.3
"DOW","5-6-19",52.15,54.03,51.7,53.46
"DOW","5-7-19",52.86,53.325,52.65,52.95
"DOW","5-8-19",53.33,53.395,52.31,52.48
"DOW","5-9-19",52.26,53.14,51.55,52.93
"DOW","5-10-19",52.94,53.7141,52.49,53.07
"DOW","5-13-19",52.28,52.55,50.76,50.95
"DOW","5-14-19",51.33,53,50.84,52.48
"DOW","5-15-19",51.98,53.325,51.67,52.95
"DOW","5-16-19",53.29,53.55,52.73,52.98
"DOW","5-17-19",52.34,52.52,50.66,50.8
"DOW","5-20-19",50.4,50.54,49.92,50.08
"DOW","5-21-19",50.28,51.19,50.02,50.63
"DOW","5-22-19",50.46,50.61,49.965,50.21
"DOW","5-23-19",49.5,49.86,48.21,48.71
"DOW","5-24-19",49.39,49.575,48.44,49.2
"DOW","5-28-19",49.37,49.43,48.1,48.56
"DOW","5-29-19",48.2,49.43,48.01,48.71
"DOW","5-30-19",48.12,48.59,48.02,48.47
"DOW","5-31-19",47.96,48,46.75,46.76
"DOW","6-3-19",46.85,47.96,46.85,47.96
"DOW","6-4-19",48.68,49.93,48.64,49.93
"DOW","6-5-19",50.49,50.57,49.0496,50.34
"DOW","6-6-19",50.28,51.31,50.15,51.06
"DOW","6-7-19",51.13,51.69,50.87,51.3
"DOW","6-10-19",51.72,52.1,51.58,51.62
"DOW","6-11-19",52,52.17,51.56,52.04
"DOW","6-12-19",52.06,52.64,51.68,52.49
"DOW","6-13-19",52.68,52.95,52.04,52.88
"DOW","6-14-19",52.63,52.69,51,51.15
"DOW","6-17-19",50.06,50.33,49.05,49.35
"DOW","6-18-19",49.75,50.57,49.4,49.61
"DOW","6-19-19",49.95,50.24,48.33,48.5
"DOW","6-20-19",49.095,49.59,48.62,48.93
"DOW","6-21-19",48.82,49.27,48.31,48.36
"DOW","6-24-19",48.51,49.7,48.32,49.58
"DOW","6-25-19",49.49,50.2228,49.05,49.69
"DOW","6-26-19",49.85,51.22,49.81,50.45
"DOW","6-27-19",50.61,51.14,50.5307,50.91
"DOW","6-28-19",51.04,51.2,49.08,49.31
"DOW","7-1-19",50,50.2,49.52,50.16
"DOW","7-2-19",50,50.06,48.76,49.4
"DOW","7-3-19",49.46,49.65,49.2,49.33
"DOW","7-5-19",49.01,49.37,48.96,49.31
"DOW","7-8-19",49.34,49.5,48.385,48.52
"DOW","7-9-19",48.3,48.43,47.5,47.87
"DOW","7-10-19",48.34,48.42,47.52,47.55
"DOW","7-11-19",47.73,48.06,47.18,47.78
"DOW","7-12-19",48.46,50.04,48.08,49.71
"DOW","7-15-19",49.77,50.95,49.66,50.93
"DOW","7-16-19",50.95,52.6446,50.95,52.32
"DOW","7-17-19",52.16,52.3,51.23,51.6
"DOW","7-18-19",51.55,52.05,51.28,51.75
"DOW","7-19-19",51.77,51.83,51.5,51.52
"DOW","7-22-19",51.5041,51.57,50.6,50.88
"DOW","7-23-19",51,52.9,50.95,52.62
"DOW","7-24-19",52.5,52.99,52.04,52.79
"DOW","7-25-19",51.64,51.99,50.3,50.77
"DOW","7-26-19",50.27,50.3,48.92,49.11
"DOW","7-29-19",48.52,48.88,47.98,48.05
