"Ticker","Date","Open","High","Low","Close"
"DXCM","9-19-16",93.4,93.72,92.3,93.06
"DXCM","9-20-16",93.17,93.495,92.1,92.75
"DXCM","9-21-16",93,93.69,92.41,93.5
"DXCM","9-22-16",94,94.79,93.69,94.02
"DXCM","9-23-16",94,94.24,93.735,93.91
"DXCM","9-26-16",93.59,93.8499,92.85,93.16
"DXCM","9-27-16",92.97,93.9,92.934,93.72
"DXCM","9-28-16",93.55,93.72,84.72,89.74
"DXCM","9-29-16",89.89,89.98,86.26,87.8
"DXCM","9-30-16",88.36,89.02,86.81,87.66
"DXCM","10-3-16",86.91,87.81,84.09,84.98
"DXCM","10-4-16",84.99,85.485,80.58,81.93
"DXCM","10-5-16",82.55,84.855,81.78,83.37
"DXCM","10-6-16",83.45,84.19,82.37,83.08
"DXCM","10-7-16",82.98,83.5,81.99,82.93
"DXCM","10-10-16",83.35,85.13,83.14,83.92
"DXCM","10-11-16",83.43,83.43,81,81.89
"DXCM","10-12-16",82.2,83.38,81.44,82.02
"DXCM","10-13-16",81.59,82.45,80.01,81.98
"DXCM","10-14-16",82.09,82.5,81.07,81.68
"DXCM","10-17-16",81.9,82.37,81.1,81.97
"DXCM","10-18-16",82.5,83.04,82.15,82.52
"DXCM","10-19-16",82.31,82.93,81.87,82
"DXCM","10-20-16",81.95,82.66,81.79,82.5
"DXCM","10-21-16",82.3,82.3,80.29,80.68
"DXCM","10-24-16",80.76,83.15,80.39,82.51
"DXCM","10-25-16",81.96,81.96,79.68,80.22
"DXCM","10-26-16",79.71,79.84,75.43,77.25
"DXCM","10-27-16",77.37,77.47,75.23,75.42
"DXCM","10-28-16",75.2,77.92,75.185,76.7
"DXCM","10-31-16",77.12,78.835,76.43,78.24
"DXCM","11-1-16",77.95,79.45,77.37,77.92
"DXCM","11-2-16",62.79,66.46,61,62.93
"DXCM","11-3-16",62.86,63.6,59.4701,60.08
"DXCM","11-4-16",60.16,63.36,60.16,61.9
"DXCM","11-7-16",62.26,63.76,61.26,63
"DXCM","11-8-16",62.99,63.73,61.94,62.64
"DXCM","11-9-16",62.17,63.99,60.14,61.99
"DXCM","11-10-16",62.51,63.75,61.41,62.53
"DXCM","11-11-16",62.72,66.23,61.94,65.18
"DXCM","11-14-16",66.3,70.86,66.25,68.79
"DXCM","11-15-16",68.76,73.06,68.67,71.53
"DXCM","11-16-16",71.17,72.1001,70.38,71.29
"DXCM","11-17-16",70.63,73.1,70.63,72.01
"DXCM","11-18-16",72.41,73.14,71.38,71.4
"DXCM","11-21-16",71.27,73.57,71.25,73.18
"DXCM","11-22-16",72.86,73.46,68.36,70.23
"DXCM","11-23-16",70.46,72.34,69.83,72.19
"DXCM","11-25-16",73.24,74.18,71.65,72.82
"DXCM","11-28-16",72.75,73.93,70.35,70.71
"DXCM","11-29-16",70.99,70.99,67.2,68.07
"DXCM","11-30-16",68.51,69.17,63.64,65.29
"DXCM","12-1-16",65,65.82,62.665,63.34
"DXCM","12-2-16",63.57,64.515,62.93,63.87
"DXCM","12-5-16",64.51,65.76,63.69,64.45
"DXCM","12-6-16",64.69,65.73,63.78,65.48
"DXCM","12-7-16",65,65.69,62.09,63.04
"DXCM","12-8-16",62.73,64.8,62.42,64.61
"DXCM","12-9-16",64.46,65.64,64.23,65.01
"DXCM","12-12-16",64.4,65.46,64.235,65.28
"DXCM","12-13-16",65.63,66.4699,64.44,65
"DXCM","12-14-16",65.03,65.13,63.33,64.14
"DXCM","12-15-16",65.44,65.44,63.27,63.72
"DXCM","12-16-16",63.6,64.89,63.12,63.41
"DXCM","12-19-16",63.9,65.28,63,63.51
"DXCM","12-20-16",63.35,67.799,60.62,63.56
"DXCM","12-21-16",64.58,65.87,63.59,63.74
"DXCM","12-22-16",63.6,64.66,61.53,62.1
"DXCM","12-23-16",62.34,62.92,61.69,62.51
"DXCM","12-27-16",62.21,62.6,61.35,62.4
"DXCM","12-28-16",62.7,63.77,60.9,61.01
"DXCM","12-29-16",61.27,61.415,60.28,60.64
"DXCM","12-30-16",60.58,61.24,59.36,59.7
"DXCM","1-3-17",59.5,59.6489,57.76,58.25
"DXCM","1-4-17",58.3,61.15,57.68,60.72
"DXCM","1-5-17",60.89,64.55,60.53,62.66
"DXCM","1-6-17",63.17,63.91,62.49,63.23
"DXCM","1-9-17",63.5,63.89,62.47,62.49
"DXCM","1-10-17",62.86,69.49,62.43,67.04
"DXCM","1-11-17",67.29,69.42,66.3,69.03
"DXCM","1-12-17",69,69.72,67.28,67.61
"DXCM","1-13-17",79.36,88.8,78.62,85.13
"DXCM","1-17-17",85.47,86.74,84.61,85.49
"DXCM","1-18-17",86,86.19,84.09,84.16
"DXCM","1-19-17",84.16,84.64,81.24,81.59
"DXCM","1-20-17",81.6,82.26,79.63,80.21
"DXCM","1-23-17",79.65,80.46,79.01,79.98
"DXCM","1-24-17",78.3,80.05,76.3,79.75
"DXCM","1-25-17",80.13,82.29,79.86,80.9
"DXCM","1-26-17",80.77,81.53,79.15,79.52
"DXCM","1-27-17",79.45,80.0099,78.915,79.48
"DXCM","1-30-17",79.16,79.625,77.63,78.55
"DXCM","1-31-17",78.85,79.96,78.07,79.15
"DXCM","2-1-17",79.81,80.19,78.67,79.44
"DXCM","2-2-17",79.84,80.34,78.32,79.56
