"Ticker","Date","Open","High","Low","Close"
"EA","9-19-16",83.14,83.41,82.46,82.77
"EA","9-20-16",82.89,83.39,82.62,82.99
"EA","9-21-16",83.48,83.63,82.26,83.47
"EA","9-22-16",84.1,84.2,82.76,83.17
"EA","9-23-16",84.5,84.5,83.52,84.26
"EA","9-26-16",83.67,84.25,83.22,83.5
"EA","9-27-16",83.4,85.53,83.19,85.2
"EA","9-28-16",85.35,85.6,84.58,85
"EA","9-29-16",84.93,85.1299,84.12,84.26
"EA","9-30-16",84.35,85.825,83.77,85.4
"EA","10-3-16",85.22,86.05,85.13,85.41
"EA","10-4-16",85.93,86.07,85.12,85.56
"EA","10-5-16",85.56,85.75,84.97,85.47
"EA","10-6-16",85.55,85.64,83.86,84.58
"EA","10-7-16",85.06,85.19,83.44,83.81
"EA","10-10-16",84.07,84.92,83.85,84.74
"EA","10-11-16",84.7,84.8,83.15,83.37
"EA","10-12-16",85.03,85.03,82.16,82.53
"EA","10-13-16",82.09,82.52,80.78,81.76
"EA","10-14-16",82.35,83.98,82.35,82.59
"EA","10-17-16",82.77,83.22,82.16,82.32
"EA","10-18-16",83.18,84.4,83.105,84.01
"EA","10-19-16",84.22,84.36,82.62,82.76
"EA","10-20-16",82.7,82.82,81.6,82.52
"EA","10-21-16",82.15,82.99,82,82.87
"EA","10-24-16",81.91,84.3683,81.78,84.15
"EA","10-25-16",84.19,84.79,82.89,82.94
"EA","10-26-16",82.95,84.11,82.5,82.58
"EA","10-27-16",83.28,84.43,82.58,82.72
"EA","10-28-16",80.78,81.42,78.55,79.45
"EA","10-31-16",79.64,80.14,77.43,78.52
"EA","11-1-16",78.64,78.7572,77.18,77.84
"EA","11-2-16",78.83,81.93,77.86,79.12
"EA","11-3-16",79.12,82.29,79.12,80.52
"EA","11-4-16",79.95,81.72,79.03,80.22
"EA","11-7-16",81.09,82.03,80.33,81.08
"EA","11-8-16",81.06,82.45,80.68,81.49
"EA","11-9-16",78.73,80.99,78.45,79.44
"EA","11-10-16",79.97,80.06,76.19,76.79
"EA","11-11-16",75.8,77.94,75.53,77.45
"EA","11-14-16",77.47,78.075,76.14,76.38
"EA","11-15-16",77,78.42,77,77.62
"EA","11-16-16",77.6,78.94,77.03,78.83
"EA","11-17-16",78.76,80.17,78.54,79.62
"EA","11-18-16",79.8,80.61,78.76,78.99
"EA","11-21-16",79.07,79.18,77.56,78.26
"EA","11-22-16",78.52,78.56,76.93,77.75
"EA","11-23-16",77.9,79.7,77.765,79.35
"EA","11-25-16",79.18,79.92,78.54,79.17
"EA","11-28-16",79.42,79.56,78.53,78.73
"EA","11-29-16",78.95,81.69,78.93,81.37
"EA","11-30-16",81.29,81.37,79.15,79.24
"EA","12-1-16",79.21,79.28,75.17,75.58
"EA","12-2-16",75.65,76.47,73.74,75.86
"EA","12-5-16",76.17,77.83,75.5,77.45
"EA","12-6-16",77.63,78.03,76.5,76.87
"EA","12-7-16",76.85,78.11,76.42,77.95
"EA","12-8-16",78.03,78.6,77.4,77.78
"EA","12-9-16",77.81,79.065,77.81,78.75
"EA","12-12-16",78.88,80.63,78.51,80.62
"EA","12-13-16",80.46,82.6,80.46,80.76
"EA","12-14-16",80.61,81.68,79.98,80.7
"EA","12-15-16",81.32,82.62,80.74,81.51
"EA","12-16-16",81.44,81.5,79.17,79.51
"EA","12-19-16",79.31,80.53,79.15,79.5
"EA","12-20-16",79.6,80.26,79.26,79.5
"EA","12-21-16",79.49,80.175,79.13,79.66
"EA","12-22-16",79.74,80.15,79.18,79.79
"EA","12-23-16",79.85,81.12,79.57,80.67
"EA","12-27-16",80.99,81.76,80.75,81.08
"EA","12-28-16",81.07,81.26,79.97,80.38
"EA","12-29-16",80.53,81.01,79.7,80.16
"EA","12-30-16",80.56,80.56,78.52,78.76
"EA","1-3-17",79.52,79.62,78.27,79.17
"EA","1-4-17",79.39,81.11,79.12,80.63
"EA","1-5-17",79.98,80.46,78.73,78.96
"EA","1-6-17",79.11,79.52,78.37,79.01
"EA","1-9-17",79.19,79.4302,78.05,78.64
"EA","1-10-17",78.49,79.23,77.94,78.85
"EA","1-11-17",78.8,79.42,78.17,79.02
"EA","1-12-17",78.85,79.76,78.25,79.6
"EA","1-13-17",79.14,81.26,79.13,80.35
"EA","1-17-17",80,80.59,79.47,80.23
"EA","1-18-17",80.51,80.82,79.82,80.53
"EA","1-19-17",80.4,81.34,80.05,80.38
"EA","1-20-17",80.49,80.515,78.89,80.12
"EA","1-23-17",80.05,80.17,79.26,79.88
"EA","1-24-17",79.88,80.8,79.41,80.51
"EA","1-25-17",80.85,81.59,80.52,81.48
"EA","1-26-17",81.56,81.87,81.1,81.7
"EA","1-27-17",82,83.25,81.86,83.16
"EA","1-30-17",82.96,84.0275,82.75,83.84
"EA","1-31-17",83.82,84.09,82.89,83.43
"EA","2-1-17",83.43,84.25,81.45,83
"EA","2-2-17",82.68,82.9814,81.38,82.51
"EA","2-3-17",82.51,82.665,80.97,81.28
"EA","2-6-17",80.83,81.78,80.4,81.52
"EA","2-7-17",81.81,82.4,81.55,82.21
"EA","2-8-17",81.94,82.905,81.27,81.48
"EA","2-9-17",81.6,83.4,81.49,83.26
"EA","2-10-17",84.74,86.66,84.1301,86.17
"EA","2-13-17",86.31,87.49,85.7,86.32
"EA","2-14-17",85.8,86.45,85.22,86.06
"EA","2-15-17",85.92,88.04,85.7,87.95
"EA","2-16-17",87.69,88.28,87.2,87.85
"EA","2-17-17",87.76,87.86,86.95,87.3
"EA","2-21-17",87.35,88.02,87.1,87.54
"EA","2-22-17",87.38,87.62,86.96,87.38
"EA","2-23-17",87.56,87.56,85.76,86.65
"EA","2-24-17",85.96,86.55,85.23,86.54
"EA","2-27-17",86.55,87.25,86.1,87
"EA","2-28-17",87.05,87.49,86.33,86.5
"EA","3-1-17",86.93,88.14,86.09,87.82
"EA","3-2-17",87.9,88.25,86.46,87.01
"EA","3-3-17",86.95,87.29,86.19,87.24
"EA","3-6-17",87.19,87.52,86.74,87.14
"EA","3-7-17",87.3,88.85,87.1,88.3
"EA","3-8-17",88.52,89.36,88.2,89
"EA","3-9-17",89.32,89.79,88.73,89.03
"EA","3-10-17",89.59,89.88,88.92,89.81
"EA","3-13-17",89.83,90.81,89.35,90.73
"EA","3-14-17",90.52,91.18,90.3332,90.9
"EA","3-15-17",90.99,91.55,90.125,91.51
"EA","3-16-17",91.6,91.815,89.52,90.2
"EA","3-17-17",90.92,90.975,88.55,89.59
"EA","3-20-17",88.82,89.35,87.9,89.16
"EA","3-21-17",89.22,90.09,88.23,88.41
"EA","3-22-17",88.43,88.86,88.25,88.74
"EA","3-23-17",88.59,89.35,88.24,88.61
"EA","3-24-17",88.85,90.06,88.61,89.35
"EA","3-27-17",88.59,89.24,88.06,89.02
"EA","3-28-17",89,90.02,88.55,89.74
"EA","3-29-17",89.52,89.97,88.95,89.78
"EA","3-30-17",89.5,90.3,89.23,90.26
"EA","3-31-17",90.1,90.17,88.85,89.52
"EA","4-3-17",89.9,89.9,88.79,89.11
"EA","4-4-17",88.58,89.32,88.51,89.28
"EA","4-5-17",89.47,89.61,88.09,88.4
"EA","4-6-17",88.47,88.77,87.94,88.56
"EA","4-7-17",88.4,88.83,88.067,88.73
"EA","4-10-17",88.55,89.09,88.33,88.74
"EA","4-11-17",88.78,89.69,88.37,89.68
"EA","4-12-17",89.95,90.025,89.15,89.95
"EA","4-13-17",90.09,90.2,88.85,89.02
"EA","4-17-17",89.27,90.14,88.82,89.21
"EA","4-18-17",89.12,89.4399,88.72,89.2
"EA","4-19-17",89.54,90.2289,89.14,89.65
"EA","4-20-17",90.1,91.48,89.79,91.21
"EA","4-21-17",91.27,91.96,91.1,91.94
"EA","4-24-17",92.86,93.065,92.51,92.81
"EA","4-25-17",93.39,93.4,92.69,92.99
"EA","4-26-17",93.21,93.73,92.31,93.5
"EA","4-27-17",94,94.99,93.71,94.24
"EA","4-28-17",94.45,94.91,93.82,94.82
"EA","5-1-17",95.21,95.42,94.71,94.79
"EA","5-2-17",94.69,95.32,94.12,94.25
"EA","5-3-17",95.45,95.45,93.62,94.11
"EA","5-4-17",94.11,95.08,93.92,94.76
"EA","5-5-17",95.39,95.87,94.59,95.74
"EA","5-8-17",95.92,96.49,95.45,95.73
"EA","5-9-17",95.86,96.34,95.25,96.01
"EA","5-10-17",105.97,110.61,104.76,108.16
"EA","5-11-17",107.55,109.3202,106.83,108.58
"EA","5-12-17",108.19,109.25,107.46,109.09
"EA","5-15-17",108.99,111.26,108.85,110.9
"EA","5-16-17",111.23,112.16,110.44,111.76
"EA","5-17-17",108.71,109.38,105,105.24
"EA","5-18-17",104.71,107.65,104.34,106.93
"EA","5-19-17",107.41,107.95,106.33,107.64
"EA","5-22-17",107.87,108.4,107.421,108.39
"EA","5-23-17",110.09,111.85,108.18,109.01
"EA","5-24-17",108.78,112.54,108.391,112.31
"EA","5-25-17",112.51,114.16,112.51,113.83
"EA","5-26-17",113.5,113.585,111.79,112.13
"EA","5-30-17",112.62,112.92,111.64,112.85
"EA","5-31-17",112.86,113.48,111.93,113.33
"EA","6-1-17",113.96,114.94,113.175,113.87
"EA","6-2-17",113.85,114.54,113.2,114.52
"EA","6-5-17",114.68,115.13,114.19,114.69
"EA","6-6-17",114.54,115.39,113.59,113.69
"EA","6-7-17",114.84,115.54,114.23,115.37
"EA","6-8-17",116.04,116.04,113.24,114.29
"EA","6-9-17",114.84,115.36,107.03,110.46
"EA","6-12-17",109.3,111.175,105.54,108.9
"EA","6-13-17",110.33,110.96,108.08,109.98
"EA","6-14-17",110.16,111.11,108.68,110.02
"EA","6-15-17",108.24,111.03,107.32,110.53
"EA","6-16-17",110.72,112.51,110.07,110.51
"EA","6-19-17",111.18,113.86,111.18,113.65
"EA","6-20-17",113.43,115.12,113.29,113.47
"EA","6-21-17",114.33,114.69,111.83,113.17
"EA","6-22-17",113.51,113.52,111.36,112.62
"EA","6-23-17",112.51,112.95,110.77,110.87
"EA","6-26-17",111,112.64,110.375,111.86
"EA","6-27-17",111.35,111.93,108.13,108.32
"EA","6-28-17",108.7,109.2,106.74,108.81
"EA","6-29-17",108.16,108.72,105.47,106.68
"EA","6-30-17",107.1,107.56,105.65,105.72
"EA","7-3-17",106.51,107,105.21,105.42
"EA","7-5-17",105.95,107.31,105.35,106.76
"EA","7-6-17",106.06,107.12,105.5,105.75
"EA","7-7-17",106.28,108.47,105.54,107.45
