"Ticker","Date","Open","High","Low","Close"
"EBAY","9-19-16",31.81,31.96,31.43,31.57
"EBAY","9-20-16",31.75,31.8,31.23,31.36
"EBAY","9-21-16",31.56,32.02,31.5,31.97
"EBAY","9-22-16",32.02,32.34,32.02,32.28
"EBAY","9-23-16",32.28,32.375,32.07,32.07
"EBAY","9-26-16",31.88,32.01,31.59,31.67
"EBAY","9-27-16",31.8,32.105,31.68,31.94
"EBAY","9-28-16",31.95,31.98,31.67,31.85
"EBAY","9-29-16",33.04,33.19,32.19,32.3
"EBAY","9-30-16",32.49,33.02,32.46,32.9
"EBAY","10-3-16",31.3,32.65,31.3,32.55
"EBAY","10-4-16",32.71,33.03,32.42,32.56
"EBAY","10-5-16",32.4,32.47,32.075,32.15
"EBAY","10-6-16",32.12,32.21,31.86,32.13
"EBAY","10-7-16",32.25,32.25,31.04,31.62
"EBAY","10-10-16",32.01,32.25,31.89,31.95
"EBAY","10-11-16",31.96,31.98,31.14,31.46
"EBAY","10-12-16",31.28,31.605,31.275,31.5
"EBAY","10-13-16",31.79,31.825,31.075,31.51
"EBAY","10-14-16",31.82,32.24,31.6,31.89
"EBAY","10-17-16",32.39,32.39,31.38,31.81
"EBAY","10-18-16",32.05,32.37,31.57,31.64
"EBAY","10-19-16",31.91,32.64,31.7211,32.52
"EBAY","10-20-16",29.5,29.84,28.75,29.02
"EBAY","10-21-16",29.06,29.19,28.6,29.06
"EBAY","10-24-16",29.26,29.71,29.15,29.22
"EBAY","10-25-16",29.2,29.39,28.9401,29.05
"EBAY","10-26-16",29,29.05,28.77,28.82
"EBAY","10-27-16",28.97,29.07,28.63,28.81
"EBAY","10-28-16",28.86,29.095,28.47,28.6
"EBAY","10-31-16",28.77,28.77,28.44,28.51
"EBAY","11-1-16",28.51,28.695,28.09,28.38
"EBAY","11-2-16",28.24,28.51,28.11,28.26
"EBAY","11-3-16",28.17,28.45,28.02,28.06
"EBAY","11-4-16",28.1,28.29,27.94,27.95
"EBAY","11-7-16",28.34,28.37,28.08,28.24
"EBAY","11-8-16",28.09,28.25,27.63,28.03
"EBAY","11-9-16",27.34,28.47,27.33,28.29
"EBAY","11-10-16",28.39,28.75,27.82,28.16
"EBAY","11-11-16",27.97,28.77,27.95,28.64
"EBAY","11-14-16",28.63,28.74,27.86,27.89
"EBAY","11-15-16",28.03,28.77,28.03,28.49
"EBAY","11-16-16",28.39,28.89,28.31,28.33
"EBAY","11-17-16",28.37,28.92,28.35,28.87
"EBAY","11-18-16",28.84,28.95,28.565,28.69
"EBAY","11-21-16",28.73,29.14,28.67,29
"EBAY","11-22-16",29.44,29.44,28.93,29.06
"EBAY","11-23-16",28.99,29.07,28.65,28.9
"EBAY","11-25-16",28.94,28.99,28.75,28.95
"EBAY","11-28-16",28.84,28.89,28.53,28.57
"EBAY","11-29-16",28.56,28.805,28.5,28.51
