"Ticker","Date","Open","High","Low","Close"
"EXC","9-19-16",33.88,34.21,33.88,34.16
"EXC","9-20-16",34.25,34.42,33.84,33.91
"EXC","9-21-16",34.06,34.86,34.01,34.85
"EXC","9-22-16",34.97,35.27,34.84,35.22
"EXC","9-23-16",35.17,35.22,34.77,34.8
"EXC","9-26-16",34.78,34.96,34.61,34.82
"EXC","9-27-16",34.83,34.97,34.12,34.18
"EXC","9-28-16",34.24,34.33,33.67,34.01
"EXC","9-29-16",33.92,33.92,33.1922,33.29
"EXC","9-30-16",33.49,33.65,33.01,33.29
"EXC","10-3-16",33.25,33.25,32.57,32.77
"EXC","10-4-16",32.7,32.71,31.68,31.86
"EXC","10-5-16",31.93,32.34,31.75,32.13
"EXC","10-6-16",32.02,32.21,31.77,32.06
"EXC","10-7-16",32.33,32.6295,32.17,32.18
"EXC","10-10-16",32.39,32.58,32.205,32.5
"EXC","10-11-16",32.42,32.55,32.1,32.15
"EXC","10-12-16",32.21,32.55,32.14,32.51
"EXC","10-13-16",32.47,33.25,32.43,32.85
"EXC","10-14-16",32.83,33.19,32.68,32.7
"EXC","10-17-16",32.8,33.01,32.7,32.75
"EXC","10-18-16",33.05,33.27,32.55,33.09
"EXC","10-19-16",33.01,33.1,32.74,32.88
"EXC","10-20-16",32.94,33.02,32.655,32.84
"EXC","10-21-16",32.64,32.85,32.391,32.5
"EXC","10-24-16",32.62,32.75,32.295,32.65
"EXC","10-25-16",32.5,32.98,32.44,32.9
"EXC","10-26-16",33,33.485,32.67,33.26
"EXC","10-27-16",33.36,33.55,32.75,33.27
"EXC","10-28-16",33.29,33.45,33.01,33.23
"EXC","10-31-16",33.34,34.13,33.34,34.07
"EXC","11-1-16",34.02,34.06,33.11,33.26
"EXC","11-2-16",33.16,33.19,32.41,32.7
"EXC","11-3-16",32.67,32.975,32.51,32.78
"EXC","11-4-16",32.89,33.14,32.66,32.69
"EXC","11-7-16",32.98,33.43,32.77,33.42
"EXC","11-8-16",33.29,33.82,32.39,33.66
"EXC","11-9-16",32.96,32.96,32.01,32.07
"EXC","11-10-16",31.65,31.66,29.9599,30.19
"EXC","11-11-16",30.25,30.61,29.82,30
"EXC","11-14-16",29.9,30.91,29.835,30.77
"EXC","11-15-16",30.93,32.16,30.93,32.07
"EXC","11-16-16",32.11,32.18,31.165,31.6
"EXC","11-17-16",31.43,31.8,31.43,31.49
"EXC","11-18-16",31.82,32.205,31.555,31.73
"EXC","11-21-16",31.86,32.48,31.86,32.48
"EXC","11-22-16",32.43,32.81,32.17,32.46
"EXC","11-23-16",32.05,32.43,32,32.31
"EXC","11-25-16",32.42,32.87,32.39,32.58
"EXC","11-28-16",32.74,33.66,32.71,33.39
"EXC","11-29-16",33.25,33.73,33.24,33.66
"EXC","11-30-16",33.13,33.26,32.51,32.51
"EXC","12-1-16",32.32,32.67,31.77,32.17
"EXC","12-2-16",32.72,33.41,32.67,33.01
"EXC","12-5-16",33,33.385,32.74,33.32
"EXC","12-6-16",33.59,33.64,32.97,33.05
"EXC","12-7-16",33.25,33.66,33.25,33.53
"EXC","12-8-16",33.27,34.2,33.08,34.2
"EXC","12-9-16",34.14,34.99,34.14,34.9
"EXC","12-12-16",34.66,35,34.34,34.51
"EXC","12-13-16",34.66,35.48,34.615,35.46
"EXC","12-14-16",35.6,36.335,34.93,35.09
"EXC","12-15-16",34.89,35.94,34.76,35.73
"EXC","12-16-16",35.76,36.36,35.52,35.72
"EXC","12-19-16",35.86,35.92,35.18,35.75
"EXC","12-20-16",35.67,35.88,35.38,35.46
"EXC","12-21-16",35.51,35.72,35.09,35.14
"EXC","12-22-16",35.3,35.69,35.19,35.31
"EXC","12-23-16",35.4,35.49,35.09,35.3
"EXC","12-27-16",35.24,35.57,35.125,35.4
"EXC","12-28-16",35.46,35.52,35.12,35.2
"EXC","12-29-16",35.33,35.88,35.28,35.72
"EXC","12-30-16",35.75,35.81,35.37,35.49
"EXC","1-3-17",35.67,35.69,34.91,35.19
"EXC","1-4-17",35.34,35.78,35.26,35.49
"EXC","1-5-17",35.5,35.65,35.26,35.5
"EXC","1-6-17",35.39,36.21,35.32,36.08
"EXC","1-9-17",36.09,36.17,35.25,35.27
"EXC","1-10-17",35.42,35.49,35.01,35.06
"EXC","1-11-17",35.2,35.46,35.12,35.39
"EXC","1-12-17",35.42,35.49,35.22,35.44
"EXC","1-13-17",35.39,35.64,35.235,35.44
"EXC","1-17-17",35.55,36.05,35.52,35.88
"EXC","1-18-17",35.8,35.99,35.6,35.71
"EXC","1-19-17",35.61,36.05,35.42,35.74
"EXC","1-20-17",35.78,35.89,35.55,35.8
"EXC","1-23-17",35.85,35.88,35.24,35.3
"EXC","1-24-17",35.27,35.405,35.1,35.13
"EXC","1-25-17",35.34,35.45,35.18,35.35
"EXC","1-26-17",35.4,35.67,35.15,35.29
"EXC","1-27-17",35.44,35.53,35.02,35.08
"EXC","1-30-17",35.14,35.15,34.8,35.04
"EXC","1-31-17",35.04,35.88,34.99,35.88
"EXC","2-1-17",35.66,35.81,35.04,35.45
"EXC","2-2-17",35.44,35.9,35.3601,35.82
"EXC","2-3-17",35.78,35.91,35.66,35.78
"EXC","2-6-17",35.89,36,35.66,35.81
"EXC","2-7-17",35.84,36.07,35.76,36.01
"EXC","2-8-17",35.27,36.3,34.97,35.23
"EXC","2-9-17",35.15,35.18,34.47,34.85
"EXC","2-10-17",34.75,35.07,34.7,35.02
"EXC","2-13-17",34.77,35.22,34.77,35.1
"EXC","2-14-17",35.44,35.51,34.91,35.36
"EXC","2-15-17",35.05,35.24,34.85,35.22
"EXC","2-16-17",35.22,35.44,35.13,35.42
"EXC","2-17-17",35.46,35.62,35.09,35.58
"EXC","2-21-17",35.39,36.02,35.25,35.92
"EXC","2-22-17",35.85,35.92,35.39,35.69
"EXC","2-23-17",35.83,36.18,35.73,35.98
"EXC","2-24-17",36.15,37.19,35.95,37.18
"EXC","2-27-17",37.09,37.1,36.395,36.57
"EXC","2-28-17",36.47,36.87,36.45,36.71
"EXC","3-1-17",36.32,36.47,36.01,36.07
"EXC","3-2-17",35.99,36.63,35.86,36.42
"EXC","3-3-17",36.41,36.41,35.9121,36.32
"EXC","3-6-17",36.2,36.295,35.98,36.07
"EXC","3-7-17",36.19,36.36,36.02,36.13
"EXC","3-8-17",35.81,35.91,35.51,35.72
"EXC","3-9-17",35.7,35.98,35.65,35.78
"EXC","3-10-17",35.95,36.1499,35.72,35.97
"EXC","3-13-17",35.97,36.07,35.795,35.94
"EXC","3-14-17",35.87,35.87,35.56,35.64
"EXC","3-15-17",35.79,36.53,35.7,36.28
"EXC","3-16-17",36.06,36.23,35.89,35.98
"EXC","3-17-17",36.065,36.22,35.93,36.01
"EXC","3-20-17",36.11,36.11,35.44,35.57
"EXC","3-21-17",35.49,36.14,35.38,35.96
"EXC","3-22-17",36.1,36.42,36.1,36.3
"EXC","3-23-17",36.2,36.4439,35.92,35.96
"EXC","3-24-17",35.88,36.4,35.87,36.12
"EXC","3-27-17",36.26,36.32,35.66,35.84
"EXC","3-28-17",35.52,35.69,35.37,35.67
"EXC","3-29-17",35.7,36.12,35.3,35.93
"EXC","3-30-17",35.79,35.91,35.49,35.7
"EXC","3-31-17",35.75,36.43,35.65,35.98
"EXC","4-3-17",35.95,35.98,35.53,35.82
"EXC","4-4-17",35.8,36.38,35.72,36.14
"EXC","4-5-17",35.88,36.16,35.76,36.06
"EXC","4-6-17",36,36.335,35.74,36.27
"EXC","4-7-17",36.31,36.47,35.93,35.97
"EXC","4-10-17",36,36,35.69,35.81
"EXC","4-11-17",35.75,36.305,35.57,36.14
"EXC","4-12-17",35.97,36.26,35.76,36.19
"EXC","4-13-17",36.14,36.19,35.82,35.97
"EXC","4-17-17",35.98,36.12,35.84,35.9
"EXC","4-18-17",35.91,36.06,35.715,35.78
"EXC","4-19-17",35.79,35.87,35.36,35.46
"EXC","4-20-17",35.38,35.4,34.83,35.05
"EXC","4-21-17",35.05,35.34,35.01,35.03
"EXC","4-24-17",35.2,35.62,34.97,35.5
"EXC","4-25-17",35.34,35.515,34.84,35.08
"EXC","4-26-17",35.04,35.43,34.9,34.9
"EXC","4-27-17",34.92,35.175,34.8,34.84
"EXC","4-28-17",34.84,34.88,34.53,34.63
"EXC","5-1-17",34.65,34.7,34.21,34.33
"EXC","5-2-17",34.39,34.53,34.12,34.46
"EXC","5-3-17",34.59,34.59,33.68,33.98
"EXC","5-4-17",33.95,34.3,33.88,34.05
"EXC","5-5-17",34.18,34.54,34.16,34.34
"EXC","5-8-17",34.38,34.48,34.17,34.26
"EXC","5-9-17",34.19,34.2,33.57,33.59
"EXC","5-10-17",33.67,33.79,33.45,33.76
"EXC","5-11-17",33.46,33.63,33.3,33.5
"EXC","5-12-17",33.65,34.25,33.5,34.13
"EXC","5-15-17",34.36,34.83,34.34,34.7
"EXC","5-16-17",34.61,34.71,34.28,34.51
"EXC","5-17-17",34.45,34.955,34.43,34.85
"EXC","5-18-17",34.96,35.33,34.52,35.08
"EXC","5-19-17",35.16,35.16,34.78,35.06
"EXC","5-22-17",34.91,35.64,34.91,35.53
"EXC","5-23-17",35.52,35.59,35.29,35.37
"EXC","5-24-17",35.45,35.83,35.34,35.81
"EXC","5-25-17",35.93,36.08,35.7,36.03
"EXC","5-26-17",36.01,36.08,35.73,35.82
"EXC","5-30-17",35.72,36.2,35.66,36.06
"EXC","5-31-17",36.08,36.45,35.98,36.31
"EXC","6-1-17",36.25,36.74,36.1,36.73
"EXC","6-2-17",36.8,36.83,36.42,36.6
"EXC","6-5-17",36.56,36.74,36.38,36.63
"EXC","6-6-17",36.75,36.86,36.54,36.69
"EXC","6-7-17",36.68,36.85,36.55,36.61
"EXC","6-8-17",36.6,36.61,36.245,36.4
"EXC","6-9-17",36.4,36.68,36.32,36.62
"EXC","6-12-17",36.66,36.87,36.3922,36.48
"EXC","6-13-17",36.48,36.6,36.37,36.55
"EXC","6-14-17",36.79,36.9,36.591,36.69
"EXC","6-15-17",36.67,36.86,36.51,36.82
"EXC","6-16-17",36.88,37.12,36.865,37.08
"EXC","6-19-17",37.14,37.15,36.653,36.84
"EXC","6-20-17",36.81,37.13,36.69,36.89
"EXC","6-21-17",36.95,37.13,36.5,36.67
"EXC","6-22-17",36.61,37.08,36.61,36.66
"EXC","6-23-17",36.66,36.79,36.45,36.5
"EXC","6-26-17",36.66,37.44,36.58,37.21
"EXC","6-27-17",36.96,37.12,36.58,36.76
"EXC","6-28-17",36.87,36.92,36.13,36.19
"EXC","6-29-17",35.99,36.23,35.8,35.84
"EXC","6-30-17",35.92,36.28,35.83,36.07
"EXC","7-3-17",36.2,36.25,35.59,35.84
"EXC","7-5-17",35.84,35.97,35.38,35.52
"EXC","7-6-17",35.44,35.73,35.37,35.68
"EXC","7-7-17",35.7,35.9,35.5,35.58
"EXC","7-10-17",35.59,36.01,35.59,35.76
"EXC","7-11-17",35.82,35.85,35.51,35.72
"EXC","7-12-17",36.01,36.21,35.9401,36.07
"EXC","7-13-17",35.97,36.02,35.66,35.72
"EXC","7-14-17",35.96,36.274,35.94,36.06
"EXC","7-17-17",36.49,37.06,36.45,37.03
"EXC","7-18-17",37.05,37.19,36.9101,37.16
"EXC","7-19-17",37.25,37.41,37.06,37.39
"EXC","7-20-17",37.45,37.69,37.31,37.6
"EXC","7-21-17",37.56,37.76,37.32,37.48
"EXC","7-24-17",37.48,37.49,37.11,37.2
"EXC","7-25-17",37.27,37.35,36.93,37.02
"EXC","7-26-17",37.02,37.71,36.953,37.68
"EXC","7-27-17",37.73,38.04,37.54,37.99
