"Ticker","Date","Open","High","Low","Close"
"FAST","9-19-16",19.765,19.96,19.73,19.885
"FAST","9-20-16",19.95,19.95,19.555,19.56
"FAST","9-21-16",19.58,19.76,19.57,19.72
"FAST","9-22-16",19.885,19.97,19.85,19.875
"FAST","9-23-16",19.8,19.965,19.735,19.82
"FAST","9-26-16",19.705,19.82,19.67,19.7
"FAST","9-27-16",19.62,19.82,19.61,19.795
"FAST","9-28-16",19.855,20.055,19.7775,20.035
"FAST","9-29-16",19.955,20.23,19.8,20.02
"FAST","9-30-16",20.1,20.5975,20.06,20.49
"FAST","10-3-16",20.39,20.745,20.33,20.68
"FAST","10-4-16",20.735,20.78,20.245,20.325
"FAST","10-5-16",20.465,20.64,20.435,20.555
"FAST","10-6-16",20.51,20.995,20.5,20.965
"FAST","10-7-16",20.845,20.97,20.67,20.75
"FAST","10-10-16",20.835,20.865,20.6,20.66
"FAST","10-11-16",20.445,20.985,19.44,19.58
"FAST","10-12-16",19.525,19.525,19.11,19.13
"FAST","10-13-16",19.01,19.025,18.565,18.77
"FAST","10-14-16",18.665,18.9175,18.45,18.77
"FAST","10-17-16",18.755,18.8725,18.69,18.735
"FAST","10-18-16",18.93,18.995,18.54,18.68
"FAST","10-19-16",18.725,19.08,18.61,19.06
"FAST","10-20-16",19.06,19.1625,18.975,19.005
"FAST","10-21-16",18.76,18.85,18.58,18.785
"FAST","10-24-16",18.91,19.14,18.785,19.07
"FAST","10-25-16",19.03,19.09,18.835,18.92
"FAST","10-26-16",18.86,19.29,18.816,19.11
"FAST","10-27-16",19.135,19.165,18.785,18.825
"FAST","10-28-16",18.83,19.1,18.82,18.98
"FAST","10-31-16",19.07,19.125,18.94,19.09
"FAST","11-1-16",19.14,19.165,18.705,18.8
"FAST","11-2-16",18.835,18.8926,18.645,18.725
"FAST","11-3-16",18.805,18.9099,18.685,18.9
"FAST","11-4-16",18.95,19.5,18.94,19.32
"FAST","11-7-16",19.565,19.925,19.56,19.905
"FAST","11-8-16",19.89,20.12,19.695,19.91
"FAST","11-9-16",19.585,21.585,19.4905,21.395
"FAST","11-10-16",21.58,22.25,21.58,22.06
"FAST","11-11-16",21.985,22.14,21.32,21.74
"FAST","11-14-16",21.85,22.315,21.795,22.15
"FAST","11-15-16",22.21,22.23,21.965,22.145
"FAST","11-16-16",22.115,22.2,21.975,22.145
"FAST","11-17-16",22.115,22.285,21.99,22.08
"FAST","11-18-16",22.06,22.1475,21.965,22
"FAST","11-21-16",22.095,22.24,21.99,22.23
"FAST","11-22-16",22.305,22.585,22.17,22.56
"FAST","11-23-16",22.595,22.8525,22.455,22.72
"FAST","11-25-16",22.705,22.785,22.605,22.785
"FAST","11-28-16",22.745,22.855,22.585,22.78
"FAST","11-29-16",22.74,23.1725,22.685,23.105
"FAST","11-30-16",23.195,23.545,23.035,23.3
"FAST","12-1-16",23.355,23.7825,23.235,23.345
"FAST","12-2-16",23.375,23.6025,23.1986,23.515
"FAST","12-5-16",23.83,24.205,23.69,23.89
"FAST","12-6-16",23.57,23.825,23.2,23.75
"FAST","12-7-16",23.74,24.2175,23.515,24.185
"FAST","12-8-16",24.17,24.2525,24.0474,24.165
"FAST","12-9-16",24.185,24.24,23.98,24.105
"FAST","12-12-16",24.13,24.175,23.88,24.05
"FAST","12-13-16",24.08,24.085,23.715,23.9
"FAST","12-14-16",23.965,24.095,23.71,23.76
"FAST","12-15-16",23.775,23.9875,23.58,23.815
"FAST","12-16-16",23.86,23.97,23.61,23.625
"FAST","12-19-16",23.59,23.775,23.445,23.61
"FAST","12-20-16",23.72,24.06,23.59,23.865
"FAST","12-21-16",23.85,23.94,23.67,23.67
"FAST","12-22-16",23.665,23.67,23.44,23.615
"FAST","12-23-16",23.62,23.735,23.5,23.67
