"Ticker","Date","Open","High","Low","Close"
"FB","9-19-16",129.91,129.94,128.26,128.65
"FB","9-20-16",128.65,129.17,128.0307,128.64
"FB","9-21-16",129.13,130.005,128.39,129.94
"FB","9-22-16",130.5,130.73,129.56,130.08
"FB","9-23-16",127.56,128.6,127.3,127.96
"FB","9-26-16",127.37,128.16,126.8,127.31
"FB","9-27-16",127.61,129.01,127.43,128.69
"FB","9-28-16",129.21,129.47,128.4,129.23
"FB","9-29-16",129.18,129.29,127.55,128.09
"FB","9-30-16",128.03,128.59,127.45,128.27
"FB","10-3-16",128.38,129.09,127.8,128.77
"FB","10-4-16",129.17,129.2765,127.5499,128.19
"FB","10-5-16",128.25,128.8,127.83,128.47
"FB","10-6-16",128.43,129.06,128.08,128.74
"FB","10-7-16",129.04,129.25,128.33,128.99
"FB","10-10-16",129.68,130.7,129.2,130.24
"FB","10-11-16",130.23,130.64,128.23,128.88
"FB","10-12-16",129.01,129.66,128.46,129.05
"FB","10-13-16",128.21,128.25,126.75,127.82
"FB","10-14-16",128.49,128.95,127.58,127.88
"FB","10-17-16",128.2,128.47,127.32,127.54
"FB","10-18-16",128.68,129.39,128.01,128.57
"FB","10-19-16",128.74,130.47,128.6,130.11
"FB","10-20-16",130.07,130.66,129.5,130
"FB","10-21-16",129.78,132.13,129.7,132.07
"FB","10-24-16",132.72,133.405,132.15,133.28
"FB","10-25-16",133.5,133.5,132.22,132.29
"FB","10-26-16",131.64,132.26,130.935,131.04
"FB","10-27-16",131.74,131.8,129.27,129.69
"FB","10-28-16",130.5,132.97,129.93,131.29
"FB","10-31-16",132.01,132.12,130.8835,130.99
"FB","11-1-16",131.41,131.94,128.65,129.5
"FB","11-2-16",130.23,130.23,126.28,127.17
"FB","11-3-16",122,123.28,119.5,120
"FB","11-4-16",119.59,121.93,119.25,120.75
"FB","11-7-16",122.83,123.2089,121.35,122.15
"FB","11-8-16",122.03,124.61,121.54,124.22
"FB","11-9-16",122.14,123.81,120.51,123.18
"FB","11-10-16",123.93,124.18,115.27,120.8
"FB","11-11-16",119.53,120.7,118.15,119.02
"FB","11-14-16",119.1256,119.1256,113.5535,115.08
"FB","11-15-16",116.73,118.49,115.83,117.2
"FB","11-16-16",114.48,117.88,114.21,116.34
"FB","11-17-16",116.81,117.79,116.01,117.79
"FB","11-18-16",118.39,119.13,116.84,117.02
"FB","11-21-16",118.2,121.95,117.8,121.77
"FB","11-22-16",122.4,122.98,120.9,121.47
"FB","11-23-16",121.23,121.31,119.94,120.84
"FB","11-25-16",121.01,121.14,120.07,120.38
"FB","11-28-16",120.12,121.69,119.82,120.41
"FB","11-29-16",120.57,122.1,120.4,120.87
"FB","11-30-16",120.32,121.79,117.95,118.42
"FB","12-1-16",118.38,118.45,114,115.1
"FB","12-2-16",115.11,116.48,114.3,115.4
"FB","12-5-16",115.95,117.57,115.07,117.43
"FB","12-6-16",117.69,117.795,116.33,117.31
"FB","12-7-16",117,117.95,116.57,117.95
"FB","12-8-16",117.98,119.5,117.64,118.91
"FB","12-9-16",119.22,119.94,118.95,119.68
"FB","12-12-16",119.22,119.24,117.65,117.77
"FB","12-13-16",117.86,121.52,117.61,120.31
"FB","12-14-16",120,121.69,118.85,120.21
"FB","12-15-16",120.08,122.5,119.63,120.57
"FB","12-16-16",120.9,121.5,119.27,119.87
"FB","12-19-16",119.85,120.36,118.51,119.24
"FB","12-20-16",119.5,119.77,118.8,119.09
"FB","12-21-16",118.92,119.2,118.48,119.04
"FB","12-22-16",118.86,118.99,116.93,117.4
"FB","12-23-16",117,117.56,116.3,117.27
"FB","12-27-16",116.96,118.68,116.864,118.01
"FB","12-28-16",118.19,118.25,116.65,116.92
"FB","12-29-16",117,117.531,116.06,116.35
"FB","12-30-16",116.595,116.83,114.7739,115.05
"FB","1-3-17",116.03,117.84,115.51,116.86
"FB","1-4-17",117.55,119.66,117.29,118.69
"FB","1-5-17",118.86,120.95,118.3209,120.67
"FB","1-6-17",120.98,123.88,120.03,123.41
"FB","1-9-17",123.55,125.43,123.04,124.9
"FB","1-10-17",124.82,125.5,124.28,124.35
"FB","1-11-17",124.35,126.12,124.06,126.09
"FB","1-12-17",125.61,126.73,124.8,126.62
"FB","1-13-17",127.49,129.27,127.37,128.34
"FB","1-17-17",128.04,128.34,127.4,127.87
"FB","1-18-17",128.41,128.43,126.84,127.92
"FB","1-19-17",128.23,128.35,127.45,127.55
"FB","1-20-17",128.1,128.48,126.78,127.04
"FB","1-23-17",127.31,129.25,126.95,128.93
"FB","1-24-17",129.38,129.9,128.38,129.37
"FB","1-25-17",130,131.74,129.77,131.48
"FB","1-26-17",131.63,133.14,131.4401,132.78
"FB","1-27-17",132.68,132.95,131.08,132.18
"FB","1-30-17",131.58,131.58,129.6,130.98
"FB","1-31-17",130.17,130.66,129.5157,130.32
"FB","2-1-17",132.25,133.49,130.68,133.23
"FB","2-2-17",133.22,135.49,130.4,130.84
"FB","2-3-17",131.24,132.85,130.76,130.98
"FB","2-6-17",130.98,132.06,130.3,132.06
"FB","2-7-17",132.24,133,131.661,131.84
"FB","2-8-17",132.6,134.44,132.44,134.2
"FB","2-9-17",134.49,134.5,133.31,134.14
"FB","2-10-17",134.1,134.94,133.68,134.19
"FB","2-13-17",134.6975,134.6975,133.7,134.05
"FB","2-14-17",134.1,134.23,132.55,133.85
"FB","2-15-17",133.45,133.7,132.66,133.44
"FB","2-16-17",133.07,133.87,133.022,133.84
"FB","2-17-17",133.5,134.0912,133.17,133.53
"FB","2-21-17",133.5,133.91,132.9,133.72
"FB","2-22-17",133.6,136.79,133.46,136.12
"FB","2-23-17",135.89,136.12,134.33,135.36
"FB","2-24-17",134.16,135.62,134.16,135.44
"FB","2-27-17",135.26,137.1846,135.02,136.41
"FB","2-28-17",136.79,136.805,134.75,135.54
"FB","3-1-17",136.47,137.48,136.3,137.42
"FB","3-2-17",137.09,137.82,136.31,136.76
"FB","3-3-17",136.63,137.33,136.08,137.17
"FB","3-6-17",136.88,137.83,136.51,137.42
"FB","3-7-17",137.03,138.37,136.99,137.3
"FB","3-8-17",137.15,137.99,137.0516,137.72
"FB","3-9-17",137.72,138.57,137.4,138.24
"FB","3-10-17",138.91,139.49,138.22,138.79
"FB","3-13-17",138.71,139.68,138.6729,139.6
"FB","3-14-17",139.46,139.46,138.52,139.32
"FB","3-15-17",139.29,140.1,138.49,139.72
"FB","3-16-17",140.2,140.25,139.73,139.99
"FB","3-17-17",140.34,140.34,139.7,139.84
"FB","3-20-17",139.71,140.19,139.25,139.94
"FB","3-21-17",141.15,142.3082,138.4,138.51
"FB","3-22-17",137.93,139.79,137.6,139.59
"FB","3-23-17",139.48,140.39,139.09,139.53
"FB","3-24-17",140.08,141.0244,139.76,140.34
"FB","3-27-17",139.05,140.65,138.77,140.32
"FB","3-28-17",140.36,141.95,140.01,141.76
"FB","3-29-17",141.99,142.86,141.43,142.65
"FB","3-30-17",142.4,142.95,141.85,142.41
"FB","3-31-17",142.31,142.63,141.89,142.05
"FB","4-3-17",141.93,142.47,140.82,142.28
"FB","4-4-17",141.86,142.09,141.27,141.73
