"Ticker","Date","Open","High","Low","Close"
"FOX","9-19-16",24.38,24.455,24.17,24.29
"FOX","9-20-16",24.33,24.46,24.205,24.24
"FOX","9-21-16",24.27,24.375,24.09,24.3
"FOX","9-22-16",24.45,24.82,24.37,24.74
"FOX","9-23-16",24.68,24.81,24.48,24.49
"FOX","9-26-16",24.4,24.47,24.16,24.31
"FOX","9-27-16",24.36,24.82,24.33,24.8
"FOX","9-28-16",24.78,25.05,24.75,24.89
"FOX","9-29-16",24.82,24.97,24.58,24.62
"FOX","9-30-16",24.75,24.97,24.65,24.74
"FOX","10-3-16",24.69,25.25,24.61,25.17
"FOX","10-4-16",25.13,25.44,25.01,25.15
"FOX","10-5-16",25.27,25.32,25.005,25.01
"FOX","10-6-16",24.92,25.11,24.74,24.905
"FOX","10-7-16",25.21,25.77,24.56,24.68
"FOX","10-10-16",24.75,25.08,24.75,25.01
"FOX","10-11-16",25.03,25.08,24.72,24.83
"FOX","10-12-16",24.77,24.9,24.635,24.76
"FOX","10-13-16",24.54,24.84,24.405,24.76
"FOX","10-14-16",24.81,25.035,24.74,24.86
"FOX","10-17-16",24.85,24.96,24.77,24.79
"FOX","10-18-16",25.02,25.22,24.915,25.07
"FOX","10-19-16",25.18,25.57,25.1,25.32
"FOX","10-20-16",25.18,25.49,25.04,25.36
"FOX","10-21-16",25.23,26.15,25.11,25.91
"FOX","10-24-16",26.12,26.27,25.48,25.67
"FOX","10-25-16",25.68,25.835,25.6,25.71
"FOX","10-26-16",25.71,26.58,25.61,26.52
"FOX","10-27-16",26.57,26.61,26.12,26.24
"FOX","10-28-16",26.21,26.42,26.14,26.24
"FOX","10-31-16",26.3,26.5,26.235,26.39
"FOX","11-1-16",26.41,26.41,25.99,26.19
"FOX","11-2-16",26.21,26.23,25.7,25.75
"FOX","11-3-16",26.7,27.7,26.66,27.53
"FOX","11-4-16",27.22,27.47,26.66,26.69
"FOX","11-7-16",27.17,27.22,26.86,27.19
"FOX","11-8-16",27.22,27.295,26.84,27.08
"FOX","11-9-16",26.4,27.46,26.301,27.33
"FOX","11-10-16",27.35,27.64,26.99,27.16
"FOX","11-11-16",27.11,27.14,26.7,27
"FOX","11-14-16",27.08,27.38,26.99,27.33
"FOX","11-15-16",27.3,27.48,27.21,27.4
"FOX","11-16-16",27.39,27.55,27.275,27.49
"FOX","11-17-16",27.36,27.81,27.31,27.81
"FOX","11-18-16",27.74,27.91,27.645,27.69
"FOX","11-21-16",27.73,27.75,27.54,27.73
"FOX","11-22-16",27.83,28.19,27.68,28.14
"FOX","11-23-16",28.15,28.36,28.03,28.28
"FOX","11-25-16",28.21,28.3,28.13,28.26
"FOX","11-28-16",28.16,28.31,27.99,28.19
"FOX","11-29-16",28.29,28.415,28.13,28.36
