"Ticker","Date","Open","High","Low","Close"
"FOXA","9-19-16",23.97,24.07,23.81,23.93
"FOXA","9-20-16",24.1,24.105,23.86,23.89
"FOXA","9-21-16",23.87,24.04,23.78,24
"FOXA","9-22-16",24.19,24.48,24.09,24.3
"FOXA","9-23-16",24.28,24.44,23.93,23.93
"FOXA","9-26-16",23.84,23.95,23.595,23.79
"FOXA","9-27-16",23.79,24.27,23.735,24.2
"FOXA","9-28-16",24.29,24.53,24.2,24.31
"FOXA","9-29-16",24.17,24.41,24.01,24.04
"FOXA","9-30-16",24.21,24.42,24.04,24.22
"FOXA","10-3-16",24.09,24.81,24.04,24.73
"FOXA","10-4-16",24.72,24.985,24.53,24.74
"FOXA","10-5-16",24.79,24.87,24.63,24.66
"FOXA","10-6-16",24.57,24.74,24.33,24.53
"FOXA","10-7-16",24.62,24.68,24.23,24.35
"FOXA","10-10-16",24.43,24.75,24.43,24.71
"FOXA","10-11-16",24.73,24.77,24.49,24.64
"FOXA","10-12-16",24.64,24.66,24.44,24.55
"FOXA","10-13-16",24.33,24.66,24.215,24.56
"FOXA","10-14-16",24.62,24.91,24.55,24.73
"FOXA","10-17-16",24.75,24.81,24.64,24.68
"FOXA","10-18-16",24.89,25.1,24.78,24.96
"FOXA","10-19-16",25.02,25.16,24.93,25.12
"FOXA","10-20-16",25.12,25.4,24.96,25.27
"FOXA","10-21-16",25.08,26.03,25.01,25.83
"FOXA","10-24-16",26.05,26.22,25.33,25.57
"FOXA","10-25-16",25.59,25.7,25.47,25.56
"FOXA","10-26-16",25.58,26.45,25.505,26.4
"FOXA","10-27-16",26.45,26.53,25.99,26.11
"FOXA","10-28-16",26.13,26.34,26.08,26.25
"FOXA","10-31-16",26.32,26.55,26.21,26.27
"FOXA","11-1-16",26.26,26.31,25.95,26.19
"FOXA","11-2-16",26.28,26.28,25.725,25.83
"FOXA","11-3-16",26.76,27.84,26.7,27.71
"FOXA","11-4-16",27.49,27.7,26.9,26.94
"FOXA","11-7-16",27.42,27.43,27.12,27.39
"FOXA","11-8-16",27.46,27.46,26.96,27.09
"FOXA","11-9-16",26.57,27.54,26.4,27.46
"FOXA","11-10-16",27.45,27.77,27.09,27.16
"FOXA","11-11-16",27.12,27.205,26.7,27.14
"FOXA","11-14-16",27.1,27.55,27.1,27.52
"FOXA","11-15-16",27.51,27.585,27.37,27.45
"FOXA","11-16-16",27.45,27.65,27.36,27.54
"FOXA","11-17-16",27.61,27.925,27.43,27.92
"FOXA","11-18-16",27.82,28,27.73,27.82
"FOXA","11-21-16",27.78,27.88,27.64,27.8
"FOXA","11-22-16",27.89,28.37,27.78,28.27
"FOXA","11-23-16",28.28,28.49,28.16,28.4
"FOXA","11-25-16",28.34,28.44,28.24,28.36
"FOXA","11-28-16",28.24,28.4975,28.12,28.31
"FOXA","11-29-16",28.42,28.52,28.17,28.47
"FOXA","11-30-16",28.39,28.54,28.11,28.11
"FOXA","12-1-16",28.07,28.43,27.965,28.2
"FOXA","12-2-16",28.33,28.33,27.2,27.4
"FOXA","12-5-16",27.54,27.61,26.8178,27.56
"FOXA","12-6-16",27.54,27.67,27.25,27.5
"FOXA","12-7-16",27.48,28.14,27.39,28.11
"FOXA","12-8-16",28.24,28.66,28.14,28.64
"FOXA","12-9-16",28.62,30.42,27.54,28.21
"FOXA","12-12-16",27.92,27.99,26.12,26.34
"FOXA","12-13-16",26.3,27.04,26.28,27.04
"FOXA","12-14-16",27.24,28.19,27.06,28.02
"FOXA","12-15-16",28.2,28.315,27.67,27.99
"FOXA","12-16-16",28.05,28.49,27.87,28.03
"FOXA","12-19-16",28.1,28.3,27.94,28.12
