"Ticker","Date","Open","High","Low","Close"
"GS","9-19-16",167.34,168.31,165.68,166.21
"GS","9-20-16",167.68,168.28,166.39,166.47
"GS","9-21-16",167.42,168.28,165.93,167.03
"GS","9-22-16",168.45,169.3325,167.7,168.02
"GS","9-23-16",167.75,168.1,165.05,165.13
"GS","9-26-16",163.83,163.97,161,161.48
"GS","9-27-16",160.72,163.449,159.82,162.89
"GS","9-28-16",163.34,163.79,161.68,163.45
"GS","9-29-16",163.38,163.96,157.77,158.95
"GS","9-30-16",159.95,162.41,157.8,161.27
"GS","10-3-16",160.5,161.72,160.25,161.07
"GS","10-4-16",161.24,164.15,161.23,162.27
"GS","10-5-16",163.32,166.57,163.005,166.4
"GS","10-6-16",167.18,167.29,164.82,167.15
"GS","10-7-16",167.5,169.98,166.24,169.83
"GS","10-10-16",170.52,171.75,170.1,171.04
"GS","10-11-16",169.84,170.87,167.91,169.04
"GS","10-12-16",169.04,169.99,168.301,169.3
"GS","10-13-16",167.6,167.63,165.51,167.42
"GS","10-14-16",171.6,172.95,169.11,170.52
"GS","10-17-16",170.5,171.27,168.45,169
"GS","10-18-16",172.01,173.47,171.1,172.63
"GS","10-19-16",173.37,175.68,173.18,174.51
"GS","10-20-16",174,175.79,173.8,174.51
"GS","10-21-16",172.84,174.9,172.51,174.67
"GS","10-24-16",175.5,175.79,174.35,175.12
"GS","10-25-16",175.04,175.96,174.641,175.55
"GS","10-26-16",174.79,177.9,173.93,177.07
"GS","10-27-16",178.19,178.85,176.57,177.75
"GS","10-28-16",178.51,178.51,175.46,177.14
"GS","10-31-16",177.68,178.5,177.23,178.24
"GS","11-1-16",179,179.18,176.61,178.06
"GS","11-2-16",177.07,177.5,176.07,176.58
"GS","11-3-16",176.77,177.97,176.21,176.21
"GS","11-4-16",176.33,177.34,174.73,175.92
"GS","11-7-16",179,181.5,179,181.48
"GS","11-8-16",180.11,182.68,178.46,181.92
"GS","11-9-16",185,193.54,183.45,192.63
"GS","11-10-16",194.53,204.67,194,200.87
"GS","11-11-16",198.25,205,198.25,203.94
"GS","11-14-16",204.15,211.77,204.15,209.18
"GS","11-15-16",206.56,211.2,205.17,211.19
"GS","11-16-16",207.35,208.08,204.83,206.26
"GS","11-17-16",206.26,209.69,205.67,209.63
"GS","11-18-16",209.87,212.07,209.72,210.35
"GS","11-21-16",211.46,211.69,209.18,211.08
"GS","11-22-16",211.36,211.95,209.89,211.11
"GS","11-23-16",211.5,213.41,209.37,212.31
"GS","11-25-16",211.36,212.754,211.001,211.38
"GS","11-28-16",210,211.76,209.6,210.35
"GS","11-29-16",209.99,212.92,209.92,211.75
"GS","11-30-16",215.2,220.77,214.97,219.29
"GS","12-1-16",220.93,227.16,220.35,226.63
"GS","12-2-16",226,226.25,221.22,223.36
"GS","12-5-16",225.52,229.2,225.24,228.55
"GS","12-6-16",230.18,232.67,227.9,231.38
"GS","12-7-16",230.4,236.09,230.4,235.56
"GS","12-8-16",236.88,242.42,236,241.45
"GS","12-9-16",240.61,242,238.88,241.85
"GS","12-12-16",240.5,242.83,236.37,237.17
"GS","12-13-16",239,240.18,235.505,238.55
"GS","12-14-16",235.67,243.12,235.37,239.93
"GS","12-15-16",242.49,245.57,241.62,243
"GS","12-16-16",242.8,243.19,238.4,238.9
"GS","12-19-16",238.34,239.74,236.26,239.07
"GS","12-20-16",240.52,243.65,240.23,243.09
"GS","12-21-16",242.24,242.4,240.08,241.44
"GS","12-22-16",241.23,242.86,239.55,240.12
"GS","12-23-16",239.54,241.9,238.91,240.97
"GS","12-27-16",241.95,242.5899,240.4,241.56
"GS","12-28-16",243.69,244.5,240.44,240.65
"GS","12-29-16",240.75,241.07,236.64,238.18
"GS","12-30-16",238.51,240.5,237.4,239.45
"GS","1-3-17",242.7,244.97,237.97,241.57
"GS","1-4-17",241.44,243.32,240.03,243.13
"GS","1-5-17",242.72,243.2324,236.78,241.32
"GS","1-6-17",242.29,246.2,241.37,244.9
"GS","1-9-17",243.25,244.69,241.47,242.89
"GS","1-10-17",240.87,243.44,239.05,242.57
"GS","1-11-17",242.77,245.84,242,245.76
"GS","1-12-17",245.06,245.4669,241.57,243.84
"GS","1-13-17",245.43,247.77,242.91,244.3
"GS","1-17-17",242.94,243.06,235.61,235.74
"GS","1-18-17",236,237.69,231.52,234.29
"GS","1-19-17",234.07,234.75,230.62,231.41
"GS","1-20-17",231.62,233.23,230.54,232.2
"GS","1-23-17",231.86,233.752,230.75,232.67
"GS","1-24-17",231.86,236.06,230.84,233.68
"GS","1-25-17",235.53,237.33,234.485,237.25
"GS","1-26-17",237.47,240.79,237.47,239.58
"GS","1-27-17",236.9,237.97,236.01,236.95
"GS","1-30-17",235.58,236.29,231.52,233.9
"GS","1-31-17",232.85,234.35,228.16,229.32
"GS","2-1-17",230.51,232.86,229.52,230.67
"GS","2-2-17",228.51,232.33,227.05,230.41
"GS","2-3-17",234.52,241.11,234.2,240.95
"GS","2-6-17",239.6,243.65,239.17,239.98
"GS","2-7-17",241.15,241.44,239.39,239.62
"GS","2-8-17",238.3,238.94,236.31,237.73
"GS","2-9-17",238.8,243.2906,237.42,241.55
"GS","2-10-17",243.37,244.16,241.23,242.72
"GS","2-13-17",244.49,247.48,244.49,246.27
"GS","2-14-17",246.01,250,245.69,249.46
"GS","2-15-17",250.58,251.95,248.51,250.54
"GS","2-16-17",250.3,250.78,248.44,249.44
"GS","2-17-17",247.51,250.56,247.11,250.38
"GS","2-21-17",251,252.65,250.71,251.76
"GS","2-22-17",250.06,252.35,250,251.73
"GS","2-23-17",251.31,251.9,249.322,251.19
"GS","2-24-17",247.7,248.88,246.1,247.35
"GS","2-27-17",247.21,249.76,246.61,249.33
"GS","2-28-17",248,249,245.61,248.06
"GS","3-1-17",253.71,255.15,251.26,252.71
"GS","3-2-17",253.52,254.2352,250.97,251.06
"GS","3-3-17",251.73,254.75,251.5,252.89
"GS","3-6-17",252.17,252.73,250.5,252.01
"GS","3-7-17",252.49,253,250.31,250.9
"GS","3-8-17",253.62,254.77,249.61,250.24
"GS","3-9-17",251.22,252.74,249.52,250.18
"GS","3-10-17",251.84,251.9,246.87,248.38
"GS","3-13-17",249.32,249.32,247.2083,248.16
"GS","3-14-17",246.81,247.83,245.41,247.72
"GS","3-15-17",248.35,250.28,245.56,246.78
"GS","3-16-17",247.85,250.2,247.31,248.22
"GS","3-17-17",249.68,249.68,243.86,243.94
"GS","3-20-17",243.32,244.93,241.52,242.14
"GS","3-21-17",243.31,243.31,232.79,233
"GS","3-22-17",231.215,232.92,229.1587,231.07
"GS","3-23-17",230.75,234.63,229.95,231.9
"GS","3-24-17",233,233.7,226.97,228.41
"GS","3-27-17",223.3,227.07,220.85,225.48
"GS","3-28-17",225.58,229.75,225.1,229.33
"GS","3-29-17",229.39,229.965,227.52,228.45
"GS","3-30-17",229.48,232,229.38,231.22
"GS","3-31-17",230.53,230.8,228.73,229.72
"GS","4-3-17",230,230.1,225.57,228.96
"GS","4-4-17",227.72,230.69,227.28,229.26
"GS","4-5-17",232.15,232.89,227.31,227.66
"GS","4-6-17",227.09,230.12,225.71,228.64
"GS","4-7-17",226.6,228.83,226.23,227.88
"GS","4-10-17",228,229.79,226.95,228.89
"GS","4-11-17",227.78,229.4,225.39,227.74
"GS","4-12-17",227.65,228.25,225.23,225.75
"GS","4-13-17",225.18,228.17,223.08,223.32
"GS","4-17-17",223.9,226.88,223.02,226.26
"GS","4-18-17",219.32,219.89,213.18,215.59
"GS","4-19-17",215.87,217.18,213.61,214.09
"GS","4-20-17",215.5,218.98,215,218.06
"GS","4-21-17",218.55,219.18,216.38,216.86
"GS","4-24-17",221.18,224.81,220.3,223.22
"GS","4-25-17",226.2,227.98,225.15,226.63
"GS","4-26-17",227.1,229.36,226.09,226.2
"GS","4-27-17",226.7,226.7,223.52,225.81
"GS","4-28-17",225.31,226.77,223.72,223.8
"GS","5-1-17",224.9,226.39,220.93,224.85
"GS","5-2-17",224.86,225.84,223.1756,225.12
"GS","5-3-17",224.45,226.69,224.32,226.31
"GS","5-4-17",228.26,228.89,224.81,226.59
"GS","5-5-17",226.88,227.4711,225.3,226.87
"GS","5-8-17",226.75,227.34,224.6,225.03
"GS","5-9-17",225.47,226.565,222.93,223.76
"GS","5-10-17",223.46,225.35,223.06,224.88
"GS","5-11-17",224.35,225.09,222.15,224.76
"GS","5-12-17",223.49,224.49,222.48,222.82
"GS","5-15-17",223.13,226.57,222.85,225.12
"GS","5-16-17",225.44,226.82,224.41,225.6
"GS","5-17-17",221.73,222.16,213.12,213.72
"GS","5-18-17",214,217.61,213.86,215.16
"GS","5-19-17",214.87,217.8,214,215.39
"GS","5-22-17",217.37,217.64,215.4,216.02
"GS","5-23-17",215.97,220.79,214.66,219.64
"GS","5-24-17",220,224.4,219.45,223.83
"GS","5-25-17",224.41,225.45,222.3,222.47
"GS","5-26-17",222.01,224.23,221.18,223.53
"GS","5-30-17",221.83,222.44,218.01,218.42
"GS","5-31-17",218.24,218.3,209.62,211.26
"GS","6-1-17",212.61,215.93,210.79,215.01
"GS","6-2-17",212.94,215.21,211.91,213.31
"GS","6-5-17",213.08,215.81,212.68,213.99
"GS","6-6-17",212.51,216.02,212.48,214.53
"GS","6-7-17",215.37,217.23,214.31,215.78
"GS","6-8-17",215.56,221,214.63,218.76
"GS","6-9-17",220.83,223.85,219.75,222.44
"GS","6-12-17",223.63,225.23,219.65,221.91
"GS","6-13-17",223.35,226.8,222.77,224.2
"GS","6-14-17",222.99,226.94,221.76,226.51
"GS","6-15-17",224.81,226.35,222.8,223.23
"GS","6-16-17",222.65,223.67,221.1301,221.81
"GS","6-19-17",223.43,227.04,223.11,226.13
"GS","6-20-17",225.51,226.5399,224.19,225.1
"GS","6-21-17",224.54,224.93,221.9328,222.49
"GS","6-22-17",221.44,221.9,219.29,219.77
"GS","6-23-17",220.5,220.69,216.46,217.19
"GS","6-26-17",218.26,221.97,217.6963,220.44
"GS","6-27-17",221.84,222.41,219.56,220.28
"GS","6-28-17",221.87,224.63,220.75,223.22
"GS","6-29-17",228.37,228.79,223.03,224.41
"GS","6-30-17",225.31,226.05,221.54,221.9
"GS","7-3-17",224.46,229.07,223.42,227.28
"GS","7-5-17",228.38,228.92,225.21,228.04
"GS","7-6-17",227.97,230.06,225.25,226.69
"GS","7-7-17",228.23,228.4898,224.42,225.28
"GS","7-10-17",224.27,227.34,223.96,225.84
"GS","7-11-17",226.04,227.95,224.67,226.95
"GS","7-12-17",226.4,229.02,226.07,227.39
"GS","7-13-17",227.39,230.64,226.95,230.4
"GS","7-14-17",227.22,229.61,225.1,228.6
"GS","7-17-17",228.73,229.6397,227.21,229.26
"GS","7-18-17",227.5,230.36,222.76,223.31
"GS","7-19-17",222.91,224.2,221.67,222.87
"GS","7-20-17",223,224.7555,221.61,222.3
"GS","7-21-17",221.89,222.31,219.09,220.18
"GS","7-24-17",218.94,219.7267,218,218.18
"GS","7-25-17",220.34,222.8725,220.18,221.58
"GS","7-26-17",222.45,223.74,221.87,222.25
"GS","7-27-17",221.84,222.71,220.43,221.48
"GS","7-28-17",221.77,223.67,220.86,223.61
"GS","7-31-17",223.95,225.5,223.05,225.33
"GS","8-1-17",227.09,228.62,226.73,227
"GS","8-2-17",226.4,227.73,225.57,226.27
"GS","8-3-17",226,226.74,223.97,223.99
"GS","8-4-17",226.05,229.79,225.06,229.79
"GS","8-7-17",229.8,233.13,229.29,232.92
"GS","8-8-17",232.4,235.83,231.7,232.05
"GS","8-9-17",230.32,231.49,229.06,231.01
"GS","8-10-17",229.02,229.454,225.4656,225.5
"GS","8-11-17",225.07,226.6799,222.65,224.15
"GS","8-14-17",226.37,229.83,226.2966,227.36
"GS","8-15-17",229.57,230.61,227.5,227.59
"GS","8-16-17",228.26,229.01,225,225.61
"GS","8-17-17",224.38,225.98,221.11,221.42
"GS","8-18-17",220.79,224.091,220.55,222.15
"GS","8-21-17",222.4,222.4,219.21,220.79
"GS","8-22-17",221.86,223.78,221.33,223.58
"GS","8-23-17",221.9,224.81,221.33,222.74
"GS","8-24-17",223.77,224.565,222.59,222.99
"GS","8-25-17",223.64,224.9489,222.13,222.47
"GS","8-28-17",222.91,223.085,218.86,220.35
"GS","8-29-17",217.27,220.1302,215.75,219.96
"GS","8-30-17",220.25,224.22,220.09,222.42
"GS","8-31-17",223.25,224.49,222.58,223.74
"GS","9-1-17",224.55,227.56,223.53,225.88
"GS","9-5-17",223.85,224,217.3,217.78
"GS","9-6-17",218.98,221.02,217.61,218.83
"GS","9-7-17",218.73,218.81,214.64,215.84
