"Ticker","Date","Open","High","Low","Close"
"HD","9-19-16",126.68,127.37,126.17,126.29
"HD","9-20-16",126.86,127.33,126.33,126.83
"HD","9-21-16",127.52,128.59,126.55,128.11
"HD","9-22-16",128.82,129.65,128.72,128.75
"HD","9-23-16",128.63,129.2,127.79,127.79
"HD","9-26-16",127.1,127.23,125.35,125.45
"HD","9-27-16",125.8,126.99,125.36,126.82
"HD","9-28-16",127.21,128.53,127.06,128.27
"HD","9-29-16",128.5,130.74,127.91,127.93
"HD","9-30-16",127.87,129.24,127.63,128.68
"HD","10-3-16",128.2,128.82,127.97,128.5
"HD","10-4-16",128.53,129.92,127.95,128.2
"HD","10-5-16",128.32,129.03,127.52,127.58
"HD","10-6-16",126.87,130.45,126.43,130.19
"HD","10-7-16",129.83,130.41,127.88,128.31
"HD","10-10-16",128.45,128.94,127.25,127.25
"HD","10-11-16",126.85,127.08,125.46,125.85
"HD","10-12-16",125.85,127.16,125.71,126.69
"HD","10-13-16",126.25,126.66,125.173,126.29
"HD","10-14-16",126.9,127.56,126.42,126.42
"HD","10-17-16",126.18,126.8,124.88,125.14
"HD","10-18-16",126.15,126.25,125.15,125.74
"HD","10-19-16",125.76,126.09,124.51,125.89
"HD","10-20-16",125.95,127.08,125.57,126.25
"HD","10-21-16",125.31,126.8,125.25,126.6
"HD","10-24-16",127.23,128.14,127.23,127.78
"HD","10-25-16",126.27,126.27,123.29,123.34
"HD","10-26-16",122.83,123.75,122.4,122.71
"HD","10-27-16",122.71,123.46,121.85,122.26
"HD","10-28-16",122.7,124.09,122.2065,123.58
"HD","10-31-16",123.35,123.5,121.62,122.01
"HD","11-1-16",121.69,122.25,119.2,119.89
"HD","11-2-16",119.93,121.29,119.82,120.29
"HD","11-3-16",120.34,120.93,120.08,120.18
"HD","11-4-16",120.54,121.9,120.06,120.91
"HD","11-7-16",122.5,123.98,122.31,123.75
"HD","11-8-16",123.95,125.42,123.6,124.25
"HD","11-9-16",120.95,126.26,120.32,126.02
"HD","11-10-16",126.72,130.1,126.51,129.03
"HD","11-11-16",129.06,130.13,128.72,129.85
"HD","11-14-16",130.5,130.64,126.94,127.67
"HD","11-15-16",127.07,127.67,122.92,124.4
"HD","11-16-16",123.6,125.7,123.28,125.33
"HD","11-17-16",125.87,129.14,125.7,128.93
"HD","11-18-16",128.93,129.36,127.72,128.33
