"Ticker","Date","Open","High","Low","Close"
"HON","9-19-16",114.87,115.68,114.46,114.54
"HON","9-20-16",115.35,115.79,114.73,114.87
"HON","9-21-16",114.96,115.95,114.49,115.93
"HON","9-22-16",116.4,117.27,116.2,116.83
"HON","9-23-16",115.31,116.4,115.27,115.98
"HON","9-26-16",115.74,116.845,115.392,115.94
"HON","9-27-16",115.67,116.45,115.22,116.21
"HON","9-28-16",116.47,117.26,115.86,117.16
"HON","9-29-16",117.72,117.72,116.14,116.19
"HON","9-30-16",116.64,117,116.05,116.59
"HON","10-3-16",115.81,116.29,115.43,116.05
"HON","10-4-16",115.97,115.98,114.58,114.88
"HON","10-5-16",115.1,115.82,115.1,115.26
"HON","10-6-16",115.32,115.89,115,115.61
"HON","10-7-16",107.02,107.56,105.2475,106.94
"HON","10-10-16",107.27,107.96,106.21,106.8
"HON","10-11-16",106.43,106.43,105.26,105.78
"HON","10-12-16",105.83,107.75,105.73,107.43
"HON","10-13-16",106.83,108.68,106.55,108.26
"HON","10-14-16",109.99,110.07,108.55,109
"HON","10-17-16",108.86,109.4,107.96,108.04
"HON","10-18-16",109.16,109.17,107.71,107.87
"HON","10-19-16",108.01,108.66,107.41,108.27
"HON","10-20-16",108.08,108.58,107.72,108.14
"HON","10-21-16",107.96,109.6,107.51,108.96
"HON","10-24-16",109.43,110.12,108.81,109.26
"HON","10-25-16",109.5,109.51,108.6099,109.07
"HON","10-26-16",108.86,109.75,108.54,109.43
"HON","10-27-16",109.76,109.89,108.42,108.83
"HON","10-28-16",109.4,110.875,108.93,109.83
"HON","10-31-16",109.96,110.17,109.525,109.68
"HON","11-1-16",109.87,110.19,108.83,109.15
"HON","11-2-16",109.39,109.39,108.01,108.46
"HON","11-3-16",108.75,108.815,108.01,108.35
"HON","11-4-16",108.48,109.2,108.01,108.25
"HON","11-7-16",109.83,111.34,109.45,111.25
"HON","11-8-16",111,111.51,110.51,110.62
"HON","11-9-16",111.05,113.14,109.73,112.36
"HON","11-10-16",113.11,114.5,112.82,113.19
"HON","11-11-16",113.11,113.51,112.74,113.25
"HON","11-14-16",113.62,114.36,112.84,113.04
"HON","11-15-16",113.06,113.44,112.09,113.12
"HON","11-16-16",112.47,112.83,111.87,112.27
"HON","11-17-16",112.59,113.39,112.4357,113.1
"HON","11-18-16",112.98,113,111.89,112.09
"HON","11-21-16",112.24,112.4795,111.78,112.21
"HON","11-22-16",112.53,112.76,112.1,112.52
"HON","11-23-16",112.77,113.96,112.77,113.83
"HON","11-25-16",113.92,114.36,113.52,114.17
"HON","11-28-16",114.16,114.19,113.34,113.85
"HON","11-29-16",113.46,114.49,113.29,113.34
"HON","11-30-16",113.73,114.74,113.28,113.94
"HON","12-1-16",113.24,114.05,112.81,113.67
"HON","12-2-16",113.96,114,112.17,112.45
"HON","12-5-16",112.9,113.8,112.71,112.88
"HON","12-6-16",113.34,113.66,112.66,113.07
"HON","12-7-16",113.37,116.81,112.81,116.51
"HON","12-8-16",116.34,117.14,114.83,115.65
"HON","12-9-16",115.16,116.43,115.03,116.23
"HON","12-12-16",116.4,117.41,115.68,117.41
"HON","12-13-16",117.63,118.4,117.3,118.09
"HON","12-14-16",117.84,118.62,116.28,116.51
"HON","12-15-16",116.31,117.49,116.15,116.34
"HON","12-16-16",113.64,117.58,113.6,116.38
"HON","12-19-16",117,118.06,116.8,117.29
"HON","12-20-16",117.45,118.085,117.3,117.71
"HON","12-21-16",117.58,117.9,116.93,117.2
"HON","12-22-16",117.34,117.5,116.61,116.92
"HON","12-23-16",117.31,117.45,116.7225,116.99
"HON","12-27-16",117.01,117.55,116.8,117.03
"HON","12-28-16",117.18,117.365,115.7,115.75
"HON","12-29-16",116.12,116.58,115.8,116
"HON","12-30-16",116.2,116.2,115.42,115.85
"HON","1-3-17",116.63,116.9,115.56,116.18
"HON","1-4-17",116.64,116.97,116.03,116.5
"HON","1-5-17",116.53,117.46,116.22,116.76
"HON","1-6-17",116.94,118.705,116.51,118.53
"HON","1-9-17",118.27,118.39,117.55,117.55
"HON","1-10-17",117.33,118.44,116.88,117.85
"HON","1-11-17",117.54,118.12,117.13,118.01
"HON","1-12-17",118.01,118.01,116.6601,117.63
