"Ticker","Date","Open","High","Low","Close"
"IBM","9-19-16",154.87,156.19,154.55,154.87
"IBM","9-20-16",155.87,156.57,154.45,154.45
"IBM","9-21-16",154.91,155.68,153.87,155.53
"IBM","9-22-16",156.15,157.22,155.69,156.11
"IBM","9-23-16",155.62,156.04,154.71,154.98
"IBM","9-26-16",154.46,154.46,153.46,153.98
"IBM","9-27-16",154.32,156.77,153.81,156.77
"IBM","9-28-16",156.99,158.625,156.23,158.29
"IBM","9-29-16",158.63,165,157.46,158.11
"IBM","9-30-16",158.9,159.838,158.06,158.85
"IBM","10-3-16",158.06,158.37,157.02,157.61
"IBM","10-4-16",157.67,158.53,155.82,156.46
"IBM","10-5-16",157.07,157.83,156.72,157.08
"IBM","10-6-16",156.84,157.43,155.89,156.88
"IBM","10-7-16",157.14,157.7,154.86,155.67
"IBM","10-10-16",156.71,158.49,156.655,157.02
"IBM","10-11-16",156.73,156.95,153.89,154.79
"IBM","10-12-16",154.97,154.97,153.08,154.29
"IBM","10-13-16",153.7,154.22,152.27,153.72
"IBM","10-14-16",154.47,155.53,154.09,154.45
"IBM","10-17-16",154.45,155.89,154.34,154.77
"IBM","10-18-16",150.02,151,147.79,150.72
"IBM","10-19-16",151.27,152.45,150.83,151.26
"IBM","10-20-16",151.28,152.9,151.02,151.52
"IBM","10-21-16",150.58,151.15,149.56,149.63
"IBM","10-24-16",150.4,151.52,150.4,150.57
"IBM","10-25-16",150.69,151.16,149.83,150.88
"IBM","10-26-16",150.71,152.94,150.255,151.81
"IBM","10-27-16",152.82,154.06,152.02,153.35
"IBM","10-28-16",154.05,154.44,152.18,152.61
"IBM","10-31-16",152.76,154.33,152.76,153.69
"IBM","11-1-16",153.5,153.91,151.74,152.79
"IBM","11-2-16",152.48,153.345,151.67,151.95
"IBM","11-3-16",152.51,153.74,151.8,152.37
"IBM","11-4-16",152.4,153.64,151.87,152.43
"IBM","11-7-16",153.99,156.11,153.84,155.72
"IBM","11-8-16",154.56,155.93,153.06,155.17
"IBM","11-9-16",152.96,155.56,151,154.81
"IBM","11-10-16",157.66,161.16,157.59,160.22
"IBM","11-11-16",159.97,161.34,159.33,161.27
"IBM","11-14-16",161.25,161.86,157.58,158.21
"IBM","11-15-16",158.42,159.15,157.55,158.67
"IBM","11-16-16",158.46,159.55,158.03,159.29
"IBM","11-17-16",159.22,159.93,158.85,159.8
"IBM","11-18-16",159.8,160.72,159.21,160.39
"IBM","11-21-16",160.69,163,160.3697,162.77
"IBM","11-22-16",163,163,161.95,162.67
"IBM","11-23-16",161.94,162.38,161.3557,161.98
"IBM","11-25-16",161.83,163.19,161.83,163.14
"IBM","11-28-16",163.2,164.66,162.7,164.52
"IBM","11-29-16",164,164.41,163.03,163.53
"IBM","11-30-16",163.35,163.8,162.21,162.22
"IBM","12-1-16",161.95,162.195,158.3,159.82
"IBM","12-2-16",159,160.29,158.41,160.02
"IBM","12-5-16",160.85,161.15,159.5875,159.84
"IBM","12-6-16",160.13,160.79,158.93,160.35
"IBM","12-7-16",160.6,165.18,160.39,164.79
"IBM","12-8-16",164.87,166,164.22,165.36
"IBM","12-9-16",165.18,166.72,164.6042,166.52
"IBM","12-12-16",166.72,166.79,165.07,165.5
"IBM","12-13-16",165.68,169.952,165.68,168.29
"IBM","12-14-16",168.37,169.89,167.45,168.51
"IBM","12-15-16",168.01,169.85,167.78,168.02
"IBM","12-16-16",168.97,169.11,166.06,166.73
"IBM","12-19-16",166.83,167.26,166,166.68
"IBM","12-20-16",167.49,168.25,166.45,167.6
"IBM","12-21-16",166.25,167.94,165.25,167.33
"IBM","12-22-16",167.36,168.23,166.58,167.06
"IBM","12-23-16",167,167.49,166.45,166.71
"IBM","12-27-16",166.98,167.98,166.85,167.14
"IBM","12-28-16",167.29,167.74,166,166.19
"IBM","12-29-16",166.02,166.99,166,166.6
"IBM","12-30-16",166.44,166.7,165.5,165.99
"IBM","1-3-17",167,167.87,166.01,167.19
"IBM","1-4-17",167.77,169.87,167.36,169.26
