"Ticker","Date","Open","High","Low","Close"
"IDXX","9-19-16",109.53,111.26,109.495,110.64
"IDXX","9-20-16",111.7,112.22,111.07,111.83
"IDXX","9-21-16",111.85,112.49,110.42,112.07
"IDXX","9-22-16",112.89,114.1,112.45,113.09
"IDXX","9-23-16",112.51,112.87,111.13,111.36
"IDXX","9-26-16",111.55,111.695,110.865,110.96
"IDXX","9-27-16",111.29,113.98,110.51,113.27
"IDXX","9-28-16",113.36,113.52,112.32,113.41
"IDXX","9-29-16",112.94,113.29,111.27,111.87
"IDXX","9-30-16",111.98,113.22,111.57,112.73
"IDXX","10-3-16",112.37,113.27,112.07,113.12
"IDXX","10-4-16",112.92,113.81,112.22,112.93
"IDXX","10-5-16",112.95,113.69,112.57,112.92
"IDXX","10-6-16",112.9,114.07,112.65,113.11
"IDXX","10-7-16",113.33,115.52,112.765,115.32
"IDXX","10-10-16",115.47,117.84,115.458,117.04
"IDXX","10-11-16",117.03,117.03,112.45,112.84
"IDXX","10-12-16",113.14,113.73,111.57,111.73
"IDXX","10-13-16",111.01,111.71,110.47,110.73
"IDXX","10-14-16",111.61,111.73,110.65,111.1
"IDXX","10-17-16",111,111.725,110.57,111.27
"IDXX","10-18-16",112.6,113.12,111.7,112.57
"IDXX","10-19-16",112.39,113.3,112.21,112.78
"IDXX","10-20-16",112.42,113.26,111.6,112.06
"IDXX","10-21-16",111.31,111.31,110.24,110.48
"IDXX","10-24-16",111.28,113.64,110.65,113.38
"IDXX","10-25-16",113.68,114.11,110.83,110.98
"IDXX","10-26-16",109.5,110.43,105.89,106.67
"IDXX","10-27-16",107.21,107.27,104.55,104.91
"IDXX","10-28-16",104.32,106.47,104.22,105.05
"IDXX","10-31-16",104.9,107.65,103.765,107.14
"IDXX","11-1-16",110.05,110.45,102.45,103.98
"IDXX","11-2-16",103.71,105.89,103.2582,105.44
"IDXX","11-3-16",105.4,106.44,104.93,105.07
"IDXX","11-4-16",105.49,107.65,105.49,106.21
"IDXX","11-7-16",107.9,109.66,107.567,108.53
"IDXX","11-8-16",108.31,110.97,107.97,109.45
"IDXX","11-9-16",107.35,109.27,104.211,109.11
"IDXX","11-10-16",110.13,111.03,106.55,108.76
"IDXX","11-11-16",108.46,109.64,107.59,109.17
"IDXX","11-14-16",109.91,110.35,108.99,109.3
"IDXX","11-15-16",109.35,113.43,109.35,113.09
"IDXX","11-16-16",112.41,114.17,112.41,112.75
"IDXX","11-17-16",112.76,115.406,112.67,115.19
"IDXX","11-18-16",115.53,116.5,114.72,116.13
"IDXX","11-21-16",119.64,119.86,118.12,118.54
"IDXX","11-22-16",118.74,120.08,117.78,119.88
"IDXX","11-23-16",119.9,120.78,119.09,120.16
"IDXX","11-25-16",120.16,120.8,119.78,120.27
"IDXX","11-28-16",120.15,120.7934,118.82,119.48
"IDXX","11-29-16",119.75,121.06,119.435,120.34
"IDXX","11-30-16",120.53,120.81,117.65,117.65
"IDXX","12-1-16",118.19,120.94,113.47,114.17
"IDXX","12-2-16",114.17,115.81,114.11,114.58
"IDXX","12-5-16",114.8,115.87,113.735,114.1
"IDXX","12-6-16",114.71,115.76,113.71,115.72
"IDXX","12-7-16",115.73,118.47,115.04,118.02
"IDXX","12-8-16",118.11,118.84,117.05,118.79
"IDXX","12-9-16",119.21,119.79,118.1,118.24
"IDXX","12-12-16",118.36,120.48,117.77,120.29
"IDXX","12-13-16",120.75,121.7699,119.85,120.83
"IDXX","12-14-16",121.06,121.6,119.2,119.77
"IDXX","12-15-16",119.64,120.773,119.3,119.91
"IDXX","12-16-16",119.2,120.47,119.12,119.43
"IDXX","12-19-16",120.21,120.48,118.82,119.03
"IDXX","12-20-16",119.13,119.55,118.12,118.4
"IDXX","12-21-16",118.66,120.1,118.66,119.56
"IDXX","12-22-16",119.59,120,118.92,119.09
"IDXX","12-23-16",119.34,120.33,119,119.88
"IDXX","12-27-16",120.12,120.85,119.64,119.75
"IDXX","12-28-16",119.79,120.895,117.59,117.75
"IDXX","12-29-16",117.73,118.68,117.53,118.08
"IDXX","12-30-16",118.61,118.935,117.15,117.27
"IDXX","1-3-17",118.29,119.18,117.1701,117.6
"IDXX","1-4-17",118.02,118.26,113.92,115.95
"IDXX","1-5-17",116.15,118.36,115.9,115.96
"IDXX","1-6-17",115.99,118.91,115.3,118.36
"IDXX","1-9-17",120.26,120.86,118.07,119.02
"IDXX","1-10-17",119.14,121.81,119.11,120.71
"IDXX","1-11-17",120.99,121.69,119.83,121.12
"IDXX","1-12-17",120.83,120.83,118.71,120.64
"IDXX","1-13-17",120.44,121.72,120.03,120.8
"IDXX","1-17-17",120.88,121.535,119.43,120.01
"IDXX","1-18-17",120.16,120.418,118.24,118.9
"IDXX","1-19-17",119.24,120.49,118.4,120.28
"IDXX","1-20-17",120.43,120.79,118.69,118.88
"IDXX","1-23-17",119.02,119.22,116.54,117.74
"IDXX","1-24-17",118.07,118.98,117.4,118.51
"IDXX","1-25-17",118.84,121.47,118.65,121.4
"IDXX","1-26-17",120.88,121.39,118.8,119.61
"IDXX","1-27-17",120.02,121.78,119.65,121.66
"IDXX","1-30-17",121.57,121.57,119.84,120.5
"IDXX","1-31-17",120.51,122.47,120.23,122.33
"IDXX","2-1-17",122.4,123.257,121.1901,122.8
"IDXX","2-2-17",125.5,139.8999,125.02,139.07
"IDXX","2-3-17",139.53,142.86,138.52,142.02
"IDXX","2-6-17",142,142.32,140.21,142.01
"IDXX","2-7-17",142.23,143.47,141.79,143.13
"IDXX","2-8-17",142.83,143.09,141,141.11
"IDXX","2-9-17",141.39,142.54,140.86,142.11
"IDXX","2-10-17",142.07,142.51,141.49,141.83
"IDXX","2-13-17",142.73,142.9,141.32,141.7
"IDXX","2-14-17",141.11,142,140.63,141.6
"IDXX","2-15-17",140.89,142.09,140.65,141.74
"IDXX","2-16-17",141.93,142.38,140.99,141.95
"IDXX","2-17-17",141.71,142.7,141.12,142.23
"IDXX","2-21-17",142.3,143.06,141.52,142.4
"IDXX","2-22-17",142.16,143.05,141.8,142.25
"IDXX","2-23-17",142.63,143.56,141.8301,143.02
"IDXX","2-24-17",142.81,143.92,141.02,143.06
"IDXX","2-27-17",143.35,144.33,142.5001,143.61
"IDXX","2-28-17",143.94,146.17,143.8,144.94
"IDXX","3-1-17",145.84,148.22,145.37,147.01
"IDXX","3-2-17",147,147.26,145.75,146.1
"IDXX","3-3-17",146.66,147.67,146.22,147.13
"IDXX","3-6-17",146.36,147.75,145.5249,147.08
"IDXX","3-7-17",146.74,147.7,145.24,147.03
"IDXX","3-8-17",147.35,147.7,146.51,146.88
"IDXX","3-9-17",146.77,149.57,146.42,149.41
"IDXX","3-10-17",150.33,151.99,149.1,150.28
"IDXX","3-13-17",150.66,151.97,150.19,151.6
"IDXX","3-14-17",151.73,151.89,150.445,151.21
"IDXX","3-15-17",151.45,153.87,151.07,153.68
"IDXX","3-16-17",153.94,153.945,151.28,151.62
"IDXX","3-17-17",151.77,152.43,151.3,151.95
"IDXX","3-20-17",152.18,152.415,150.49,151.54
"IDXX","3-21-17",151.9,152.34,148.61,150.11
"IDXX","3-22-17",152.22,153.94,150.56,152.88
"IDXX","3-23-17",152.44,153.69,151.65,152.89
"IDXX","3-24-17",153.22,154.57,152.87,153.74
"IDXX","3-27-17",152.98,154.49,151.8048,153.96
"IDXX","3-28-17",153.51,154.4099,152.335,153.81
"IDXX","3-29-17",153.57,154.9,153.57,154.72
"IDXX","3-30-17",154.45,154.99,153.9,154.52
"IDXX","3-31-17",154,155.65,153.69,154.61
"IDXX","4-3-17",155.07,155.74,153.59,155.28
"IDXX","4-4-17",156.54,156.54,153.88,155.12
"IDXX","4-5-17",155.08,157.03,154.1,154.72
"IDXX","4-6-17",154.59,155.13,153.33,154.56
"IDXX","4-7-17",154.84,156.14,154.745,155.48
"IDXX","4-10-17",155.47,156.36,153.99,154.58
"IDXX","4-11-17",154.24,154.945,153.75,154.69
"IDXX","4-12-17",155.27,155.35,153.84,154.2
"IDXX","4-13-17",153.75,155.19,153.38,153.6
"IDXX","4-17-17",154.28,155.78,153.24,155.28
"IDXX","4-18-17",155.1,155.99,154.2,155.68
"IDXX","4-19-17",156.55,157.65,155.86,157.08
"IDXX","4-20-17",157.81,159.77,156.75,159.52
"IDXX","4-21-17",159.61,159.92,158.23,159.12
"IDXX","4-24-17",161.92,162.99,161.18,161.87
"IDXX","4-25-17",162.39,163.29,162.207,162.43
"IDXX","4-26-17",162.7,163.37,161.36,162.82
"IDXX","4-27-17",162.8,163.39,161.19,162.76
"IDXX","4-28-17",166.02,172,165.25,167.73
"IDXX","5-1-17",168.3,168.3,162.25,163.73
"IDXX","5-2-17",164.2,164.2,162.39,163.73
"IDXX","5-3-17",163.73,164.855,160.18,160.28
"IDXX","5-4-17",160.47,161.02,158.83,160.46
"IDXX","5-5-17",161.02,162.76,160.11,162.47
"IDXX","5-8-17",162.31,162.65,160.56,161.66
"IDXX","5-9-17",160.8,162.25,160.8,162.06
"IDXX","5-10-17",162.08,163.63,161.55,163.01
"IDXX","5-11-17",162.07,163.27,161.83,163.17
"IDXX","5-12-17",163.17,164,162.59,163.22
"IDXX","5-15-17",163.15,164.56,162.7125,164.48
"IDXX","5-16-17",164.9,164.97,163.705,164.72
"IDXX","5-17-17",163.92,164.06,160.91,161.04
"IDXX","5-18-17",161.2,162.76,160.51,161.59
"IDXX","5-19-17",161.75,162.3867,160.981,161.63
"IDXX","5-22-17",161.13,163.25,161.05,162.97
"IDXX","5-23-17",163.37,164.445,162.675,164.2
"IDXX","5-24-17",164.57,165,163.2,164.6
"IDXX","5-25-17",165.05,168.43,164.75,167.4
"IDXX","5-26-17",166.97,168.12,166.5755,167.56
"IDXX","5-30-17",167.44,168.91,167.31,167.93
"IDXX","5-31-17",168.13,169.23,166.77,168.39
"IDXX","6-1-17",166.88,169.06,165.19,168.25
"IDXX","6-2-17",168.56,170.18,168,169.86
"IDXX","6-5-17",170.55,171.508,169.5349,169.99
"IDXX","6-6-17",170.09,172.25,169.34,170.88
"IDXX","6-7-17",171.24,173.01,170.9,171.94
"IDXX","6-8-17",172.02,172.86,170.32,171.34
"IDXX","6-9-17",171.71,172.175,164.2301,164.56
"IDXX","6-12-17",164.35,164.56,156.02,158.22
"IDXX","6-13-17",159.35,161.63,158.22,161.3
"IDXX","6-14-17",162.31,164.26,160.25,160.63
"IDXX","6-15-17",159.77,160.99,157.877,160.57
"IDXX","6-16-17",160.21,162.75,159.51,160.71
"IDXX","6-19-17",161.4,164.62,161.19,164.38
"IDXX","6-20-17",163.9,167.29,163.84,166.02
"IDXX","6-21-17",166.02,167.0707,165.83,166.61
"IDXX","6-22-17",166.5,167.98,165.44,166.52
"IDXX","6-23-17",166.5,168.6,165.98,167.35
"IDXX","6-26-17",168.28,168.63,165.79,165.97
"IDXX","6-27-17",165.57,165.785,162.28,162.44
"IDXX","6-28-17",162.92,164.93,162.44,164.65
"IDXX","6-29-17",164.22,164.22,159,160.54
"IDXX","6-30-17",161.47,162.845,160.58,161.42
