"Ticker","Date","Open","High","Low","Close"
"ILMN","9-19-16",173.37,174.75,172.36,173.15
"ILMN","9-20-16",174.29,177.47,173.68,175.8
"ILMN","9-21-16",176.16,178.9,174.76,178.45
"ILMN","9-22-16",179.81,180.72,177.62,179.34
"ILMN","9-23-16",179.1,181.2,177.81,179.33
"ILMN","9-26-16",179.35,179.71,178.2,178.47
"ILMN","9-27-16",178.04,181,177.9,180.35
"ILMN","9-28-16",180.31,181.32,178.55,180.98
"ILMN","9-29-16",179.34,181.4999,176.16,176.56
"ILMN","9-30-16",177.44,182.61,176.71,181.66
"ILMN","10-3-16",184.49,184.49,179.04,182.23
"ILMN","10-4-16",182.38,186.61,180.03,181.22
"ILMN","10-5-16",182.17,186.6,182.17,186.17
"ILMN","10-6-16",186,186.88,183.15,184.93
"ILMN","10-7-16",185.82,185.99,183.6,184.49
"ILMN","10-10-16",185.32,186.705,184.28,184.85
"ILMN","10-11-16",135.1,140.89,133.8,138.99
"ILMN","10-12-16",139.97,141.44,136,136.18
"ILMN","10-13-16",135.67,138.11,135.13,137.17
"ILMN","10-14-16",138.42,139.35,136.57,138
"ILMN","10-17-16",138.5,141.86,137,141.23
"ILMN","10-18-16",143.15,149.32,142.69,145.22
"ILMN","10-19-16",146.2,148.08,144,146.72
"ILMN","10-20-16",148.08,148.08,142.64,142.83
"ILMN","10-21-16",142,142.17,138.65,141.8
"ILMN","10-24-16",142.48,144.25,141.51,142.27
"ILMN","10-25-16",141.67,141.97,137.94,138.18
"ILMN","10-26-16",138.22,141.56,138.22,139.95
"ILMN","10-27-16",140.39,142.49,139.04,139.29
"ILMN","10-28-16",139.42,140.74,137.52,138.63
"ILMN","10-31-16",139.36,139.94,135.52,136.14
"ILMN","11-1-16",136.39,139.84,135.96,139.5
"ILMN","11-2-16",135.21,136.8395,133.5,135.66
"ILMN","11-3-16",135.86,135.89,133.3,134.39
"ILMN","11-4-16",133.03,137.58,133.02,134.63
"ILMN","11-7-16",136.45,138.88,135.33,137.08
"ILMN","11-8-16",136.94,138.52,135.61,137.7
"ILMN","11-9-16",140.36,145.43,132.5,133.13
"ILMN","11-10-16",134.39,139.1,133.59,138.37
"ILMN","11-11-16",137.43,140.87,136.75,137.71
"ILMN","11-14-16",137.92,138.8529,135.14,136.38
"ILMN","11-15-16",136.49,137.1745,134.7005,136.8
"ILMN","11-16-16",138.3,138.3,134.33,134.87
"ILMN","11-17-16",134.75,135.11,132.9129,134.09
"ILMN","11-18-16",133.7,134.9,129,131.87
"ILMN","11-21-16",131.82,137.94,131.74,137.55
"ILMN","11-22-16",138.15,138.95,133.03,134.75
"ILMN","11-23-16",133.99,134.74,132.48,134.43
"ILMN","11-25-16",134.19,135.44,132.61,135.19
"ILMN","11-28-16",135.37,137.24,134.5,136.18
"ILMN","11-29-16",136.73,137.5,135.37,136.53
"ILMN","11-30-16",136.31,136.31,131.52,133.14
"ILMN","12-1-16",133.3,133.3,126.39,127.72
"ILMN","12-2-16",127.99,128.56,126.91,127.9
"ILMN","12-5-16",128.32,130.72,127.73,127.92
"ILMN","12-6-16",127.92,128.36,125.1,126.4
"ILMN","12-7-16",123.8,124.49,119.37,122.02
"ILMN","12-8-16",121.63,123.9199,120,123.48
"ILMN","12-9-16",123.82,128.785,122.96,123.2
"ILMN","12-12-16",122.51,124.72,121.4652,124
"ILMN","12-13-16",124.83,127.5,124.75,126.7
"ILMN","12-14-16",125.19,126.49,124.82,125.45
"ILMN","12-15-16",126.16,132.44,125.68,132
"ILMN","12-16-16",131.47,132.85,129.01,131.01
"ILMN","12-19-16",130.09,132.05,128.63,129.65
"ILMN","12-20-16",129.78,130.9,127.19,128.05
"ILMN","12-21-16",128.05,129.18,127.52,127.82
"ILMN","12-22-16",128,128.61,126.18,126.77
"ILMN","12-23-16",127.03,129.39,126.71,128.75
"ILMN","12-27-16",128.95,130.595,128.24,128.94
"ILMN","12-28-16",128.76,128.94,127.09,127.93
"ILMN","12-29-16",127.66,129.38,127.22,128.72
"ILMN","12-30-16",129.18,129.52,127.28,128.04
"ILMN","1-3-17",129.17,132.19,128.16,131.13
"ILMN","1-4-17",131.03,136.33,130.25,135.18
"ILMN","1-5-17",135.18,135.83,132.02,134.56
