"Ticker","Date","Open","High","Low","Close"
"INTC","9-19-16",37.69,38.02,37.09,37.16
"INTC","9-20-16",37.42,37.43,36.94,37.14
"INTC","9-21-16",37.21,37.46,36.8601,37.45
"INTC","9-22-16",37.6,37.83,37.44,37.55
"INTC","9-23-16",37.45,37.65,37.12,37.19
"INTC","9-26-16",36.92,36.94,36.6,36.65
"INTC","9-27-16",36.9,37.22,36.63,37.18
"INTC","9-28-16",37.31,37.5,37.15,37.44
"INTC","9-29-16",37.49,37.53,37,37.32
"INTC","9-30-16",37.47,37.92,37.44,37.75
"INTC","10-3-16",37.69,37.95,37.53,37.66
"INTC","10-4-16",37.77,37.94,37.33,37.54
"INTC","10-5-16",37.75,38.31,37.64,37.99
"INTC","10-6-16",37.84,38.16,37.575,38.07
"INTC","10-7-16",38.08,38.22,37.78,38.1
"INTC","10-10-16",38.25,38.36,37.9,38.02
"INTC","10-11-16",37.91,38,36.821,37.27
"INTC","10-12-16",37.2,37.25,36.81,37.13
"INTC","10-13-16",36.85,37.13,36.46,36.97
"INTC","10-14-16",37.19,37.7,37.155,37.45
"INTC","10-17-16",37.55,37.7162,37.245,37.29
"INTC","10-18-16",37.97,38.05,37.53,37.75
"INTC","10-19-16",36.07,36.09,35.23,35.51
"INTC","10-20-16",35.41,35.67,35.1,35.43
"INTC","10-21-16",35.21,35.4,34.81,35.15
"INTC","10-24-16",35.43,35.49,35.11,35.26
"INTC","10-25-16",35.14,35.25,35.01,35.1
"INTC","10-26-16",35.04,35.205,34.74,34.92
"INTC","10-27-16",35.1,35.23,34.75,34.81
"INTC","10-28-16",34.87,35.17,34.71,34.74
"INTC","10-31-16",34.92,35.08,34.84,34.87
"INTC","11-1-16",34.9,35.16,34.27,34.52
"INTC","11-2-16",34.6,34.9,34.47,34.6
"INTC","11-3-16",34.45,34.52,33.87,33.93
"INTC","11-4-16",33.53,33.93,33.42,33.61
"INTC","11-7-16",34.24,34.75,34.15,34.69
"INTC","11-8-16",34.6,34.95,34.49,34.74
"INTC","11-9-16",34.13,34.85,33.67,34.75
"INTC","11-10-16",34.95,34.95,34.025,34.5
"INTC","11-11-16",34.57,34.87,34.34,34.61
"INTC","11-14-16",34.56,34.73,34.2,34.48
"INTC","11-15-16",34.64,35.29,34.61,34.91
"INTC","11-16-16",34.9,34.92,34.54,34.84
"INTC","11-17-16",34.81,35.02,34.63,35.02
"INTC","11-18-16",34.9,35,34.64,34.95
"INTC","11-21-16",35.1,35.2,34.84,34.98
"INTC","11-22-16",35.18,35.5,35.11,35.48
"INTC","11-23-16",35.48,35.52,35.1,35.2
"INTC","11-25-16",35.11,35.45,35.11,35.44
"INTC","11-28-16",35.43,35.66,35.21,35.51
"INTC","11-29-16",35.64,35.64,35.27,35.31
"INTC","11-30-16",35.2,35.3,34.7,34.7
"INTC","12-1-16",34.86,34.93,33.56,33.76
"INTC","12-2-16",33.72,34.26,33.6,34.16
"INTC","12-5-16",34.31,34.42,33.965,34.39
"INTC","12-6-16",34.39,34.75,34.3,34.72
"INTC","12-7-16",34.67,35.57,34.45,35.5
"INTC","12-8-16",35.48,36.03,35.22,35.7
"INTC","12-9-16",35.75,35.9,35.59,35.76
"INTC","12-12-16",35.78,36.09,35.67,35.97
"INTC","12-13-16",36.01,36.89,35.93,36.8
"INTC","12-14-16",36.7,36.89,36.46,36.55
"INTC","12-15-16",36.74,37.16,36.53,36.79
"INTC","12-16-16",36.72,36.87,36.085,36.31
"INTC","12-19-16",36.34,36.95,36.27,36.89
"INTC","12-20-16",36.95,37.24,36.89,37.21
"INTC","12-21-16",37.25,37.345,36.91,36.98
"INTC","12-22-16",37.23,37.24,36.81,36.93
"INTC","12-23-16",36.93,36.98,36.7709,36.97
"INTC","12-27-16",36.91,37.33,36.91,37.07
"INTC","12-28-16",37.1,37.2,36.58,36.63
"INTC","12-29-16",36.51,36.72,36.43,36.66
"INTC","12-30-16",36.79,36.8,36.2,36.27
"INTC","1-3-17",36.61,36.93,36.27,36.6
"INTC","1-4-17",36.71,36.77,36.34,36.41
"INTC","1-5-17",36.45,36.72,36.305,36.35
"INTC","1-6-17",36.46,36.68,36.19,36.48
"INTC","1-9-17",36.48,36.885,36.4776,36.61
"INTC","1-10-17",36.55,36.93,36.53,36.54
"INTC","1-11-17",36.51,37,36.51,36.95
"INTC","1-12-17",36.83,36.83,36.32,36.71
"INTC","1-13-17",36.71,36.86,36.62,36.79
"INTC","1-17-17",36.67,36.83,36.59,36.8
"INTC","1-18-17",36.89,37.01,36.61,36.76
"INTC","1-19-17",36.51,36.91,36.51,36.57
"INTC","1-20-17",36.76,37.03,36.58,36.94
"INTC","1-23-17",37.07,37.21,36.55,36.77
"INTC","1-24-17",36.84,37.74,36.81,37.62
"INTC","1-25-17",37.87,38,37.515,37.8
"INTC","1-26-17",37.82,37.925,37.42,37.56
"INTC","1-27-17",38,38.45,37.81,37.98
"INTC","1-30-17",37.74,37.84,37.33,37.42
"INTC","1-31-17",37.22,37.37,36.6401,36.82
"INTC","2-1-17",36.82,36.95,36.02,36.52
"INTC","2-2-17",36.26,36.7,36.2,36.68
"INTC","2-3-17",36.69,36.82,36.45,36.52
"INTC","2-6-17",36.51,36.51,36.15,36.27
"INTC","2-7-17",36.45,36.52,36.24,36.35
"INTC","2-8-17",36.34,36.65,36.14,36.38
"INTC","2-9-17",36.5,36.5,35.4,35.46
"INTC","2-10-17",35.26,35.43,34.84,35.34
"INTC","2-13-17",35.57,35.85,35.34,35.8
"INTC","2-14-17",35.84,35.96,35.53,35.93
"INTC","2-15-17",35.98,36.06,35.67,36.05
"INTC","2-16-17",36.18,36.56,36.1,36.41
"INTC","2-17-17",36.32,36.48,36.1,36.48
"INTC","2-21-17",36.53,36.65,36.33,36.52
"INTC","2-22-17",36.34,36.3964,35.79,36.07
"INTC","2-23-17",36.24,36.3,35.9,36.18
"INTC","2-24-17",36.14,36.53,35.95,36.53
"INTC","2-27-17",36.42,36.68,36.27,36.51
"INTC","2-28-17",36.42,36.46,36,36.2
"INTC","3-1-17",35.85,36.1,35.44,35.93
"INTC","3-2-17",35.93,36.02,35.65,35.91
"INTC","3-3-17",35.94,36.085,35.67,35.9
"INTC","3-6-17",35.79,35.8,35.42,35.57
"INTC","3-7-17",35.54,35.8,35.385,35.8
"INTC","3-8-17",35.67,35.9,35.525,35.62
"INTC","3-9-17",35.6,35.94,35.5,35.82
"INTC","3-10-17",36.12,36.295,35.78,35.91
"INTC","3-13-17",35.85,36.04,34.94,35.16
"INTC","3-14-17",35.06,35.23,34.66,35.18
"INTC","3-15-17",34.94,35.17,34.68,35.1
"INTC","3-16-17",35.17,35.36,35.07,35.14
"INTC","3-17-17",35.31,35.33,35.1,35.27
"INTC","3-20-17",35.37,35.63,35.26,35.43
"INTC","3-21-17",35.59,35.6,35,35.04
"INTC","3-22-17",35.22,35.46,35,35.37
"INTC","3-23-17",35.49,35.49,35.02,35.27
"INTC","3-24-17",35.65,35.73,35.12,35.16
"INTC","3-27-17",35.07,35.5,34.94,35.39
"INTC","3-28-17",35.34,35.71,35.21,35.6
"INTC","3-29-17",35.52,35.7,35.435,35.57
"INTC","3-30-17",35.58,35.89,35.52,35.75
"INTC","3-31-17",35.75,36.25,35.74,36.07
"INTC","4-3-17",36.19,36.74,36.12,36.16
"INTC","4-4-17",36.12,36.375,35.99,36.28
"INTC","4-5-17",36.43,36.76,36.17,36.22
"INTC","4-6-17",36.13,36.285,36.03,36.03
"INTC","4-7-17",36.07,36.32,35.985,36.03
"INTC","4-10-17",36.02,36.09,35.61,35.8
"INTC","4-11-17",35.77,35.79,35.21,35.74
"INTC","4-12-17",35.87,36.01,35.5,35.63
"INTC","4-13-17",35.55,35.76,35.25,35.25
"INTC","4-17-17",35.44,35.59,35.33,35.48
"INTC","4-18-17",35.43,35.81,35.295,35.765
"INTC","4-19-17",35.97,36.22,35.89,35.91
"INTC","4-20-17",36.18,36.2653,35.86,36.18
"INTC","4-21-17",36.2,36.42,35.85,36.32
"INTC","4-24-17",36.67,36.85,36.46,36.75
"INTC","4-25-17",36.77,37,36.66,36.87
"INTC","4-26-17",36.78,37.23,36.78,36.93
"INTC","4-27-17",36.87,37.5,36.78,37.43
"INTC","4-28-17",36.1,36.485,35.88,36.15
"INTC","5-1-17",36.11,36.4,35.94,36.31
"INTC","5-2-17",36.37,37.03,36.35,36.97
"INTC","5-3-17",36.72,37.17,36.62,36.98
"INTC","5-4-17",36.99,37.11,36.64,36.85
"INTC","5-5-17",36.86,36.93,36.5,36.82
"INTC","5-8-17",36.73,36.85,36.48,36.54
"INTC","5-9-17",36.48,36.75,36.28,36.37
"INTC","5-10-17",36.27,36.38,35.93,36.01
"INTC","5-11-17",35.91,36,35.4543,35.69
"INTC","5-12-17",35.72,35.74,35.4,35.53
"INTC","5-15-17",35.535,35.715,35.42,35.63
"INTC","5-16-17",35.75,35.89,35.42,35.82
"INTC","5-17-17",35.67,35.9896,35.02,35.04
"INTC","5-18-17",35.19,35.47,35.08,35.22
"INTC","5-19-17",35.15,35.55,35.13,35.4
"INTC","5-22-17",35.48,36.11,35.38,35.77
"INTC","5-23-17",35.87,35.99,35.56,35.86
"INTC","5-24-17",35.98,36.18,35.89,36.12
"INTC","5-25-17",36.12,36.39,36.06,36.26
"INTC","5-26-17",36.26,36.33,36.13,36.26
"INTC","5-30-17",36.27,36.44,36.09,36.18
"INTC","5-31-17",36.31,36.38,35.87,36.11
"INTC","6-1-17",36.12,36.13,35.8,36.12
"INTC","6-2-17",36.27,36.33,36,36.32
"INTC","6-5-17",36.3,36.5,36.2,36.34
"INTC","6-6-17",36.16,36.45,35.98,36.13
"INTC","6-7-17",36.13,36.57,36.1,36.26
"INTC","6-8-17",36.34,36.53,36.16,36.48
"INTC","6-9-17",36.5,36.56,35.31,35.71
"INTC","6-12-17",35.59,36.01,35.41,35.73
"INTC","6-13-17",35.68,35.95,35.53,35.88
"INTC","6-14-17",35.99,36.05,35.22,35.53
"INTC","6-15-17",35.21,35.48,35.14,35.31
"INTC","6-16-17",35.28,35.33,35.01,35.21
"INTC","6-19-17",35.61,35.61,35.32,35.51
"INTC","6-20-17",35.45,35.45,34.84,34.86
"INTC","6-21-17",34.33,34.6,34.09,34.58
"INTC","6-22-17",34.56,34.63,34.29,34.36
"INTC","6-23-17",34.21,34.55,34.095,34.19
"INTC","6-26-17",34.26,34.51,34.03,34.07
"INTC","6-27-17",34,34.145,33.65,33.65
"INTC","6-28-17",33.77,34.24,33.74,34.2
"INTC","6-29-17",33.92,34.1,33.34,33.54
"INTC","6-30-17",33.87,33.93,33.535,33.74
"INTC","7-3-17",33.51,34.03,33.43,33.46
"INTC","7-5-17",33.52,34.43,33.485,34.34
"INTC","7-6-17",34.12,34.29,33.56,33.63
"INTC","7-7-17",33.7,34.12,33.7,33.88
"INTC","7-10-17",33.25,33.74,33.23,33.65
"INTC","7-11-17",33.64,33.93,33.4311,33.92
"INTC","7-12-17",34.28,34.39,33.94,34.25
"INTC","7-13-17",34.33,34.4,34.12,34.24
"INTC","7-14-17",34.48,34.71,34.265,34.68
"INTC","7-17-17",34.74,34.74,34.36,34.47
"INTC","7-18-17",34.43,34.58,34.25,34.53
"INTC","7-19-17",34.68,34.68,34.46,34.56
"INTC","7-20-17",34.54,34.84,34.475,34.75
"INTC","7-21-17",34.54,34.82,34.395,34.73
"INTC","7-24-17",34.73,34.8,34.38,34.5
"INTC","7-25-17",34.55,34.735,34.4,34.67
"INTC","7-26-17",34.7,34.97,34.59,34.75
"INTC","7-27-17",34.78,35.25,34.67,34.97
"INTC","7-28-17",35.13,35.86,35,35.31
"INTC","7-31-17",35.47,35.74,35.32,35.47
"INTC","8-1-17",35.66,36.43,35.57,36.35
"INTC","8-2-17",36.33,36.67,36.055,36.64
"INTC","8-3-17",36.55,36.59,36.15,36.49
"INTC","8-4-17",36.45,36.56,36.1,36.3
"INTC","8-7-17",36.39,36.55,36.22,36.43
"INTC","8-8-17",36.37,36.7,36.3,36.41
"INTC","8-9-17",36.28,36.66,36.02,36.59
"INTC","8-10-17",36.4,36.56,36.11,36.14
"INTC","8-11-17",36.26,36.4,35.79,35.87
"INTC","8-14-17",36.12,36.47,36.08,36.34
"INTC","8-15-17",36.3,36.32,35.815,36
"INTC","8-16-17",35.98,36.07,35.56,35.81
"INTC","8-17-17",35.6,35.68,35.17,35.17
"INTC","8-18-17",35.29,35.31,34.99,35.01
"INTC","8-21-17",35.09,35.28,34.7,34.92
"INTC","8-22-17",35.02,35.19,34.62,34.65
"INTC","8-23-17",34.54,34.81,34.38,34.66
"INTC","8-24-17",34.7,34.89,34.55,34.71
"INTC","8-25-17",34.82,34.93,34.58,34.67
"INTC","8-28-17",34.78,34.8,34.59,34.65
"INTC","8-29-17",34.51,34.75,34.455,34.73
"INTC","8-30-17",34.75,34.96,34.63,34.89
"INTC","8-31-17",34.94,35.18,34.87,35.07
"INTC","9-1-17",35.24,35.39,35.07,35.09
"INTC","9-5-17",35.02,35.33,34.93,35.02
"INTC","9-6-17",35.22,35.94,35.11,35.76
"INTC","9-7-17",35.88,35.95,35.33,35.54
"INTC","9-8-17",35.42,35.54,35.08,35.19
"INTC","9-11-17",35.49,36,35.14,35.77
"INTC","9-12-17",35.88,36.34,35.74,36.09
"INTC","9-13-17",36,36.4,35.97,36.33
"INTC","9-14-17",36.19,36.695,36.16,36.48
"INTC","9-15-17",36.55,37.08,36.22,37
"INTC","9-18-17",37,37.33,36.8,37
"INTC","9-19-17",37.2,37.295,37.02,37.23
"INTC","9-20-17",37.23,37.29,36.655,37.07
"INTC","9-21-17",36.99,37.27,36.85,37.2
"INTC","9-22-17",36.95,37.22,36.95,37.18
"INTC","9-25-17",37.05,37.23,36.85,37.16
"INTC","9-26-17",37.21,37.64,37,37.47
"INTC","9-27-17",37.62,37.69,37.1,37.54
"INTC","9-28-17",37.32,37.88,37.29,37.83
"INTC","9-29-17",37.84,38.15,37.7,38.08
"INTC","10-2-17",38.12,39.09,38.08,39.04
"INTC","10-3-17",38.95,39.7,38.95,39.38
"INTC","10-4-17",39.39,39.4,38.8606,39.34
"INTC","10-5-17",39.5,39.65,39.21,39.53
"INTC","10-6-17",39.6,39.89,39.42,39.63
"INTC","10-9-17",39.68,39.88,39.52,39.86
"INTC","10-10-17",39.93,39.95,39.38,39.65
"INTC","10-11-17",39.48,39.67,39.06,39.3
"INTC","10-12-17",39.35,39.39,38.98,39.19
"INTC","10-13-17",39.44,39.81,39.28,39.67
"INTC","10-16-17",39.71,39.79,39.44,39.76
"INTC","10-17-17",39.56,39.865,39.37,39.79
"INTC","10-18-17",39.8,40.29,39.6,40.25
"INTC","10-19-17",39.88,40.33,39.83,40.09
"INTC","10-20-17",40.33,40.45,40.1,40.43
"INTC","10-23-17",40.55,41.04,40.395,40.83
"INTC","10-24-17",41,41.05,40.72,40.95
"INTC","10-25-17",40.89,41.055,40.49,40.78
"INTC","10-26-17",40.91,41.575,40.71,41.35
"INTC","10-27-17",43.3,45,43.1,44.4
"INTC","10-30-17",44.48,45.19,43.88,44.37
"INTC","10-31-17",45.2,45.8,44.65,45.49
"INTC","11-1-17",45.97,46.71,45.59,46.71
"INTC","11-2-17",46.61,47.23,46.213,47.1
"INTC","11-3-17",47.2,47.3,45.6,46.34
"INTC","11-6-17",46.6,46.74,46.09,46.7
"INTC","11-7-17",46.7,47.09,46.39,46.78
"INTC","11-8-17",46.62,46.7,46.28,46.7
"INTC","11-9-17",46.05,46.39,45.65,46.3
"INTC","11-10-17",46.04,46.09,45.38,45.58
"INTC","11-13-17",45.26,45.94,45.25,45.75
"INTC","11-14-17",45.7,45.92,45.32,45.86
"INTC","11-15-17",45.39,45.805,45.1725,45.46
"INTC","11-16-17",45.63,46.07,45.46,45.65
"INTC","11-17-17",45.5,45.62,44.62,44.63
"INTC","11-20-17",44.73,45.115,44.5,44.62
"INTC","11-21-17",44.72,45.22,44.71,44.94
"INTC","11-22-17",44.94,44.95,44.535,44.65
"INTC","11-24-17",44.55,44.775,44.43,44.75
"INTC","11-27-17",44.42,44.61,44.2736,44.49
"INTC","11-28-17",44.65,44.84,44.32,44.73
"INTC","11-29-17",44.85,45.09,43.77,43.95
"INTC","11-30-17",44.36,45.2,44.33,44.84
"INTC","12-1-17",44.73,44.84,43.53,44.68
"INTC","12-4-17",45.02,45.3,44.33,44.49
"INTC","12-5-17",44.6,44.9,43.23,43.44
"INTC","12-6-17",43.14,43.72,42.67,43.45
"INTC","12-7-17",43.46,43.6,42.78,43.08
"INTC","12-8-17",43.35,43.58,43.11,43.35
"INTC","12-11-17",43.28,43.78,43.25,43.66
"INTC","12-12-17",43.47,43.62,43.08,43.33
"INTC","12-13-17",43.65,43.66,43.24,43.34
"INTC","12-14-17",43.43,43.57,43.015,43.26
"INTC","12-15-17",43.4,44.84,43.07,44.56
"INTC","12-18-17",45.15,46.35,45.04,46.26
"INTC","12-19-17",46.3,47.26,45.89,47.04
"INTC","12-20-17",47.47,47.64,46.66,47.56
"INTC","12-21-17",47.54,47.59,46.56,46.76
"INTC","12-22-17",46.33,47.02,46.02,46.7
"INTC","12-26-17",46.28,46.47,45.95,46.08
"INTC","12-27-17",46.11,46.36,46,46.11
"INTC","12-28-17",46.36,46.36,45.95,46.22
"INTC","12-29-17",46.21,46.49,46.09,46.16
"INTC","1-2-18",46.38,46.9,46.21,46.85
"INTC","1-3-18",45.47,46.21,43.65,45.26
"INTC","1-4-18",43.52,44.65,42.69,44.43
"INTC","1-5-18",44.43,45.15,43.9,44.74
"INTC","1-8-18",44.27,44.84,43.96,44.74
"INTC","1-9-18",44.7,44.84,43.49,43.62
"INTC","1-10-18",43.33,43.6,42.44,42.5
"INTC","1-11-18",42.8,43.58,42.45,43.41
"INTC","1-12-18",43.45,43.6,43.01,43.24
"INTC","1-16-18",43.55,43.79,42.885,43.14
"INTC","1-17-18",43.545,44.45,43.51,44.39
"INTC","1-18-18",44.4,44.735,44.17,44.48
"INTC","1-19-18",44.62,44.89,44.25,44.82
"INTC","1-22-18",44.8,45.79,44.79,45.75
"INTC","1-23-18",45.81,46.09,45.63,46.06
"INTC","1-24-18",45.9,46.13,44.96,45.51
"INTC","1-25-18",45.88,46.37,45.17,45.3
"INTC","1-26-18",48.38,50.15,48.12,50.08
"INTC","1-29-18",49.6,50.85,49.37,49.98
"INTC","1-30-18",49.48,50.06,48.74,48.79
"INTC","1-31-18",49.23,49.25,47.56,48.14
"INTC","2-1-18",47.695,48.47,47.45,47.65
"INTC","2-2-18",47.32,47.79,46.1,46.15
"INTC","2-5-18",46.35,47.26,44.5,44.52
"INTC","2-6-18",44.02,44.93,43.0302,44.91
"INTC","2-7-18",44.58,46.3,44.34,45.2
"INTC","2-8-18",45.28,45.42,42.74,42.75
"INTC","2-9-18",43.5,44.28,42.04,43.95
"INTC","2-12-18",44.15,45.16,44.09,44.83
"INTC","2-13-18",44.59,44.775,44.255,44.46
"INTC","2-14-18",44.07,45.51,44.04,45.38
"INTC","2-15-18",45.88,45.99,44.95,45.92
"INTC","2-16-18",45.815,46.59,45.51,45.56
"INTC","2-20-18",45.46,46.71,45.39,46.32
"INTC","2-21-18",46.67,47.06,45.92,45.94
