"Ticker","Date","Open","High","Low","Close"
"JD","9-19-16",26.34,26.48,25.93,26.05
"JD","9-20-16",25.88,26.16,25.68,25.85
"JD","9-21-16",25.94,26.03,25.54,25.88
"JD","9-22-16",26,26.4,25.86,26.3
"JD","9-23-16",26.32,26.99,26.18,26.84
"JD","9-26-16",26.54,26.61,26.35,26.54
"JD","9-27-16",26.6,27.29,26.55,26.68
"JD","9-28-16",26.64,26.87,26.01,26.29
"JD","9-29-16",26.22,26.48,25.8,25.98
"JD","9-30-16",26.01,26.32,25.92,26.09
"JD","10-3-16",26.03,26.13,25.7,26.11
"JD","10-4-16",26.15,29.235,26.125,27.49
"JD","10-5-16",27.59,28.09,27.28,27.93
"JD","10-6-16",28.45,28.53,26.96,27.4
"JD","10-7-16",27.4,27.5,26.8,27.03
"JD","10-10-16",27.04,27.51,26.77,27.3
"JD","10-11-16",27.24,27.405,26.58,26.75
"JD","10-12-16",26.61,26.82,26.34,26.59
"JD","10-13-16",26.15,26.27,25.53,26.27
"JD","10-14-16",26.72,26.78,26.27,26.5
"JD","10-17-16",26.3,26.84,26.14,26.31
"JD","10-18-16",26.78,26.79,26.2,26.26
"JD","10-19-16",26.36,26.58,26.09,26.3
"JD","10-20-16",26.17,26.855,26.17,26.65
"JD","10-21-16",26.61,26.9,26.58,26.87
"JD","10-24-16",27,27.12,26.09,26.5
"JD","10-25-16",26.55,26.69,26.25,26.42
"JD","10-26-16",26.32,26.57,26.14,26.48
"JD","10-27-16",26.59,26.68,25.73,25.88
"JD","10-28-16",25.7,26.05,25.38,25.9
"JD","10-31-16",26.03,26.44,25.93,25.95
"JD","11-1-16",25.9,26.04,25.18,25.31
"JD","11-2-16",25.44,25.5,24.37,24.74
"JD","11-3-16",24.54,25.05,24.51,24.67
"JD","11-4-16",24.57,24.77,24.31,24.65
"JD","11-7-16",25.18,25.715,25,25.46
"JD","11-8-16",25.51,25.55,25.015,25.44
"JD","11-9-16",24.6,25.58,24.6,25.13
"JD","11-10-16",25.5,25.5,23.88,24.39
"JD","11-11-16",24.25,24.52,23.68,24.04
"JD","11-14-16",24.23,24.23,23.375,23.71
"JD","11-15-16",25.69,26.96,25.29,26.41
"JD","11-16-16",25.62,26.6,25.62,26.51
"JD","11-17-16",26.5,26.93,26.33,26.75
"JD","11-18-16",26.75,26.89,26.255,26.45
"JD","11-21-16",26.5,26.5601,25.89,26
"JD","11-22-16",26,26.135,25.64,25.81
"JD","11-23-16",25.76,25.95,25.65,25.74
"JD","11-25-16",25.89,25.99,25.43,25.54
"JD","11-28-16",25.56,25.945,25.5399,25.83
"JD","11-29-16",25.84,27.7,25.75,26.85
"JD","11-30-16",26.85,27.4,26.665,26.87
"JD","12-1-16",26.79,26.95,26.18,26.3
"JD","12-2-16",26.32,26.45,25.72,25.88
"JD","12-5-16",25.86,26.315,25.58,25.95
"JD","12-6-16",26.09,26.26,25.77,25.83
"JD","12-7-16",25.76,27.19,25.72,26.98
