"Ticker","Date","Open","High","Low","Close"
"KHC","9-19-16",88.88,89,86.9,86.97
"KHC","9-20-16",87.48,87.72,87.1,87.12
"KHC","9-21-16",87.26,88.16,86.76,87.91
"KHC","9-22-16",88.63,89.16,88.34,89.05
"KHC","9-23-16",89.19,89.5,88.67,88.83
"KHC","9-26-16",88.78,88.98,88.06,88.53
"KHC","9-27-16",88.76,89.49,88.52,89.23
"KHC","9-28-16",89.58,89.62,88.81,89.55
"KHC","9-29-16",89.23,89.43,88.41,88.57
"KHC","9-30-16",89,89.91,88.85,89.51
"KHC","10-3-16",89.25,89.46,88.75,89.08
"KHC","10-4-16",89.29,89.29,87.69,88.02
"KHC","10-5-16",88.32,88.32,87.34,87.38
"KHC","10-6-16",87.03,87.66,86.78,87.49
"KHC","10-7-16",87.76,87.76,86.7,87.4
"KHC","10-10-16",87.44,88.67,87.44,88.5
"KHC","10-11-16",88.24,88.4999,87.06,87.24
"KHC","10-12-16",88.46,88.46,87,87.14
"KHC","10-13-16",86.79,87.32,86.5,87.05
"KHC","10-14-16",87.34,88.7,87.06,88.53
"KHC","10-17-16",88.72,89,88.03,88.83
"KHC","10-18-16",90.09,90.15,88.9,88.93
"KHC","10-19-16",88.93,88.95,87.55,88.08
"KHC","10-20-16",87.22,88.76,87.22,87.96
"KHC","10-21-16",87.65,88.18,86.9797,87.92
"KHC","10-24-16",88.61,89.22,88.511,88.91
"KHC","10-25-16",89.23,89.68,88.17,88.36
"KHC","10-26-16",88.51,88.7,87.91,88.08
"KHC","10-27-16",88.17,88.3699,87.181,87.69
"KHC","10-28-16",87.48,88.67,87.48,88.08
"KHC","10-31-16",88.44,89.16,88.31,88.95
"KHC","11-1-16",89,89.18,88.11,88.37
"KHC","11-2-16",88.63,88.69,87.98,88.15
"KHC","11-3-16",88.12,88.37,86.13,86.25
"KHC","11-4-16",82.03,85.24,81,84.05
"KHC","11-7-16",85.32,86.09,84.3,86.03
"KHC","11-8-16",86.23,88.84,86.07,88.34
"KHC","11-9-16",86.18,86.97,84.18,84.94
"KHC","11-10-16",85.03,85.53,80.56,81.42
"KHC","11-11-16",81,81.74,80.16,81.21
"KHC","11-14-16",81.01,81.63,79.92,80.08
"KHC","11-15-16",80.57,81.72,80.22,81.14
"KHC","11-16-16",81.38,82.75,81.29,82.4
"KHC","11-17-16",82.31,82.84,81.5,82.84
"KHC","11-18-16",82.7,82.93,82.02,82.53
"KHC","11-21-16",82.53,83.82,82.205,83.64
"KHC","11-22-16",83.86,84.4698,83.7,84.09
"KHC","11-23-16",83.8,84.31,81.73,82.44
"KHC","11-25-16",82.63,83.29,82.63,82.95
"KHC","11-28-16",82.95,83.67,82.36,83.22
"KHC","11-29-16",83.4,84.5,83.13,84
"KHC","11-30-16",83.1,83.51,81.65,81.65
"KHC","12-1-16",81.51,81.78,79.93,80.49
"KHC","12-2-16",80.74,81.52,80.35,80.91
"KHC","12-5-16",80.91,81.15,80.115,80.28
"KHC","12-6-16",80.61,80.878,79.69,79.96
"KHC","12-7-16",80.44,83.21,80.27,82.95
"KHC","12-8-16",82.59,82.79,81.86,82.31
"KHC","12-9-16",82.55,83.7925,82.07,83.78
"KHC","12-12-16",83.6,84.83,83.29,84.2
"KHC","12-13-16",84.6,85.6,84.03,84.94
"KHC","12-14-16",84.98,85.4,83.72,84.36
"KHC","12-15-16",85.13,86.06,84.13,85.37
"KHC","12-16-16",85.88,86.56,84.86,86.46
"KHC","12-19-16",86.35,86.89,85.72,86.6
"KHC","12-20-16",86.28,86.6,85.33,85.98
"KHC","12-21-16",85.93,86.99,85.8,86.61
"KHC","12-22-16",86.45,87.29,86.3,87.28
"KHC","12-23-16",87.1,87.62,86.96,87.57
"KHC","12-27-16",87.66,88.08,87.3,87.58
"KHC","12-28-16",87.5,87.77,87.03,87.31
"KHC","12-29-16",87.3,88.15,87.3,87.93
"KHC","12-30-16",88.02,88.16,87.07,87.32
"KHC","1-3-17",87.85,87.97,86.4,87.53
"KHC","1-4-17",87.52,87.97,86.9,87.03
"KHC","1-5-17",86.9,87.3,86.08,86.53
"KHC","1-6-17",86.53,86.6298,85.83,86.31
"KHC","1-9-17",86.25,86.475,85.59,86.07
"KHC","1-10-17",85.85,86.3,85.41,85.91
"KHC","1-11-17",86.12,87.04,86.04,86.76
"KHC","1-12-17",86.83,87.77,86.5,87.42
"KHC","1-13-17",87.42,87.43,86.5775,87.03
"KHC","1-17-17",86.71,87.975,86.71,87.92
"KHC","1-18-17",87.8,88.59,87.8,88.35
"KHC","1-19-17",88.18,88.43,87.55,87.85
"KHC","1-20-17",88.35,89,88.01,88.95
"KHC","1-23-17",88.66,88.95,88.2,88.8
"KHC","1-24-17",88.91,89.19,88.32,88.69
"KHC","1-25-17",88.93,89.27,88.41,88.84
"KHC","1-26-17",89.49,89.9,88.715,89.41
"KHC","1-27-17",88.96,89.77,88.78,89.43
"KHC","1-30-17",89.09,89.5,88.63,89.08
"KHC","1-31-17",88.9,89.56,88.835,89.29
"KHC","2-1-17",88.89,89.335,88.3075,88.41
"KHC","2-2-17",88.51,89.1,88.32,88.61
"KHC","2-3-17",89.21,89.35,88.64,89.27
"KHC","2-6-17",89.3,89.4,88.64,88.7
"KHC","2-7-17",88.71,89.02,88.5,88.81
"KHC","2-8-17",88.81,89.31,88.79,89.19
"KHC","2-9-17",89.27,90.39,89.04,89.78
"KHC","2-10-17",89.6,90.54,89.34,90.2
"KHC","2-13-17",90.31,90.6,89.695,90.58
"KHC","2-14-17",90.57,91.0625,90.1,90.81
"KHC","2-15-17",91.13,91.3,90.26,91.095
"KHC","2-16-17",89.1,89.84,86.35,87.28
"KHC","2-17-17",92,97.77,91.85,96.65
"KHC","2-21-17",91.82,95.48,91.35,94.87
"KHC","2-22-17",94.85,95,92.99,93.36
"KHC","2-23-17",93.29,93.62,92.35,92.94
"KHC","2-24-17",93.51,93.8,92.57,93.08
"KHC","2-27-17",92.6,92.87,90.33,90.61
"KHC","2-28-17",90.68,91.98,90.35,91.51
"KHC","3-1-17",91.77,91.91,90.65,91.43
"KHC","3-2-17",91.5,91.69,90.78,91.28
"KHC","3-3-17",91.25,91.5,90.81,91.5
"KHC","3-6-17",91.02,91.51,90.79,91.16
"KHC","3-7-17",90.81,91.44,90.72,90.8
"KHC","3-8-17",90.67,91.17,90.44,90.9
"KHC","3-9-17",90.77,91.585,90.62,91.53
"KHC","3-10-17",92.08,92.091,91.26,91.51
"KHC","3-13-17",91.37,91.5,91.02,91.18
"KHC","3-14-17",91.16,91.35,90.67,91.06
"KHC","3-15-17",91.59,92.14,91.09,91.84
"KHC","3-16-17",92.74,93.27,92.16,92.77
"KHC","3-17-17",93.6,93.67,91.82,91.98
"KHC","3-20-17",92.03,92.95,91.89,92.36
"KHC","3-21-17",92.31,92.78,91.59,91.9
"KHC","3-22-17",92.25,92.75,92.04,92.29
"KHC","3-23-17",92.05,92.78,91.9,92.01
"KHC","3-24-17",92.24,92.4,91.32,91.68
"KHC","3-27-17",91.5,91.59,91.0913,91.25
"KHC","3-28-17",90.78,91.665,90.78,91.41
"KHC","3-29-17",91.2,91.6,91.06,91.49
"KHC","3-30-17",91.43,91.67,91.04,91.1
"KHC","3-31-17",90.88,91.19,90.57,90.81
"KHC","4-3-17",90.8,91.28,90.63,91.06
"KHC","4-4-17",90.7,91.25,90.27,91.22
"KHC","4-5-17",91.1,92.42,91.03,91.42
"KHC","4-6-17",91.49,91.79,90.65,90.95
"KHC","4-7-17",91.17,91.49,90.67,90.7
"KHC","4-10-17",90.65,91,90.16,90.89
"KHC","4-11-17",90.89,91.07,90.3875,90.83
"KHC","4-12-17",91.03,92.14,91.01,91.93
"KHC","4-13-17",92.05,92.05,91.4801,91.5
"KHC","4-17-17",91.8,91.96,91.03,91.58
"KHC","4-18-17",91.54,92.63,91.33,92.5
"KHC","4-19-17",92.43,92.45,91.69,91.85
"KHC","4-20-17",92.11,92.4,91.55,92.04
"KHC","4-21-17",92.13,92.24,91.56,91.6
"KHC","4-24-17",92.01,92.87,92.01,92.56
"KHC","4-25-17",92.64,92.895,92.28,92.29
"KHC","4-26-17",92.32,92.33,90.88,90.92
"KHC","4-27-17",90.92,91.42,90.66,90.83
"KHC","4-28-17",91.2,91.23,89.83,90.39
"KHC","5-1-17",90.65,90.75,89.35,89.47
"KHC","5-2-17",89.64,89.83,88.76,89
"KHC","5-3-17",90.22,90.22,88.9,89.14
"KHC","5-4-17",88,91.8,87.14,89.7
"KHC","5-5-17",89.86,90.1,89.18,89.63
"KHC","5-8-17",89.58,89.77,89,89.48
"KHC","5-9-17",89.23,89.6507,88.87,89.2
"KHC","5-10-17",89.11,89.4,88.94,89.33
"KHC","5-11-17",88.8,89.46,88.8,89.28
"KHC","5-12-17",89.34,89.45,88.67,88.95
"KHC","5-15-17",88.76,89.47,88.56,89.45
"KHC","5-16-17",89.26,89.83,88.85,89.11
"KHC","5-17-17",88.91,90.1401,88.51,89.51
"KHC","5-18-17",89.65,90.73,88.91,90.16
"KHC","5-19-17",89.75,90.55,89.4,90.28
"KHC","5-22-17",90.11,91.33,90.04,91.18
"KHC","5-23-17",91.21,92,91.01,91.87
"KHC","5-24-17",92,92.66,91.78,92.59
"KHC","5-25-17",92.69,93.01,92.38,92.81
"KHC","5-26-17",92.9,93.09,92.52,92.99
"KHC","5-30-17",92.94,93,92.1875,92.46
"KHC","5-31-17",92.63,92.95,91.97,92.2
"KHC","6-1-17",92.35,92.74,91.42,92.73
"KHC","6-2-17",92.94,93.55,92.38,93.54
"KHC","6-5-17",93.58,93.7,93.05,93.44
"KHC","6-6-17",93.45,93.87,93.08,93.21
"KHC","6-7-17",93.45,93.88,93.14,93.77
"KHC","6-8-17",93.46,93.67,92.475,92.57
"KHC","6-9-17",92.48,92.54,90.46,90.83
"KHC","6-12-17",90.6,92.42,90.4285,91.25
"KHC","6-13-17",90.68,91.66,90.17,91.59
"KHC","6-14-17",92.15,92.45,90.99,91.46
"KHC","6-15-17",91.16,91.84,91.01,91.65
"KHC","6-16-17",90.87,91.22,88.91,89.41
"KHC","6-19-17",89.96,90.24,89.02,89.85
"KHC","6-20-17",89.66,89.7722,89.14,89.28
"KHC","6-21-17",89.31,89.6975,89.11,89.4
"KHC","6-22-17",89.47,89.75,88.895,89.1
"KHC","6-23-17",89.4,89.4,88.57,88.85
"KHC","6-26-17",89.53,89.73,88.87,88.94
"KHC","6-27-17",88.76,88.95,87.48,87.51
"KHC","6-28-17",88.11,88.49,87.21,87.82
"KHC","6-29-17",87.69,87.8125,85.45,85.76
"KHC","6-30-17",87.2,87.27,85.5,85.64
"KHC","7-3-17",85.96,86.1,84.39,84.47
"KHC","7-5-17",84.46,84.76,83.645,83.79
"KHC","7-6-17",83.3,83.61,82.62,82.82
"KHC","7-7-17",82.58,83.9,82.2,83.04
"KHC","7-10-17",83.39,83.73,82.76,82.77
"KHC","7-11-17",82.2,83.99,82.2,83.75
"KHC","7-12-17",84.33,85.18,84.29,84.7
"KHC","7-13-17",84.74,85.04,84.335,84.85
"KHC","7-14-17",85.31,85.7,84.83,85.65
"KHC","7-17-17",85.68,85.75,85.09,85.6
"KHC","7-18-17",85.69,85.85,85.1732,85.6
"KHC","7-19-17",85.63,85.85,85.21,85.69
"KHC","7-20-17",86.1,86.1,85.665,85.9
"KHC","7-21-17",85.66,86.19,85.41,86.16
"KHC","7-24-17",86.12,86.31,85.6001,86.22
"KHC","7-25-17",86.24,87.61,86.145,87.42
"KHC","7-26-17",87.5,90.38,87.4101,87.66
"KHC","7-27-17",87.53,88.22,87.31,88.19
"KHC","7-28-17",87.8,88.07,87.07,87.64
"KHC","7-31-17",87.79,87.99,86.98,87.46
"KHC","8-1-17",87.38,87.77,86.55,86.67
"KHC","8-2-17",86.29,87.14,85.48,86.87
"KHC","8-3-17",86.9,87.599,86.33,86.51
"KHC","8-4-17",87.58,87.58,85.981,86.66
"KHC","8-7-17",86.54,87.23,86.26,87.02
"KHC","8-8-17",86.64,86.98,86.02,86.16
"KHC","8-9-17",86,86.74,85.51,86.46
"KHC","8-10-17",85.92,86.4,85.58,85.89
"KHC","8-11-17",85.9,86.57,85.64,86.47
"KHC","8-14-17",86.75,87.29,86.5,87.02
"KHC","8-15-17",87.05,87.2,86.5015,86.74
"KHC","8-16-17",86.45,86.68,86.28,86.5
"KHC","8-17-17",86.27,86.76,85.08,85.11
"KHC","8-18-17",84.92,85.28,84.16,84.49
"KHC","8-21-17",84.73,84.73,84.25,84.55
"KHC","8-22-17",84.76,85.13,84.65,85.05
"KHC","8-23-17",84.95,85.16,84.48,84.75
"KHC","8-24-17",84.5,84.59,82.69,82.8
"KHC","8-25-17",83.28,83.32,82.45,82.6
"KHC","8-28-17",82.78,83,81.625,82.14
"KHC","8-29-17",81.78,82.11,81.0875,81.44
"KHC","8-30-17",81.5,82.19,81.23,81.93
"KHC","8-31-17",81.1,82.1,80.29,80.75
"KHC","9-1-17",80.75,81.1,80.1,80.85
"KHC","9-5-17",80.72,81.5,80.55,81.15
"KHC","9-6-17",81.23,81.4,80.83,81.33
"KHC","9-7-17",81.45,81.72,80.83,81.46
"KHC","9-8-17",81.45,82.02,80.66,81.72
"KHC","9-11-17",82.1,82.56,81.96,82.55
"KHC","9-12-17",82.82,82.98,82.06,82.18
"KHC","9-13-17",82.26,82.35,81.67,81.91
"KHC","9-14-17",81.98,82,81,81.28
"KHC","9-15-17",81.33,81.88,80.52,81.43
"KHC","9-18-17",81.24,81.61,81.04,81.4
"KHC","9-19-17",81.3,81.42,80.6,80.83
"KHC","9-20-17",80.49,80.56,79.13,79.87
"KHC","9-21-17",79.99,80.46,78.94,79.01
"KHC","9-22-17",79.01,79.24,77.4,77.52
"KHC","9-25-17",77.6,78.45,77.47,78.42
"KHC","9-26-17",78.6,78.91,78.03,78.59
"KHC","9-27-17",78.64,78.8,77.8,78.23
"KHC","9-28-17",78.28,78.75,77.73,77.97
"KHC","9-29-17",78.03,78.269,77.44,77.55
"KHC","10-2-17",77.55,78.27,76.89,77.85
"KHC","10-3-17",77.95,78.14,77.29,77.82
"KHC","10-4-17",77.23,78.15,76.76,77.77
"KHC","10-5-17",77.95,78.485,77.7,78.25
"KHC","10-6-17",78.84,78.94,77.985,78.18
"KHC","10-9-17",78.29,78.62,77.195,77.33
"KHC","10-10-17",77.75,78.25,77.66,78.14
"KHC","10-11-17",78.06,78.66,77.92,78.19
"KHC","10-12-17",78.35,78.6478,78.04,78.15
"KHC","10-13-17",78.55,78.6,77.66,77.74
"KHC","10-16-17",77.79,78.095,77.48,77.65
"KHC","10-17-17",77.73,78.01,77.34,77.54
"KHC","10-18-17",77.41,77.462,76.67,77.1
"KHC","10-19-17",77,77.088,76.31,76.47
"KHC","10-20-17",76.77,77.1,76.12,76.71
"KHC","10-23-17",76.88,77.1,76.45,77.06
"KHC","10-24-17",77.12,77.42,76.93,77.22
"KHC","10-25-17",76.73,77.42,76.23,77.33
"KHC","10-26-17",77.59,77.94,77.15,77.3
"KHC","10-27-17",76.82,77.47,76.235,77.3
"KHC","10-30-17",77.2,77.22,75.21,75.27
"KHC","10-31-17",76.18,77.4,76.02,77.33
"KHC","11-1-17",77.71,77.86,77.08,77.7
"KHC","11-2-17",76.84,78.19,75.51,78.03
"KHC","11-3-17",77.87,78.19,77.57,78
"KHC","11-6-17",78.09,78.22,76.51,77
"KHC","11-7-17",76.93,78.64,76.49,78.18
"KHC","11-8-17",78.64,80.09,78.22,79.58
"KHC","11-9-17",79.26,79.9399,79.02,79.41
"KHC","11-10-17",78.97,79.88,78.97,79.72
"KHC","11-13-17",79.66,80.37,79.6,79.85
"KHC","11-14-17",79.54,79.88,79.03,79.38
"KHC","11-15-17",79.49,79.89,78.57,78.78
"KHC","11-16-17",78.72,80.16,78.5101,79.68
"KHC","11-17-17",79.63,80.07,79.275,79.63
"KHC","11-20-17",79.7,80.96,79.63,79.93
"KHC","11-21-17",80.12,80.29,79.76,80.01
"KHC","11-22-17",80.04,80.2,79.59,79.82
"KHC","11-24-17",80.25,80.35,79.54,79.76
"KHC","11-27-17",79.76,80.04,79.45,79.61
"KHC","11-28-17",79.7,79.86,78.715,78.98
"KHC","11-29-17",78.95,81.56,78.83,81.09
"KHC","11-30-17",81.44,82.18,80.5,81.37
"KHC","12-1-17",80.95,81.6,80.29,81.21
"KHC","12-4-17",81.32,82.29,81.165,81.92
"KHC","12-5-17",82.05,82.48,80.51,80.64
"KHC","12-6-17",80.75,81.14,80.24,80.49
"KHC","12-7-17",80.17,80.5,79.31,79.36
"KHC","12-8-17",79.6,79.7055,77.935,78.48
"KHC","12-11-17",78.18,78.39,77.19,78.37
"KHC","12-12-17",78.33,79.09,78.12,78.95
"KHC","12-13-17",79.25,79.6,78.7699,79.28
"KHC","12-14-17",79.28,79.7,78.87,78.98
"KHC","12-15-17",79.8,79.83,79.01,79.54
"KHC","12-18-17",79.98,80.36,79.29,79.37
"KHC","12-19-17",79.52,79.82,78.39,78.52
"KHC","12-20-17",78.81,78.89,77.32,77.38
"KHC","12-21-17",77.84,78.17,77.07,77.88
"KHC","12-22-17",78.14,78.6,77.88,78.24
"KHC","12-26-17",78.12,78.47,78,78.11
"KHC","12-27-17",78.24,78.6,77.95,77.98
"KHC","12-28-17",78.22,78.29,77.72,77.92
"KHC","12-29-17",77.7,78.68,77.69,77.76
"KHC","1-2-18",78.22,78.31,76.88,77.02
"KHC","1-3-18",77.33,77.59,76.9,77.01
"KHC","1-4-18",77.23,78.22,77.06,77.91
"KHC","1-5-18",78.04,78.33,77.23,77.84
"KHC","1-8-18",77.82,78.58,77.82,78.48
"KHC","1-9-18",78.54,78.72,78.05,78.62
"KHC","1-10-18",78.65,78.65,77.4,77.89
"KHC","1-11-18",78.02,78.2,77.02,77.13
"KHC","1-12-18",77.35,77.57,76.6,77.35
"KHC","1-16-18",77.97,78.9204,77.56,78.64
"KHC","1-17-18",79.11,80.67,78.79,80.07
"KHC","1-18-18",80.16,80.6,79.02,79.27
"KHC","1-19-18",79.53,79.96,79.1,79.66
"KHC","1-22-18",79.82,80.45,79.76,80.17
"KHC","1-23-18",79.76,80.53,79.56,80.27
"KHC","1-24-18",80.5,80.59,79.71,79.86
"KHC","1-25-18",80,80.445,79.382,79.67
"KHC","1-26-18",79.9,80,78.4,79.39
"KHC","1-29-18",79.17,79.88,78.39,78.42
"KHC","1-30-18",78.64,79.66,78.43,78.5
"KHC","1-31-18",78.62,78.88,77.85,78.39
"KHC","2-1-18",78.12,78.95,77.6,78.57
"KHC","2-2-18",78.12,78.34,76.65,77.19
"KHC","2-5-18",77.29,77.9385,74.175,74.26
"KHC","2-6-18",73.84,74.32,72.05,74.31
"KHC","2-7-18",73.84,74.71,73.52,73.55
"KHC","2-8-18",73.6,74.04,71.25,71.58
"KHC","2-9-18",72,72.66,70.2452,71.38
"KHC","2-12-18",71.52,72.63,71.45,71.81
"KHC","2-13-18",71.52,71.99,70.6799,71.71
"KHC","2-14-18",71.34,72.04,70.7,71.92
"KHC","2-15-18",72.19,72.78,70.65,72.71
"KHC","2-16-18",69.94,71.25,67.65,70.8
"KHC","2-20-18",70.78,70.8,68.02,68.69
"KHC","2-21-18",68.92,68.93,67.44,67.47
"KHC","2-22-18",67.38,68.249,67.05,67.64
"KHC","2-23-18",67.96,69.11,67.35,69.02
"KHC","2-26-18",69.6,70,68.56,69.74
"KHC","2-27-18",69.61,70.015,67.86,67.87
"KHC","2-28-18",68.27,68.59,67.03,67.05
"KHC","3-1-18",67.14,67.989,66.36,66.89
"KHC","3-2-18",67.02,67.61,66.52,67.17
