"Ticker","Date","Open","High","Low","Close"
"KLAC","9-19-16",70.4,70.49,69.4,69.69
"KLAC","9-20-16",70.03,70.1,69.18,69.18
"KLAC","9-21-16",69.16,70.21,69.11,69.79
"KLAC","9-22-16",70.31,70.31,69.32,69.51
"KLAC","9-23-16",69.22,69.92,69.18,69.32
"KLAC","9-26-16",69.26,69.86,68.76,69
"KLAC","9-27-16",68.94,70,68.92,70
"KLAC","9-28-16",70,70.235,69.5001,69.85
"KLAC","9-29-16",69.49,69.565,68.43,68.77
"KLAC","9-30-16",68.9,69.86,68.63,69.71
"KLAC","10-3-16",69.95,70.98,69.751,70.41
"KLAC","10-4-16",70.36,70.79,70.021,70.3
"KLAC","10-5-16",70.43,71.33,70.03,71.21
"KLAC","10-6-16",71.96,72.4,70.37,71.79
"KLAC","10-7-16",72.22,72.79,71.46,72.67
"KLAC","10-10-16",72.99,73.71,72.75,73.54
"KLAC","10-11-16",73.5,73.67,72.11,72.39
"KLAC","10-12-16",72.3,72.49,71.45,72.1
"KLAC","10-13-16",71.58,71.59,70.72,71.34
"KLAC","10-14-16",71.81,72.365,71.47,71.97
"KLAC","10-17-16",73.4,73.405,71.785,71.99
"KLAC","10-18-16",72.47,72.47,71.94,72.09
"KLAC","10-19-16",72.08,72.17,71.361,71.94
"KLAC","10-20-16",71.93,72.55,71.11,71.99
"KLAC","10-21-16",74.98,75,72.88,73.64
"KLAC","10-24-16",73.67,74.61,73.67,74.56
"KLAC","10-25-16",74.34,75,73.87,74.9
"KLAC","10-26-16",74.5,75.405,74.35,75.29
"KLAC","10-27-16",75.49,75.5,74.37,74.72
"KLAC","10-28-16",74.73,75.12,74.105,74.66
"KLAC","10-31-16",74.8,75.37,74.525,75.11
"KLAC","11-1-16",75.04,75.19,73.3,73.9
"KLAC","11-2-16",73.78,75.01,73.51,74.73
"KLAC","11-3-16",74.86,75.12,74.54,74.68
"KLAC","11-4-16",74.75,75.19,74.35,74.52
"KLAC","11-7-16",75.4,75.79,74.65,75.54
"KLAC","11-8-16",75.67,75.86,75.05,75.53
"KLAC","11-9-16",74.26,75.68,73.99,75.49
"KLAC","11-10-16",75.45,76.34,74.28,74.51
"KLAC","11-11-16",74.24,75.5,74.2,75.46
"KLAC","11-14-16",75.79,76.43,75.47,75.48
"KLAC","11-15-16",76.35,77.83,75.44,77.75
"KLAC","11-16-16",77.47,77.86,77.24,77.7
"KLAC","11-17-16",77.88,79.84,77.7,79.05
"KLAC","11-18-16",79.03,80.24,78.4876,80.04
"KLAC","11-21-16",80.05,81.75,79.735,80.96
"KLAC","11-22-16",81.21,83.23,81.13,83.04
"KLAC","11-23-16",83,83,81.43,81.83
"KLAC","11-25-16",81.91,82.28,81.66,82.27
"KLAC","11-28-16",81.99,83.14,81.97,82.51
"KLAC","11-29-16",82.58,82.69,81.65,81.68
"KLAC","11-30-16",81.78,82,79.84,79.84
"KLAC","12-1-16",79.69,79.97,74.76,75.93
"KLAC","12-2-16",76,76.84,74.66,76.26
"KLAC","12-5-16",76.26,77.94,76.21,77.03
"KLAC","12-6-16",76.99,78.37,76.45,78.12
"KLAC","12-7-16",78.02,80,77.9,79.26
"KLAC","12-8-16",79.25,79.71,78.315,78.85
"KLAC","12-9-16",79.02,79.02,76.81,77.21
"KLAC","12-12-16",77.34,77.5,76.56,77.32
"KLAC","12-13-16",77.58,79.04,77.58,77.97
"KLAC","12-14-16",79.33,80.45,77.51,77.81
"KLAC","12-15-16",77.92,80.68,77.34,79.36
"KLAC","12-16-16",79.62,80.43,77.84,78.19
"KLAC","12-19-16",79.42,80.68,78.82,79.37
"KLAC","12-20-16",79.73,79.99,78.68,78.88
"KLAC","12-21-16",79.1,79.33,78.66,78.98
"KLAC","12-22-16",78.98,79.35,78.38,79.15
"KLAC","12-23-16",79.22,79.32,78.53,79.12
"KLAC","12-27-16",79.19,80.48,79.09,80.02
"KLAC","12-28-16",80.96,81.69,79.72,79.76
"KLAC","12-29-16",79.58,79.78,78.52,79.29
"KLAC","12-30-16",79.29,79.54,78.12,78.68
"KLAC","1-3-17",78.97,80.45,78.48,79.41
"KLAC","1-4-17",79.2,79.47,78.43,79.13
"KLAC","1-5-17",78.76,79.27,77.86,78.42
"KLAC","1-6-17",78.63,79.17,77.92,79.13
"KLAC","1-9-17",79.21,80.1,79.17,79.59
"KLAC","1-10-17",79.6,79.7,78.83,79.33
"KLAC","1-11-17",79.24,80.46,79.025,80.27
"KLAC","1-12-17",80.18,80.21,79.47,80.1
"KLAC","1-13-17",80.13,81.58,80.11,81.44
"KLAC","1-17-17",81.38,81.38,79.2,80
"KLAC","1-18-17",80.34,81.69,80.03,81.63
"KLAC","1-19-17",81.67,81.89,80.82,81.15
"KLAC","1-20-17",81,81.88,80.68,81.56
"KLAC","1-23-17",81.69,82.11,81.39,82.1
"KLAC","1-24-17",82.23,83.05,81.88,82.8
"KLAC","1-25-17",83.6,85.14,83.13,84.67
"KLAC","1-26-17",84.65,84.82,82.97,83.25
"KLAC","1-27-17",85.97,87.96,85.23,86.16
"KLAC","1-30-17",85.99,86.56,85.18,86.25
"KLAC","1-31-17",86.23,86.23,84.57,85.11
"KLAC","2-1-17",85.54,86.06,84.9,86.04
"KLAC","2-2-17",85.94,87.57,85.33,87.36
"KLAC","2-3-17",87.91,88.12,87.18,87.59
"KLAC","2-6-17",87.27,87.9,86.9,87
"KLAC","2-7-17",86.89,87.72,86.89,87.66
"KLAC","2-8-17",87.76,87.83,86.87,86.87
"KLAC","2-9-17",86.85,87.29,86.49,86.74
"KLAC","2-10-17",86.96,87.24,86.33,86.64
"KLAC","2-13-17",86.8,87.48,86.72,87.22
"KLAC","2-14-17",87.16,87.29,86.36,86.99
"KLAC","2-15-17",86.99,87.86,86.69,87.68
"KLAC","2-16-17",87.91,88.58,87.165,88.53
"KLAC","2-17-17",88.26,88.47,87.41,88.46
"KLAC","2-21-17",88.7,90.5,88.3,90.45
"KLAC","2-22-17",90.15,90.4,89.56,90.27
"KLAC","2-23-17",90.35,90.88,89.34,89.9
"KLAC","2-24-17",89.46,90.35,89.11,90.29
"KLAC","2-27-17",90.46,90.46,89.51,90.22
"KLAC","2-28-17",90.26,90.46,89.78,90.12
"KLAC","3-1-17",90.66,91.65,89.86,91.44
"KLAC","3-2-17",91.35,91.58,90.65,90.73
"KLAC","3-3-17",90.93,91.02,89.87,90.42
"KLAC","3-6-17",90.03,91.06,89.6036,90.82
"KLAC","3-7-17",90.52,91.43,89.52,91.04
"KLAC","3-8-17",91.27,91.89,90.79,91.55
"KLAC","3-9-17",91.77,91.9199,91.0601,91.79
"KLAC","3-10-17",92.59,93.22,91.89,93.2
"KLAC","3-13-17",92.97,93.35,92.41,92.86
"KLAC","3-14-17",92.86,93.39,92.05,92.87
"KLAC","3-15-17",93.1,93.65,92.64,93.61
"KLAC","3-16-17",93.61,94.66,93.529,94.2
"KLAC","3-17-17",94.43,95.27,93.99,94.69
"KLAC","3-20-17",95.02,96.34,94.61,95.12
"KLAC","3-21-17",95.34,95.74,93.24,94.19
"KLAC","3-22-17",94.53,95.64,93.99,95.57
"KLAC","3-23-17",95.58,95.9956,94.85,95.23
"KLAC","3-24-17",96.05,96.91,95.3,95.72
"KLAC","3-27-17",95.33,96.105,94.61,95.8
"KLAC","3-28-17",95.79,96.2,95.21,95.65
"KLAC","3-29-17",95.44,95.6725,95.04,95.45
"KLAC","3-30-17",95.74,96.12,95.46,95.64
"KLAC","3-31-17",95.38,96.4292,94.74,95.07
"KLAC","4-3-17",95.34,96.38,94.81,95.97
"KLAC","4-4-17",95.97,96.66,95.87,96.46
"KLAC","4-5-17",96.47,97.49,95.56,95.73
"KLAC","4-6-17",95.73,96.19,94.88,96.17
"KLAC","4-7-17",96.24,96.66,96.08,96.54
"KLAC","4-10-17",96.75,96.97,95.85,96.33
"KLAC","4-11-17",96.15,96.19,93.61,95.5
"KLAC","4-12-17",95.76,95.985,94.73,95.21
"KLAC","4-13-17",94.98,96.31,94.22,95.33
"KLAC","4-17-17",94.52,95.74,94.33,95.5
"KLAC","4-18-17",94.94,95.85,94.32,94.6
"KLAC","4-19-17",95.69,97.66,95.565,97.59
"KLAC","4-20-17",98,98.82,97.62,98.51
"KLAC","4-21-17",98.57,98.65,97.67,98.37
"KLAC","4-24-17",99.71,100.98,99.21,100.83
"KLAC","4-25-17",101.12,101.81,100.44,101.71
"KLAC","4-26-17",101.78,101.78,100.63,100.8
"KLAC","4-27-17",101.29,104.22,101.29,103.59
"KLAC","4-28-17",100.28,103.98,97.84,98.22
"KLAC","5-1-17",98.71,99.5,97.47,99.17
"KLAC","5-2-17",99.37,99.79,98.47,99.72
"KLAC","5-3-17",99.68,100.02,99.085,99.45
"KLAC","5-4-17",100.2,100.85,99.59,100.81
"KLAC","5-5-17",101.47,101.8,99.8,100.94
"KLAC","5-8-17",101.01,101.025,100.25,100.5
"KLAC","5-9-17",100.7,101.47,100.61,100.81
"KLAC","5-10-17",101.14,101.29,100.4,100.76
"KLAC","5-11-17",100.29,100.73,99.57,100.26
"KLAC","5-12-17",100.39,101,99.5,100.04
"KLAC","5-15-17",100.09,101.81,100.09,101.25
"KLAC","5-16-17",101.67,102.37,101.465,102.33
"KLAC","5-17-17",101.42,101.53,99.83,99.88
"KLAC","5-18-17",99.65,101.12,99.16,100.85
"KLAC","5-19-17",101.36,102.56,101.1,101.78
"KLAC","5-22-17",102.2,102.88,101.63,102.71
"KLAC","5-23-17",102.97,103.08,102.04,102.49
"KLAC","5-24-17",103.11,103.64,102.61,103.28
"KLAC","5-25-17",103.5,105.1398,103.35,104.85
"KLAC","5-26-17",104.75,104.8,103.905,104.74
"KLAC","5-30-17",104.85,105.67,104.52,104.54
"KLAC","5-31-17",105.1,105.1499,103.38,104
"KLAC","6-1-17",104,105.0995,104,104.75
"KLAC","6-2-17",105.51,105.93,104.82,105.88
"KLAC","6-5-17",105.9,106.79,105.53,106.4
"KLAC","6-6-17",106.39,108.28,105.6994,107.8
"KLAC","6-7-17",108,108.93,107.65,108.67
"KLAC","6-8-17",108.93,109.2136,107.9,108.93
"KLAC","6-9-17",109.25,109.59,100.56,101.98
"KLAC","6-12-17",100.54,101.92,98.13,101.14
"KLAC","6-13-17",101.97,102.91,100.15,101.42
"KLAC","6-14-17",101.44,102.705,97.63,98.55
"KLAC","6-15-17",97.23,98.37,96.64,97.07
"KLAC","6-16-17",97.46,98.815,96.8742,97.7
"KLAC","6-19-17",98.75,101.42,98.495,101.02
"KLAC","6-20-17",100.86,101.203,97.48,97.58
"KLAC","6-21-17",97.77,98.295,97.01,98.01
"KLAC","6-22-17",97.95,98.581,96.35,96.67
"KLAC","6-23-17",96.68,98.06,96.62,97.95
