"Ticker","Date","Open","High","Low","Close"
"KO","9-19-16",42.16,42.37,42.08,42.1
"KO","9-20-16",42.31,42.53,42.24,42.34
"KO","9-21-16",42.28,42.61,42.1,42.53
"KO","9-22-16",42.71,43.01,42.69,42.96
"KO","9-23-16",42.81,42.94,42.65,42.74
"KO","9-26-16",42.71,42.72,42.01,42.05
"KO","9-27-16",42.19,42.63,42,42.59
"KO","9-28-16",42.63,42.76,42.03,42.15
"KO","9-29-16",42.02,42.39,41.85,42.03
"KO","9-30-16",42.21,42.5,42.06,42.32
"KO","10-3-16",42.31,42.31,41.885,42.03
"KO","10-4-16",42.34,42.34,41.78,41.84
"KO","10-5-16",41.93,42.07,41.67,41.81
"KO","10-6-16",41.68,41.94,41.58,41.71
"KO","10-7-16",41.83,41.94,41.565,41.73
"KO","10-10-16",41.92,41.99,41.6,41.73
"KO","10-11-16",41.66,41.7,41.4,41.54
"KO","10-12-16",41.63,41.84,41.5,41.78
"KO","10-13-16",41.65,41.89,41.51,41.76
"KO","10-14-16",41.85,41.905,41.62,41.67
"KO","10-17-16",41.73,41.86,41.57,41.6
"KO","10-18-16",41.81,42,41.73,41.97
"KO","10-19-16",41.93,42.115,41.81,42.05
"KO","10-20-16",41.97,42.11,41.89,41.93
"KO","10-21-16",41.85,42.17,41.68,42.13
"KO","10-24-16",42.32,42.77,42.25,42.56
"KO","10-25-16",42.64,42.88,42.43,42.54
"KO","10-26-16",43,43.03,42.41,42.44
"KO","10-27-16",42.63,42.645,41.9,42.12
"KO","10-28-16",42.26,42.47,42.1,42.23
"KO","10-31-16",42.12,42.41,42.12,42.4
"KO","11-1-16",42.4,42.425,41.91,42.12
"KO","11-2-16",42.1,42.34,42.01,42.05
"KO","11-3-16",42.22,42.22,41.96,42.03
"KO","11-4-16",41.85,42.04,41.69,41.69
"KO","11-7-16",42.04,42.5,42.04,42.46
"KO","11-8-16",42.37,42.98,42.37,42.88
"KO","11-9-16",41.76,42.32,41.7,42.27
"KO","11-10-16",41.86,42.26,40.855,40.94
"KO","11-11-16",40.95,41.13,40.63,41.03
"KO","11-14-16",41.13,41.42,40.85,41.17
"KO","11-15-16",41.18,41.52,41.17,41.44
"KO","11-16-16",41.4,41.65,41.155,41.26
"KO","11-17-16",41.28,41.3,41,41.12
"KO","11-18-16",41.03,41.2,40.9,40.91
"KO","11-21-16",40.74,41.36,40.73,41.36
"KO","11-22-16",41.45,41.7,41.24,41.37
"KO","11-23-16",41.22,41.31,41.03,41.12
"KO","11-25-16",41.39,41.58,41.24,41.53
"KO","11-28-16",41.51,41.79,41.27,41.75
"KO","11-29-16",41.52,41.52,41.14,41.15
"KO","11-30-16",41,41.2,40.35,40.35
"KO","12-1-16",40.31,40.39,39.88,40.17
"KO","12-2-16",40.3,40.495,40.19,40.36
"KO","12-5-16",40.34,40.69,40.31,40.62
"KO","12-6-16",40.75,40.77,40.42,40.57
"KO","12-7-16",40.54,41.29,40.51,41.29
"KO","12-8-16",41.07,41.21,40.845,40.98
"KO","12-9-16",41.5,42.22,41.29,42
"KO","12-12-16",42,42.01,41.72,41.9
