"Ticker","Date","Open","High","Low","Close"
"LRCX","9-19-16",93.78,93.85,91.9,92.15
"LRCX","9-20-16",92.65,93.11,91.72,91.98
"LRCX","9-21-16",92.52,93.31,91.8,93.29
"LRCX","9-22-16",93.58,93.88,92.09,92.69
"LRCX","9-23-16",92.43,92.95,91.72,91.78
"LRCX","9-26-16",91.51,91.74,90.965,91.41
"LRCX","9-27-16",90.56,92.64,90.56,92.51
"LRCX","9-28-16",92.72,93.2,92.18,92.94
"LRCX","9-29-16",92.9,94.1,92.48,93.23
"LRCX","9-30-16",93.67,95.39,93.415,94.71
"LRCX","10-3-16",94.15,95.33,94.08,94.59
"LRCX","10-4-16",94.56,95.4,94.26,94.83
"LRCX","10-5-16",94.71,96.5,94.4,96.17
"LRCX","10-6-16",98.85,100.47,97.82,100.19
"LRCX","10-7-16",99.86,100.89,98.82,100.35
"LRCX","10-10-16",100.97,102.44,100.61,102.15
"LRCX","10-11-16",101.61,101.64,98.64,99.59
"LRCX","10-12-16",98.19,99.09,96.81,98.68
"LRCX","10-13-16",98.12,98.12,96.91,97.73
"LRCX","10-14-16",98.32,99.1649,98.13,98.22
"LRCX","10-17-16",97.89,99.11,97.48,98.06
"LRCX","10-18-16",99.05,99.69,98.55,99.47
"LRCX","10-19-16",99.67,100.18,99.2,99.72
"LRCX","10-20-16",100,100.96,95.87,96.94
"LRCX","10-21-16",96.76,99.13,96.74,97.61
"LRCX","10-24-16",98.45,99.3,98.01,98.98
"LRCX","10-25-16",99.14,99.17,97.91,98.08
"LRCX","10-26-16",97.73,98.68,97.39,97.87
"LRCX","10-27-16",98.59,98.9,96.52,96.7
"LRCX","10-28-16",97.22,97.8,96.02,96.21
"LRCX","10-31-16",96.91,97.41,96.36,96.86
"LRCX","11-1-16",97.16,97.43,95.09,96.05
"LRCX","11-2-16",95.87,96.63,94.8,95.85
"LRCX","11-3-16",95.87,95.94,94.94,95.24
"LRCX","11-4-16",94.35,96.17,93.69,95
"LRCX","11-7-16",96.48,98.58,96.46,98.51
"LRCX","11-8-16",98.51,99.65,97.91,99.12
"LRCX","11-9-16",96.79,98.24,96.2801,98.01
"LRCX","11-10-16",98.13,99.44,94.89,95.97
"LRCX","11-11-16",95.82,97.64,95.0964,97.49
"LRCX","11-14-16",97.8,98.915,97.51,98.51
"LRCX","11-15-16",99.92,101.46,99.17,101.12
