"Ticker","Date","Open","High","Low","Close"
"MCD","9-19-16",115.83,116.41,114.9573,115.21
"MCD","9-20-16",115.72,116.63,115.5,116.45
"MCD","9-21-16",116.49,117.05,115.96,116.93
"MCD","9-22-16",117.46,117.95,117.282,117.36
"MCD","9-23-16",116.49,117.52,116.35,117.17
"MCD","9-26-16",116.8,116.94,116.28,116.53
"MCD","9-27-16",116.95,117.2,116.37,116.88
"MCD","9-28-16",116.38,116.53,114.46,115.18
"MCD","9-29-16",115.2,115.97,114.73,114.79
"MCD","9-30-16",114.69,115.71,114.69,115.36
"MCD","10-3-16",115.01,115.15,114.41,114.64
"MCD","10-4-16",114.99,115.51,113.42,113.5
"MCD","10-5-16",113.91,114.83,113.38,113.41
"MCD","10-6-16",113.25,114.22,112.4,113.92
"MCD","10-7-16",113.97,114.34,113.22,113.45
"MCD","10-10-16",114.21,114.99,114.16,114.71
"MCD","10-11-16",114.65,115.23,113.56,113.68
"MCD","10-12-16",113.6,115.23,113.54,114.71
"MCD","10-13-16",114.14,115.74,114.07,115.41
"MCD","10-14-16",114.9,115.11,114.07,114.09
"MCD","10-17-16",113.91,114.395,112.1,112.41
"MCD","10-18-16",112.89,113.09,111.23,111.25
"MCD","10-19-16",111.71,111.77,111.12,111.26
"MCD","10-20-16",111.3,111.3,110.33,110.57
"MCD","10-21-16",113.27,114.5,112.75,113.93
"MCD","10-24-16",114.25,114.5,112.64,113.57
"MCD","10-25-16",113.5,113.54,112.67,112.72
"MCD","10-26-16",112.27,112.7,111.4,112.11
"MCD","10-27-16",112.17,112.49,111.78,112.08
"MCD","10-28-16",112.26,112.35,111.53,112.1
"MCD","10-31-16",112.46,112.73,111.79,112.57
"MCD","11-1-16",112.65,112.7699,111.95,112.25
"MCD","11-2-16",112.1,112.77,111.82,112.39
"MCD","11-3-16",112.74,112.85,111.52,111.72
"MCD","11-4-16",111.99,112,110.83,111.04
"MCD","11-7-16",112,113.28,111.88,112.82
"MCD","11-8-16",113.01,114.25,113,114.11
"MCD","11-9-16",112.09,115.42,111.8,114.98
"MCD","11-10-16",115.03,115.04,113.7834,114.51
"MCD","11-11-16",114.67,114.96,114.17,114.22
"MCD","11-14-16",114.99,118.75,114.72,117.86
"MCD","11-15-16",117.58,118.48,117.02,118.32
"MCD","11-16-16",118.86,119.6,118.465,119.21
"MCD","11-17-16",118.89,119.5,118.28,119.45
"MCD","11-18-16",119.26,120.24,118.907,120
"MCD","11-21-16",119.8,120.5,118.96,119.5
"MCD","11-22-16",119.5,120.29,118.88,119.69
"MCD","11-23-16",119.73,120.76,119.73,120.14
"MCD","11-25-16",120.08,120.99,119.92,120.66
"MCD","11-28-16",120.38,121.87,120.23,121.82
"MCD","11-29-16",120.38,120.79,119.02,120.68
"MCD","11-30-16",120.22,120.49,119.27,119.27
"MCD","12-1-16",118.96,118.96,117.87,118.47
"MCD","12-2-16",118,118.5,117.71,118.24
"MCD","12-5-16",119.45,120.34,119.03,119.29
"MCD","12-6-16",119.29,119.65,118.6,119.25
"MCD","12-7-16",119.41,120.13,118.465,119.92
"MCD","12-8-16",120.05,121.15,119.5,120.45
"MCD","12-9-16",120.57,121.27,120.21,121.26
"MCD","12-12-16",121.57,122.25,121.26,121.74
"MCD","12-13-16",121.78,122.92,121.76,122.68
"MCD","12-14-16",122.87,123.4,122.39,122.84
"MCD","12-15-16",122.97,123.36,121.77,122.36
"MCD","12-16-16",122.89,123.84,122.54,123.24
"MCD","12-19-16",123.23,123.66,122.77,122.99
"MCD","12-20-16",123.18,123.9,122.71,123.33
"MCD","12-21-16",123.15,123.76,123.1,123.18
"MCD","12-22-16",123.12,123.995,123.09,123.72
"MCD","12-23-16",123.37,123.83,123.07,123.14
"MCD","12-27-16",123.3,123.65,122.97,123.07
"MCD","12-28-16",122.93,123.35,122.61,122.68
"MCD","12-29-16",122.76,123.36,122.76,122.79
"MCD","12-30-16",122.79,123.16,121.44,121.72
"MCD","1-3-17",121.86,122,118.96,119.62
"MCD","1-4-17",119,119.74,118.18,119.48
"MCD","1-5-17",119.34,120.2,119.1,119.7
"MCD","1-6-17",118.93,121.5,118.52,120.76
"MCD","1-9-17",120.76,121.06,120.33,120.43
"MCD","1-10-17",120.46,120.85,119.73,120.25
"MCD","1-11-17",120.93,121.5,120.62,120.88
"MCD","1-12-17",120.3,122.31,120.2,122.1
"MCD","1-13-17",122.24,122.24,121.1,121.5
"MCD","1-17-17",120.75,122.8,120.7,122.75
"MCD","1-18-17",122.81,123,121.8,122.71
"MCD","1-19-17",122.24,123,122.04,122.18
"MCD","1-20-17",122.26,122.95,122.015,122.26
"MCD","1-23-17",121.69,122.08,119.82,121.38
"MCD","1-24-17",121.97,122.06,120.52,121.05
"MCD","1-25-17",121.49,121.92,120.95,121.79
"MCD","1-26-17",121.86,122.38,121.76,121.88
"MCD","1-27-17",122.27,122.99,121.48,122.86
"MCD","1-30-17",122.81,123.21,122.3,123.02
"MCD","1-31-17",123.02,123.34,122.095,122.57
"MCD","2-1-17",121.9,122.5,121.7,122.42
"MCD","2-2-17",122.54,123.98,122.26,123.22
"MCD","2-3-17",123.31,124.51,123.28,124.24
"MCD","2-6-17",124.09,124.9,123.95,124.45
"MCD","2-7-17",124.95,125.42,124.59,124.59
"MCD","2-8-17",124.58,125.36,124.49,124.67
"MCD","2-9-17",124.47,125,124.36,124.48
"MCD","2-10-17",124.68,126.1124,124.5201,125.82
"MCD","2-13-17",126.02,126.68,125.49,125.54
"MCD","2-14-17",125.5,126.07,125.27,125.81
"MCD","2-15-17",125.66,126.79,125.45,126.48
"MCD","2-16-17",126.75,127.82,126.31,126.7
"MCD","2-17-17",126.78,127.875,126.68,127.8
"MCD","2-21-17",127.16,128.32,127.16,128.04
"MCD","2-22-17",127.52,128.11,126.4,127.85
"MCD","2-23-17",127.93,128.9,127.44,128.27
"MCD","2-24-17",128.36,128.74,127.75,128.65
"MCD","2-27-17",127.68,127.75,126.78,126.99
"MCD","2-28-17",127.08,127.93,126.58,127.65
"MCD","3-1-17",128.02,130,127.62,129.05
"MCD","3-2-17",129.05,129.81,128.15,128.23
"MCD","3-3-17",128.19,128.66,127.44,127.9
"MCD","3-6-17",127.9,128.34,127.4,128.03
"MCD","3-7-17",128.06,128.31,127.34,128.07
"MCD","3-8-17",128.07,128.36,127.47,128.09
"MCD","3-9-17",127.95,128.72,127.69,128.14
"MCD","3-10-17",128.56,128.59,127.72,127.98
"MCD","3-13-17",128.01,128.273,127.35,127.61
"MCD","3-14-17",127.65,128.23,127.5001,127.8
"MCD","3-15-17",128.21,128.3,127.47,127.88
"MCD","3-16-17",128.3,128.9,127.93,127.98
"MCD","3-17-17",128.57,129.9815,128.42,128.64
"MCD","3-20-17",128.99,129.4799,128.47,128.78
"MCD","3-21-17",129.22,129.75,128.18,128.52
"MCD","3-22-17",128.58,129.15,128.41,129.1
"MCD","3-23-17",129.14,129.59,128.81,129
"MCD","3-24-17",129.38,129.68,129.16,129.34
"MCD","3-27-17",129.08,129.82,129.02,129.49
"MCD","3-28-17",129.46,129.77,128.94,129.45
"MCD","3-29-17",129,129.67,128.63,128.84
"MCD","3-30-17",128.75,129.53,128.6,129.32
"MCD","3-31-17",129.39,130.19,129.3,129.61
"MCD","4-3-17",129.5,129.71,128.86,129.61
"MCD","4-4-17",129.14,129.53,128.65,129.29
"MCD","4-5-17",129.89,131.58,129.65,130.41
"MCD","4-6-17",130.31,130.66,129.96,130.15
"MCD","4-7-17",130.02,130.4,129.62,129.96
"MCD","4-10-17",129.95,130.65,129.52,129.98
"MCD","4-11-17",130.62,131.24,129.8,131.2
"MCD","4-12-17",131.31,131.56,130.87,131.26
"MCD","4-13-17",131,131.14,130.57,130.76
"MCD","4-17-17",131.25,131.87,130.91,131.35
"MCD","4-18-17",132.01,132.8,131.8,132.3
"MCD","4-19-17",132.64,133,132.34,132.64
"MCD","4-20-17",132.65,133.44,132.64,133.27
"MCD","4-21-17",133.55,133.88,133.15,133.41
"MCD","4-24-17",134.24,134.76,133.26,134.23
"MCD","4-25-17",138.14,141.99,137.1836,141.7
"MCD","4-26-17",141.7,142,140.34,140.84
"MCD","4-27-17",141.88,142.79,140.85,140.87
"MCD","4-28-17",140.39,140.76,139.78,139.93
"MCD","5-1-17",139.86,141.45,139.84,141.15
"MCD","5-2-17",140.98,141.81,140.72,141.23
"MCD","5-3-17",142.2,142.7,141.4,142.62
"MCD","5-4-17",142.62,143.67,142.26,143.45
"MCD","5-5-17",143.42,143.975,142.58,143.96
"MCD","5-8-17",143.93,144.5,143.66,144.24
"MCD","5-9-17",144.09,144.98,144,144.36
"MCD","5-10-17",143.86,144.64,143.73,144.52
"MCD","5-11-17",144.08,144.405,143.4,144.21
"MCD","5-12-17",144.5,145.5,144.46,145.36
"MCD","5-15-17",145.43,146.4,145.43,146.28
"MCD","5-16-17",146.55,147.6686,146.28,147.29
"MCD","5-17-17",146.635,147.46,146.24,146.41
"MCD","5-18-17",146.41,147.24,145.81,147.01
"MCD","5-19-17",147.25,148.83,146.84,148.15
"MCD","5-22-17",148.3,148.88,147.93,148.19
"MCD","5-23-17",148.22,148.53,147.65,147.82
"MCD","5-24-17",147.94,149.99,147,149.5
"MCD","5-25-17",149.81,149.95,149.27,149.78
"MCD","5-26-17",149.87,150.24,149.25,149.86
"MCD","5-30-17",149.95,150.33,149.52,149.93
"MCD","5-31-17",150.12,151.145,149.6,150.89
"MCD","6-1-17",150.79,152.39,150.35,152.39
"MCD","6-2-17",152.52,153.9,152.15,153.74
"MCD","6-5-17",153.63,153.66,152.76,152.79
"MCD","6-6-17",152.37,152.59,151.21,151.23
"MCD","6-7-17",151.23,152.01,150.7256,151.94
"MCD","6-8-17",152,152.15,151.01,151.43
"MCD","6-9-17",151.88,151.995,150.9,151.48
"MCD","6-12-17",151,151.08,148.04,148.47
"MCD","6-13-17",148.86,150.2499,148.62,149.82
"MCD","6-14-17",150.32,151.08,149.91,150.68
"MCD","6-15-17",149.9,151.52,149.65,151.17
"MCD","6-16-17",150.98,152.89,150.92,151.99
"MCD","6-19-17",152.39,153.18,151.84,153.14
"MCD","6-20-17",154.27,155.28,153.84,154.07
"MCD","6-21-17",154.18,154.42,153.61,153.73
"MCD","6-22-17",153.78,154.91,153.68,154.8
"MCD","6-23-17",155,155.45,154.43,154.64
"MCD","6-26-17",155.18,155.46,153.52,153.96
"MCD","6-27-17",154,154.8152,153.46,153.72
"MCD","6-28-17",154.04,154.68,153.74,154.3
"MCD","6-29-17",154.58,154.58,152.15,153.13
"MCD","6-30-17",153.3,153.77,152.72,153.16
"MCD","7-3-17",153.44,153.87,152.475,152.5
"MCD","7-5-17",152.82,153.57,151.99,153.07
"MCD","7-6-17",152.7,153.46,152.33,153.09
"MCD","7-7-17",153.37,156.56,153.15,156.27
"MCD","7-10-17",156.28,156.53,155.16,155.52
"MCD","7-11-17",155.09,155.88,154.01,154.91
"MCD","7-12-17",155.41,156.75,155.27,156.58
"MCD","7-13-17",156.49,156.54,154.34,155.04
"MCD","7-14-17",154.99,155.5,154.73,155.28
"MCD","7-17-17",155.43,155.44,154.7,155.26
"MCD","7-18-17",155,155.27,153.37,153.96
"MCD","7-19-17",154.13,154.46,153.48,153.89
"MCD","7-20-17",154.03,155.22,153.55,154.21
"MCD","7-21-17",154.06,154.7,153.29,153.92
"MCD","7-24-17",154,154.215,151.77,151.85
"MCD","7-25-17",157.75,159.98,156.54,159.07
"MCD","7-26-17",158.76,159,155.68,156.51
"MCD","7-27-17",156.42,157.43,155.54,156.95
"MCD","7-28-17",156.36,156.66,155.07,155.85
"MCD","7-31-17",155.92,156.42,154.85,155.14
"MCD","8-1-17",154.98,155.9,153.71,154.04
"MCD","8-2-17",153.76,156.65,153.71,156.59
"MCD","8-3-17",156.56,156.77,154.411,154.72
"MCD","8-4-17",154.61,154.8217,153.23,153.82
"MCD","8-7-17",154.14,155.39,154,154.97
"MCD","8-8-17",154.67,155.245,154.1,154.92
"MCD","8-9-17",155.3,155.68,154.35,154.92
"MCD","8-10-17",154.33,157.2,154.25,156.62
"MCD","8-11-17",156.88,158.399,156.63,157.3
"MCD","8-14-17",157.45,157.9,156.46,157.26
"MCD","8-15-17",157.84,158.58,157.34,157.62
"MCD","8-16-17",157.89,159.38,157.604,158.9
"MCD","8-17-17",158.75,159.53,157.81,157.89
"MCD","8-18-17",157.99,158.28,157.021,157.76
"MCD","8-21-17",158.17,158.64,157.54,158.36
"MCD","8-22-17",158.5,159.94,158.39,159.64
"MCD","8-23-17",159.3,159.37,158.38,158.81
"MCD","8-24-17",159.11,159.679,158.3321,158.41
"MCD","8-25-17",158.89,159.34,158.53,158.82
"MCD","8-28-17",159.04,159.96,158.66,159.67
"MCD","8-29-17",159.2,159.76,158.73,159.38
"MCD","8-30-17",158.4,159.64,158.32,159.53
"MCD","8-31-17",159.77,160,159.35,159.97
"MCD","9-1-17",159.87,160.2,159.5,159.81
"MCD","9-5-17",159,159.78,158.07,159.1
"MCD","9-6-17",159.23,159.37,158.22,158.22
"MCD","9-7-17",158.47,160.065,158.33,159.9
"MCD","9-8-17",159.53,160.38,159.18,159.71
"MCD","9-11-17",160,161.72,159.92,161.53
"MCD","9-12-17",160.21,160.72,155.77,156.33
"MCD","9-13-17",156.74,157.78,156,157
"MCD","9-14-17",157,157.35,156.05,157
"MCD","9-15-17",157.79,158,156.88,156.92
"MCD","9-18-17",157.72,157.79,156.35,156.68
"MCD","9-19-17",157.27,157.9,156.33,157.43
"MCD","9-20-17",157.9,159.89,157.765,159.88
"MCD","9-21-17",159.87,160.09,158.51,159.03
"MCD","9-22-17",158.88,159.74,158.56,158.91
"MCD","9-25-17",158.47,158.687,156.1,156.26
"MCD","9-26-17",156.25,156.84,153.27,153.35
"MCD","9-27-17",153.51,154.69,153.44,154.05
"MCD","9-28-17",156.16,158.31,155.48,157.49
"MCD","9-29-17",157.51,158.04,156.12,156.68
"MCD","10-2-17",156,157.18,155.8009,156.96
"MCD","10-3-17",156.75,157.459,156.36,156.86
"MCD","10-4-17",156.83,157.42,156.65,157.21
"MCD","10-5-17",157.3,158.92,157.3,158.8
"MCD","10-6-17",158.58,160.1342,158.58,159.6
"MCD","10-9-17",159.61,160.49,159.5,160.12
"MCD","10-10-17",159.69,161.58,159.59,160.58
"MCD","10-11-17",160.9,163.24,160.58,163.15
"MCD","10-12-17",162.99,164.4,162.77,163.91
"MCD","10-13-17",164.45,165.51,164.08,165.37
"MCD","10-16-17",165.44,165.74,164.44,165.01
"MCD","10-17-17",164.92,166.02,164.75,165.4
"MCD","10-18-17",165.29,166.25,163.89,165.77
"MCD","10-19-17",165.82,166.95,164.92,166.5
"MCD","10-20-17",167.23,167.9,165.5,166.3
"MCD","10-23-17",166.1,166.1,163.09,163.34
"MCD","10-24-17",165.26,166.485,163.59,163.88
"MCD","10-25-17",163.41,165.12,163,163.58
"MCD","10-26-17",164.14,164.65,163.75,164.01
"MCD","10-27-17",164.09,165.85,163.77,165.39
"MCD","10-30-17",165,166.56,164.665,166.23
"MCD","10-31-17",166.25,167.41,166.1295,166.91
"MCD","11-1-17",165.72,167.99,165.57,166.37
"MCD","11-2-17",166.99,168.47,166.5,168.1
"MCD","11-3-17",168,169.45,167.6008,168.65
"MCD","11-6-17",168.9,170.42,168.6,170.07
"MCD","11-7-17",170.1,170.82,169.52,170.77
"MCD","11-8-17",170.17,170.92,169.45,170.1
"MCD","11-9-17",168.72,169.2,166.1,167
"MCD","11-10-17",166.4,166.8,163.52,165.59
"MCD","11-13-17",165.47,167.95,165.08,167.37
"MCD","11-14-17",166.84,168.42,166.5701,168.11
"MCD","11-15-17",167.69,168.69,167.15,167.32
"MCD","11-16-17",167.68,168.89,167.53,168.09
"MCD","11-17-17",167.54,167.7001,166.16,166.72
"MCD","11-20-17",167.33,167.85,166.76,166.93
"MCD","11-21-17",167.55,169.26,167.51,168.3
"MCD","11-22-17",169.27,170.35,168.6692,169.05
"MCD","11-24-17",168.88,169.56,168.82,169.11
"MCD","11-27-17",168.9,169.18,168.09,168.96
"MCD","11-28-17",169.23,171.38,169.04,171.34
"MCD","11-29-17",171.7,172.02,169.05,170.43
"MCD","11-30-17",170.24,173.17,169.34,171.97
"MCD","12-1-17",172.77,173.15,170.39,172.87
"MCD","12-4-17",173.27,173.48,170.43,170.65
"MCD","12-5-17",173.39,174.25,172.46,172.99
"MCD","12-6-17",173.39,174.44,173,173.48
"MCD","12-7-17",172.55,173.29,171.92,172.91
"MCD","12-8-17",173.05,173.5429,172.51,173.15
"MCD","12-11-17",172.94,173.25,172.22,173.25
"MCD","12-12-17",173,173.2,171.85,172.23
"MCD","12-13-17",172.44,173.96,172.4,173.55
"MCD","12-14-17",173.66,174.08,172.83,173.14
"MCD","12-15-17",174.3,175.09,173.68,174.06
"MCD","12-18-17",174.87,175.78,174.11,174.2
"MCD","12-19-17",174.39,174.9,173.08,173.39
"MCD","12-20-17",173.83,173.88,171.71,172.17
"MCD","12-21-17",172.6,172.75,171.67,171.85
"MCD","12-22-17",171.82,172.04,170.55,171.42
"MCD","12-26-17",171.09,171.64,170.82,171.29
"MCD","12-27-17",171.33,172.74,170.845,172.67
"MCD","12-28-17",173.26,173.55,172.62,173.1
"MCD","12-29-17",172.98,172.98,171.92,172.12
"MCD","1-2-18",173.73,174.4799,172.66,173.22
"MCD","1-3-18",173.23,173.64,172,172.49
"MCD","1-4-18",173.24,174.13,172.73,173.7
"MCD","1-5-18",174,175,173.4,174.05
"MCD","1-8-18",173.74,174.21,172.93,173.93
"MCD","1-9-18",174.23,174.23,173.01,173.54
"MCD","1-10-18",173.5,174,172.47,173.51
"MCD","1-11-18",173.56,174.55,172.1,173.39
"MCD","1-12-18",173.36,173.79,172.88,173.57
"MCD","1-16-18",173.62,174.41,172.88,173.68
"MCD","1-17-18",174.35,175.69,173.88,174.98
"MCD","1-18-18",175.19,175.445,173.9,174.57
"MCD","1-19-18",174.99,176.64,174.38,176.12
"MCD","1-22-18",175.97,176.83,175.605,176.21
"MCD","1-23-18",175.57,177.75,174.85,176.81
"MCD","1-24-18",177.3,177.3,175.25,176.12
"MCD","1-25-18",176.4,176.62,174.66,175.66
"MCD","1-26-18",175.67,178.4,175.0101,178.36
"MCD","1-29-18",178.3,178.7,177.24,177.77
"MCD","1-30-18",177.1,177.67,170.85,172.48
"MCD","1-31-18",173.6,174.295,170.27,171.14
"MCD","2-1-18",170.27,173.54,168.8945,171.9
"MCD","2-2-18",170.8,172.7299,168.99,169.38
"MCD","2-5-18",168.61,169.455,153.86,163.85
"MCD","2-6-18",158.35,166.05,158.25,165.18
"MCD","2-7-18",164.86,168.26,164.52,165.71
"MCD","2-8-18",165.69,165.7329,158.76,158.97
"MCD","2-9-18",159.98,161.98,155.23,160.8
"MCD","2-12-18",162.37,165.89,161.5,163.9
"MCD","2-13-18",163,163.83,161.72,162.4
"MCD","2-14-18",161.44,162.02,159.68,159.99
"MCD","2-15-18",161.14,161.52,158.81,160.78
"MCD","2-16-18",159.47,159.9,157.76,157.79
"MCD","2-20-18",157,159.16,156.275,157.16
"MCD","2-21-18",157.76,161.32,157.6,158.64
"MCD","2-22-18",158.95,161.4,158.9,160.66
"MCD","2-23-18",161.44,163.31,161.44,163.06
"MCD","2-26-18",164,164.75,162.3,163.58
"MCD","2-27-18",164.19,164.5,160.64,160.66
"MCD","2-28-18",160.43,161.21,157.72,157.74
"MCD","3-1-18",157.8,160.43,155.21,155.7
"MCD","3-2-18",148.91,150.45,146.84,148.27
"MCD","3-5-18",148.28,151.48,147.92,151.03
"MCD","3-6-18",151.25,151.71,150.13,151.2
"MCD","3-7-18",149.86,152.74,149.68,152.38
"MCD","3-8-18",152.73,154.61,152.65,154.44
"MCD","3-9-18",155.62,157.73,154.84,157.24
"MCD","3-12-18",157.74,159.45,157.505,157.74
"MCD","3-13-18",158.56,159.89,158.21,158.22
"MCD","3-14-18",159,159.51,157.24,158.24
"MCD","3-15-18",158.71,162.15,158.59,161.61
"MCD","3-16-18",161.88,163.23,161.58,162.36
"MCD","3-19-18",162,162.36,158.21,159.01
"MCD","3-20-18",159.75,160.67,159.25,159.38
"MCD","3-21-18",160,160.41,158.29,158.66
"MCD","3-22-18",157.85,159.12,156.85,157.04
"MCD","3-23-18",157.59,158.08,154.92,154.98
"MCD","3-26-18",156.21,158.2,156.21,158.01
"MCD","3-27-18",158.5,159.7655,156.47,157.48
"MCD","3-28-18",157.84,159.76,157.82,158.41
"MCD","3-29-18",159,159.83,156.38,156.38
"MCD","4-2-18",158.27,160.16,155.25,157.72
"MCD","4-3-18",157.98,160.53,157.3,160.4
"MCD","4-4-18",158.5,162.15,157.88,161.73
"MCD","4-5-18",162.4,164.5615,161.75,163.95
"MCD","4-6-18",162.42,163.78,160.91,161.25
"MCD","4-9-18",162.22,163.57,161.06,161.23
"MCD","4-10-18",162.83,163.9632,162.05,162.77
"MCD","4-11-18",162.5,164.06,162.275,163.34
"MCD","4-12-18",163.59,165.4,161.54,161.62
"MCD","4-13-18",162.16,163.16,161.26,161.73
"MCD","4-16-18",161.3,162.44,160.86,161.63
"MCD","4-17-18",162.39,163.48,162.06,162.55
"MCD","4-18-18",162.59,163.31,161.74,161.81
"MCD","4-19-18",161.61,162.1,158.78,159.53
"MCD","4-20-18",159.33,160.73,158.51,158.77
"MCD","4-23-18",158.97,159.69,158.15,158.99
"MCD","4-24-18",159.75,159.83,156.761,157.32
"MCD","4-25-18",157.09,157.34,155.01,155.94
"MCD","4-26-18",156.46,159.46,155.65,158.9
"MCD","4-27-18",159.48,159.85,158.21,158.3
"MCD","4-30-18",164.69,167.95,163.75,167.44
"MCD","5-1-18",166.38,166.5,162.1,163.44
"MCD","5-2-18",162.15,163.195,160.44,160.68
"MCD","5-3-18",160.6,160.84,159.08,160.08
"MCD","5-4-18",159.95,165.45,159.9,165.03
"MCD","5-7-18",166.77,167.3,164.65,165
"MCD","5-8-18",164.44,165.59,163.75,164.77
"MCD","5-9-18",165,165.21,163.05,164.24
"MCD","5-10-18",164.45,165.64,164.31,165.07
"MCD","5-11-18",165,165.98,164.85,165.39
"MCD","5-14-18",165.65,165.98,164.32,164.72
"MCD","5-15-18",164.27,164.65,162.33,163.06
"MCD","5-16-18",163.24,163.94,161.74,162.87
"MCD","5-17-18",162.63,163.23,160.73,161.31
"MCD","5-18-18",161.68,162.84,160.55,160.98
"MCD","5-21-18",161.78,161.97,160.61,161.48
"MCD","5-22-18",162.06,162.09,159.16,159.45
"MCD","5-23-18",159.7,161.65,159.1586,161.62
"MCD","5-24-18",161.11,162.6,160.44,162.39
"MCD","5-25-18",162.44,163.95,162.1,163.21
"MCD","5-29-18",162.43,162.72,160.2124,160.62
"MCD","5-30-18",161.41,162.1,160.8175,161.82
