"Ticker","Date","Open","High","Low","Close"
"MCHP","9-19-16",60.73,61.29,60.3,60.59
"MCHP","9-20-16",60.79,60.84,60.07,60.2
"MCHP","9-21-16",60.52,61.17,60.3201,61.12
"MCHP","9-22-16",61.55,61.84,60.57,61.18
"MCHP","9-23-16",61.24,61.34,60.6,60.64
"MCHP","9-26-16",60.5,60.75,60.1,60.47
"MCHP","9-27-16",60.31,61.39,60,61.32
"MCHP","9-28-16",61.41,61.78,61.08,61.65
"MCHP","9-29-16",61.65,62.38,60.89,61.97
"MCHP","9-30-16",62.11,62.7264,61.845,62.14
"MCHP","10-3-16",62.06,62.43,61.65,61.82
"MCHP","10-4-16",61.78,62.2,61.12,61.32
"MCHP","10-5-16",61.66,62.6,61.5,62.12
"MCHP","10-6-16",62.12,62.6,61.785,62.58
"MCHP","10-7-16",62.6,62.6,61.52,62.06
"MCHP","10-10-16",62.3,62.56,61.225,61.31
"MCHP","10-11-16",61.1,61.4,59.08,59.69
"MCHP","10-12-16",59.51,59.59,58.47,59
"MCHP","10-13-16",58.53,58.53,57.52,58.41
"MCHP","10-14-16",58.78,59.74,58.48,59
"MCHP","10-17-16",58.9,59.41,58.66,58.7
"MCHP","10-18-16",59.41,59.63,58.79,58.86
"MCHP","10-19-16",58.72,60.27,58.42,60.01
"MCHP","10-20-16",59.81,60.08,59.1,59.71
"MCHP","10-21-16",59.41,59.66,58.79,59.5
"MCHP","10-24-16",59.93,60.7,59.93,60.64
"MCHP","10-25-16",60.66,61.18,60.5892,60.91
"MCHP","10-26-16",60.53,60.76,60.11,60.55
"MCHP","10-27-16",60.75,61.42,60.14,60.36
"MCHP","10-28-16",60.46,61.02,60.09,60.3
"MCHP","10-31-16",60.69,61.21,60.53,60.55
"MCHP","11-1-16",60.8,60.89,59.5,60.18
"MCHP","11-2-16",60.22,60.6799,59.78,59.86
"MCHP","11-3-16",59.98,60.18,59.38,59.63
"MCHP","11-4-16",59.52,60.52,59.45,60.22
"MCHP","11-7-16",61.12,62.33,60.9,62.23
"MCHP","11-8-16",65.23,65.61,63.19,63.96
"MCHP","11-9-16",62.21,64.72,61.55,64.31
"MCHP","11-10-16",64.54,65.42,62.11,62.44
"MCHP","11-11-16",62.44,63.21,62.16,63.15
"MCHP","11-14-16",63.68,63.81,63.1,63.53
"MCHP","11-15-16",63.63,65.26,63.46,65.19
"MCHP","11-16-16",64.77,65.73,64.5,65.65
"MCHP","11-17-16",65.31,65.9,64.835,65.45
"MCHP","11-18-16",65.16,65.45,64.26,64.57
"MCHP","11-21-16",64.9,65.61,64.62,65.2
"MCHP","11-22-16",65.18,65.66,64.84,65.57
"MCHP","11-23-16",65.5,66.12,65.28,66.11
"MCHP","11-25-16",65.96,66.2475,65.84,66.08
"MCHP","11-28-16",65.98,66.81,65.64,65.9
"MCHP","11-29-16",65.76,66.325,65.49,66.03
"MCHP","11-30-16",66.01,66.76,65.54,66.18
"MCHP","12-1-16",66.33,66.39,60.77,61.23
"MCHP","12-2-16",61.19,62.6997,60.85,62.05
"MCHP","12-5-16",62.73,63.71,62.3901,63.23
"MCHP","12-6-16",63.22,63.7,62.98,63.49
"MCHP","12-7-16",63.52,64.59,63.04,64.5
"MCHP","12-8-16",64.56,65.27,64.19,65.19
"MCHP","12-9-16",65.32,65.36,64.14,64.53
"MCHP","12-12-16",64.37,64.58,62.95,63.61
"MCHP","12-13-16",64.18,65.4,64.01,65.1
"MCHP","12-14-16",64.96,65.6,64.9,65.05
"MCHP","12-15-16",65.32,66.29,64.9,65.83
"MCHP","12-16-16",66.19,66.24,64.42,64.53
"MCHP","12-19-16",64.57,65.49,64.48,65.01
"MCHP","12-20-16",65.36,65.78,65.01,65.3
"MCHP","12-21-16",65.46,65.71,64.761,65.17
"MCHP","12-22-16",65.53,65.53,64.83,65.38
"MCHP","12-23-16",65.11,65.42,64.88,65.4
"MCHP","12-27-16",65.36,66.06,65.31,65.4
"MCHP","12-28-16",65.51,65.66,64.66,64.67
"MCHP","12-29-16",64.65,65,64.41,64.76
"MCHP","12-30-16",65.05,65.05,63.81,64.15
"MCHP","1-3-17",64.51,64.98,63.17,63.85
"MCHP","1-4-17",64.07,64.13,63.45,63.82
"MCHP","1-5-17",63.54,63.83,62.21,62.59
"MCHP","1-6-17",62.75,63.9301,62.52,63.68
"MCHP","1-9-17",63.61,64.82,63.61,64.42
"MCHP","1-10-17",64.42,64.98,64.12,64.85
"MCHP","1-11-17",64.69,66.51,64.5,66.48
"MCHP","1-12-17",66.36,66.63,65.47,66.48
"MCHP","1-13-17",66.62,66.7,66.23,66.34
"MCHP","1-17-17",66.02,66.126,64.68,64.95
"MCHP","1-18-17",65.21,66.65,65.033,66.5
"MCHP","1-19-17",66.3,67.19,65.6,65.69
"MCHP","1-20-17",65.96,66.97,65.85,66.93
"MCHP","1-23-17",66.72,67.1999,66.37,67.03
"MCHP","1-24-17",67.34,67.96,67.06,67.9
"MCHP","1-25-17",68.4,69.02,68.25,68.82
"MCHP","1-26-17",68.94,68.94,67.58,67.63
"MCHP","1-27-17",67.95,68.78,67.83,68.76
"MCHP","1-30-17",68.65,69.09,67.77,69.06
"MCHP","1-31-17",68.83,68.86,66.85,67.35
"MCHP","2-1-17",67.71,68.52,67.37,68.41
"MCHP","2-2-17",67.83,68.83,67.44,68.78
"MCHP","2-3-17",69.22,69.73,68.49,69.43
"MCHP","2-6-17",69.15,69.43,68.83,69.17
"MCHP","2-7-17",69.28,69.65,69.03,69.62
