"Ticker","Date","Open","High","Low","Close"
"MDLZ","9-19-16",42.97,43.375,42.84,42.87
"MDLZ","9-20-16",43.28,43.8329,42.8,42.84
"MDLZ","9-21-16",42.81,43.06,42.51,42.93
"MDLZ","9-22-16",43.34,43.57,43.14,43.37
"MDLZ","9-23-16",43.34,43.4277,43.085,43.16
"MDLZ","9-26-16",42.68,43.01,42.65,42.72
"MDLZ","9-27-16",43.39,43.39,42.75,43.16
"MDLZ","9-28-16",43.11,43.47,43.06,43.4
"MDLZ","9-29-16",43.19,43.875,43.11,43.14
"MDLZ","9-30-16",43.33,44.12,43.22,43.9
"MDLZ","10-3-16",43.71,43.9,43.37,43.78
"MDLZ","10-4-16",43.54,43.98,43.03,43.16
"MDLZ","10-5-16",43.34,43.45,42.95,43.03
"MDLZ","10-6-16",42.9,43.11,42.6599,43.01
"MDLZ","10-7-16",43.11,43.18,42.43,42.69
"MDLZ","10-10-16",42.83,43.24,42.82,43.04
"MDLZ","10-11-16",42.98,43.05,42.08,42.33
"MDLZ","10-12-16",42.28,42.5462,42.115,42.41
"MDLZ","10-13-16",41.93,42.12,41.54,41.87
"MDLZ","10-14-16",42.21,42.53,41.99,42.05
"MDLZ","10-17-16",41.91,42.2,41.9,41.99
"MDLZ","10-18-16",42.35,42.54,42.11,42.12
"MDLZ","10-19-16",42.09,42.28,41.77,42.13
"MDLZ","10-20-16",42.1,42.38,41.73,42.09
"MDLZ","10-21-16",41.81,42.245,41.44,42.21
"MDLZ","10-24-16",42.43,42.7766,42.22,42.61
"MDLZ","10-25-16",42.65,42.88,42.42,42.76
"MDLZ","10-26-16",44.74,44.74,43.03,44.32
"MDLZ","10-27-16",44.55,44.5732,43.83,43.9
"MDLZ","10-28-16",44.68,45.43,43.75,45.2
"MDLZ","10-31-16",45.33,45.655,44.93,44.94
"MDLZ","11-1-16",45.03,45.22,44.2001,44.4
"MDLZ","11-2-16",44.47,44.59,43.97,43.99
"MDLZ","11-3-16",44.04,44.05,43.28,43.31
"MDLZ","11-4-16",42.66,43.18,42.44,42.61
"MDLZ","11-7-16",43.17,44.245,43.1601,44.22
"MDLZ","11-8-16",44.91,46.4,44.46,46.01
"MDLZ","11-9-16",44.06,45.63,43.92,44.01
"MDLZ","11-10-16",43.79,43.85,41.37,41.92
"MDLZ","11-11-16",41.85,41.92,40.975,41.19
"MDLZ","11-14-16",41.31,41.69,40.67,41.42
"MDLZ","11-15-16",41.62,42.585,41.54,42.37
"MDLZ","11-16-16",42.16,42.75,42.11,42.55
"MDLZ","11-17-16",42.7,43.01,42.11,42.99
"MDLZ","11-18-16",42.75,43.21,42.4,42.92
"MDLZ","11-21-16",42.72,43.2,42.72,42.98
"MDLZ","11-22-16",43.08,43.48,42.94,43.4
"MDLZ","11-23-16",43.1,43.36,42.39,42.5
"MDLZ","11-25-16",42.53,43.41,42.53,43.28
"MDLZ","11-28-16",43.23,43.28,42.73,42.92
"MDLZ","11-29-16",42.92,43.12,42.64,42.86
"MDLZ","11-30-16",42.9,43.07,41.21,41.24
