"Ticker","Date","Open","High","Low","Close"
"MRNA","12-10-18",18.9,19.4388,18,18.8
"MRNA","12-11-18",20.55,20.66,17.99,18.01
"MRNA","12-12-18",18.55,19.48,18.02,18.68
"MRNA","12-13-18",19.25,19.29,18.68,18.76
"MRNA","12-14-18",18.75,18.8806,18.25,18.32
"MRNA","12-17-18",18.33,18.47,16.9,17
"MRNA","12-18-18",17.1,17.25,16.25,17
"MRNA","12-19-18",16.86,17.37,16,16.18
"MRNA","12-20-18",16,16.14,14.75,15.5
"MRNA","12-21-18",15.4,15.5,13.95,14.47
"MRNA","12-24-18",14.32,14.32,13.75,14.03
"MRNA","12-26-18",14.15,14.31,13.03,13.52
"MRNA","12-27-18",13.49,14.95,13.27,14.65
"MRNA","12-28-18",14.72,14.85,13.8184,14.15
"MRNA","12-31-18",14.24,15.3,14.2129,15.27
"MRNA","1-2-19",14.93,15.45,14.51,15.33
"MRNA","1-3-19",15.49,16.08,15.2,15.5
"MRNA","1-4-19",16,17.5,15.8944,16.96
"MRNA","1-7-19",17.54,17.94,16.18,16.27
"MRNA","1-8-19",17.35,17.468,16.05,16.95
"MRNA","1-9-19",17.2,17.25,16.15,16.33
"MRNA","1-10-19",16.36,16.51,16,16.48
"MRNA","1-11-19",16.6,17.06,16.53,17
"MRNA","1-14-19",17,17.06,16.72,16.74
"MRNA","1-15-19",17,17,16.41,16.59
"MRNA","1-16-19",16.8,16.95,16.26,16.26
"MRNA","1-17-19",16.05,16.53,16.05,16.31
"MRNA","1-18-19",16.46,16.8,16.25,16.69
"MRNA","1-22-19",16.62,16.6345,15.35,15.56
"MRNA","1-23-19",15.59,15.92,14.76,14.79
"MRNA","1-24-19",14.9,15.195,14.64,14.64
"MRNA","1-25-19",14.8,14.92,14.4,14.91
"MRNA","1-28-19",14.84,14.84,14.45,14.45
"MRNA","1-29-19",14.46,14.875,14.45,14.63
"MRNA","1-30-19",14.72,15.545,14.65,15.13
"MRNA","1-31-19",15.24,17.48,15.24,16.6
"MRNA","2-1-19",16.8,17.0075,15.9,16.22
"MRNA","2-4-19",16.22,16.49,15.95,16.27
"MRNA","2-5-19",16.29,17.49,16.2075,17.18
"MRNA","2-6-19",17.25,18.39,17.1101,18.14
"MRNA","2-7-19",17.95,18.0679,17.04,17.05
"MRNA","2-8-19",17.1,18.15,17.1,17.99
"MRNA","2-11-19",17.99,18.6462,17.7507,18.17
"MRNA","2-12-19",18.21,18.76,17.6,18.69
"MRNA","2-13-19",18.99,19.22,18.3,18.53
"MRNA","2-14-19",18.64,19.96,18.63,19.66
"MRNA","2-15-19",19.94,21.4674,19.7,21.44
"MRNA","2-19-19",21.51,21.513,20.05,20.83
"MRNA","2-20-19",21.12,21.2399,19.13,19.92
"MRNA","2-21-19",19.74,19.98,18.88,19.34
"MRNA","2-22-19",19.35,20.04,19.35,19.88
"MRNA","2-25-19",20.54,22.3,19.83,21.65
"MRNA","2-26-19",21.6,24.4,21.56,23.7
"MRNA","2-27-19",23.37,23.83,21.53,22.1
"MRNA","2-28-19",22.45,23.03,22.05,22.6
"MRNA","3-1-19",23.09,23.39,21.64,22.27
"MRNA","3-4-19",22.47,22.8,20.52,21.12
"MRNA","3-5-19",21.18,21.49,20.29,21.37
"MRNA","3-6-19",21.4,22.05,20.0604,20.65
"MRNA","3-7-19",20.42,21.155,19.6115,20.59
"MRNA","3-8-19",20.37,21.08,19.9,20.93
"MRNA","3-11-19",20.99,20.99,19.97,20.43
"MRNA","3-12-19",20.52,20.89,19.12,19.26
"MRNA","3-13-19",19.3,20.255,19.23,19.97
"MRNA","3-14-19",19.92,21,19.92,20.82
"MRNA","3-15-19",20.99,22.19,20.89,21.82
"MRNA","3-18-19",21.74,22.22,21.22,22.18
"MRNA","3-19-19",22.47,22.6,20.18,20.35
"MRNA","3-20-19",20.41,20.98,19.9,20
"MRNA","3-21-19",20,20.25,19.21,19.34
"MRNA","3-22-19",19.38,19.7,18.75,19
"MRNA","3-25-19",19,19.59,18.21,19.4
"MRNA","3-26-19",19.61,19.94,19.24,19.9
"MRNA","3-27-19",20.08,20.08,18.89,19.27
"MRNA","3-28-19",19.3,19.7398,19.0001,19.66
"MRNA","3-29-19",19.87,20.8,19.47,20.35
"MRNA","4-1-19",20.54,20.915,20.04,20.59
"MRNA","4-2-19",20.68,20.68,19.54,19.7
"MRNA","4-3-19",19.92,21.67,19.81,21.33
"MRNA","4-4-19",21.12,23.18,21.04,23.08
"MRNA","4-5-19",23.8,26.23,22.6648,25.96
"MRNA","4-8-19",25.9,29.79,25.6,27.23
"MRNA","4-9-19",27.3,28.4,26.3105,26.82
"MRNA","4-10-19",26.9,27.74,26.5,26.8
"MRNA","4-11-19",26.82,26.9899,24.26,25.73
"MRNA","4-12-19",26,26.0512,24.27,24.61
"MRNA","4-15-19",24.99,25.94,24.62,25.84
"MRNA","4-16-19",26,26.22,23.65,23.78
"MRNA","4-17-19",24,24.12,22.3135,23.5
"MRNA","4-18-19",23.47,23.55,22.43,22.51
"MRNA","4-22-19",22.7,23.99,22.5105,23.63
"MRNA","4-23-19",23.73,24.9833,23.73,24.7
"MRNA","4-24-19",24.8,25.76,24.29,25.76
"MRNA","4-25-19",25.76,26.72,25.43,25.74
"MRNA","4-26-19",25.83,27.3,25.69,26.26
"MRNA","4-29-19",26.28,27.2,24.9708,25.14
"MRNA","4-30-19",25.28,26.03,25,26.03
"MRNA","5-1-19",26.31,27.09,25.87,26.4
"MRNA","5-2-19",26.33,28.4897,26.19,28.34
"MRNA","5-3-19",28.89,28.95,26.85,27.2
"MRNA","5-6-19",26.38,27.81,26.25,27.1
"MRNA","5-7-19",27.18,27.2555,24.16,24.55
"MRNA","5-8-19",23.7,26,23.53,23.54
"MRNA","5-9-19",23.5,24,22.75,23.26
"MRNA","5-10-19",23.04,24.93,22.8,24.92
"MRNA","5-13-19",24.46,24.77,23.225,24.43
"MRNA","5-14-19",24.5,24.8899,23.57,23.59
"MRNA","5-15-19",23.46,23.84,22.81,23.12
"MRNA","5-16-19",23.5,24.05,23.15,23.46
"MRNA","5-17-19",23.31,23.4291,21.68,23.08
"MRNA","5-20-19",22.85,23.6,22.55,22.6
"MRNA","5-21-19",22.65,23.16,22.43,22.7
"MRNA","5-22-19",22.65,22.7677,21.93,22
"MRNA","5-23-19",21.75,21.94,21.01,21.38
"MRNA","5-24-19",21.56,22,21.41,21.83
"MRNA","5-28-19",22.3,22.46,21.44,21.54
"MRNA","5-29-19",21.71,21.898,21.16,21.7
"MRNA","5-30-19",21.84,21.9,21.05,21.49
"MRNA","5-31-19",21.16,21.38,20.74,20.78
"MRNA","6-3-19",20.79,20.99,18.82,19.85
"MRNA","6-4-19",19.76,20.74,19.23,19.47
"MRNA","6-5-19",19.2,19.2,17.2,17.7
"MRNA","6-6-19",17.83,18.921,17.61,17.94
"MRNA","6-7-19",17.71,18.4,17.3,17.52
"MRNA","6-10-19",17.85,17.99,15.67,15.67
"MRNA","6-11-19",16.09,16.88,15.75,16
"MRNA","6-12-19",16.11,16.36,15.62,16.3
"MRNA","6-13-19",16.42,17.59,16.05,16.16
"MRNA","6-14-19",16.25,16.675,15.32,15.4
"MRNA","6-17-19",15.54,15.85,15.28,15.77
"MRNA","6-18-19",15.9,16.19,15.5784,15.74
"MRNA","6-19-19",15.75,16.3025,15.37,15.5
"MRNA","6-20-19",15.85,15.935,14.86,15.18
"MRNA","6-21-19",15.2,15.32,14.5,14.7
"MRNA","6-24-19",14.41,14.6906,14.02,14.04
"MRNA","6-25-19",14.11,14.2499,13.65,13.77
"MRNA","6-26-19",13.92,14.18,13.65,13.7
"MRNA","6-27-19",13.5,14.405,13.5,14.34
"MRNA","6-28-19",14.41,14.64,14.11,14.64
"MRNA","7-1-19",14.86,15.08,14.47,14.73
"MRNA","7-2-19",14.71,14.71,14,14.4
"MRNA","7-3-19",14.5,15.33,14.4,15.31
"MRNA","7-5-19",15.47,15.47,14.83,14.96
"MRNA","7-8-19",14.89,14.9,14.14,14.29
"MRNA","7-9-19",14.31,14.85,14.15,14.85
"MRNA","7-10-19",14.94,15.22,14.05,14.48
"MRNA","7-11-19",14.56,14.7,14.12,14.44
"MRNA","7-12-19",14.27,14.48,14.06,14.2
"MRNA","7-15-19",14.28,14.46,14,14.32
"MRNA","7-16-19",14.32,14.475,14,14.14
"MRNA","7-17-19",14.17,14.59,14,14.03
"MRNA","7-18-19",14.09,14.28,13.9,14.26
"MRNA","7-19-19",14.29,14.4,14.01,14.11
"MRNA","7-22-19",14.22,14.32,13.91,14.05
"MRNA","7-23-19",14.06,14.13,13.12,13.6
"MRNA","7-24-19",13.75,14.52,13.473,14.47
"MRNA","7-25-19",14.51,14.65,13.5,13.51
"MRNA","7-26-19",13.59,14.18,13.36,14.12
"MRNA","7-29-19",14.17,14.33,13.56,13.69
"MRNA","7-30-19",13.61,13.76,13.29,13.4
"MRNA","7-31-19",13.42,13.51,13.04,13.1
"MRNA","8-1-19",13.2,13.4,12.71,13.01
"MRNA","8-2-19",13,13.0368,12.4,12.73
"MRNA","8-5-19",12.55,12.69,12.2,12.26
"MRNA","8-6-19",12.5,12.8675,11.9,12.29
"MRNA","8-7-19",12.26,14.5,11.54,12.85
"MRNA","8-8-19",12.91,13.3,12.3,13.19
"MRNA","8-9-19",13.14,13.55,12.97,13.33
"MRNA","8-12-19",13.42,13.68,12.984,13.02
"MRNA","8-13-19",13,13.395,12.76,13.3
"MRNA","8-14-19",13.08,13.22,12.5,12.74
"MRNA","8-15-19",12.72,12.95,12.47,12.67
"MRNA","8-16-19",12.85,13.24,12.79,13.16
"MRNA","8-19-19",13.25,13.5,13.02,13.4
"MRNA","8-20-19",13.87,14.65,13.6,14.15
"MRNA","8-21-19",14.25,14.41,13.76,14.29
"MRNA","8-22-19",14.37,14.43,14.04,14.16
"MRNA","8-23-19",14.08,14.36,13.83,13.88
"MRNA","8-26-19",14.01,15.38,14,14.97
"MRNA","8-27-19",15.17,15.5,14.12,14.51
"MRNA","8-28-19",14.51,15.04,14.38,14.82
"MRNA","8-29-19",14.91,15.2,14.61,15.18
"MRNA","8-30-19",15.3,15.75,15.2,15.73
"MRNA","9-3-19",16.1,16.5,14.35,14.88
"MRNA","9-4-19",15.11,15.59,14.8,15.42
"MRNA","9-5-19",15.65,16.13,15.02,15.53
"MRNA","9-6-19",15.56,16.18,15.14,15.88
"MRNA","9-9-19",15.98,16.23,15.36,16.03
"MRNA","9-10-19",16.06,17.34,15.97,17.09
"MRNA","9-11-19",17.34,17.59,15.89,15.92
"MRNA","9-12-19",16.23,18.46,16.2,16.4
"MRNA","9-13-19",16.45,17.04,16.06,16.71
"MRNA","9-16-19",16.73,17.31,16.69,17.05
"MRNA","9-17-19",17.46,17.95,17.19,17.66
"MRNA","9-18-19",17.77,18,17.35,17.78
"MRNA","9-19-19",17.71,18.42,17.617,17.9
