"Ticker","Date","Open","High","Low","Close"
"MSFT","9-19-16",57.27,57.75,56.85,56.93
"MSFT","9-20-16",57.35,57.35,56.75,56.81
"MSFT","9-21-16",57.51,57.85,57.08,57.76
"MSFT","9-22-16",57.92,58,57.63,57.82
"MSFT","9-23-16",57.87,57.91,57.38,57.43
"MSFT","9-26-16",57.08,57.14,56.83,56.9
"MSFT","9-27-16",56.93,58.06,56.681,57.95
"MSFT","9-28-16",57.88,58.06,57.67,58.03
"MSFT","9-29-16",57.81,58.1679,57.21,57.4
"MSFT","9-30-16",57.57,57.77,57.34,57.6
"MSFT","10-3-16",57.405,57.55,57.06,57.42
"MSFT","10-4-16",57.27,57.595,56.97,57.24
"MSFT","10-5-16",57.29,57.9601,57.26,57.64
"MSFT","10-6-16",57.74,57.86,57.28,57.74
"MSFT","10-7-16",57.85,57.98,57.42,57.8
"MSFT","10-10-16",57.91,58.39,57.87,58.04
"MSFT","10-11-16",57.89,58.02,56.89,57.19
"MSFT","10-12-16",57.11,57.27,56.4,57.11
"MSFT","10-13-16",56.7,57.3,56.315,56.92
"MSFT","10-14-16",57.12,57.74,57.12,57.42
"MSFT","10-17-16",57.36,57.46,56.87,57.22
"MSFT","10-18-16",57.53,57.945,57.41,57.66
"MSFT","10-19-16",57.47,57.84,57.395,57.53
"MSFT","10-20-16",57.5,57.52,56.66,57.25
"MSFT","10-21-16",60.28,60.45,59.485,59.66
"MSFT","10-24-16",59.94,61,59.93,61
"MSFT","10-25-16",60.85,61.3699,60.8,60.99
"MSFT","10-26-16",60.81,61.2,60.47,60.63
"MSFT","10-27-16",60.61,60.83,60.09,60.1
"MSFT","10-28-16",60.01,60.52,59.58,59.87
"MSFT","10-31-16",60.16,60.42,59.92,59.92
"MSFT","11-1-16",59.97,60.02,59.25,59.8
"MSFT","11-2-16",59.82,59.93,59.3,59.43
"MSFT","11-3-16",59.53,59.64,59.11,59.21
"MSFT","11-4-16",58.65,59.28,58.52,58.71
"MSFT","11-7-16",59.78,60.52,59.78,60.42
"MSFT","11-8-16",60.55,60.78,60.15,60.47
"MSFT","11-9-16",60,60.59,59.2,60.17
"MSFT","11-10-16",60.48,60.49,57.6302,58.7
"MSFT","11-11-16",58.23,59.116,58.01,59.02
"MSFT","11-14-16",59.02,59.08,57.28,58.12
"MSFT","11-15-16",58.33,59.49,58.315,58.87
"MSFT","11-16-16",58.94,59.66,58.81,59.65
"MSFT","11-17-16",60.41,60.95,59.965,60.64
"MSFT","11-18-16",60.78,61.14,60.3,60.35
"MSFT","11-21-16",60.5,60.97,60.42,60.86
"MSFT","11-22-16",60.98,61.26,60.805,61.12
"MSFT","11-23-16",61.01,61.1,60.25,60.4
"MSFT","11-25-16",60.3,60.53,60.13,60.53
"MSFT","11-28-16",60.34,61.02,60.21,60.61
"MSFT","11-29-16",60.65,61.41,60.52,61.09
"MSFT","11-30-16",60.86,61.18,60.215,60.26
"MSFT","12-1-16",60.11,60.15,58.935,59.2
"MSFT","12-2-16",59.08,59.47,58.8,59.25
"MSFT","12-5-16",59.7,60.585,59.56,60.22
"MSFT","12-6-16",60.43,60.46,59.8,59.95
"MSFT","12-7-16",60.01,61.38,59.8,61.37
"MSFT","12-8-16",61.3,61.58,60.84,61.01
"MSFT","12-9-16",61.18,61.99,61.125,61.97
"MSFT","12-12-16",61.82,62.3,61.72,62.17
"MSFT","12-13-16",62.5,63.42,62.24,62.98
"MSFT","12-14-16",63,63.45,62.53,62.68
"MSFT","12-15-16",62.7,63.1535,62.3,62.58
"MSFT","12-16-16",62.95,62.95,62.115,62.3
"MSFT","12-19-16",62.56,63.77,62.42,63.62
"MSFT","12-20-16",63.69,63.8,63.025,63.54
"MSFT","12-21-16",63.43,63.7,63.12,63.54
"MSFT","12-22-16",63.84,64.1,63.405,63.55
"MSFT","12-23-16",63.45,63.54,62.8,63.24
"MSFT","12-27-16",63.21,64.07,63.21,63.28
"MSFT","12-28-16",63.4,63.4,62.83,62.99
"MSFT","12-29-16",62.86,63.2,62.73,62.9
"MSFT","12-30-16",62.96,62.99,62.03,62.14
"MSFT","1-3-17",62.79,62.84,62.125,62.58
"MSFT","1-4-17",62.48,62.75,62.12,62.3
"MSFT","1-5-17",62.19,62.66,62.03,62.3
"MSFT","1-6-17",62.3,63.15,62.04,62.84
"MSFT","1-9-17",62.76,63.08,62.54,62.64
"MSFT","1-10-17",62.73,63.07,62.28,62.62
"MSFT","1-11-17",62.61,63.23,62.43,63.19
"MSFT","1-12-17",63.06,63.4,61.95,62.61
"MSFT","1-13-17",62.62,62.865,62.35,62.7
"MSFT","1-17-17",62.68,62.7,62.03,62.53
