"Ticker","Date","Open","High","Low","Close"
"MTCH","9-19-16",14.17,14.17,13.61,13.77
"MTCH","9-20-16",13.91,14.04,13.74,13.96
"MTCH","9-21-16",14.33,14.74,14,14.64
"MTCH","9-22-16",14.78,15.86,14.7033,15.62
"MTCH","9-23-16",15.79,16.13,15.435,15.59
"MTCH","9-26-16",15.48,15.86,15.3011,15.67
"MTCH","9-27-16",15.77,16.04,15.34,15.69
"MTCH","9-28-16",15.8,15.97,15.471,15.67
"MTCH","9-29-16",15.75,16.2,15.66,15.76
"MTCH","9-30-16",15.95,15.95,15.51,15.79
"MTCH","10-3-16",15.8,16,15.45,15.69
"MTCH","10-4-16",15.68,15.8499,15.13,15.24
"MTCH","10-5-16",15.36,15.77,15.1701,15.62
"MTCH","10-6-16",15.63,15.66,15.1392,15.47
"MTCH","10-7-16",15.42,15.47,14.96,15.22
"MTCH","10-10-16",15.64,15.891,15.3,15.73
"MTCH","10-11-16",15.85,16,15.3182,15.54
"MTCH","10-12-16",15.6,15.94,15.4,15.66
"MTCH","10-13-16",15.55,15.79,15.36,15.74
"MTCH","10-14-16",15.9,16.21,15.64,15.88
"MTCH","10-17-16",16.08,16.08,15.74,15.95
"MTCH","10-18-16",16.34,16.87,16.1142,16.64
"MTCH","10-19-16",16.75,17.31,16.5087,17.25
"MTCH","10-20-16",17.28,17.4799,16.68,17.22
"MTCH","10-21-16",17.02,17.64,16.98,17.4
"MTCH","10-24-16",17.72,17.74,17.17,17.39
"MTCH","10-25-16",17.5,17.55,16.94,17.12
"MTCH","10-26-16",17,17.3,16.62,16.7
"MTCH","10-27-16",16.71,16.97,16.12,16.33
"MTCH","10-28-16",16.17,16.69,16.17,16.44
"MTCH","10-31-16",16.44,16.5753,15.9,16.06
"MTCH","11-1-16",16.15,16.25,15.7,15.86
"MTCH","11-2-16",15.2,15.64,13.08,13.7
"MTCH","11-3-16",13.65,13.97,13.24,13.26
"MTCH","11-4-16",13.23,13.85,13.23,13.5
"MTCH","11-7-16",14.09,14.88,14.06,14.7
"MTCH","11-8-16",14.42,15.27,14.26,15.16
"MTCH","11-9-16",14.13,15.62,14.0159,15.4
"MTCH","11-10-16",15.98,15.98,14.65,15.4
"MTCH","11-11-16",15.37,16.035,15.17,15.95
"MTCH","11-14-16",16.85,16.85,15.28,15.49
"MTCH","11-15-16",15.92,15.99,15.11,15.16
"MTCH","11-16-16",15.74,15.74,15.17,15.28
"MTCH","11-17-16",15.37,15.9,15.15,15.79
"MTCH","11-18-16",16.11,16.19,15.7001,15.92
"MTCH","11-21-16",16,16.33,15.77,15.79
"MTCH","11-22-16",15.81,16.13,15.765,15.98
"MTCH","11-23-16",15.86,16.04,15.72,15.97
"MTCH","11-25-16",15.92,16.062,15.5,15.55
"MTCH","11-28-16",15.64,15.97,15.5201,15.95
"MTCH","11-29-16",15.89,16.9699,15.73,16.81
"MTCH","11-30-16",16.15,16.9399,15.33,15.98
"MTCH","12-1-16",15.9,16.0499,14.71,14.95
"MTCH","12-2-16",14.95,15.22,14.57,15.11
"MTCH","12-5-16",15.25,15.87,15.15,15.56
"MTCH","12-6-16",15.82,15.82,15.41,15.6
"MTCH","12-7-16",15.6,16.225,15.4,16.2
"MTCH","12-8-16",16.25,16.7399,16.24,16.38
"MTCH","12-9-16",16.47,16.69,16.025,16.16
"MTCH","12-12-16",16.23,16.4899,15.7,15.93
"MTCH","12-13-16",15.95,16.27,15.61,16.18
"MTCH","12-14-16",16.2,16.25,15.75,15.82
"MTCH","12-15-16",15.83,15.925,15.47,15.61
"MTCH","12-16-16",15.51,15.78,15.31,15.62
"MTCH","12-19-16",15.5,16.139,15.39,15.77
"MTCH","12-20-16",15.77,16,15.66,15.71
"MTCH","12-21-16",15.61,15.745,15.1,15.53
"MTCH","12-22-16",15.47,15.55,15.28,15.37
"MTCH","12-23-16",15.32,15.54,15.24,15.3
"MTCH","12-27-16",15.4,15.55,15.3,15.42
"MTCH","12-28-16",15.5,15.61,15.05,15.13
"MTCH","12-29-16",15.15,15.4,15.03,15.29
"MTCH","12-30-16",15.28,15.36,14.91,15.1
"MTCH","1-3-17",15.23,15.37,14.57,15.33
"MTCH","1-4-17",15.35,15.46,15.18,15.29
"MTCH","1-5-17",15.2,16.2,15,15.99
"MTCH","1-6-17",16.01,16.13,15.55,16.03
"MTCH","1-9-17",16.05,16.39,16.03,16.15
