"Ticker","Date","Open","High","Low","Close"
"MU","9-19-16",17.63,17.77,16.85,16.95
"MU","9-20-16",17.05,17.27,16.72,16.92
"MU","9-21-16",17.25,17.7,17.23,17.66
"MU","9-22-16",17.89,18.05,17.41,17.59
"MU","9-23-16",17.45,17.736,17.43,17.48
"MU","9-26-16",17.35,17.6,17.18,17.36
"MU","9-27-16",17.53,18.08,17.35,18
"MU","9-28-16",18.16,18.16,17.15,17.44
"MU","9-29-16",17.45,17.775,17.345,17.54
"MU","9-30-16",17.75,18,17.575,17.78
"MU","10-3-16",17.99,18.02,17.6,17.73
"MU","10-4-16",17.98,18.04,17.66,17.8
"MU","10-5-16",17.55,18.331,17.28,17.7
"MU","10-6-16",17.64,17.885,17.535,17.73
"MU","10-7-16",17.72,17.8,17.3,17.61
"MU","10-10-16",17.72,17.835,17.49,17.5
"MU","10-11-16",17.4,17.47,16.53,16.86
"MU","10-12-16",16.88,17.04,16.6699,16.78
"MU","10-13-16",16.56,17,16.17,16.85
"MU","10-14-16",17.03,17.41,16.99,17.13
"MU","10-17-16",17.02,17.165,16.935,16.99
"MU","10-18-16",17.21,17.66,17.2,17.41
"MU","10-19-16",17,17.25,16.85,17.215
"MU","10-20-16",17.05,17.5,17.05,17.205
"MU","10-21-16",17,17.07,16.8,16.94
"MU","10-24-16",17.07,17.16,16.97,17.06
"MU","10-25-16",17.1,17.615,17.1,17.54
"MU","10-26-16",17.3,17.93,17.2,17.64
"MU","10-27-16",17.82,17.9,17.4,17.53
"MU","10-28-16",17.6,17.6741,17.1,17.2
"MU","10-31-16",17.54,17.76,17.16,17.16
"MU","11-1-16",17.2,17.41,16.58,16.98
"MU","11-2-16",16.95,17.015,16.5,16.68
"MU","11-3-16",16.66,16.81,16.56,16.62
"MU","11-4-16",16.46,17.02,16.45,16.68
"MU","11-7-16",17.02,17.43,17.0172,17.375
"MU","11-8-16",17.3,17.55,17.06,17.41
"MU","11-9-16",16.95,17.35,16.75,17.2
"MU","11-10-16",17.35,17.758,16.75,16.99
"MU","11-11-16",17.08,17.68,16.9,17.67
"MU","11-14-16",17.77,17.98,17.53,17.71
"MU","11-15-16",17.66,18.17,17.66,18.1
"MU","11-16-16",17.94,18.33,17.93,18.24
"MU","11-17-16",18.35,19.335,18.25,19.18
"MU","11-18-16",18.9,19.33,18.85,19.21
"MU","11-21-16",19.39,19.67,19.345,19.49
"MU","11-22-16",19.64,19.8,19.45,19.74
"MU","11-23-16",19.63,19.93,19.47,19.91
"MU","11-25-16",19.95,20.44,19.79,20.13
"MU","11-28-16",20.18,20.28,19.945,19.99
"MU","11-29-16",19.92,20.2,19.38,19.42
"MU","11-30-16",19.58,19.76,19.365,19.53
"MU","12-1-16",19.7,19.83,18.18,18.48
"MU","12-2-16",18.46,19.2,18.301,18.79
"MU","12-5-16",19,19,18.395,18.61
"MU","12-6-16",18.62,19.09,18.58,19.06
"MU","12-7-16",19.5,20.54,19.3,20.44
"MU","12-8-16",20.75,20.99,20.29,20.66
"MU","12-9-16",20.73,20.8486,20.1342,20.5
"MU","12-12-16",20.3,20.51,19.49,20.02
"MU","12-13-16",20.14,20.47,19.8,20.13
"MU","12-14-16",19.93,20.33,19.78,20.02
"MU","12-15-16",20.1,20.5,19.98,20.29
"MU","12-16-16",20.53,21,20.19,20.27
"MU","12-19-16",20.43,20.7,20.19,20.35
"MU","12-20-16",20.73,20.8,20.47,20.65
"MU","12-21-16",20.75,20.83,20.34,20.58
"MU","12-22-16",22.91,23.49,22.77,23.19
"MU","12-23-16",23.07,23.49,23.06,23.26
"MU","12-27-16",23.35,23.64,23.21,23.3
"MU","12-28-16",23.4,23.41,22.76,22.78
"MU","12-29-16",22.58,22.8,22.15,22.27
"MU","12-30-16",22.35,22.4,21.75,21.92
"MU","1-3-17",22.07,22.74,22.045,22.55
"MU","1-4-17",22.67,22.84,22.245,22.36
"MU","1-5-17",22.4,22.57,21.96,22.11
"MU","1-6-17",22.27,22.28,21.975,22.04
"MU","1-9-17",21.94,22.55,21.94,22.34
"MU","1-10-17",22.36,22.6861,22.3,22.48
"MU","1-11-17",22.61,22.88,22.56,22.79
"MU","1-12-17",22.46,22.48,21.7,22.31
"MU","1-13-17",22.27,22.31,21.985,22.18
"MU","1-17-17",21.88,22.0662,21.5839,21.74
"MU","1-18-17",21.68,22.34,21.53,22.32
"MU","1-19-17",21.5,22.3,21.49,21.71
"MU","1-20-17",21.9,22.33,21.89,21.96
"MU","1-23-17",21.96,22.31,21.74,21.89
"MU","1-24-17",22.27,23.085,22.26,22.85
"MU","1-25-17",23.4,23.98,23.19,23.56
"MU","1-26-17",23.8,23.99,23.29,23.52
"MU","1-27-17",23.53,24.1,23.45,23.97
"MU","1-30-17",23.82,24.24,23.43,24.18
"MU","1-31-17",23.95,24.1457,23.68,24.11
"MU","2-1-17",24.43,24.85,24.31,24.75
"MU","2-2-17",24.53,25.31,24.46,24.79
"MU","2-3-17",24.9,25.24,24.5,24.6
"MU","2-6-17",24.53,24.7287,24.21,24.34
"MU","2-7-17",24.59,24.69,24.21,24.6
"MU","2-8-17",24.25,24.375,23.91,24.21
"MU","2-9-17",24.75,24.89,24.42,24.45
"MU","2-10-17",24.71,24.76,23.9,24.05
"MU","2-13-17",24.07,24.2,23.82,23.9
"MU","2-14-17",23.36,23.37,22.68,23.12
"MU","2-15-17",23.07,23.26,22.79,23.02
"MU","2-16-17",23.04,23.34,22.85,22.98
"MU","2-17-17",23.01,23.38,23.01,23.35
"MU","2-21-17",23.62,23.98,23.58,23.77
"MU","2-22-17",23.86,24.06,23.65,23.75
"MU","2-23-17",23.92,23.97,23.225,23.48
"MU","2-24-17",22.96,23.26,22.64,23.24
"MU","2-27-17",23.36,23.77,23.15,23.76
"MU","2-28-17",23.79,23.95,23.315,23.44
"MU","3-1-17",24.16,24.58,24.07,24.55
"MU","3-2-17",24.88,25.25,24.375,24.7
"MU","3-3-17",25.2,25.68,24.98,25.57
"MU","3-6-17",25.5,25.92,25.17,25.71
"MU","3-7-17",25.56,25.75,25.28,25.64
"MU","3-8-17",25.64,25.83,25.04,25.38
"MU","3-9-17",25.23,25.49,24.85,25.15
"MU","3-10-17",25.275,25.75,24.81,25.18
"MU","3-13-17",25.39,25.82,25.29,25.7
"MU","3-14-17",25.59,25.7,25.25,25.58
"MU","3-15-17",25.15,26.15,24.935,26.12
"MU","3-16-17",26.2,26.23,25.83,26.04
"MU","3-17-17",25.86,25.91,25.4,25.8
"MU","3-20-17",25.99,26.61,25.81,26.21
"MU","3-21-17",26.3,26.44,25.43,25.52
"MU","3-22-17",25.73,26.15,25.63,26.06
"MU","3-23-17",26.36,26.49,26.04,26.47
"MU","3-24-17",29.71,29.87,28.1601,28.43
"MU","3-27-17",28.1,29.18,28.07,28.76
"MU","3-28-17",28.73,29.06,28.62,28.69
"MU","3-29-17",28.6,28.68,28.35,28.5
"MU","3-30-17",28.4,29,28.33,28.97
"MU","3-31-17",29.1,29.36,28.9,28.9
"MU","4-3-17",28.95,29.04,28.3,28.64
"MU","4-4-17",28.47,28.68,28.16,28.59
"MU","4-5-17",28.64,28.905,28.23,28.26
"MU","4-6-17",28.25,28.78,28.02,28.62
"MU","4-7-17",28.45,28.855,28.35,28.52
"MU","4-10-17",28.45,28.49,27.58,27.64
"MU","4-11-17",27.5,27.54,26.6808,27.18
"MU","4-12-17",27.42,27.43,26.655,26.69
"MU","4-13-17",26.55,27.23,26.3601,26.74
"MU","4-17-17",26.91,27.22,26.83,27.13
"MU","4-18-17",27,27.34,26.9,27.14
"MU","4-19-17",27.45,27.55,27.05,27.26
"MU","4-20-17",27.5,28.08,27.5,27.96
"MU","4-21-17",28,28.03,27.16,27.32
"MU","4-24-17",27.74,27.76,26.52,26.57
"MU","4-25-17",26.71,27.02,26.365,26.99
"MU","4-26-17",26.58,27.07,26.3938,26.79
"MU","4-27-17",27.17,27.65,27.095,27.63
"MU","4-28-17",28.02,28.2,27.51,27.67
"MU","5-1-17",27.85,28.38,27.72,28.29
"MU","5-2-17",28.28,28.28,27.45,27.77
"MU","5-3-17",27.55,28.1,27.55,28
"MU","5-4-17",27.94,28.165,27.72,27.79
"MU","5-5-17",27.8,28.22,27.62,28.2
"MU","5-8-17",27.56,28.07,27.28,28.06
"MU","5-9-17",28.11,28.9,28.06,28.81
"MU","5-10-17",28.92,29.415,28.8,29.32
"MU","5-11-17",29.17,29.31,28.69,29.03
"MU","5-12-17",29.1,29.12,28.68,28.93
