"Ticker","Date","Open","High","Low","Close"
"MXIM","9-19-16",39.08,39.4,38.59,38.68
"MXIM","9-20-16",38.95,39.105,38.56,38.66
"MXIM","9-21-16",38.8,38.92,38.43,38.82
"MXIM","9-22-16",39.06,39.28,38.76,39.25
"MXIM","9-23-16",39.18,39.36,38.74,39
"MXIM","9-26-16",38.84,38.925,38.54,38.65
"MXIM","9-27-16",38.54,39.31,38.34,39.23
"MXIM","9-28-16",39.37,39.53,39.12,39.29
"MXIM","9-29-16",39.22,39.75,38.73,39.49
"MXIM","9-30-16",39.7,40.18,39.57,39.93
"MXIM","10-3-16",40.02,40.21,39.71,39.76
"MXIM","10-4-16",39.86,40.11,39.47,39.63
"MXIM","10-5-16",39.81,40.175,39.75,39.75
"MXIM","10-6-16",39.57,40.11,39.51,40.07
"MXIM","10-7-16",40.12,40.24,39.696,40.2
"MXIM","10-10-16",40.2,40.345,38.62,38.67
"MXIM","10-11-16",38.25,38.58,37.51,38.06
"MXIM","10-12-16",37.99,38.17,37.59,37.87
"MXIM","10-13-16",37.59,37.75,37.25,37.58
"MXIM","10-14-16",37.82,38.53,37.79,38.2
"MXIM","10-17-16",38.14,38.55,38.06,38.2
"MXIM","10-18-16",38.57,39.24,38.39,38.9
"MXIM","10-19-16",38.68,39.19,38.55,39.11
"MXIM","10-20-16",39.12,39.45,38.95,39.1
"MXIM","10-21-16",40.93,40.93,38.97,39.83
"MXIM","10-24-16",40,40.39,39.93,40.37
"MXIM","10-25-16",40.38,40.52,39.94,40.03
"MXIM","10-26-16",39.84,40,39.71,39.9
"MXIM","10-27-16",40.03,40.09,39.5,39.62
"MXIM","10-28-16",39.6,39.98,39.4,39.43
"MXIM","10-31-16",39.54,39.9,39.52,39.63
"MXIM","11-1-16",39.79,39.9299,39.07,39.42
"MXIM","11-2-16",39.53,39.62,39.09,39.2
"MXIM","11-3-16",39.22,39.78,39.04,39.18
"MXIM","11-4-16",38.83,39.31,38.762,38.95
"MXIM","11-7-16",39.43,39.82,39.3,39.79
"MXIM","11-8-16",39.79,40.05,39.56,39.7
"MXIM","11-9-16",38.74,39.705,38.5,39.51
"MXIM","11-10-16",39.67,39.955,38.42,38.76
"MXIM","11-11-16",38.85,39.13,38.64,38.94
"MXIM","11-14-16",39,39.14,38.565,38.89
"MXIM","11-15-16",38.9,39.47,38.83,39.41
"MXIM","11-16-16",39.2,39.9,39.2,39.79
"MXIM","11-17-16",39.63,39.91,39.45,39.74
"MXIM","11-18-16",39.6,40.49,39.6,40.09
"MXIM","11-21-16",39.96,40.39,39.74,40.32
"MXIM","11-22-16",40.5,40.935,40.02,40.07
"MXIM","11-23-16",40.12,40.3,39.85,39.96
"MXIM","11-25-16",39.93,40.25,39.79,40.2
"MXIM","11-28-16",40.01,40.385,39.72,39.93
"MXIM","11-29-16",39.5,39.92,39.251,39.75
"MXIM","11-30-16",40.09,40.09,39.2,39.27
"MXIM","12-1-16",39.19,39.84,37.6,37.77
"MXIM","12-2-16",37.76,38.16,37.32,37.87
"MXIM","12-5-16",38.07,38.37,37.885,38.24
"MXIM","12-6-16",38.41,38.75,38.36,38.57
"MXIM","12-7-16",38.57,39.53,38.445,39.37
"MXIM","12-8-16",39.42,39.78,39.36,39.44
"MXIM","12-9-16",39.54,39.83,39.08,39.15
"MXIM","12-12-16",38.97,39.125,38.365,38.73
"MXIM","12-13-16",38.77,39.21,38.64,38.94
"MXIM","12-14-16",39.01,39.24,38.55,38.64
"MXIM","12-15-16",38.99,39.39,38.71,39.23
"MXIM","12-16-16",39.25,39.32,38.68,38.83
"MXIM","12-19-16",38.84,39.16,38.785,39.06
"MXIM","12-20-16",39.07,39.36,38.99,39.25
"MXIM","12-21-16",39.17,39.49,39.12,39.18
"MXIM","12-22-16",39.36,39.4,38.9,39.16
"MXIM","12-23-16",39.02,39.34,38.94,39.26
"MXIM","12-27-16",39.32,39.74,39.28,39.4
"MXIM","12-28-16",39.51,39.59,38.945,38.96
"MXIM","12-29-16",38.84,39.2,38.84,39.02
"MXIM","12-30-16",39.14,39.165,38.45,38.57
"MXIM","1-3-17",38.7,39.08,38.325,38.62
"MXIM","1-4-17",38.64,39.04,38.49,39.03
"MXIM","1-5-17",39.09,39.14,38.35,38.44
"MXIM","1-6-17",38.45,39.84,38.18,39.74
"MXIM","1-9-17",39.74,40.71,39.58,40.65
"MXIM","1-10-17",40.68,41.03,40.461,40.89
"MXIM","1-11-17",40.84,40.86,40.52,40.7
"MXIM","1-12-17",40.65,40.65,39.75,40.47
"MXIM","1-13-17",40.56,41.83,40.4401,41.47
"MXIM","1-17-17",41.28,41.3364,40.635,40.73
"MXIM","1-18-17",40.76,41.3801,40.71,41.22
