"Ticker","Date","Open","High","Low","Close"
"NKE","9-19-16",55.38,55.47,54.93,54.95
"NKE","9-20-16",55.26,55.44,54.76,54.87
"NKE","9-21-16",55.02,55.38,54.61,55.34
"NKE","9-22-16",55.47,55.98,55.24,55.41
"NKE","9-23-16",55.02,55.71,54.91,55.15
"NKE","9-26-16",54.8,55,54.075,54.4
"NKE","9-27-16",54.25,55.54,53.9,55.34
"NKE","9-28-16",54.6,54.9965,52.8,53.25
"NKE","9-29-16",52.92,53.58,52.12,52.16
"NKE","9-30-16",52.57,53.06,52.28,52.65
"NKE","10-3-16",52.54,53,52.42,52.67
"NKE","10-4-16",52.9,53.06,52.08,52.14
"NKE","10-5-16",52.15,52.64,52.1,52.12
"NKE","10-6-16",52.2,52.33,51.97,52.03
"NKE","10-7-16",52.42,52.46,51.68,51.79
"NKE","10-10-16",52.13,52.25,51.77,51.79
"NKE","10-11-16",51.95,52.25,51.52,51.82
"NKE","10-12-16",52.01,52.71,51.8,52.44
"NKE","10-13-16",52.12,52.32,51.5,52.03
"NKE","10-14-16",52.38,52.5,51.62,51.62
"NKE","10-17-16",51.65,51.75,50.96,51.03
"NKE","10-18-16",51.3,51.66,51.19,51.22
"NKE","10-19-16",51.34,51.84,51.14,51.8
"NKE","10-20-16",51.77,52.36,51.69,51.89
"NKE","10-21-16",51.74,51.87,51.25,51.77
"NKE","10-24-16",52.16,52.29,51.83,51.87
"NKE","10-25-16",50.97,51.44,50.71,51.05
"NKE","10-26-16",50.95,52.27,50.9,51.97
"NKE","10-27-16",52.34,52.34,51.69,51.89
"NKE","10-28-16",52.12,52.5,51.79,52.02
"NKE","10-31-16",50.88,51.15,50,50.18
"NKE","11-1-16",50.5,50.51,49.14,49.62
"NKE","11-2-16",49.24,50.27,49.01,49.72
"NKE","11-3-16",49.98,50,49.31,49.73
"NKE","11-4-16",49.8,50.45,49.76,49.96
"NKE","11-7-16",50.48,50.93,50.28,50.91
"NKE","11-8-16",51.1,51.49,50.953,51.08
"NKE","11-9-16",50.07,51.27,49.8,51.12
"NKE","11-10-16",51.29,51.37,50.33,50.39
"NKE","11-11-16",50.22,50.85,50.18,50.77
"NKE","11-14-16",51.18,51.19,50.21,50.21
"NKE","11-15-16",50.46,50.64,49.75,50.13
"NKE","11-16-16",50,50.8,49.95,50.68
"NKE","11-17-16",50.94,51.6725,50.72,51.59
"NKE","11-18-16",51.39,51.89,50.96,51.1
"NKE","11-21-16",51,51.42,50.9527,51.28
"NKE","11-22-16",51.47,51.75,51.05,51.71
"NKE","11-23-16",51.71,51.85,51.2,51.34
"NKE","11-25-16",51.68,51.74,51.35,51.52
"NKE","11-28-16",51.44,51.44,50.61,51.01
"NKE","11-29-16",51.2,51.37,50.57,50.63
"NKE","11-30-16",50.52,50.81,50.07,50.07
"NKE","12-1-16",50.11,51.25,50.06,50.65
"NKE","12-2-16",50.26,50.68,50.105,50.46
"NKE","12-5-16",50.8,52.27,50.7,51.85
"NKE","12-6-16",50.83,51.1,50.26,50.57
"NKE","12-7-16",50.79,52.25,50.5968,52.1
"NKE","12-8-16",52.15,52.47,51.45,51.55
"NKE","12-9-16",51.76,51.9699,51.5,51.72
"NKE","12-12-16",51.5,51.9,50.94,51.54
"NKE","12-13-16",51.83,53.215,51.83,52.3
"NKE","12-14-16",52.24,52.34,51.59,51.79
"NKE","12-15-16",52,52.04,51.09,51.29
"NKE","12-16-16",51.6,51.64,50.67,50.92
"NKE","12-19-16",50.91,51.36,50.48,50.85
"NKE","12-20-16",51.06,51.99,50.75,51.79
"NKE","12-21-16",52.9,53.35,51.55,52.3
"NKE","12-22-16",52.8,53,52.0255,52.14
"NKE","12-23-16",51.99,52.35,51.67,51.91
"NKE","12-27-16",51.8,52.25,51.2,51.29
"NKE","12-28-16",51.31,51.5,50.87,51.02
"NKE","12-29-16",51,51.24,50.88,51.06
"NKE","12-30-16",51.1,51.33,50.7,50.83
"NKE","1-3-17",51.99,52.5,51.77,51.98
"NKE","1-4-17",52.23,53.345,52.09,53.07
"NKE","1-5-17",52.92,53.1,52.44,53.06
"NKE","1-6-17",53.09,54.09,52.98,53.91
"NKE","1-9-17",53.96,53.99,53.215,53.38
"NKE","1-10-17",53.55,53.7301,53.11,53.11
"NKE","1-11-17",53.12,53.29,52.665,52.69
"NKE","1-12-17",52.51,52.69,52.16,52.4
"NKE","1-13-17",52.59,52.93,52.23,52.92
"NKE","1-17-17",53.4,53.95,53.01,53.65
"NKE","1-18-17",53.86,53.89,52.86,53.27
"NKE","1-19-17",53.84,53.94,52.89,52.93
"NKE","1-20-17",53.22,53.352,52.9,53.2
"NKE","1-23-17",53.02,53.26,52.7247,53.24
"NKE","1-24-17",53.02,53.57,52.99,53.45
"NKE","1-25-17",53.73,54.12,53.69,53.86
"NKE","1-26-17",54.11,54.12,53.36,53.65
"NKE","1-27-17",53.68,54.08,53.03,53.19
"NKE","1-30-17",52.78,53.22,52.41,53.08
"NKE","1-31-17",51.68,52.9,51.63,52.9
"NKE","2-1-17",52.98,53.26,52.61,53.02
"NKE","2-2-17",53,53.01,52.4801,52.8
"NKE","2-3-17",52.62,52.805,52.25,52.36
"NKE","2-6-17",52.09,52.8,52.05,52.8
