"Ticker","Date","Open","High","Low","Close"
"ORLY","9-19-16",273.04,276.06,273.04,275.46
"ORLY","9-20-16",276.4,278.22,274.53,275.15
"ORLY","9-21-16",280,280,274.99,279.55
"ORLY","9-22-16",280.51,285.6,279.65,283.59
"ORLY","9-23-16",281.83,283.46,279.581,281.77
"ORLY","9-26-16",281.03,283.7,280.03,281.96
"ORLY","9-27-16",283.28,285.67,281.89,284.54
"ORLY","9-28-16",284.42,284.57,281.32,281.97
"ORLY","9-29-16",282.13,283.62,278.7601,278.9
"ORLY","9-30-16",279.84,281.23,278.9,280.11
"ORLY","10-3-16",279.43,279.99,275.85,276.08
"ORLY","10-4-16",276.35,277.94,273.56,274.37
"ORLY","10-5-16",275.39,276.55,274.61,274.86
"ORLY","10-6-16",274.43,277.78,273.11,277.56
"ORLY","10-7-16",278.62,278.62,274.64,275.38
"ORLY","10-10-16",275.8,278.49,275.6887,277.73
"ORLY","10-11-16",277.19,277.19,274.27,274.59
"ORLY","10-12-16",273.94,276.938,273.91,276.26
"ORLY","10-13-16",275.27,279.01,274.57,278.89
"ORLY","10-14-16",280.1,283.205,279.12,279.32
"ORLY","10-17-16",279.07,280.41,277.76,277.97
"ORLY","10-18-16",279.84,281.11,276.32,278.07
"ORLY","10-19-16",276.01,281.48,273.55,278.06
"ORLY","10-20-16",277.36,279.79,273.65,273.88
"ORLY","10-21-16",272.78,276.25,271.8,275.56
"ORLY","10-24-16",277.92,279.53,277.25,279.29
"ORLY","10-25-16",278.03,280.39,277.2,280.27
"ORLY","10-26-16",279.95,279.95,276.86,277.16
"ORLY","10-27-16",270,273.52,251.62,253
"ORLY","10-28-16",253.02,264.26,253.02,263.5
"ORLY","10-31-16",263.68,265.25,261.34,264.44
"ORLY","11-1-16",263.9,265.93,262.45,264.24
"ORLY","11-2-16",264.09,265.97,262.55,262.7
"ORLY","11-3-16",262.71,264.49,261.22,261.84
"ORLY","11-4-16",259.67,263.98,259.67,261.2
"ORLY","11-7-16",264.75,264.87,258.995,259.61
"ORLY","11-8-16",259.36,261.86,258.33,259.58
"ORLY","11-9-16",254.28,265.19,250.069,264.15
"ORLY","11-10-16",264,266.44,261.08,262.54
"ORLY","11-11-16",261.43,264.51,261.05,262.79
"ORLY","11-14-16",263.16,264.17,261.035,262.14
"ORLY","11-15-16",267.89,269.21,263.41,268.05
"ORLY","11-16-16",267.14,269.98,265.56,269.9
"ORLY","11-17-16",268.38,272.29,267.95,270.99
"ORLY","11-18-16",269.75,272.19,264.92,265.74
