"Ticker","Date","Open","High","Low","Close"
"PAYX","9-19-16",58.53,58.99,58.4,58.61
"PAYX","9-20-16",58.96,59.52,58.77,59.22
"PAYX","9-21-16",59.25,59.8,59.0164,59.68
"PAYX","9-22-16",60.01,60.48,59.93,60.37
"PAYX","9-23-16",60.33,60.7,59.91,59.91
"PAYX","9-26-16",59.64,59.96,59.59,59.68
"PAYX","9-27-16",59.79,60.36,59.7,60.27
"PAYX","9-28-16",58.88,59,57.01,57.5
"PAYX","9-29-16",57.5,57.81,57.14,57.16
"PAYX","9-30-16",57.43,58.12,57.2111,57.87
"PAYX","10-3-16",57.48,57.781,57.11,57.46
"PAYX","10-4-16",57.47,57.76,56.78,57.06
"PAYX","10-5-16",57.28,57.32,56.28,56.8
"PAYX","10-6-16",56.68,56.9,56.4,56.74
"PAYX","10-7-16",56.93,56.97,56.16,56.52
"PAYX","10-10-16",56.65,57.08,56.52,56.67
"PAYX","10-11-16",56.59,56.62,55.75,56.03
"PAYX","10-12-16",56.05,56.369,55.89,56.17
"PAYX","10-13-16",55.77,56.32,55.59,56.24
"PAYX","10-14-16",56.47,56.79,56.2,56.2
"PAYX","10-17-16",56.11,56.21,55.43,55.74
"PAYX","10-18-16",56.23,56.62,55.8031,56.14
"PAYX","10-19-16",56.2,56.42,55.96,56.32
"PAYX","10-20-16",56.28,56.56,55.875,56.24
"PAYX","10-21-16",55.97,56.06,55.33,56
"PAYX","10-24-16",56.27,56.52,56.01,56.17
"PAYX","10-25-16",56.22,56.5,55.8,55.84
"PAYX","10-26-16",55.72,55.89,55.21,55.57
"PAYX","10-27-16",55.67,56.06,55.12,55.25
"PAYX","10-28-16",54.92,55.42,54.75,55.05
"PAYX","10-31-16",55.17,55.31,54.81,55.2
"PAYX","11-1-16",55.34,55.5,54.17,54.27
"PAYX","11-2-16",54.38,54.8,54.27,54.34
"PAYX","11-3-16",54.34,54.48,53.47,53.83
"PAYX","11-4-16",53.44,54.05,53.43,53.65
"PAYX","11-7-16",54.49,54.84,54.13,54.47
"PAYX","11-8-16",54.27,54.581,54.12,54.19
"PAYX","11-9-16",52.9,55.24,52.7767,55.18
"PAYX","11-10-16",55.24,56.24,54.62,56
"PAYX","11-11-16",55.78,56.77,55.67,56.68
"PAYX","11-14-16",56.85,56.97,56.23,56.3
"PAYX","11-15-16",56.45,56.74,55.47,55.68
"PAYX","11-16-16",55.61,55.87,55.37,55.76
"PAYX","11-17-16",55.8,56.1,55.42,55.92
"PAYX","11-18-16",55.85,56.17,55.78,55.93
"PAYX","11-21-16",56.01,57.16,55.92,57.14
"PAYX","11-22-16",57.31,57.73,57.05,57.5
"PAYX","11-23-16",57.53,58.08,57.09,58.05
"PAYX","11-25-16",58.04,58.36,57.86,57.98
"PAYX","11-28-16",57.79,58.19,57.48,57.99
"PAYX","11-29-16",57.91,59.66,57.82,59.46
"PAYX","11-30-16",59.51,59.68,58.95,58.95
"PAYX","12-1-16",58.95,59.24,58.52,58.68
"PAYX","12-2-16",58.59,58.99,58.23,58.34
"PAYX","12-5-16",58.65,58.89,58.31,58.83
"PAYX","12-6-16",58.98,59.02,58.295,58.67
"PAYX","12-7-16",58.7,60.45,58.5814,60.24
"PAYX","12-8-16",60.29,60.45,59.84,60.27
"PAYX","12-9-16",60.02,60.465,59.7981,60.16
"PAYX","12-12-16",59.97,60.33,59.86,60.19
"PAYX","12-13-16",60.14,60.66,60.03,60.25
"PAYX","12-14-16",60.38,61.2,60.25,60.48
"PAYX","12-15-16",60.43,61.03,60.18,60.74
"PAYX","12-16-16",61.76,61.97,61.01,61.24
"PAYX","12-19-16",61.53,62.04,61.29,61.55
"PAYX","12-20-16",61.89,62.14,61.487,61.93
"PAYX","12-21-16",61.71,61.86,60.26,61.39
