"Ticker","Date","Open","High","Low","Close"
"PCAR","9-19-16",51.96,52.33,51.5499,51.68
"PCAR","9-20-16",52.12,52.51,51.89,52.28
"PCAR","9-21-16",52.4,52.92,52.25,52.78
"PCAR","9-22-16",53.33,53.77,53,53.45
"PCAR","9-23-16",53.42,53.65,52.1,52.93
"PCAR","9-26-16",52.57,52.83,52.14,52.19
"PCAR","9-27-16",52.1,52.44,51.77,52.38
"PCAR","9-28-16",52.49,53.55,52.49,53.51
"PCAR","9-29-16",53.38,53.875,52.79,52.89
"PCAR","9-30-16",53.4,54.3,52.99,53.78
"PCAR","10-3-16",53.48,53.92,53.36,53.77
"PCAR","10-4-16",53.76,54.83,53.675,54.09
"PCAR","10-5-16",54.24,55,53.7,54.82
"PCAR","10-6-16",54.8,54.83,54.35,54.76
"PCAR","10-7-16",54.95,55.21,53.745,54.03
"PCAR","10-10-16",54.35,54.5,53.42,53.51
"PCAR","10-11-16",53.44,53.6089,52.165,52.43
"PCAR","10-12-16",52.35,53.05,51.58,52.45
"PCAR","10-13-16",51.84,52.02,51.29,51.69
"PCAR","10-14-16",52.04,52.41,51.68,51.82
"PCAR","10-17-16",51.89,52.19,51.75,51.81
"PCAR","10-18-16",52.46,52.7,51.79,51.92
"PCAR","10-19-16",51.45,52.18,51.35,51.95
"PCAR","10-20-16",51.94,51.94,50.93,51.63
"PCAR","10-21-16",50.93,51.69,50.32,51.49
"PCAR","10-24-16",51.88,52.54,51.33,51.34
"PCAR","10-25-16",50.01,51.78,49.25,49.8
"PCAR","10-26-16",49.56,50.495,49.04,50.26
"PCAR","10-27-16",50.42,50.56,49.52,50.28
"PCAR","10-28-16",50.34,50.82,50.104,50.39
"PCAR","10-31-16",50.61,50.85,49.88,49.92
"PCAR","11-1-16",50.03,50.5413,49.11,49.6
"PCAR","11-2-16",49.59,50.16,49.35,49.53
"PCAR","11-3-16",49.62,49.95,49,49.14
"PCAR","11-4-16",48.62,50.15,48.62,49.52
"PCAR","11-7-16",50.44,50.885,50.1627,50.76
"PCAR","11-8-16",50.66,50.88,49.81,50.56
"PCAR","11-9-16",48.38,53.25,48.38,52.96
"PCAR","11-10-16",53.12,55.4,53.12,55.33
"PCAR","11-11-16",54.9,55.44,53.38,54.17
"PCAR","11-14-16",54.33,54.89,53.73,54.55
"PCAR","11-15-16",54.48,55.695,54.19,55.63
"PCAR","11-16-16",55.39,55.41,54.79,55.3
"PCAR","11-17-16",54.98,55.37,54.86,55.02
"PCAR","11-18-16",54.8,55.12,54.61,54.78
"PCAR","11-21-16",55.04,55.52,54.89,55.14
"PCAR","11-22-16",55.38,55.84,55.15,55.75
"PCAR","11-23-16",55.92,57.22,55.63,56.98
"PCAR","11-25-16",57.19,57.19,56.38,57
"PCAR","11-28-16",56.88,57,55.935,56
"PCAR","11-29-16",55.93,56.4599,55.4897,56.27
"PCAR","11-30-16",56.69,57.62,56.35,57.15
"PCAR","12-1-16",53.78,58.3,53.78,58.04
"PCAR","12-2-16",57.77,58.31,57.08,58.1
"PCAR","12-5-16",58.91,60.5,58.65,60.41
"PCAR","12-6-16",60.1,60.5,59.04,59.43
"PCAR","12-7-16",59.71,62.97,59.25,62.63
"PCAR","12-8-16",62.42,63.41,62.03,63.07
"PCAR","12-9-16",63.5,63.5,62.07,62.68
"PCAR","12-12-16",62.67,63.02,61.75,62.1
"PCAR","12-13-16",62.44,62.74,61.78,62.17
"PCAR","12-14-16",61.37,61.9,60.5,60.71
"PCAR","12-15-16",60.72,61.25,60.135,60.37
"PCAR","12-16-16",60.66,60.94,59.99,60.1
"PCAR","12-19-16",59.94,60.8,59.8,60.21
"PCAR","12-20-16",60.27,60.84,60.01,60.7
"PCAR","12-21-16",60.68,61.02,60.14,60.36
"PCAR","12-22-16",60.35,60.37,59.77,60.14
"PCAR","12-23-16",60.18,60.83,60.01,60.43
"PCAR","12-27-16",60.54,61.01,60.36,60.63
"PCAR","12-28-16",60.87,60.975,59.82,59.96
"PCAR","12-29-16",59.97,60.3,59.32,59.37
"PCAR","12-30-16",59.54,59.96,58.77,58.9
"PCAR","1-3-17",59.62,60.93,59.61,60.32
"PCAR","1-4-17",60.7,61.39,60.65,61.22
"PCAR","1-5-17",60.9,61.23,59.97,60.14
"PCAR","1-6-17",60.55,61.35,59.95,60.88
"PCAR","1-9-17",60.75,60.99,59.76,60.07
"PCAR","1-10-17",60.27,61.31,60.11,61.25
"PCAR","1-11-17",61.25,61.82,61.02,61.8
"PCAR","1-12-17",61.8,61.8,60.69,61.33
"PCAR","1-13-17",62.07,62.65,61.775,62.52
"PCAR","1-17-17",62,62.46,61.61,61.92
"PCAR","1-18-17",61.9,61.91,61.18,61.31
"PCAR","1-19-17",61.54,61.7,60.48,60.74
"PCAR","1-20-17",61,61.31,60.42,61
"PCAR","1-23-17",60.99,61,60.23,60.47
"PCAR","1-24-17",60.65,61.91,60.65,61.7
"PCAR","1-25-17",62,63.69,61.82,63.4
"PCAR","1-26-17",63.28,63.44,62.7247,63.08
"PCAR","1-27-17",63.17,63.19,62.13,62.59
"PCAR","1-30-17",62.36,62.75,61.4,62.62
"PCAR","1-31-17",60.92,63.64,59.96,62.31
"PCAR","2-1-17",62.64,64.8,62.37,63.63
"PCAR","2-2-17",63.24,63.97,62.38,62.59
"PCAR","2-3-17",62.32,63.87,62.32,63.49
"PCAR","2-6-17",63.05,63.57,62.57,63.07
"PCAR","2-7-17",63.07,63.59,62.53,62.63
"PCAR","2-8-17",62.58,62.58,61.67,61.84
"PCAR","2-9-17",62,63.32,61.7,63.19
"PCAR","2-10-17",63.21,63.87,62.88,63.73
"PCAR","2-13-17",64,64.89,63.94,64.87
"PCAR","2-14-17",64.74,65.12,64.53,65.07
"PCAR","2-15-17",64.68,65.07,64.27,64.8
"PCAR","2-16-17",64.88,64.92,63.445,63.72
"PCAR","2-17-17",63.5,63.88,62.65,63.85
"PCAR","2-21-17",63.93,64.18,63.38,63.77
"PCAR","2-22-17",63.4,63.54,62.71,63.04
"PCAR","2-23-17",63.34,63.49,62.11,62.44
"PCAR","2-24-17",62.4,62.58,61.66,62.42
"PCAR","2-27-17",62.31,62.69,62.01,62.61
"PCAR","2-28-17",62.53,62.65,61.65,61.81
"PCAR","3-1-17",62.91,64.51,62.49,64.19
"PCAR","3-2-17",63.94,63.98,62.28,62.38
"PCAR","3-3-17",62.58,63.715,62.41,63.63
"PCAR","3-6-17",63.23,63.76,62.51,63.27
"PCAR","3-7-17",62.91,63.63,62.52,62.57
"PCAR","3-8-17",62.73,62.9731,62.11,62.31
"PCAR","3-9-17",62.02,62.4696,61.23,61.72
"PCAR","3-10-17",62.37,62.85,62.03,62.71
"PCAR","3-13-17",62.76,63.16,62.71,62.87
"PCAR","3-14-17",62.67,62.67,61.64,62.35
"PCAR","3-15-17",62.81,64.13,62.75,63.87
"PCAR","3-16-17",63.95,64.205,63.69,63.89
"PCAR","3-17-17",64.18,64.61,63.8,64.52
"PCAR","3-20-17",64.44,64.6,63.79,64.11
"PCAR","3-21-17",64.24,64.43,62.35,62.65
"PCAR","3-22-17",62.52,62.9,62.055,62.53
"PCAR","3-23-17",62.55,62.865,62.04,62.59
"PCAR","3-24-17",62.74,63.065,62.29,62.62
"PCAR","3-27-17",61.99,62.25,60.76,61.49
"PCAR","3-28-17",61.37,62.37,61.25,62.09
"PCAR","3-29-17",61.9,62.9377,61.8903,62.65
"PCAR","3-30-17",62.36,62.83,62.2,62.64
"PCAR","3-31-17",62.29,62.79,62.03,62.2
"PCAR","4-3-17",62.31,62.34,60.84,61.84
"PCAR","4-4-17",61.62,61.96,61.28,61.62
"PCAR","4-5-17",61.95,63.12,61.67,61.75
"PCAR","4-6-17",61.92,62.38,61.7,62.16
"PCAR","4-7-17",62.08,62.79,61.83,62.16
"PCAR","4-10-17",61.98,63.03,61.581,62.65
"PCAR","4-11-17",62.33,62.6703,61.65,62.53
"PCAR","4-12-17",62.46,62.52,60.55,60.65
"PCAR","4-13-17",60.62,60.96,59.59,59.63
"PCAR","4-17-17",59.98,60.39,59.43,60.34
"PCAR","4-18-17",59.26,59.98,59.01,59.2
"PCAR","4-19-17",59.55,60,59.3,59.56
"PCAR","4-20-17",60,61.08,59.49,60.88
"PCAR","4-21-17",61.09,61.4,60.44,60.76
"PCAR","4-24-17",62.26,63.11,62.1,62.73
"PCAR","4-25-17",61.35,62.21,60,60.76
"PCAR","4-26-17",60.71,61.59,60.14,60.34
"PCAR","4-27-17",60.4,61.44,59.99,61.41
"PCAR","4-28-17",61.5,61.945,60.78,61.73
"PCAR","5-1-17",61.97,61.97,60.92,61.18
"PCAR","5-2-17",62.33,63.16,62.07,63.06
"PCAR","5-3-17",64.17,64.17,62.08,62.36
"PCAR","5-4-17",62.46,62.88,61.4,61.9
"PCAR","5-5-17",62,62.42,61.6,62.04
"PCAR","5-8-17",62.05,62.08,60.825,61.32
"PCAR","5-9-17",61.25,61.59,61.03,61.29
"PCAR","5-10-17",61.08,61.41,60.69,60.97
"PCAR","5-11-17",59.35,59.89,58.51,59.37
"PCAR","5-12-17",59.14,59.23,58.12,58.37
"PCAR","5-15-17",58.39,58.9,58.36,58.78
"PCAR","5-16-17",59.02,59.46,58.57,59.44
"PCAR","5-17-17",58.67,58.96,58.25,58.38
"PCAR","5-18-17",58.04,58.26,57.094,57.33
"PCAR","5-19-17",57.42,58.275,57.33,57.83
"PCAR","5-22-17",58.06,58.38,57.72,57.88
"PCAR","5-23-17",58.07,58.1,57.28,57.81
"PCAR","5-24-17",57.95,58.01,57.23,57.69
"PCAR","5-25-17",57.77,58.12,57.15,57.69
"PCAR","5-26-17",57.69,58,57.44,57.63
"PCAR","5-30-17",57.52,57.91,57.39,57.64
"PCAR","5-31-17",57.81,57.98,57.01,57.96
"PCAR","6-1-17",58.16,59.04,57.646,58.69
"PCAR","6-2-17",58.66,59.43,57.97,58.15
"PCAR","6-5-17",57.92,58,56.93,57.32
"PCAR","6-6-17",59.35,60.14,58.58,59.12
"PCAR","6-7-17",59.21,59.51,57.87,58.45
"PCAR","6-8-17",58.6,59.27,58.41,58.97
"PCAR","6-9-17",59.01,59.47,58.82,59.01
"PCAR","6-12-17",58.72,59.93,58.72,59.57
"PCAR","6-13-17",59.73,59.9375,59.2,59.33
"PCAR","6-14-17",59.13,59.765,58.47,58.89
"PCAR","6-15-17",59.49,60.25,59.15,60.11
"PCAR","6-16-17",60.03,60.23,59.45,60.21
"PCAR","6-19-17",60.45,60.45,59.8,60.19
"PCAR","6-20-17",59.98,60.01,58.97,58.99
"PCAR","6-21-17",58.92,58.94,57.585,57.75
"PCAR","6-22-17",57.56,58.09,57.32,57.75
"PCAR","6-23-17",57.77,58.17,57.49,57.51
"PCAR","6-26-17",57.77,58.32,57.5751,58.19
"PCAR","6-27-17",58.11,58.77,57.78,57.8
"PCAR","6-28-17",58.05,60.505,57.97,60.36
"PCAR","6-29-17",60.35,60.97,59.6893,60.31
"PCAR","6-30-17",61.13,61.395,60.38,61.04
"PCAR","7-3-17",61.41,61.41,62,62
"PCAR","7-5-17",62.17,62.35,60.84,61.39
"PCAR","7-6-17",61.42,63,61.32,62.2
"PCAR","7-7-17",62.43,63.11,61.845,62.62
"PCAR","7-10-17",62.46,63.94,62.4,63.48
"PCAR","7-11-17",63.4,63.87,63.03,63.52
"PCAR","7-12-17",64.16,64.56,63.48,63.52
"PCAR","7-13-17",63.64,63.81,63.08,63.26
"PCAR","7-14-17",62.87,63.87,62.82,63.65
"PCAR","7-17-17",63.65,63.88,63.14,63.23
"PCAR","7-18-17",63.1,63.51,62.88,63.45
"PCAR","7-19-17",63.07,63.625,62.76,63.53
"PCAR","7-20-17",63.78,64.36,63.17,63.55
"PCAR","7-21-17",63.25,64.04,63.13,63.87
"PCAR","7-24-17",64.07,64.42,63.61,64.14
"PCAR","7-25-17",65,65.32,62.25,63.64
"PCAR","7-26-17",63.72,64.36,63.37,63.56
"PCAR","7-27-17",63.27,63.73,62.66,63.16
"PCAR","7-28-17",62.9,63.42,62.68,63.18
"PCAR","7-31-17",63.48,64.01,63.2,63.45
"PCAR","8-1-17",63.69,63.69,61.5,62.04
"PCAR","8-2-17",61.66,62.48,61.44,62.44
"PCAR","8-3-17",62.58,63.35,62.28,62.61
"PCAR","8-4-17",62.85,63.76,62.83,63.58
"PCAR","8-7-17",63.47,63.89,63.19,63.55
"PCAR","8-8-17",63.33,64.04,62.81,62.9
"PCAR","8-9-17",62.75,63,62.03,62.21
"PCAR","8-10-17",61.53,61.8983,60.17,60.21
"PCAR","8-11-17",60.46,60.46,59.76,59.81
"PCAR","8-14-17",60.15,60.52,59.825,60.21
"PCAR","8-15-17",60.46,60.59,59.66,59.87
"PCAR","8-16-17",60.1,60.36,59.34,59.43
"PCAR","8-17-17",59.16,59.16,58.01,58.15
"PCAR","8-18-17",58,58.25,57.79,58
"PCAR","8-21-17",58.03,58.585,57.72,58.25
"PCAR","8-22-17",58.53,59.5,58.3,59.45
"PCAR","8-23-17",59.04,59.29,58.82,59.01
"PCAR","8-24-17",59.1,59.29,58.73,58.82
"PCAR","8-25-17",59.21,59.54,58.86,59.01
"PCAR","8-28-17",59.45,59.72,59.16,59.4
"PCAR","8-29-17",59.2,60.24,59.125,60.16
"PCAR","8-30-17",60.11,61.115,59.76,61.08
"PCAR","8-31-17",61.34,61.53,61,61.33
"PCAR","9-1-17",61.55,61.55,60.85,60.86
"PCAR","9-5-17",60.81,60.84,59.95,60.29
"PCAR","9-6-17",60.57,60.9758,60.08,60.24
"PCAR","9-7-17",60.52,61.91,60.31,61.83
"PCAR","9-8-17",61.75,62.82,61.37,62.6
"PCAR","9-11-17",62.84,63.1,62.47,62.7
"PCAR","9-12-17",62.72,63.84,62.58,63.74
"PCAR","9-13-17",63.58,64.195,63.41,64.12
"PCAR","9-14-17",63.75,64.48,63.73,64.22
"PCAR","9-15-17",64.24,64.98,63.72,64.92
"PCAR","9-18-17",65,66.36,64.88,65.86
"PCAR","9-19-17",65.67,66.01,65.31,65.9
"PCAR","9-20-17",65.51,66.28,65.4,65.84
"PCAR","9-21-17",66,66.37,65.68,65.71
"PCAR","9-22-17",65.48,66.5,65.48,66.42
"PCAR","9-25-17",66.37,67.22,66.24,67.05
"PCAR","9-26-17",67.27,67.41,66.8,66.87
"PCAR","9-27-17",66.99,68.29,66.98,67.69
"PCAR","9-28-17",66.93,67.65,66.5,67.37
"PCAR","9-29-17",67.5,68.01,67.24,67.34
"PCAR","10-2-17",67.24,67.98,67.17,67.92
"PCAR","10-3-17",68.25,69.19,67.93,68.76
"PCAR","10-4-17",69.25,69.66,68.53,69.36
"PCAR","10-5-17",69.7,69.79,68.68,69.73
"PCAR","10-6-17",69.12,69.2087,67.92,68.28
"PCAR","10-9-17",68.5,68.73,67.86,68.3
"PCAR","10-10-17",68.56,68.59,68.07,68.42
"PCAR","10-11-17",67.88,68.32,67.62,67.86
"PCAR","10-12-17",67.56,68.25,67.34,67.93
"PCAR","10-13-17",68.02,68.17,67.57,67.69
"PCAR","10-16-17",67.9,67.92,67.415,67.71
"PCAR","10-17-17",67.7,67.995,67.48,67.7
"PCAR","10-18-17",67.67,67.85,67.49,67.6
"PCAR","10-19-17",67.49,68.8,67.25,68.77
"PCAR","10-20-17",69.17,70.13,68.9,69.92
"PCAR","10-23-17",70,70.68,69.54,69.65
"PCAR","10-24-17",68.8,69.2,63.86,65.38
"PCAR","10-25-17",64.9,65.89,64.43,65.23
"PCAR","10-26-17",65.79,67.37,65.48,67.08
"PCAR","10-27-17",66.17,66.97,66.01,66.87
"PCAR","10-30-17",66.37,66.4,65.11,65.45
"PCAR","10-31-17",65.65,67.2,65.58,66.73
"PCAR","11-1-17",67.37,67.48,65.58,65.98
"PCAR","11-2-17",65.87,67.24,65.43,66.96
"PCAR","11-3-17",66.84,67.12,65.77,66.32
"PCAR","11-6-17",66.44,66.44,65.55,65.61
"PCAR","11-7-17",65.56,65.87,65.0401,65.48
"PCAR","11-8-17",65.39,65.6,65.01,65.52
"PCAR","11-9-17",65,65.38,64.07,64.42
"PCAR","11-10-17",64.09,64.8,63.75,64.59
"PCAR","11-13-17",64.1,64.39,63.91,64.32
"PCAR","11-14-17",63.95,64.24,63.44,63.67
"PCAR","11-15-17",63.55,64.0608,62.67,63.19
"PCAR","11-16-17",63.35,64.87,63.2,64.7
"PCAR","11-17-17",64,64,61.3301,61.69
"PCAR","11-20-17",61.75,62.99,61.69,62.7
"PCAR","11-21-17",63.07,63.35,62.61,62.69
"PCAR","11-22-17",62.82,63.34,62.7,62.87
"PCAR","11-24-17",62.6,63.355,61.69,61.94
"PCAR","11-27-17",62.03,62.43,61.84,61.9
"PCAR","11-28-17",62.5,63.57,61.92,63.53
"PCAR","11-29-17",62.43,64.63,62.25,64.01
"PCAR","11-30-17",64.04,65.5,63.83,65.33
"PCAR","12-1-17",64.79,65.27,63.32,64.65
"PCAR","12-4-17",64.98,66.77,64.95,65.27
"PCAR","12-5-17",65.27,66.58,64.91,65.17
