"Ticker","Date","Open","High","Low","Close"
"PDD","7-27-18",27.54,27.54,23.21,24.6
"PDD","7-30-18",23.31,23.9,21.88,22.5
"PDD","7-31-18",22.2,22.71,19.62,22.59
"PDD","8-1-18",19.38,21.4,18.62,20.31
"PDD","8-2-18",19.27,20.18,19.03,19.66
"PDD","8-3-18",20,20.2665,18.91,19.07
"PDD","8-6-18",19.22,21.09,18.92,20.16
"PDD","8-7-18",21.08,21.9,20.67,20.89
"PDD","8-8-18",21.42,21.46,19.86,20.27
"PDD","8-9-18",20.39,20.56,19.46,20
"PDD","8-10-18",19.85,20.0312,19.49,19.51
"PDD","8-13-18",19.21,20.1,19.2,19.44
"PDD","8-14-18",19.46,19.52,18.88,19
"PDD","8-15-18",17.9,18.5,17.58,17.7
"PDD","8-16-18",18.27,19.1,18.16,19.04
"PDD","8-17-18",18.65,19.03,18.38,19
"PDD","8-20-18",18.82,19.335,18.795,18.95
"PDD","8-21-18",19.14,19.5,18.45,18.75
"PDD","8-22-18",18.67,18.9488,18.01,18.4
"PDD","8-23-18",18.38,18.8,18.12,18.31
"PDD","8-24-18",18.25,18.4999,17.2,17.22
"PDD","8-27-18",17.7,19.21,17.5,19.17
"PDD","8-28-18",19.49,19.96,18.82,19.54
"PDD","8-29-18",19.54,21.24,18.91,21.15
"PDD","8-30-18",20.68,20.846,17.88,17.99
"PDD","8-31-18",18.87,19.67,17.55,19.35
"PDD","9-4-18",18.66,21.18,18.6,20.75
"PDD","9-5-18",20.44,20.45,18.8,18.8
"PDD","9-6-18",19.28,19.78,18.91,19.11
"PDD","9-7-18",19.03,20.25,19,19.57
"PDD","9-10-18",19.68,20.05,19.48,19.74
"PDD","9-11-18",19.55,23.77,19.31,23.57
"PDD","9-12-18",22.77,23.75,22.02,23.04
"PDD","9-13-18",24.5,30.48,24.42,29.96
"PDD","9-14-18",28.89,30,26.28,26.34
"PDD","9-17-18",25.98,27.88,24.2,24.36
"PDD","9-18-18",24.66,25.66,22.31,22.64
"PDD","9-19-18",23.28,24.36,22.48,23
"PDD","9-20-18",23.36,25.25,23.06,24.65
"PDD","9-21-18",25.51,26.59,24.431,25.6
"PDD","9-24-18",24.76,27.13,24.22,26.49
"PDD","9-25-18",26.15,27.8,26.1,26.94
"PDD","9-26-18",26.98,27.11,25.5,26.06
"PDD","9-27-18",26.36,26.59,25.34,26.33
"PDD","9-28-18",26,26.3,25.52,26.29
"PDD","10-1-18",26.23,28.18,26.06,27.69
"PDD","10-2-18",27.3,27.39,25.45,25.66
"PDD","10-3-18",26.3,26.9725,25.86,26.28
"PDD","10-4-18",25.73,25.85,22.551,22.7
"PDD","10-5-18",23.08,23.79,20.5,21.78
"PDD","10-8-18",20.61,21.94,20.33,21.19
"PDD","10-9-18",20.97,22.62,20.89,22.34
"PDD","10-10-18",22.78,22.88,20.2,20.33
"PDD","10-11-18",20.24,21.49,20.03,20.82
"PDD","10-12-18",22.1012,22.48,21.02,21.62
"PDD","10-15-18",21.28,21.88,21,21.11
"PDD","10-16-18",21.23,21.49,20.48,20.81
"PDD","10-17-18",20.85,21,19.6,19.99
"PDD","10-18-18",19.67,19.87,18.8,18.8
"PDD","10-19-18",19.58,19.681,18.21,18.68
"PDD","10-22-18",19.7,20.09,18.91,19.95
"PDD","10-23-18",19,19.09,17.93,18.51
"PDD","10-24-18",18.71,18.71,17.25,17.32
"PDD","10-25-18",17.97,18.74,17.55,18.56
