"Ticker","Date","Open","High","Low","Close"
"PEP","9-19-16",105.21,106.12,104.92,105.67
"PEP","9-20-16",106.1,106.71,105.96,106.3
"PEP","9-21-16",106.16,107.37,105.879,107.13
"PEP","9-22-16",107.49,107.94,107.31,107.82
"PEP","9-23-16",107.68,107.99,107.04,107.34
"PEP","9-26-16",107.24,107.38,106.87,107.03
"PEP","9-27-16",107.37,107.87,106.73,107.49
"PEP","9-28-16",107.91,107.91,106.86,107.38
"PEP","9-29-16",109.495,109.71,107.71,107.76
"PEP","9-30-16",108.37,109.24,108.37,108.77
"PEP","10-3-16",108.77,108.83,107.47,108.25
"PEP","10-4-16",108.31,108.37,106.58,107.1
"PEP","10-5-16",107.24,107.49,105.69,106.01
"PEP","10-6-16",105.73,106.53,105.46,106.4
"PEP","10-7-16",106.76,106.92,105.65,105.99
"PEP","10-10-16",106.45,106.62,105.82,106.22
"PEP","10-11-16",106.12,106.21,105,105.57
"PEP","10-12-16",105.87,106.16,105.495,106.08
"PEP","10-13-16",105.85,106.17,105.29,105.92
"PEP","10-14-16",106.07,107.06,105.78,106.83
"PEP","10-17-16",106.83,107.07,106.56,106.85
"PEP","10-18-16",107.45,108.18,106.94,106.95
"PEP","10-19-16",106.81,107.01,106.08,106.26
"PEP","10-20-16",106.11,106.32,105.58,105.87
"PEP","10-21-16",106.01,106.01,105.27,105.62
"PEP","10-24-16",106.12,107.9,106.12,107.31
"PEP","10-25-16",107.39,107.63,106.81,107.23
"PEP","10-26-16",107.49,107.95,106.95,107.07
"PEP","10-27-16",107.28,107.54,106.3,106.63
"PEP","10-28-16",106.9,107.53,106.52,107.07
"PEP","10-31-16",107.03,107.4299,106.92,107.2
"PEP","11-1-16",107.14,107.3,106.12,106.71
"PEP","11-2-16",106.68,107.44,106.61,106.71
"PEP","11-3-16",107.07,107.14,106.52,106.63
"PEP","11-4-16",106.56,106.97,105.81,105.81
"PEP","11-7-16",106.66,107.2,106.38,106.96
"PEP","11-8-16",106.97,108.93,106.97,108.72
"PEP","11-9-16",106.45,107.35,105,107.25
"PEP","11-10-16",106.89,106.89,102.4,103.25
"PEP","11-11-16",103,103.77,102.57,103.19
"PEP","11-14-16",102.86,103.34,100.45,101.39
"PEP","11-15-16",101.4,102.05,100.82,101.85
"PEP","11-16-16",102.36,102.9,101.47,101.71
"PEP","11-17-16",101.81,101.93,101.175,101.62
"PEP","11-18-16",101.4,101.8,101.175,101.31
"PEP","11-21-16",101.48,102.32,101.48,102.26
"PEP","11-22-16",102.53,103,102.44,102.89
"PEP","11-23-16",102.52,102.89,101.46,101.53
"PEP","11-25-16",102,102.9099,101.74,102.17
"PEP","11-28-16",102.27,103.25,101.9,102.79
"PEP","11-29-16",102.79,103.05,102.3,102.54
"PEP","11-30-16",101.51,101.92,100.1,100.1
"PEP","12-1-16",99.89,100.05,98.5,99.03
"PEP","12-2-16",99.4,100.64,99.4,100.6
"PEP","12-5-16",100.62,100.91,100.12,100.71
"PEP","12-6-16",101.08,101.61,100.805,101.55
"PEP","12-7-16",101.16,102.93,101.16,102.81
"PEP","12-8-16",102.14,102.61,102,102.15
"PEP","12-9-16",102.23,104.045,102.04,103.57
"PEP","12-12-16",103.82,104.87,103.67,104.72
"PEP","12-13-16",104.81,106.01,104.68,105.63
"PEP","12-14-16",105.88,106.53,104.21,104.47
"PEP","12-15-16",104.23,105.57,104.23,105.3
"PEP","12-16-16",105.55,105.92,105.13,105.87
