"Ticker","Date","Open","High","Low","Close"
"PG","9-19-16",87.92,88.95,87.25,88.37
"PG","9-20-16",88.5,88.9488,88.18,88.58
"PG","9-21-16",88.54,88.79,86.44,87.8
"PG","9-22-16",87.77,89.3,87.77,88.99
"PG","9-23-16",88.63,88.935,87.49,87.76
"PG","9-26-16",87.42,88.43,86.61,87.85
"PG","9-27-16",88.06,88.81,87.66,88.36
"PG","9-28-16",88.98,89.725,88.47,89.46
"PG","9-29-16",89.16,89.27,87.54,88.23
"PG","9-30-16",88.3,90.22,88.29,89.75
"PG","10-3-16",89.35,89.45,88.41,88.66
"PG","10-4-16",88.29,88.68,87.95,88.35
"PG","10-5-16",88.48,89,88.21,88.85
"PG","10-6-16",88.83,89.73,88.47,89.22
"PG","10-7-16",89.01,90.05,88.3,90
"PG","10-10-16",90.19,90.33,88.78,89.06
"PG","10-11-16",88.83,89.12,88.2,88.54
"PG","10-12-16",88.74,89.01,88.33,88.57
"PG","10-13-16",88.05,88.57,87.6,88.24
"PG","10-14-16",88.5,88.96,88.22,88.43
"PG","10-17-16",88.43,88.65,87.71,87.83
"PG","10-18-16",88.21,88.27,87.435,87.45
"PG","10-19-16",86.65,86.82,85.44,85.54
"PG","10-20-16",85.38,85.52,84.7875,84.93
"PG","10-21-16",84.41,84.86,84.24,84.33
"PG","10-24-16",84.39,84.7,84.06,84.1
"PG","10-25-16",87.49,88.08,86.97,86.97
"PG","10-26-16",86.91,87.74,86.78,87.4
"PG","10-27-16",87.51,87.6,86.45,86.58
"PG","10-28-16",86.87,87.23,86.45,86.84
"PG","10-31-16",87.01,87.47,86.69,86.8
"PG","11-1-16",86.58,86.99,86.48,86.85
"PG","11-2-16",86.77,87.41,86.56,86.74
"PG","11-3-16",86.8,86.98,86.47,86.6
"PG","11-4-16",86.69,86.73,85.07,85.08
"PG","11-7-16",86.02,86.57,85.6,86.56
"PG","11-8-16",86.77,87.69,86.59,87.46
"PG","11-9-16",85.26,86.5422,84.31,85.93
"PG","11-10-16",85.51,85.7,82.18,82.96
"PG","11-11-16",82.67,84.055,82.65,83.58
"PG","11-14-16",83.56,83.78,82.76,83
"PG","11-15-16",84.58,84.58,82.88,83.62
"PG","11-16-16",83.98,84.2,83.17,83.19
"PG","11-17-16",83.27,83.5,82.93,83.07
"PG","11-18-16",82.92,83.1,81.99,82
"PG","11-21-16",82.1,82.75,81.71,82.64
"PG","11-22-16",83.01,83.1817,82.66,82.76
"PG","11-23-16",82.59,82.93,82.52,82.68
"PG","11-25-16",82.99,83.46,82.95,83.46
"PG","11-28-16",83.13,83.36,82.755,83.07
"PG","11-29-16",83.42,83.48,82.69,82.89
"PG","11-30-16",82.52,82.83,82.26,82.46
"PG","12-1-16",82.21,82.32,81.18,81.86
"PG","12-2-16",82.35,82.68,82.07,82.4
"PG","12-5-16",82.559,83.08,82.48,82.99
"PG","12-6-16",83.24,83.25,82.61,82.91
"PG","12-7-16",82.74,84.28,82.711,84.18
"PG","12-8-16",83.79,84.18,83.5,83.5
"PG","12-9-16",83.519,84.4,83.47,84.37
"PG","12-12-16",84.21,85.1844,84.21,85.13
"PG","12-13-16",84.67,85.36,84.53,85.18
"PG","12-14-16",85.29,85.74,84.17,84.37
"PG","12-15-16",84.15,84.8,83.61,84.68
"PG","12-16-16",84.9,85.12,84.15,84.68
"PG","12-19-16",84.75,84.975,84.32,84.71
"PG","12-20-16",84.57,84.71,84.19,84.57
"PG","12-21-16",84.19,84.725,84.12,84.28
"PG","12-22-16",84,84.61,83.87,84.47
"PG","12-23-16",84.68,85.18,84.55,84.96
"PG","12-27-16",84.8984,84.94,84.42,84.6
"PG","12-28-16",84.4,84.63,83.945,84.07
"PG","12-29-16",84.24,84.49,84.1,84.35
"PG","12-30-16",84.17,84.45,83.92,84.08
"PG","1-3-17",83.88,84.39,83.5,84.2
"PG","1-4-17",84.45,84.6016,84.2354,84.5
"PG","1-5-17",84.41,85.4274,84.38,85.06
"PG","1-6-17",84.941,85.25,84.62,85.03
"PG","1-9-17",84.06,84.66,83.75,84.4
"PG","1-10-17",84.34,84.43,83.24,83.49
"PG","1-11-17",83.39,83.75,83.275,83.75
"PG","1-12-17",83.71,83.88,83.3701,83.84
"PG","1-13-17",83.85,84.02,83.44,84.01
"PG","1-17-17",83.9,85.58,83.88,85.21
"PG","1-18-17",84.8,85.3,84.59,84.93
"PG","1-19-17",84.63,85,84.28,84.7
"PG","1-20-17",86.89,87.975,86.42,87.45
"PG","1-23-17",87.09,87.35,86.85,86.96
"PG","1-24-17",87.22,87.95,87.22,87.86
"PG","1-25-17",87.84,87.9,87.06,87.16
"PG","1-26-17",87.12,87.23,86.59,86.6
"PG","1-27-17",86.45,86.85,86.02,86.72
"PG","1-30-17",86.78,86.86,86.5,86.75
"PG","1-31-17",86.63,87.66,86.53,87.6
"PG","2-1-17",87.03,87.59,86.75,87.33
"PG","2-2-17",87.61,88.35,87.25,87.76
"PG","2-3-17",88.12,88.17,87.39,87.41
"PG","2-6-17",87.5,87.785,87.13,87.4
"PG","2-7-17",87.64,88.28,87.475,88.01
"PG","2-8-17",88.07,88.34,87.81,88.33
"PG","2-9-17",88.25,88.78,88.03,88.67
"PG","2-10-17",88.56,88.73,87.965,87.97
"PG","2-13-17",88.04,88.355,87.64,88.31
"PG","2-14-17",88,88.22,87.23,87.86
"PG","2-15-17",89.81,91.15,89.81,91.12
"PG","2-16-17",90.92,91.12,90.54,90.79
"PG","2-17-17",90.61,91.36,90.45,91.09
"PG","2-21-17",90.58,91.8,90.58,91.67
"PG","2-22-17",91.45,91.8,91.25,91.44
"PG","2-23-17",91.61,91.8,90.91,91.13
"PG","2-24-17",90.97,91.34,90.67,91.05
"PG","2-27-17",90.53,90.91,90.06,90.89
"PG","2-28-17",90.9,91.79,90.65,91.07
"PG","3-1-17",91.05,91.89,90.71,91.66
"PG","3-2-17",91.4,91.585,90.88,90.91
"PG","3-3-17",90.8,90.82,89.8948,90.5
"PG","3-6-17",89.89,90.51,89.59,90.37
"PG","3-7-17",90.14,90.49,90.06,90.29
"PG","3-8-17",90.02,90.35,89.76,90.14
"PG","3-9-17",90.14,90.49,90.095,90.34
"PG","3-10-17",90.8,91.16,90.65,91.07
"PG","3-13-17",91.06,91.49,90.85,91.31
"PG","3-14-17",91.26,91.59,90.82,91
"PG","3-15-17",91,91.78,90.73,91.4
"PG","3-16-17",91.44,91.7199,91.1,91.44
"PG","3-17-17",91.45,92,90.92,91
"PG","3-20-17",90.96,91.41,90.94,91.22
"PG","3-21-17",91.3,91.75,91.03,91.19
"PG","3-22-17",91.31,91.8,90.75,90.99
"PG","3-23-17",90.91,91.46,90.6,90.77
"PG","3-24-17",90.77,90.915,90.21,90.57
"PG","3-27-17",90.45,90.715,90.18,90.49
"PG","3-28-17",90.17,91.0599,90.13,90.76
"PG","3-29-17",90.56,90.87,90.39,90.6
"PG","3-30-17",90.5,90.568,90.1,90.2
"PG","3-31-17",90.03,90.34,89.84,89.85
"PG","4-3-17",89.86,90.06,89.45,89.68
"PG","4-4-17",89.75,89.96,89.42,89.91
"PG","4-5-17",90,90.5,89.76,89.97
"PG","4-6-17",89.77,89.81,89.31,89.4
"PG","4-7-17",89.46,89.61,89.18,89.23
"PG","4-10-17",89.13,89.679,88.75,89.49
"PG","4-11-17",89.66,89.82,89.29,89.8
"PG","4-12-17",89.7,90.421,89.56,90.31
"PG","4-13-17",90.05,90.54,89.79,90.03
"PG","4-17-17",90.23,90.59,90.13,90.39
"PG","4-18-17",90.4,91.13,90.34,90.1104
"PG","4-19-17",90.1,90.45,89.5,89.6
"PG","4-20-17",89.7,89.7,89.31,89.33
"PG","4-21-17",89.17,89.28,88.61,88.62
"PG","4-24-17",89.12,89.655,89.01,89.55
"PG","4-25-17",89.58,90.25,89.47,90
"PG","4-26-17",89.85,90,87.61,87.74
"PG","4-27-17",87.58,88.24,87.23,87.69
"PG","4-28-17",87.52,87.59,87.15,87.33
"PG","5-1-17",87.38,87.5967,87.08,87.09
"PG","5-2-17",87.29,87.29,86.02,86.22
"PG","5-3-17",86.3,86.63,85.9,86.43
