"Ticker","Date","Open","High","Low","Close"
"PYPL","9-19-16",40.24,40.46,39.75,40.01
"PYPL","9-20-16",40.3,40.3,39.67,39.69
"PYPL","9-21-16",39.86,40.39,39.7,40.29
"PYPL","9-22-16",40.42,40.66,40.14,40.49
"PYPL","9-23-16",39.6,40.495,39.6,40.07
"PYPL","9-26-16",39.38,40.51,39.38,40.34
"PYPL","9-27-16",40.04,41.23,39.49,41.06
"PYPL","9-28-16",41.15,41.19,40.21,40.97
"PYPL","9-29-16",40.91,41.3,40.36,40.39
"PYPL","9-30-16",40.29,41.05,40.27,40.97
"PYPL","10-3-16",40.87,41.2,40.16,40.59
"PYPL","10-4-16",41.3,41.3,40.44,40.78
"PYPL","10-5-16",40.95,40.95,40.4,40.44
"PYPL","10-6-16",40.32,40.39,39.86,40.18
"PYPL","10-7-16",40.42,40.42,39.62,39.88
"PYPL","10-10-16",40.13,40.17,39.59,39.86
"PYPL","10-11-16",40.03,40.11,38.96,39.19
"PYPL","10-12-16",39.77,39.8,39.3,39.53
"PYPL","10-13-16",39.39,39.4,38.75,39.2
"PYPL","10-14-16",39.46,39.89,39.23,39.24
"PYPL","10-17-16",39.24,39.62,39.16,39.48
"PYPL","10-18-16",40,40.18,39.78,39.83
"PYPL","10-19-16",39.97,40.47,39.84,40.24
"PYPL","10-20-16",40.23,40.29,39.82,40.09
"PYPL","10-21-16",41.85,44.24,41.84,44.15
"PYPL","10-24-16",44,44.52,43.14,43.87
"PYPL","10-25-16",43.66,44.07,43,43.31
"PYPL","10-26-16",43,43.21,42.31,42.33
"PYPL","10-27-16",42.55,42.57,41.621,41.69
"PYPL","10-28-16",41.98,41.98,41.07,41.76
"PYPL","10-31-16",41.78,42,41.36,41.66
"PYPL","11-1-16",41.68,42.295,41.29,41.54
"PYPL","11-2-16",41.43,41.57,41.08,41.35
"PYPL","11-3-16",41.32,41.5,40.92,41.19
"PYPL","11-4-16",40.3,41.485,40.3,40.9
"PYPL","11-7-16",41.52,41.65,41.06,41.28
"PYPL","11-8-16",41.42,42.15,41.09,41.58
"PYPL","11-9-16",40.6,41.47,40.58,41.26
"PYPL","11-10-16",41.9,41.9,39.58,40.45
"PYPL","11-11-16",40.77,40.77,39.8,40.08
"PYPL","11-14-16",40.4,40.4,38.45,38.81
"PYPL","11-15-16",39.04,39.48,38.9,38.94
"PYPL","11-16-16",39.05,39.21,38.71,39.07
"PYPL","11-17-16",39.12,40.055,38.95,39.88
"PYPL","11-18-16",40.08,40.57,39.91,40.08
"PYPL","11-21-16",40.12,40.77,40.1155,40.63
"PYPL","11-22-16",40.99,41.1,39.95,40.33
"PYPL","11-23-16",40.31,40.43,39.85,40.05
"PYPL","11-25-16",40.4,40.56,39.99,40.26
"PYPL","11-28-16",40.26,40.49,39.925,39.96
"PYPL","11-29-16",40.07,40.36,39.79,39.89
"PYPL","11-30-16",40.1,40.18,39.18,39.28
"PYPL","12-1-16",39.56,39.68,38.18,38.34
"PYPL","12-2-16",38.34,38.75,38.06,38.62
"PYPL","12-5-16",38.85,39.34,38.65,38.99
"PYPL","12-6-16",39.23,39.26,38.71,38.98
"PYPL","12-7-16",39.08,39.46,38.8,39.45
"PYPL","12-8-16",39.68,40,39.45,39.61
"PYPL","12-9-16",39.7,39.79,39.375,39.65
"PYPL","12-12-16",39.6,39.9,39.35,39.43
"PYPL","12-13-16",39.55,39.745,39.39,39.43
"PYPL","12-14-16",39.46,39.89,39.46,39.55
"PYPL","12-15-16",39.8,40.29,39.35,39.54
"PYPL","12-16-16",39.9,39.9,39.12,39.32
"PYPL","12-19-16",39.4,39.8,39.11,39.44
"PYPL","12-20-16",39.61,39.74,39.26,39.74
"PYPL","12-21-16",39.84,40.74,39.82,40.09
"PYPL","12-22-16",40.04,40.09,39.54,39.68
"PYPL","12-23-16",39.82,39.87,39.48,39.58
"PYPL","12-27-16",39.5,40.08,39.43,39.72
"PYPL","12-28-16",39.76,40.03,39.53,39.57
"PYPL","12-29-16",39.54,40.17,39.54,39.96
"PYPL","12-30-16",39.96,40.07,39.34,39.47
"PYPL","1-3-17",40.29,40.98,40,40.25
"PYPL","1-4-17",40.35,41.03,40.045,41
"PYPL","1-5-17",41.43,41.72,41.0399,41.06
"PYPL","1-6-17",41.24,41.64,40.79,41.45
