"Ticker","Date","Open","High","Low","Close"
"QCOM","9-19-16",63.13,63.39,62.76,62.86
"QCOM","9-20-16",63.27,63.3,62.53,62.7
"QCOM","9-21-16",63.1,63.64,62.91,63.57
"QCOM","9-22-16",63.71,64,63.36,63.52
"QCOM","9-23-16",63,63.57,62.67,62.75
"QCOM","9-26-16",62.49,62.56,61.86,62.31
"QCOM","9-27-16",62.53,63.36,62.44,63.31
"QCOM","9-28-16",63.23,63.69,63,63.45
"QCOM","9-29-16",63.28,68.83,62.712,67.45
"QCOM","9-30-16",68.4,70.4,68.15,68.5
"QCOM","10-3-16",68.08,69.28,66.87,67.11
"QCOM","10-4-16",67.7,67.7,66.56,66.68
"QCOM","10-5-16",66.84,67.42,66.55,66.84
"QCOM","10-6-16",66.8,69.32,66.23,67.54
"QCOM","10-7-16",67.53,68.33,67.49,68.19
"QCOM","10-10-16",68.34,68.58,67.06,67.25
"QCOM","10-11-16",67,67.09,65.45,66.09
"QCOM","10-12-16",66.49,66.49,65.06,66.06
"QCOM","10-13-16",65.55,66.06,64.3,65.7
"QCOM","10-14-16",65.94,66.59,65.45,65.7
"QCOM","10-17-16",65.53,65.71,65.09,65.19
"QCOM","10-18-16",66.18,66.22,65.57,66.1
"QCOM","10-19-16",65.88,66.065,65.305,65.79
"QCOM","10-20-16",65.48,68.17,65.48,67.34
"QCOM","10-21-16",67.11,69.44,66.7,67.93
"QCOM","10-24-16",68.4,68.45,67.48,68.06
"QCOM","10-25-16",67.9,68.25,67.48,67.71
"QCOM","10-26-16",67.31,68.62,67.25,68.2
"QCOM","10-27-16",70.8,71.62,70,70.09
"QCOM","10-28-16",70.52,70.53,67.66,68.4
"QCOM","10-31-16",69,69.51,68.68,68.72
"QCOM","11-1-16",69,69.35,67.5411,68.34
"QCOM","11-2-16",68.46,68.6,67.025,67.09
"QCOM","11-3-16",67.69,68.57,65.93,66.95
"QCOM","11-4-16",65.74,67.41,65.74,66.73
"QCOM","11-7-16",67.72,68.58,67.39,68.46
"QCOM","11-8-16",68.22,68.71,67.63,68.27
"QCOM","11-9-16",66.63,68.09,66.25,67.88
"QCOM","11-10-16",67.81,68.2101,64.32,66.31
"QCOM","11-11-16",65.87,67,65.84,66.88
"QCOM","11-14-16",67.42,67.42,65.93,65.93
"QCOM","11-15-16",66.26,67.16,65.95,66.77
"QCOM","11-16-16",66.71,66.71,65.65,66.3
"QCOM","11-17-16",66.44,66.77,66.16,66.67
"QCOM","11-18-16",66.68,67.455,65.94,67.31
"QCOM","11-21-16",66.86,67.2,66.15,67.1
"QCOM","11-22-16",67.57,68.6,67.04,68.31
"QCOM","11-23-16",68.33,68.5,67.75,68.13
"QCOM","11-25-16",68.16,68.42,67.71,68.29
"QCOM","11-28-16",67.42,67.7,66.8,67.1
"QCOM","11-29-16",67.23,67.54,66.63,66.77
"QCOM","11-30-16",66.8,68.31,66.5,68.13
"QCOM","12-1-16",67.72,67.92,63.78,64.16
"QCOM","12-2-16",63.95,66.33,63.95,65.84
"QCOM","12-5-16",66.38,66.94,65.69,66.36
"QCOM","12-6-16",66.65,67.48,66.5,67.45
"QCOM","12-7-16",67.35,68.34,66.955,68.34
"QCOM","12-8-16",68.42,69.18,68.37,68.55
"QCOM","12-9-16",68.61,68.89,67.8,68.52
"QCOM","12-12-16",68.37,68.645,67.92,68.47
"QCOM","12-13-16",68.72,70.24,68.49,69.34
"QCOM","12-14-16",68.64,69.18,67.35,67.56
"QCOM","12-15-16",68.1,68.77,67.31,68.03
"QCOM","12-16-16",68.49,68.49,66.3,66.46
"QCOM","12-19-16",66.79,67.43,66.6411,67.02
"QCOM","12-20-16",67.38,67.56,66.77,66.91
"QCOM","12-21-16",67.07,67.35,66.82,67.16
"QCOM","12-22-16",67.64,67.75,66.46,66.76
"QCOM","12-23-16",66.89,66.94,66.521,66.86
"QCOM","12-27-16",67.14,67.575,67.06,67.25
"QCOM","12-28-16",66.65,67.07,65.7,65.75
"QCOM","12-29-16",65.5,66.08,65.42,66.04
"QCOM","12-30-16",66.25,66.35,65.04,65.2
"QCOM","1-3-17",65.86,66.14,64.601,65.4
"QCOM","1-4-17",65.67,65.95,65.26,65.47
"QCOM","1-5-17",65.32,65.9764,65.05,65.55
"QCOM","1-6-17",65.48,65.87,64.8601,65.53
"QCOM","1-9-17",65.53,66.265,65.49,65.65
"QCOM","1-10-17",65.95,66.155,65.57,65.63
"QCOM","1-11-17",65.75,66.11,65.42,66.1
"QCOM","1-12-17",65.35,66.18,65.0546,66.12
"QCOM","1-13-17",66.25,67.08,66.16,66.88
"QCOM","1-17-17",66.71,66.97,63.15,64.19
"QCOM","1-18-17",64.67,66.09,63.81,65.13
"QCOM","1-19-17",64.97,65.4,64.36,64.44
"QCOM","1-20-17",65.19,65.74,62.62,62.88
"QCOM","1-23-17",58.67,58.67,53.77,54.88
